Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:12,0:00:24,"Hvaljen Isus i Marija, meni je velika radost biti ovdje s vama, a je li vama biti radost sa ljudima iz inicijative i udruge?"
0:00:33,0:00:51,"Moje srce gori od radosti jer vidim ove osmijehe, vidim ovo pljeskanje, čujem ovo pljeskanje i stvarno vjerujem da ovaj pljesak tihi u srcima našim i glasni preko ruku naših dolazi."
0:00:53,0:00:53,Ne čuje se.
0:00:53,0:00:54,Pa sebe čujem jako.
0:00:55,0:00:55,E sad čuje sad.
0:00:56,0:00:58,"A čovjek, e sad čuje."
0:01:00,0:01:02,E sad čuje sad da moraju sve ili?
0:01:05,0:01:12,Vjerujem braću i sestre da se ovaj pljesak u srcima našim rukama preko ruku naših čuo i do neba.
0:01:12,0:01:23,"Jer kada smo sjedili u ime Isusovo tada je ta vertikala zapravo nekako spojena da ni nema vertikale, tu smo jedno kao crkva."
0:01:23,0:01:35,I svi vi ovdje opremljeni koji ste bili pred bolnicama svjedočili ste toj ljubavi Božjoj koja je isijavala kroz vas na druge ljude.
0:01:35,0:02:04,"Niste vi ti bili ovih deset godina koji ste svjetlili, niste vi bili ti kroz ovih deset godina koji ste govorili na ulicama ispred bolnica i domova zdravlja, to je učinio Isus, to je učinila snaga Duha Svetoga jer jedino majke su mogle Isusa osjetiti preko vas, jedino prolaznici su mogli čuti vapaj opomenu Duha Svetoga preko vas."
0:02:04,0:02:17,"I vidite vaše sestre što se nama događa da svaki dan kamo god idemo, meni, Petri i drugima, prilaze ljudi, obični prolaznici i koji kažu da prate naše djelovanje."
0:02:17,0:02:21,"Gdje god otišao, kamo god otišao u Hrvatskoj, meni netko priđe na cesti."
0:02:22,0:02:40,"Primjerice, tako jednoga ljetnoga dana kada sam išao okupati na Splitsku plažu Žnjan sa svojom obitelji uhvati mene jedna žena u razgovor, isto po stigmu, ona ide s plaže, mi smo ljudi da stignemo nakon napornoga dana jer sam radio taj dan to ljeto."
0:02:43,0:02:44,Jeste čuli sad?
0:02:45,0:02:50,"Radio sam taj dan, došla je meni žena, molim vas, htjela bih vam nešto kazati."
0:02:50,0:03:26,"Čula sam vas kako govorite o Solinskoj crkvi, svjedočili ste snažno gospodine Ante, vidite moja teta imala je trinaest ili četrnaest pobačaja, naša obitelj je u rasulu i nastavite tako, potrebni ste nam i ja sam jedva dočekao, pričali smo mi pola sata, ali sam jedva dočekao da se odemo osvježiti u more i okupati se jer kad kad te priče i boli, bolete iako te i raduju zato što vidiš plodove, ali to je bolno, bolno, bolno iskustvo tih ljudi."
0:03:27,0:03:42,"Isto tako što se dogodilo istoga ljeta i Išao sam u trgovinu na blagajni, sam sreo neku blagajnicu, uzeo sam nešto za pojesti, popit i jurio sam u jednu župu svjedočiti."
0:03:42,0:03:45,I na vratima sam samo rekao doviđenja Boži blagoslov.
0:03:46,0:03:49,"Zaustavila me blagajnica i pitala me jeste li vi Ante, jesam."
0:03:50,0:04:16,"Pa vidite ja sam tajta i dvije tisuće šesnaest godine vi ste mene u telefonskom razgovoru ohrabrili i pomogli mi jer mene muž prisiljavao na pobačaj petog djeteta I ja sam onda prepoznao o kome je riječ, a to si ti i zagrlili smo se i oboje smo zaplakali, ona više, ja sam samo zasužio."
0:04:17,0:04:42,"Ko će vam reći, da, dobro mislim, ko će vam kazati, da, ko će vam kazati kako je ovaj apostolat za život u Hrvatskoj postao stvarnost za sve ljude u našoj domovini."
0:04:42,0:04:58,"Doslovna stvarnost, ne samo da smo kao udruga indirektno utjecali i na politička zbivanja pa se uvijek sada najčešće prije izbora u predizbornim kampanjama postavlja pitanje političarima jesu li za pobačaj ili su za život."
0:04:59,0:05:16,"Isto tako, ne samo da smo indirektno utjecali na liječničko osoblje, već smo utjecali na sve ljude, tako i na majku Lauru, čuli ste svjedočanstvo Curu koja je prošla i smijavala nas i ona nas je javila i zamolila da joj pomognenemo."
0:05:17,0:05:18,I vidite što sam ja prepoznao.
0:05:19,0:05:42,"Prepoznao sam ne samo da moram sad biti malo ozbiljniji na ulicama, odgovorniji jer ja sam ono i pun radosti pa to zna ići lijevo, desno, gore, dolje ili znam temperamentan biti pa kad krenem griješiti u javnosti može me netko prepoznati i reći vidi ovaj Ludić Alikušić a vidi ga tu se ponaša kao svetac."
0:05:42,0:06:09,"Zato moram pripaziti općenito i na svoje ponašanje i to mi je dosta teško bilo prihvatiti da sad smo svi mi u udruzi javne osobe koje služe, koje su sebe izložile i drugi su nas kroz svih ovih deset godina znali osuđivati, prijavljivati policiji, nekim državnim uredima, ali mi nikada do sada nismo bili optuženi jer su sve to bile lažne optužbe."
0:06:10,0:06:27,"Ali smo se radovali u ovih deset godina kada su ljudi lagali o nama, kada su svo zlo iznijeli pred nas i protiv nas i kada je bilo puno negativnih reakcija pa i na samim mjestima bljenja, mi smo se radovali i mi smo odgovorili tim ljudima ljubavlju."
0:06:28,0:06:46,"Jedan fizički nasrtitelj u Čakovcu napao je našeg molitelja, vikao je, galamio je, psovao je, to nije bilo ugodno za vidjeti, došla je policija i nakon nekoliko dana taj čovjek je pokucao na vrata mome prijatelju u Čakovcu, kuc-kuc."
0:06:47,0:06:54,"Dobro, nije smiješno, mislio sam da će biti, a nije, nisam mislio, samo bolje, kuc-kuc ili bilo ring ring, ne znam."
0:06:54,0:07:09,"Ali tko ću kazati, ovaj je otvorio vrata i ovaj mu se na vratima kuće ispričava što je to učinio, da je shvatio što udruga radi, donirao je novce za trudnice i zaplakao je i njih dvojica su se zagrlili."
0:07:09,0:07:46,"Ovaj pokret naš pomiruje zaračene strane u obitelji, naši molitelji koji su saznali da su trebali biti pobačeni iznijeli su svoju tugu pred njih svojim roditeljima, roditelji su im se onda ispričali, priznali im to kao baka koja je rekla svome unuku u Vukovaru da je imala osam pobačaja, a on je baš neki dan bio na jednoj našoj tribini, bio je šokiran kako baka ničim izazvana njemu iznosi da je imala osam pobačaja i vidljivo je da je u teškim ranama bila."
0:07:47,0:08:00,"To su strašne rane i mogu vam kazati kako Lidija Dugan najbolje poznaje te rane pobačaja jer radi s tim majkama, s tim ženama ali i razgovara i s očevima koji imaju rane pobačaja."
0:08:00,0:08:11,"Mi zato želimo ovim djelovanjem nastaviti osješćivati ljude i ohrabriti crkvene prvo ljude, u prvom redu vas vjernike da se ne bojite života."
0:08:12,0:08:16,Ovo ovdje što vam danas govorim možda znači život budućem vašem djetetu.
0:08:17,0:08:27,"Neki od vas sigurno strahuju tko će li se odlučiti ili što će biti ako se odluče za treće, četvrto ili peto dijete u svojoj obitelji."
