Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,"Evo, hvali nisu se Marija."
0:00:06,0:00:47,"Evo, meni pripada isto radostna čast da mogu govoriti na ovoj promociji, znači to sam spomenuo sada i na ovoj večernjoj emisiji, upravo vi imate čast prisustvovati prvoj promociji ove knjige koja je izašla povodom deset godina naše udruge inicijative, nisam ju uspio pročitati jer je tek u petak popodne izašla iz tiska, još onako miriši po novim knjigama, pa tako vas evo sve pozivam da je uzmete i da pročitate puno, puno više zanimljivih svjedočanstava koje evo mi tu vremenski ne možemo reći, a i ne znamo ih, tako da se ja isto veselim da ću pročitati neka poglavlja o nekim stvarima koje ne znam."
0:00:48,0:00:56,"Pa evo nekako za početak, mogao bi reći, otkud ja u svemu ovome, otkud ja u pokretu za život?"
0:00:56,0:01:19,"Kad je inicijativa počinjala pred nekih desetak godina, ja znam još prije dok smo u srednjoj školi gledali onaj film Njemi krik, vjerojatno ste čuli za njega, koji pokazuje svu okrutnost pobačaja, mene Meni je onak prošao u glavu pa u stilu to nitko ne radi, tko bi to normalan radio, to je barbarstvo, to je užasna stvar."
0:01:21,0:01:36,"I da me netko pitao pa čak još pred desetak godina prije nego je počela inicijativa koliko zapravo u Hrvatskoj ima pobačaja, ja bi rekao pa nema toga šta, možda ima desetak u cijeloj Hrvatskoj, ako i to puno je."
0:01:37,0:01:50,"I onda uključenjem u taj naš pokret za život, u našu inicijativu nažalost, spoznao sam da su brojke puno, puno gore i da je ovo i najljepši, a istovremeno i najteži apostolat."
0:01:51,0:02:03,"Nekako bi možda najbolje to mogao pisati kad Dostojevski u zločinu i kazni kaže što je mračnija noć, svjetlije su zvijezde, što je dublja tuga, bliže je Bogu."
0:02:05,0:02:20,"Upravo tamo, na tim, neki bi rekli, prvim crtama obrane života ispred bolnica i domova zdravlja u Hrvatskoj vodi se ta bitka protiv, ne protiv krvi i mesa, nego duhovni bojevi."
0:02:21,0:02:30,"Tamo smo, vjerujem svi koji su bili kad pred bolnicama imali i neke od najradosnijih trenutaka u životu, ali i najtužnijih."
0:02:33,0:02:47,Najradosniji su evo kad bi saznali za neki spašen život ili kad bi nam se javili iz rodilišta išli roditelji ili dede i bake i zahvalili nam se na molitvama i s nama podijelili tu radost novog života.
0:02:48,0:03:14,"Ali najneugodniji, najtužniji evo trenutak mi je bio kad jednom u Zagrebu ispred Vinogradske smo molili i došla je jedna žena vidno uzrujana činjenicom da mi molimo, zapravo doslovno vukući svoju curicu od četiri pet godina za ruku i poručivši nam žao mi je da nisam i ovo pobacila."
0:03:16,0:03:19,"I to je stvarnost, to je stvarnost."
0:03:20,0:03:28,"Takvu osobu sve i da hoću ne mogu osuditi, ali ona nažalost se zatvorila Božjem milosrđu."
0:03:28,0:03:31,Upravo za takve osobe mi najviše molimo.
0:03:32,0:04:07,"Isto tako evo jedan događaj koji mi je uvijek bio podstreku u djelovanju, a dogodio se već sad davne dvije tisuće petnaest nakon jesenske kampanje gostao sam na radio mariji bila je baš lijepa kampanja saznali smo za dosta spašenih života radosna došao sam tamo odgovarao sam na neka pitanja pa eto neka pjesma pa se javi slušatelj pa onda bog vas blagoslovio samo tako nastavite dalje i onda već pred krajem emisije nazvala je jedna žena i prvo smireno počela govoriti onda je počela plakat."
0:04:08,0:04:18,"Rekla je gdje ste vi bili, kad sam ja išla pobacit, tada nikog nije bilo, ja nisam znala, nije bilo vjeronauka, nije bilo ničega, to je bilo vrijeme komunizma."
0:04:20,0:04:41,"I ta mi se slika, evo sjećam se, pogledao sam tu voditeljicu, ona je gledala mene, mi smo šutjeli, nismo znali što bi tada rekli, tada nije bilo ni ovog našeg programa oprostom oslobođene, koji donosi zaista puno plodova i ako ga nekoga znate, ko se ima problema s tim svakako ga uputite jer zaista su veliki plodovi."
0:04:42,0:04:58,"I uglavnom taj slučaj te slušateljice rekla je da je iz Siska, ostavio je na mene baš onako, ja ne mogu dalje šutiti, evo to je moja misija, to je ono što ja moram raditi, to je moje poslanje."
0:04:58,0:05:01,Danas evo obilježavamo i misijsku nedjelju.
0:05:01,0:05:19,"Sjećam se svojih nekakvih onako mladih dana, uvijek kad bi čitao tim misionarima kako su nevještajali Isusa svugdje, uvijek bi mi onako nekako to htio eto, to bi ja nekako, ali naravno to se nikad nije realiziralo."
0:05:20,0:05:27,To jednog dana evo u inicijativi kad sam shvatio nakon kad mi je došlo od Boga zaista evo ovo su tvoje misije.
0:05:28,0:05:47,"Tu pred bolnicom, na ovakvim tribinama, promocijama, kad idemo na župe, posebno kad radimo s krizmanicima, s mladima, kad im govorimo i općenito o svemu, o cijeloj bioetici, o cjelovitosti spolnom odgoju, eutanaziji, umjetnoj oplodnji, o svemu, da možemo utjecat na njih."
0:05:48,0:05:55,"I da su to te neke moje misije, da je to moje poslanje i da ja eto se moram sjediti tu."
0:05:57,0:06:06,"Znači ne moramo ići uvijek kažem na kraj nekog svijeta da bi spasili život, to možemo uvijek učiniti doslovno u svojoj okolini."
0:06:07,0:06:21,"I sjećam se isto evo kad smo bili pred dvije tri godine u Matejnoj župi, kad nam je došao jedan deda i onako ozbiljno nas pitao ali kao zašto ste vi tu, pa kao toga ovdje nema, tu su vjernici, oni ne rade pobačaj."
0:06:22,0:06:32,"Nažalost to je isto najveća laž, pobačaj itekako prisutan i među ljudima koji idu i redovito svakog ponedjeljka na misu."
0:06:33,0:06:45,"Uvijek se sjetim kako je patar Marko Glogović jednom u svojoj jednoj knjigžici napisao primjer jedne cure od devetnaest godina kojemu se javila koja je bila trudna, koja je bila izložena pritiscima."
0:06:45,0:06:54,"Između ostalog njena baka je rekla ja sad idem na hodoćasće u lurd, kad se vratim hoću da je to riješeno."
0:06:56,0:06:58,Netko tko ide na hodoćasće u lurd.
0:06:59,0:07:17,"I da jednostavno evo u tom našem pokretu za život nastojimo, ona je iskoristila izraz to, to nakupjena stanica, slični neki izraz gdje se jednostavno taj novi život koji je život već u trenutku začeća dehumanizira se."
0:07:17,0:07:27,"I onda ako ga dehumaniziramo, ako je to nakupjena stanica onda se to može otstraniti, ali to nije nakupjena stanica, svi znamo da je to novi život jednako vrijedan kao naš."
0:07:28,0:07:47,"I da je to uvijek, to volim istaknuti, da je taj svaki život dar, da je to najveći dar koji smo dobili od gospodina jer je on temelj svega ostaloga što radimo i što činimo, on je osnovni preduvjet i da smo ga kao vjernici dužni na neke načine braniti."
0:07:48,0:08:00,"Evo isto sam spomenuo na misiji, pred nekoliko dana izašao je novi broj pobačaja u hrvatskim bolnicama i baš mi je teško pričati o toj temi."
0:08:01,0:08:14,"Ono kad vi vidite evo recimo da je u Varaždinskoj bolnici prošle godine ubijeno sto osamdeset šest beba i onda si ja mislim a toliki mole, toliki poste, toliki idu pričaju, zagovaraju."
0:08:16,0:08:51,"Jer na prvu se čini da nema usprko svih tih sto šezdeset spašenih života ali ono ne znam evo ali u samo jednoj godini u varaždinskoj bolnici je više beba ubijeno i to je teško ali ja ne sumnjam da ćemo mi na kraju pobjediti i zato smo se svi pozvali evo jednom sam kad smo upravo to kako smo svjedočili sa raznim zajednicama kad smo pozivali ljude onda mi je voditelj jedne zajednice rekao, neću imenovati o kome se radi, kao to nije naše poslanje."
0:08:52,0:09:06,"Ali ja tvrdim da je to upravo poslanje svakog ne vjernika nužno, nego svakog čovjeka, štititi one najmanje među nama, one koji nemaju glasa, oni koji se ne mogu braniti."
0:09:08,0:09:50,"I evo, još bih vam htio reći uvijek, svi mi, evo i to naša Petra govori, imamo isto neko svjedočanstvo koje u ovih deset godina nekako najviše utjecalo na naše djelovanje koje nam je najviše ostalo pri srcu, a to su sva rad, baš ono radosni trenuci, pogotovo za one koji su na prvu, generalo onako ljudski da su situacije bezizrazne, ali Bog se u svojoj ljubavi prema nama i u svojoj milosrđu zna nekad ja kažem čak iskoristiti da polulja našu nevjeru, pa eto, da mi imamo blagoslov vidjeti zaista to spašeno dijete."
0:09:50,0:10:17,"Ja se sjećam evo točno dvadeset osam rujna dvije tisuće šesnaest to je bio početak te naše jedne jesenske kampanje kad se rodila mala Nikka i cijeli taj, za nju je isto bilo teško, teško, ne znam, prvo sumnjam da će se zaista roditi, njena mama isto studentica teška situacija, takve priče obično završavaju negativno, ove je završila pozitivno."
0:10:17,0:10:53,"I sjećam se, bio je prekrasan dan, bio sam u Rijeci na jednoj konferenciji, bila je i Petra, išli smo u Ovran kao časnik dogovoriti naš nacionalni susret, divan, predivan dan, rodila se ni kao ono divno, krasno i tu večer sam šetao riječkim korzom i na jednom balkonu, onako to isto, zašto sam baš tada digao pogled, vidio sam izložen transparent, onaj poprilično blesavi, ali onako moje tijelo, moj izbor."
0:10:55,0:11:17,"I sad si mislim nakon svih tih godina, ono prošlo mi jeza kroz leđa i mislim si sad nakon svih tih godina, zar bi zaista netko mislio da ta mala nika, evo danas ima osam godina, ide u školu, uveseljava svoju obitelj, tu svoju školu gdje god da je, zar zaista misli da bi neko bilo bolje te je završila raskomadana u medicinskom otpadu?"
0:11:18,0:11:21,Pa svi ćemo se složiti da to ne bi bilo bolje.
0:11:24,0:11:52,"I da se upravo zbog Nike i svih drugih tih naših spašenih bebica vrijedi itekako boriti i onda kad je teško, kažem i onda kad na prvu ne vidimo plodove i tu bi isto nekako veličanstvenog Tomislav Ivančića citirao onom putu svetosti, a svi mi trebamo biti sveti, kada on kaže da je svetost sijati, a ne vidjeti te neke plodove."
0:11:54,0:12:02,"Ali možda je to i bolje jer kad bi možda zaista vidjeli sve plodove da bi se mi uzaholili, da bi mislili da mi tu nešto radimo."
