Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:20,"Zahvalna sam Gospodinu Bogu, Stvoritelju, Darivatelu života što je providio u ovom mom dolasku u Zagreb da dođem danas pred vinogradsku bolnicu, da mogu ovdje biti dio molitelja, dio Božjeg naroda koji se bore za one koji nemaju glasa, koji se bore za nerođene."
0:00:21,0:00:38,"Tu smo pred vinogradskom, molimo, zahvaljujemo Gospodinu za život, za svaki nerođeni život koji je spašen, ali isto tako vapimo u molitvi za svaki još nerođeni život da se spasi jer svaki život je dragocen u Božjim očima.."
0:00:38,0:00:47,"Svaki život je čudesno stvoren, darivan i proslavljen u svemogućem Bogu."
0:00:49,0:00:51,Radostna sam i zahvalna što sam ovdje.
0:00:52,0:01:03,"Prije 22 godine nije bilo molitvenih inicijativa, nije bilo nikoga tko će ti reći dođi, nemoj to učiniti."
0:01:05,0:01:10,"Dijete je dar, dijete nije samo to kako su meni govorili."
0:01:10,0:01:14,"Prije 22 godine, kada sam nosila prvi put život, rekli su to je to."
0:01:16,0:01:25,"I možeš abortirati, ali abortus nije ubojstvo, abortus nije grijeh jer dijete još to nije još živo do dvanaest tjedna."
0:01:26,0:01:36,"To je bilo sve laž kneza ovoga svijeta, laž Sotone, laž onoga koji se najviše bori u ovoj dolini smrti za nerođeno dijete."
0:01:38,0:01:54,"Zato sam danas beskreno zahvalna što sam došla ovdje moliti sa četrdeset dana udrugom za život, moliti, činiti za one koji nemaju glasa, za one najmanje, za one koji ne čuju, ne vide, ali žive."
0:01:54,0:02:05,"Od prvoga dana začeća oni žive, oni dišu, oni su stvoreni, oni imaju organe, oni imaju osjet, oni su Božja djeca kao i svi mi."
0:02:08,0:02:33,"Prije dvadeset dva godine učinila sam tri abortusa ne svojom voljom bila sam primorana nitko nije rekao grijehe rekli su idi bivši dečko tada rekao je idi moraš to učiniti da vam je kuverto od dvije tisuće kuna rekao je ovdje ti je bolnica uđem Uđi unutra, doktori sve znaju, samo kažu svoje ime, presime."
0:02:34,0:02:44,"Sjećam se prvi put ležala na tom krevetu, plakala sam i sestra je rekla: Ali vi to ne trebate."
0:02:45,0:02:49,"A ja sam pogledala i rekla: Ali ja to moram, nemam izbor."
0:02:51,0:03:05,"Dijete nije naše tijelo, ima svoje tijelo, ima svoje srce, svoje ruke, svoje noge, svoje organe, svoje osjećaje, svoj identitet, dijete."
0:03:06,0:03:06,Božjeg.
0:03:07,0:03:09,Ima svako dijete u utrobi.
0:03:10,0:03:24,"I zato danas, svim srcem, 13 godina, oslobođena, ozdravljena, iscijeljena u Božjoj ljubavi, milosti, u Njegovoj dobroti i pravednosti, svjedočim i svjedočit ću do posljednjeg dana moga života."
0:03:26,0:03:32,"Borite se za nerođene, borite se za one koji nemaju glasa, borite se za one koji nemaju cijene."
0:03:33,0:03:36,"Jer život Božji ne košta, on nema cijenu."
0:03:37,0:03:45,"Na meni košta ovaj kaput, na meni bilo što na ovom svijetu košta, u ovoj dolini sv suze, ali dijete nema cijenu."
0:03:46,0:03:49,"Život djeteta je neprocijenljiv, savršen boži dar."
0:03:50,0:03:57,"Borite se, borimo se za nerođene, borimo se za one koji su najmili, a koji su najnježniji."
0:03:58,0:04:00,Nema ljepše od mirisa djeteta.
0:04:01,0:04:10,"Miris djeteta je, vjerujte mi svjedočim, ja sam majka petero djece na zemlji do sada i Bogu hvala im 40 godina."
0:04:10,0:04:14,"Ako je Bože volja, bit će još djece i petero djeteta na nebu."
0:04:15,0:04:19,"Imala sam tri abortusa, dva spontana i žao mi je poradite toga."
0:04:20,0:04:29,"Ali Isus je išao na križ, ispovijedala sam se, pokajala sam se za svoje grijehe, predala je Gospodinu i danas činim zadovoljštinu za to grijehe."
0:04:30,0:04:46,"Zadovoljštinu tako da sam otvorena životu, zadovoljštinu tako da sam otvorena milosti Božje za otvorenošću života, zadovoljštinu tako da molim za nerođene, da činim za nerođene, da postin za nerođene i da svjedočim za nerođene, za one koji nemaju glasa."
0:04:47,0:04:56,"Zato je ti, dragi brate i sestro, budi onaj koji će dati svoj glas za one koji nemaju glasa, za one koji se ne mogu boriti, ali koji su žedni."
0:04:57,0:05:04,"moje borbe, tvoje borbe, naše borbe, za sve mogućeg Boga, stvoritelja, darivatelja i gospodara života."
0:05:04,0:05:06,"Idemo za Krista, idemo za nerođene."
0:05:07,0:05:08,"Amen, aleluja."
0:05:10,0:05:20,"Simona, kaže nam svoje promišljanje o ljepoti majčinstva."
0:05:22,0:05:33,I što bi ti sada iz svoga srca iznijela upravo za trudnice koje u ovome trenutku dvoje?
0:05:34,0:05:44,"Koje u ovome trenutku donose odluku za pobačaj, ili ih u ovome trenutku netko prisiljava na pobačaj?"
0:05:45,0:05:57,"U moj doba nisam imala nikoga tko me opominjao, nitko me ohrabrivao za život, nitko me poticao da se otvorim životu."
0:05:58,0:06:03,Ta kultura smrti bila je izuzetno jaka oko mene i u meni.
0:06:03,0:06:07,Živjela sam u Crnilu i ta tama me je preuzala u konačnici.
0:06:08,0:06:09,Ali gospodin.
0:06:10,0:06:18,"Imao je plan za mene kao što ima plan za svaku ženu, za svaku mladu djevojku, za svaku trudnicu i majku."
0:06:18,0:06:22,"I kaže, neboj se, ja sam tu s tobom u sve dane života toga."
0:06:23,0:06:27,Nema toga što Gospodin naš stvoritelj ne može okrenuti na dobro.
0:06:28,0:06:46,"Često svjedočim, ako je moj život, koja sam živjela u mrtvilu ovoga svijeta, u tami grijeha, ponora, zla, grijeha, okultnosti, ovisnosti, abortusa, a većinoma grijeha, došli su u moj život radi grijeha abortusa."
0:06:47,0:07:01,"Kada sam učinila abortuse, u mene je došao izuzetan zloduh, kulture smrti, LGBTQIA, ovisnosti, tableta za smirenje."
0:07:01,0:07:05,Ja nisam mogla spavati bez da sam uzela tabletu za spavanje.
0:07:05,0:07:09,"Svaki dan bio je u ovisnosti od droge, bulimije, nemorala."
0:07:10,0:07:17,"Htjela sam bježati, bježati od same sebe, bježati od odmorstva svoje djece, ali nisam mogla pobjeći."
0:07:18,0:07:22,"I kome je na kraju našao Isus, naš uskrsli Krist?"
