Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:06,Ja kroničeš me sve ga i poznaj.
0:00:09,0:00:29,"Šumovi u ti si sazao, krilumacino, svatina, u tvojim zvanim se ti planira, pa mu da ide mu duha tvoja."
0:02:11,0:02:12,Hvaljeni su si Marija.
0:02:14,0:02:30,"Preda ga vraća, preda ga je sestre, došao je dan, došao je povijesni trenutak za Sisačku biskupiju, za grad Sisak i okolicu i za apostolat za život u Hrvatskoj."
0:02:32,0:03:12,"Bio sam ugodno iznenađen i pod vidnim emocijama kada me je biskup Vlado Košić nazvao ove godine čini mi se krajem veljače ili kroz ožujak, kazavši da želi apostolat za život u Sisku na način da koristimo kuću i upotrijebimo sve što je moguće da da trudnice u Sisku, trudnice u okolici, trudnice i šire imaju dostojanstvene, adekvatne uvjete za život."
0:03:13,0:03:26,Ova kuća je dom za brzi prihvat trudnica u nevolji i centar za svakodnevni rad našeg apostolata.
0:03:27,0:04:03,"Na katu majke koje su odbačene samo zato što su donijele odluku za život, imat će priliku nekoliko tjedana, pola godine biti u miru, a naš će biti zadatak u tom periodu osigurati sve da majka može izaći iz kuće u novi prostor koji će joj biti stalno boravište ili ćemo učiniti nešto što smo već i činili prije, pomiriti obitelj s majkom i majkom s obitelji."
0:04:05,0:04:25,"Mislim da imamo iskustva, plodovi i rezultati rada su prepoznati, zato je biskup Vlado sa svojim svećenicima i suradnicima velikodušno otvorio i na ovaj način vrata biskupije."
0:04:27,0:04:40,Želim još kazati da će u ovome utočištu utjehu nalaziti majke i očevi ranjeni namjernim ili spontanim pobačajem.
0:04:41,0:04:53,Naša udruga već godinama provodi program za iseljenje rana pobačaja kod žena oprostom oslobođene i program za iseljenje rana pobačaja kod muškaraca iseljenje očeva srca.
0:04:54,0:05:08,"Preko tristo pedeset žena prošlo je naš program i sto postotni učinak je kada govorimo o duhovnom iscjeljenju, pomirenju sa sobom, pomirenju sa djetetom."
0:05:09,0:05:18,"I moram priznati veoma mali broj muškaraca prolazi program iscjeljenja očeva srca, ali taj broj sve više raste."
0:05:18,0:05:26,To znači da će i u ovoj kući muškarci i žene imati tu vrstu pomoći.
0:05:27,0:05:38,"Također župnici će mlade I kandidata za krizmu, pa i onu malenu djecu, kandidata za prvu pričest, dovoditi ovdje."
0:05:39,0:05:47,"A naš će zadatak biti govoriti toj djeci i mladima o predlačnoj braćoj ljubavi, čistoći i vjernosti."
0:05:48,0:06:19,"Dijelovat ćemo na uzrok, djelovat ćemo na njihova srca koja će se oduševiti za Isusa, koja će se oduševiti za život u čistoći, koja će se oduševiti imati jednoga dana više djece, a ako će biti pozvani u svećenički ili redovnički stalež, tada će biti oduševljeni kroz svoju službu doprinositi apostolatu za život u Hrvatskoj."
0:06:19,0:06:34,"Biskupa Vlado, trudit ćemo se kroz ovih deset godina opravdati ono povjerenje koje ste nam dali, pokazali, a ako Bog da, nastavit ćemo i nakon deset godina."
0:06:35,0:06:50,Zahvaljujemo od srca divnome bračome paru Marku i Martini koja je i voditeljica s istočnog tima koji su se do kraja dali da bi mi danas mogli ovdje uživati.
0:06:51,0:06:58,Pomogli su nam nam namještati ovu kuću i osigurati one najosnovnije adekvatne uvjete.
0:06:59,0:07:02,Vidjet ćete također da će im bit potrebna i vaša pomoć.
0:07:03,0:07:15,"Oni će biti ti koji će biti u Sisku, oni će biti ti koji će od vas primati i materijalne donacije jer trebamo još riješiti kuhinju i dvije spavaće sobe zajedno sa hodnikom."
0:07:16,0:07:25,Uopće ne sumnjam da ćete se javiti rado sa srca kako bismo zaokružili ovu fantastičnu priču za život.
0:07:26,0:07:41,"Martina molim te da kažeš koju riječ prije nego što će se okupljenima kratko obratiti i do predsjednica udruge Petra Milković, jer ona je najbolja kada su u pitanju ove operativne stvari."
0:07:42,0:07:45,"Ups, pao nam je i ovaj, polako."
0:07:46,0:07:48,"Nismo ni započeli radom, već je pao."
0:07:50,0:07:53,"Sad će neki reći: To je znak, nemojmo, idemo radosno."
0:07:54,0:07:56,"Evo Martina, dođe naša."
0:07:57,0:08:01,"Hvaljeni si Marija, od srca vam hvala što ste došli."
0:08:01,0:08:03,veličati ovaj predivan dan.
0:08:04,0:08:10,Zahvaljujem posebno našem dragom biskupu što nam je odijelio kuću da imamo centar za život.
0:08:12,0:08:21,Jako sam sretna i zahvalna Bogu na ovome jer vjerujem da je to plod molitve ispred bolnice u Sinjsku gdje već molimo preko deset godina.
0:08:23,0:08:36,"Znamo za spašene živote i nema ništa ljepše nego kad znate da se rodila beba koja se inače ne bi rodila, zahvaljujući žrtvi i trudu i molitvi i božjim milostima."
0:08:39,0:08:55,"To je jako teška borba, kušnje su velike, ljudi je malo, ali ja se nadam da će i ovaj centar malo probuditi ljudske duše i srca da se i oni pridruže ovoj borbi."
0:08:56,0:09:00,Jer svaka beba je najdragocijenija i što nam Bog daruje na zemlji.
0:09:00,0:09:00,Hvala lijepo.
0:09:00,0:09:01,Hvala lijepo.
0:09:01,0:09:01,Hvala lijepo.
