Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:09,0:00:12,"Hvala li nisi Marija, dragi gledatelji i dragi prijatelji."
0:00:12,0:00:23,"Dobrodošli u prvu epizodu Ad Deum podcasta, mjesta gdje kroz razgovore, svjedočanstva i riječi zajedno kročimo na put prema Gospodinu."
0:00:23,0:00:43,Evo prije samog početka želio bi se zahvaliti ponajprije Drago Bogu koji nas je vodio kroz svaki korak ovog puta i zahvaliti za poticaj i mogućnost da se uopće bavimo ovim projektom gdje je jedna stara ideja doživjela novu realizaciju.
0:00:43,0:00:57,"Evo zahvalni Bogu za njegovu milost i ljubav na mogućnosti za ovaj projekat, za ovaj podcast jer bez njegove milosti i ljubavi ništa ne bi bilo moguće i uopće ne bi imalo nekog smisla."
0:00:57,0:01:12,"A želio bih se zahvaliti i svim ljudima koji su nam na bilo koji način pomogli u realizaciji ovog projekta, a vas bi dragi gledatelji pozvao da se pretplatite na naš YouTube kanal i da nas zapratite na društvenim mrežama."
0:01:12,0:01:23,"ako vam se svidi da podijelite i drugim, tako da ovaj projekat, ovaj podcast dopre do što većeg broja ljudi kako bi ova ideja mogla rasti."
0:01:24,0:01:41,"Evo, a povodom prve epizode pripremili smo vam i jedno iznenađenje, ali to ćemo iznenađenje ostaviti za kraj videa, pa nemojte nigdje ići, i evo, ako vam se ne da gledati, onda pobrzajte na kraju, ali evo, ima jedno iznenađenje, ali iznenađenje ćemo na kraju."
0:01:43,0:01:47,Ad deum znači prema Bogu i to je ono što želimo.
0:01:48,0:02:11,"Mi sami ovdje nismo bitni, nismo toliko važni, već želimo da kao što se mi koristimo ovim ovdje mikrofonima, da se gospodin koristi nama i svim gostima koji će nam dolaziti, da se nama koristi kao svojim mikrofonima, da njegova riječ dopre do srca, pa evo nadamo se brojnih ljudi."
0:02:12,0:02:24,"Kroz svaku epizodu želimo približiti srca, probuditi čežnju u ljudima, ohrabriti duše, potaknuti, pokazati da vjera i danas živi kroz ljude."
0:02:25,0:02:44,"A evo upravo zbog toga danas mi je posebna čast i zadovoljstvo što u prvom epizodi s nama sjedi jedan Franjevac, svećenik, pastir, duša, ako bi on možda za sebe rekao prije čoban, nego pastir, koji je upravo nedavno i objavio svoju knjigu, Franikola Juršć."
0:02:44,0:02:46,"Franikola, hvala ti Marija i dobrodošao."
0:02:47,0:02:50,"Vas da je s Marija, dobro vas našao, hvala vam na pozivu."
0:02:50,0:03:01,"Unaprijed se ispričavam što možda moje ime neće privući toliki broj gledatelja koliko je možda privukao neko drugo ime, ali evo Bože moj, neko se mora početi ono što si rekao na početku."
0:03:01,0:03:11,"u uvodu da želiješa se Bog koristi nama preko ovog podcasta, bilo gosti, bilo tebe kao voditelja ili oni koji su u pozadini."
0:03:12,0:03:29,"To sam molio putem do ovdje da se ta stvar dogodi na ovom snimanju, da kažem riječ ne koja je meni možda laka, lijepa i draga, nego ona koju je Bog zamislio da kaže neko drugo, tako da vjerujem da će se to nešto i dogoditi u tom smislu jer molio sam ja, nevrijedna Bog obojicu nije čuo."
0:03:29,0:03:32,"Pa evo neko se mora početi sada, dobro je pregledati ćemo vidjeti kasnije."
0:03:34,0:03:39,"Pa evo sad ako bude barem pregledak koliko je za početak., prodani knjiga neće nico biti loše."
0:03:40,0:03:42,Možemo za početak odmah o knjig.
0:03:43,0:03:44,Šta te zanima?
0:03:45,0:03:47,"Čuo sam da su već dva izdanja otišla, je li to istina?"
0:03:48,0:03:54,"Ostalo je 80 knjiga što sam ja uspio vidjeti gore u Dubnu, ostalo ne znam da ima igdi."
0:03:54,0:03:57,"U Pozoruću odavno nemamo u Mostaru, isto nije odavno."
0:03:57,0:04:02,"Ne znam kako stane tu u širokom, ali znam da ono što ima u Dubnu je da je to vrlo mali broj."
0:04:04,0:04:05,Pripremali ste ovo izdanje?
0:04:05,0:04:06,Pa valjalo bi.
0:04:07,0:04:13,"Sad se zovana kriz mi pričasti i kaže da dobro ide tada, pa bi trebalo, ali o tome ne odlučujem ja."
0:04:13,0:04:15,"ja, nego izdavač prakuća."
0:04:15,0:04:19,"Tako da oni po svoje volji rade, meni je to apsolutno."
0:04:19,0:04:20,"Ide za poklone, tako se ja."
0:04:21,0:04:25,"Kupio odmah tri knjige, žena me gledao tri knjige."
0:04:25,0:04:27,"Nisam se, tri men, dvije se zapoklun."
0:04:27,0:04:32,"Pa evo, ja sam očekivao da je takav, nekakav vodasi tu brojku."
0:04:33,0:04:34,"Nije u snobima, nije u snobima."
0:04:34,0:04:39,"Mi kad smo razgovarali o prvom izdanju, oni su rekli 500 komada."
0:04:40,0:04:42,"Aha, ja sam mislil, čovječe, 500 komada."
0:04:42,0:04:47,"To je velike to broj, nije to 500 knjiga, čovječe, to je knižnica nekome čitava."
0:04:48,0:04:49,"Ja, konta mi to oče je puno."
0:04:50,0:04:58,"Prv niz prošla tri dana, ove govore nemate više knjiga, trebate tiskati nove, šta je bila nema, u četvrtak smo je stavili tri godine, u ponedljak nema, kako nema?"
0:04:58,0:05:01,"I tiskali nove, koliko ćemo sad, sad ćemo tisuću."
0:05:02,0:05:04,"Konta mito je sad puno, kad sagledam nema nitoga."
0:05:05,0:05:09,"Tako da ja sam, ne mogu reći oduševljen."
0:05:11,0:05:27,"Nisam očekivao ni takvu potražnju, ni toliko možda lijepih riječi i komentara na osnovu pročitanoga, ni jednostavno ono, išla sam u to bez očekivanja, bilo kakvih pa i na sami broj prodanih.ih knjiga, odnosno koliko je knjiga sve došla."
0:05:28,0:05:29,Do kojeg je dijela svijeta došla?
0:05:30,0:05:33,"Iz Kanade, ali ja ležim u Australiji, u Srbiji, ne znam."
0:05:33,0:05:34,Ja sedam u Švicarskoj.
0:05:35,0:05:42,"Glavno, čujem da ih ima svugdje i ljudi se jave, došla je do mene, da javljaju komentare, da imaju neke slobode."
0:05:42,0:05:48,"Tako da iznad svih mojih očekivanja, jer nisam se tome nadala, nisam zbog toga to radila na kraju krajeva."
0:05:48,0:05:50,"Evo, kako je uopće došlo do ideje za knjigu?"
0:05:51,0:05:52,Nije moja ideja.
0:05:52,0:05:54,To vesti odmah reći da nije moja ideja.
0:05:56,0:06:13,"Prvi put je se ta ideja spomenula neko izdaljega, Jožak sam bio Bog.oslov u Zagrebu, dok sam studirao na teologiji, prijatelji gore s kojima sam radio, odnosno volontirao ured za pastoral Mladi i Zaborška najbiskupije, su spominjali zašto ne bi onio voset, tvoje stavili u knjigu."
0:06:13,0:06:14,To je bilo davno.
0:06:15,0:06:17,"Ja glupo sam radio, šta vam je."
0:06:17,0:06:27,"Nema šanse, nema potrebe za tim, jer čitam knjige drugih ljudi i glupo mi je, meni je nepošteno da uz takva imena bude negdje moje ime."
0:06:27,0:06:33,"Ja se tu ne vidim, oprostite, molim vas, ali kad ja umrem, znate što hoćete dok sam ja živ, to nemojte raditi."
0:06:33,0:06:36,"Ovdje stoji Ivan Pavao, drugi, Racing, Franikola Još."
0:06:36,0:06:40,"Može sačuvati, možda da si pa pa postati ne da ga pošalja."
0:06:41,0:06:47,"Uglavnom, na te to nije bila moja deterazna svotkhrava o tome, bez problema sam onda promijenio temu i to je to."
0:06:47,0:06:50,"Dočekala me ista rasprava kad sam došao na Humac, na Župu."
0:06:51,0:06:55,"Hrmaštu spomnjali isto, da je pa razmisli, pa gore pa dolje."
0:06:56,0:06:57,Nema šanse.
0:06:57,0:06:59,Jednostavno ne vidim sautame.
0:07:00,0:07:02,"Kad mi neko to spomene, srce mi je teško."
0:07:02,0:07:03,Nemogu i gotovo.
0:07:03,0:07:09,"I kad sam došao u Dubnu, ja sam kontra toče, ljudi su, to se u Dubnu neće ni spominjati."
0:07:09,0:07:10,"Nisi otišao u Dubnu, ja sam."
