Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:12,"Hvaljeni su si Marija, dragi gledatelji, dobrodošli u novu epizodu AdScore podcasta."
0:00:13,0:00:26,"S nama je večeras jedan pravi multipraktik, čovjek koji do kraja cijedi svoje talente i iskorištava ih maksimalno, glumac, glazbenik, umjetnik, ali iznad svega toga muž i otac."
0:00:27,0:00:32,"Evo inače moj je dobar prijatelj Pere Ranović, Pere, hvaljeni si Marija i dobro nam došao."
0:00:32,0:00:37,"Najviše je bilo hvaljeni su si Marija, hvala ti na pozivu i veliki pozdrav."
0:00:37,0:00:39,pučanstvu s one strane ekrana.
0:00:39,0:00:40,"Evo, kako si za početak?"
0:00:40,0:00:41,Kako je stanje u Splitu?
0:00:42,0:00:43,Se ne kao luja sad poharala?
0:00:44,0:00:46,"Ajmo, meni bi bilo ko otkrivenje."
0:00:46,0:00:50,"Kada skoro zare lisus dolazi i to niti znaš, to svejedno."
0:00:50,0:00:54,"Ja govorim da mi mali nije, baš smo se spremali za vrtić."
0:00:55,0:00:58,"I on je nešto usporio, bio je jako spor, metiljan."
0:00:58,0:01:04,"Ja govorim, stipa, hajde pošuri, ja govorim, pa oblačiš se, ja govorim zadnjih 20 minuta."
0:01:04,0:01:09,"Sve što krene pa stane, pa odjuri s druge strane, a on, ja ovo nije, šta je razvukao uvoliko."
0:01:10,0:01:13,"Ja, tamo smo se mi spremili da ćemo."
0:01:13,0:01:14,izaći vanka.
0:01:14,0:01:18,"To je u sekundi došlo, samo je doletilo, sve se zasivilo."
0:01:18,0:01:20,Ja sam vidio te pijanice u grobima.
0:01:21,0:01:23,"Vrtilo je sve, glavna bandera se trese ovako."
0:01:24,0:01:34,"Ja poslije računa da niza kad sam vidio tu ima taj dolje u Gundoliću i taj drvored koji su debla, ogromna, pucala ako je padala po cesti."
0:01:34,0:01:48,"Ja sam sračuna da je on bio ažuran s time i da je bio brži i da je me poslušao, da je pratio moje tempo, mi bi se točno zatekli u tom drvoredu."
0:01:48,0:01:52,"drvo redo, kada se to lomilo, kada je to padalo po cesti."
0:01:53,0:02:03,"Bože, tako da je ovo poruka svima, sve ova tema, kada se usporavaju ovi ritardanda u životu, nemojte biti frustrirani, sve s razlogom."
0:02:03,0:02:04,Sve s razlogom.
0:02:04,0:02:06,Tko zna od čega naš vlast.
0:02:06,0:02:09,"Upravo to, ali evo Bogu, hvala, nije bilo žrtava."
0:02:11,0:02:24,"To je stvarno čudo Božje, kada smo vidjeli koje su to štete i koliko su to stabla od 10 plus metara sa ogromnim debljima, to je sačupalo van."
0:02:24,0:02:26,"To je nešto dugo trajalo, ali bilo je silovito baš."
0:02:27,0:02:29,"Kažu, nitko ne pamti to, ali uslijedom."
0:02:30,0:02:35,"Evo, jedna tema, neizbježna, trenutno aktualna."
