Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Brak i veza i komunikacija puno toga se uči tek kad dođeš u brak, a da ne kažem kad dođu djeca."
0:00:07,0:00:09,"Mislim, ni svjesna šta je sve o tebi dok ne dođu djeca."
0:00:09,0:00:18,"Postoje opet neke stvari koje se u vezi trebaju prije iskomunicirati, financije, gdje ćemo živjeti, možemo li živjeti s roditeljima i slično stvari."
0:00:18,0:00:21,"Pa jako je važno, mnogi ulaze i misle kao to ćemo riješiti usputi."
0:00:22,0:00:27,"Ono razmišljaš si kao, dobro, to sada ono ima naviku, ne znam, biti rastrošen, ne poslije će se promijeniti."
0:00:27,0:00:29,"Ne, poslije će se samo skrivati bolje."
0:00:29,0:00:35,"To su prevelike stvari da ih se ne provjeri prije, da ne pričamo o tome prije, da su to teme o kojima trebamo govoriti, kako ćemo odgajati djecu."
0:00:35,0:00:38,"No jedan stil života ima ona, jedan stil života imaš ti."
0:00:38,0:00:42,"Ne znam, navikuje se da svaki put pospremi za tobom netko."
0:00:42,0:00:43,Šta će biti ona sada?
0:00:43,0:00:46,Je li će ona prihvatiti to i da okolo za tobom i čisti sve?
0:00:46,0:00:47,Je li će reći je stariji?
0:00:47,0:00:48,Koliko ti godina imaš?
0:00:48,0:00:52,"Što bih htio postići kao otac, kakav odnos možda želiš uspostaviti?"
0:00:52,0:00:53,"Sjećam se, vozili smo se u avtu."
0:00:54,0:00:56,Ja sam baš u jednom trenutku onako molio.
0:00:56,0:00:59,Vraćali smo se iz vrtića i onako rasplakao sam se.
0:00:59,0:01:07,"Dok sam govorio, rekao sam još i ona još, a želim ti više od svega u životu da slijediš Isusa i da njega ljubiš više od mene."
0:01:08,0:01:09,To će ih spasiti.
0:01:09,0:01:10,Ja neću.
0:01:10,0:01:10,Ja ne mogu.
0:01:10,0:01:11,Ja nisam spasitelj.
0:01:11,0:01:14,Ja ih mogu povezati sa spasiteljem.
0:01:14,0:01:18,"Ja mogu pričati o njemu, ali ja ih ne mogu spasiti, samo on može."
0:01:30,0:01:34,"Hvala ti Marija, dragi prijatelji, evo nas u novom podcastu."
0:01:35,0:01:44,"S nama je danas jedan suprug, otac, evangelizator, voditelj zajednice EHO, odnosno EHO projekta, imenjak Marko Matijašović."
0:01:44,0:01:46,"Marko, hvala ti Marija i dobro nam došao."
0:01:46,0:01:47,"Uvijek je, hvala na pozivu."
0:01:48,0:01:49,Kako si započet?
0:01:49,0:01:49,Za početak.
0:01:49,0:01:50,"Pa evo, dobro, uzbuđeno."
0:01:51,0:01:52,Vidjet ćemo kako će proći ovo.
0:01:52,0:01:58,"Evo, sama si donio i svoju novu knjigu, slomljen i alblagoslovljen."
0:01:59,0:02:01,"Evo, frisko je još, sasvijeti print."
0:02:01,0:02:02,Jelo.
0:02:02,0:02:03,Jučer sam ju pokupio i osjetio.
0:02:04,0:02:06,"Evo, o čemu se radi u knjizi?"
0:02:08,0:02:25,"Pa ideja knjige je zapravo 14 poglavlja križnog puta, to je 14 postaja križnog puta, tako su i raspoređena poglavlja i na neki način kroz svako poglavlje sam provokao neku temu šta mi učimo kroz taj križni put i gdje možemo mi biti iscijeljeni u tom križnom putu."
0:02:25,0:02:29,I svako poglavlje ima sliku na početku.
0:02:29,0:02:35,"Jer ideja zapravo za te postaje bila kad smo bili u Marii Bistrici, tamo kod Zagreba."
0:02:36,0:02:46,"Prolazili smo križni put sa djecom i supruga je rekla da idemo probati križne postaje, ali da objašnjavamo ovom starijem sinu koji ima pet godina."
0:02:47,0:02:48,I da on razumije.
0:02:48,0:02:58,"I onda kako smo išli svako cik-cak ovu postaju, zapravo morao sam razmišljati o postavama kako da njemu objasnim, kako da on razumije."
0:02:59,0:03:11,"I ono kad je prošlo neko vrijeme., nisam to ni doživio u tom trenutku, nego nakon nekog vremena skužim da zapravo kad razmišljam o tome, to je bilo moje neko najdublje iskustvo križnog puta kojeg sam doživio."
0:03:11,0:03:18,"Jer sam ga gledao kroz oči djeteta, morao sam na taj način shvatiti kako tu veliku istinu objasniti njemu."
0:03:18,0:03:22,I zapravo uvijek je bila poanta ono što želim njemu reći.
0:03:22,0:03:37,"I kad mi je ona dala ideju zapravo da, to jest htio sam pisati knjigu, ali kako da kroz poglavlja to razlomim, kao pa provuci te križne postaje, napravi to i rekao pa da, mogao bih i onda zapravo na svakom poglavlju je slika."
0:03:37,0:03:56,"križne postaje i oca sa djetetom koji gleda tu križnu postaju i onda provučen jedan dio koji ja govorim njemu i ono što želim njemu reći na neki način je ovo knjiga i konekva oporuka, konešto što želim da pročita kad će razumjeti malo bolje i da vidi ono što mu želim reći, da ono uči kroz to."
