Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Oni kažu ne vjeruješ pa te Bog nije ozdravio.
0:00:03,0:00:06,"I nameću ljudima, nemaš dovoljno vjere i Bog te ne želi ozdraviti."
0:00:06,0:00:08,Dugoročno znaš šta to za njih znači?
0:00:08,0:00:09,Smrt.
0:00:09,0:00:10,Pogotovo osobi koja je u depresiji.
0:00:10,0:00:14,"Ja sam bezvrijedan, ja ne vredim, ja sam loš, ja stalno radim gluposti."
0:00:15,0:00:19,I znači ti sa time potvrđuješ već njegovu misao koju on ima o sebi.
0:00:20,0:00:21,I to je za njega smrt.
0:00:21,0:00:23,I prisutno je to generaliziranje.
0:00:23,0:00:27,"Kao ako je jedan svećenik nešto napravio, svi su takvi."
0:00:27,0:00:29,"Ja se s tim ne bih zamaral, znaš zbog čega?"
0:00:29,0:00:32,Zato što mi to pokazuje razinu nečije svijesti.
0:00:32,0:00:38,"Jer zdrav čovjek, zdrava osoba će jasno razdvojiti pojedince od skupine."
0:00:38,0:00:40,"Kakav otac, takav sin, čuo si i to?"
0:00:41,0:00:43,"To smo mi ljudi, ali to je primitivizam."
0:00:43,0:00:52,"Odnosno, ne želja i ne volja da bi stvarno upoznao nekoga, nego ti je puno lakše zalijepiti etiketu i ostati na distanci."
0:00:53,0:01:10,"Tada sam dobio snažan napadaj panike i otrčio sam brzo do farmacije i tražio lijek, ali prije nego što ću zatražiti lijek ispred mene je bio taj čovjek koji je tražio antidepresiv i plače i moli ženu, molim vas dajte mi taj antidepresiv, a ona kaže gospodine nemate dovoljno novaca."
0:01:11,0:01:13,"Sad da njega ne bih uvrijedilo,."
0:01:14,0:01:23,"Da mu ne bih rekao, evo, imajte novce, uzmite si, nego ja pokušao to napraviti kao da je njemu ispalo iz džepa i bacio sam taj novac iza njega dok je on hodao."
0:01:23,0:01:30,"Ja kažem, gospodine, ispalo vam je i on kaže, pogleda me onako u oči, kaže, pipa se po džepu, a nije to moje."
0:01:30,0:01:33,"Je i vama je ispalo, evo mene samo pogleda."
0:01:42,0:01:47,"Ovdje nisi Marija, dragi prijatelji, dobrodošli u novu epizodu našeg podcasta."
0:01:48,0:02:11,"Evo, kao što sam i prošli put, na samom početku bih vas volio pozvati da se pretplatite na naš kanal ako još niste, ako vam se sadržaj sviđa, da lajkate, dijelite, komentirate, jer svaki vaš angažman na našim društvenim mrežama, na YouTube, pomaže u većoj vidljivosti kanala, tako da i vi time sudjelujete u širenju ovog projekta."
0:02:12,0:02:29,"Hvala vam na tome, a danas je s nama jedan mladi svećenik Franjevac Kapucin, član Hrvatske kapucinske provincije Svetog Leopolda Bogdana Mandića, trenutno na službi u Rijeci, Framarije Beršić, Framarije hvaljen, nisi Marija i dobro nam došao."
0:02:30,0:02:32,Uvijek je bili hvaljeni i evo još bolje vas naš.
0:02:32,0:02:40,"Evo, ovako mi ove izdalje malo hvatamo kad dolaze u Hercegovinu, jeste lako, češće u Hercegovini."
0:02:41,0:02:51,"Pa dođem, redovito dođem u Međugorje svake godine jednom, dva put, tako da onda svraćam malo po ovim gradovima i selima i tako."
0:02:51,0:02:53,Drago mi je uvijek doći.
0:02:53,0:03:14,"Da, evo, pa evo mogu odmah to pitati jer vezano za vaš poziv, mislim da sam negdje pročitao,o da ste uz gospu vezani, da su liječnici jednom vrijeme bili savjetovali vašoj majci da vas pobaci zbog nekih komplikacija, ali da te ona gospi posvetila."
0:03:15,0:03:24,"Da, ona je dala jedan zavjet gospi i rekla je majko ako ga ostaviš na životu, evo ja ću ti ga dati da ti služi za cijeli život."
0:03:24,0:03:32,"I to mi je tek rekla u drugoj godini, kad sam bio druga godina postulature, već sam ušao u samostan i još mi dotad nije nikada to govorila."
0:03:32,0:03:37,A ja sam tad upao u krizu jednu i prije nego ću ja sam rekao svakako.
0:03:37,0:03:41,"majko, ja ostajem, ali mi je tu ta neka težina."
0:03:41,0:03:57,"I onda mi je povjerila to svjedočanstvo gdje sam ja počeo plakati i tek vidio onog Božji, taj prst, Boži zahvat u svom životu i rekao ima smisla borba, ima smisla nastavi dalje i ići za gospodinom do kraja."
0:03:58,0:04:03,"Da, mislim i to je nekako pravidnost što je na to u biti čuvala tek za taj trenutak."
0:04:03,0:04:04,"Tako je, tako je."
0:04:04,0:04:15,"Ja mislim da je to jedna od važnijih stvari i zahvalan Bogu što je dao tu mudrost da mi nije rekla kad sam bio možda u trenucima kad ne bi to znao shvatiti, ni razumijeti, ni prihvatiti srcem."
0:04:15,0:04:18,"Tako da, evo, to je božji tajming, ja kažem."
0:04:18,0:04:23,"Da, je li onda i iz toga i rodila neka možda veća privrženost majci Božjoj?"
0:04:24,0:04:49,"Pa, uvijek je ta neka privrženost gospi, ono mi smo crkva, mi znamo da bez majke čovjek nije potpun, bez majke ne može biti nikad potpun, tako da je uvijek ta ljubav prema majci nekako i velika i rasla je, tu je ona stalno, ali zasigurno u tom trenu kad je meni majka bila to ispričala, moja, evo, moja krvna majka kad mi je to rekla."
0:04:49,0:04:57,"rekla, onda je mi je to bilo jedno posebno iskustvo i još dodatno me potaklo na pobožnost gospi."
0:04:57,0:05:13,"Ne pobožnost ne mislim samo molit, nego zazivati majku kad si u trenucima i poteškoće i radosti, zahvaljivati, hvala ti majko što si tu, što me štitiš, što pratiš moj svećenički put, ali i prije svećeničkog puta."
0:05:13,0:05:17,"Tako da da, definitivno to utječe i utjecat će, ja vjerujem, do kraja života."
0:05:18,0:05:24,"Dadam se i molim tu milost da gospoda još više ljubi prema njoj, evo to bi volio."
0:05:25,0:05:29,"Kako je nekako i došlo do tog svećeničkog, redovničkog poziva?"
0:05:29,0:05:52,"Mislim da ti imaš i svjedočanstvo, prije sad nećemo toliko u to ulaziti jer toga već ima na internetu, koga zanima može poslati, ali ukratko da si prošao u mladosti kroz depresiju, anksioznost, prisilne misli, da si se s tim borio dosta dugo i kako je došlo onda do svećeničkog poziva?"
0:05:52,0:05:55,Kako su u tom trenutku to tvoji roditelji prihvatili?
0:05:55,0:06:02,"Pa evo, došlo je do svećeničkog poziva još u osmom razredu, ja sam čuo glas koji me pitao želiš li biti mis moj svećenik."
0:06:02,0:06:04,"Prvi put ja sam rekao ne, ja sam to sebi umislio."
0:06:05,0:06:06,Drugi put želiš li biti moj svećenik.
0:06:06,0:06:14,"Ja sam rekao bože ako si to ti znaš da ja bez nogometa, bez žene, bez djece, bez obitelji konkretno ja to ne mogu."
0:06:15,0:06:20,"I treći put opet taj blagi glasić, a želiš li biti moj svećenik."
0:06:20,0:06:23,"I onda sam rekao ajde reći ću da, samo da me pusti na miru."
0:06:24,0:06:29,"To kažem ja držao sam figu, ovako kao da, ali je bilo zapravo u srcu ne."
0:06:29,0:06:36,"Ali ja sam rekao da i u tom trenu me neka posebna ljubav, posebna milost obuzela i palilo me od glave do pete."
0:06:37,0:06:40,"I osjećao sam taj plamen, taj žar, tu ljubav, tu radost."
0:06:40,0:06:47,"Ja bi to opisao kao plamen radosti, plamen radosti je onaj gorući grm, gorija ne izgara."
0:06:48,0:07:26,"Evo, doslovno to sam doživio, ali sam brzo to u osmom razredu zanemario, pustio, ono društvo, loše izlasci, ludorije, tuče, nogomet, sve to te odvede na jedan, taj drugi put, a opet s druge strane, Bog je nekako tu uvijek bio vjeran, uvijek je bio blizu, uvijek je čekao, čekao da se ja otvorim, a to je bio trenutak kad sam se ja slomio, ja sam se slomio u drugom srednjem., zapravo prvi srednji, kraj prvog srednja, ja sam se slomio pod teškim pritiskom, prisiljenih misli, depresije, anksioznosti, gdje više nisam mogao skrivati se od one stvarne slike koja je."
0:07:27,0:07:45,"Ja sam bio na vanj izgledal kao vrlo hrabra osoba, kao vrlo zanimljiva, zabavna osoba, pokretač gluposti u svemu, a onda kasnije u sebi bio dubinski nezadovoljan nekim stvarima koje bi čak i radio jer sam vidio da to nisam ja, da nije bilo dio mene."
0:07:46,0:07:57,"Ali svejedno, ja bih to radio da bih bio prepoznat., vidjen, da bi me netko pohvalio ili možda čak ne pohvalio, koliko ono priznao na način čak i kroz tu glupost i ludost."
0:07:58,0:08:18,"I malo po malo, evo, nisam više mogao podnijeti taj pritisak i onda sam jednostavno završio i u bolnici i na tabletama, ali tamo ja tamo je počela otvarati jednu drugu dimenziju unutar mene, neku svjetlost koja se manifestirala na način da sam ja malo po malo bio sve otvoreniji za pomoć."
0:08:19,0:08:38,"I tako dolazim do prvih knjiga, kršćanskih knjiga, teoloških knjiga, ali više teoloških, rekao bih, molitvenih knjiga od Tomislava Ivančića, zvijezdana Linića i ne znajući ko su ni što su, ali njihove riječi u tim trenucima i u bolnici prvom srednje su me vodile i to mi je pomoglo."
0:08:38,0:09:21,"Do nekog trenutka, naravno, iziđeš iz bolnice, opet kreće nekako taj stari život, moraš se vratiti obvezama, opet tablete su počele činiti to da mene je bilo sve manje i manje strah, sve više sam se opet prepuštao radio neke stvari koje nisam ni sam htio i tako do jednog trenutka kad sam otišao na jednu svetu misiju kod pokojnog zvijezda na Linića i tu sam doživio živog Boga, gdje je Bog bio stvarno živ, prisutan na način na koji ja to nisam mogao ni vjerovati, da moje oči kaže sada su moje oči vidjele spasenje moje, evo sad mogu i umrijeti, sad mi više nije strah ničega jer sam vidio tu ljepotu i dovoljno mi je to u životu."
0:09:21,0:09:28,"To je, ja kažem onaj hvalospjev što govori starac Šimun kada vidi Isusa, sad mogu umrijeti, ne treba mi ništa drugo."
0:09:28,0:09:42,"Evo to je bio taj trenutak gdje sam vidio Božju ljepotu, Božju ljubav iako sam osobno bio u nekom teškom stanju,, kako depresije, tako i moralno u teškom stanju, jer nisam odlazio često redovito na misiju."
0:09:42,0:09:49,"Čak i na tu misiju sam išao pod teškim nagovorom majke gdje je ona molila sine, ajde, bit će dobra za tvoju dušu."
0:09:49,0:09:54,"I evo, gospodin je sve to iskoristio da me privuče u sebe."
0:09:55,0:09:58,Tako da od tad kreće taj moj poziv.
0:09:58,0:10:19,"Naravno, poziv je još dublja dimenzija gdje sam morao ući u molitvu i razlučivati da li nastaviti putem normalnog čovjeka, laika ili ovo ili ono, ali sam bio toliko osjetio tu Božju ljubav da je jedina, jedina, Jedina kategorija koju sam ja htio, Bože ti si meni vratio život, ja ga želim sadarovat, ne postoji drugo."
0:10:20,0:10:48,"Ne vidim sebe u ničem drugom, ne vidim se, iako mi je predivno to biti muž, biti posvećen djeci, obitelji, svemu tome, nogometu i sve to je predivno, ali ti si sto puta ljepši, ti si, ti nadilaziš sve to, to je ono što kaže Isus kad nađeš onaj dragocjeni biser, sve one biserčiće koje svi imaju, a oi idaš ih rasprodaš, dijeliš ih, čak ih i podijeliš, daš drugima neka ih uzmu, a ti uzmeš onaj najdragocjeniji i raduješ se."
0:10:48,0:10:52,"I to je ta usporedba, i to se meni dogodilo."
0:10:53,0:10:57,"Evo, samo bih još volio spomenuti jednu situaciju na koju sam naišao."
0:10:57,0:11:05,"Dok sam se malo pripremao, kad si spomenuo jednu situaciju gdje ni nakon odlaska u samostan ti nisu nestala ta stanja, panika i to."
0:11:05,0:11:11,I u jednom trenutku kad si u ljekarnu otišao gdje si sreo jednog starca koji nije imao novca za.
