Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:14,"Baš sam rekla probudio sam se jutros u dva sata, možda malo trema, malo sve ovo skupa jučer, korizmeni petak, znači ćemo sode, nije klasično srijedočanstvo nego razgovor sa tri prijatelja naš, stram bit."
0:00:15,0:00:17,Gdje ste išli u hlađonicu?
0:00:17,0:00:24,"Ne, ne, ne, ne, nema na ugljen, nema na ugljen, a djetetu treba pomoć da djete bude slobodno."
0:00:25,0:00:28,Dijete tu treba pomoć da se djete razvija.
0:00:29,0:00:35,"A da bi se pomoglo i roditelj se treba razvijati, a to te košta, to roditelja košta, to je žrtva."
0:00:36,0:00:39,Ja bih još kada ste ja za minuti ministra zdravstva i demografije?
0:00:39,0:00:40,"Pa, jeb."
0:00:41,0:00:50,"Meni, matere, bi skroz potonija, govorio bih: šta sam kod matere svoje mlade i reka sam, vidite, svi mi u velikim problemima."
0:00:53,0:00:58,"A moja baba je rekla: čer se, moli Boga."
0:01:00,0:01:01,Samo ti Bog može pomoći.
0:01:02,0:01:10,"A ja mogu slagati nekog drugog, ali ka ja lažem sebe, ka ja samim sobom manipuliram, ali i sa sobom."
0:01:12,0:01:16,"se dugo lagala da sam M veličina dok nisam, na pogore kada sam L."
0:01:16,0:01:19,"I još, i još, i još."
0:01:23,0:01:28,"Dragi svi, dobrodošli u naš jubilarni koji je u broju."
0:01:29,0:01:35,Danas imamo jednog specifičnog gosta našeg dragog Joška Hrvatića koji je misionar u zajednici Čenakol.
0:01:35,0:01:39,"I nemojte sa mnom izgasiti program i reći, aha Čenakolo to je nešto dosadno."
0:01:39,0:01:42,Ovo je zaista tema koja može osloboditi čovjeka.
0:01:43,0:01:44,"Joško, hvala ti Marija."
0:01:46,0:01:47,Kako ti je ovdje u našem studiju?
0:01:48,0:01:49,U društvu me ugodno.no.
0:01:49,0:01:50,A studio nije dobar.
0:01:50,0:01:51,"Studio je, OK."
0:01:52,0:01:54,Ovo smo samo radi tebe montirali.
0:01:55,0:01:55,Hvala lijepa.
0:01:56,0:01:57,To je bilo zahtjevno.
0:01:57,0:01:59,Drvena stolica odla.
0:01:59,0:02:03,"Ovaj, ja znam reći kao imamo tri Hrvati ne ode i jednog Hrvatića."
0:02:03,0:02:05,Koji je onako dva metra imao.
0:02:05,0:02:10,"Da, prije mjesec smo bili pričali, baš jedan detalj možemo odmah spomenuti da imamo u glavi."
0:02:11,0:02:23,"Kako nas danas u društvu često vraćaju u neku prapovijest, tamo preskačući oslobodilački domovinski rat i neposredno nas govore, dajte dijelite se kao društvo, prisjećajte se kako ste se dijelili tamo u 40."
0:02:24,0:02:24,itd.
0:02:24,0:02:40,"To je slična stvar sa ljudima koji dođu u Černakolo pa su svim silama se trude osloboditi onog života prošloga, ali i tu i tamo, vratim se ideja tog života i nekih malih užitaka koji su tada doživljavali iako su bili potpuno pogubljeni."
0:02:40,0:02:43,I to je velika opasnost.
0:02:43,0:02:50,"I sad zamislite da u Černakolo netko dolazi i svaki dan im govori, e, ajde sjeti se kako ti je bilo dobro, sjeti se ovo, sjeti se i nikad se ne bi oslobodili."
0:02:50,0:02:59,Ja mislim da je to dobra slika ako usporedimo naše društvo danas koje je podijeljeno odnosno koje se nasilno dijeli s ovim ovisničkim životom tih ljudi.
0:03:00,0:03:03,"Znači da bi se oslobodili moraš ići naprijed a ne gledati natrag, jel?"
0:03:04,0:03:21,"Ja se slažem apsolutno, apsolutno jer svaka poveznica sa prošlosti koja bira u globalu jedno negativno iskustvo uvijek vraća osobu na negativno iskustvo."
0:03:22,0:03:59,"Tako da je puno puta se događa da momak i djevojka uđu u zajednicu i da uđu u borbu za svoju slobodu jer ovisnost je robstvo i onda se počneš boriti, boriš se krvavo, krvnički ono da bi se izborio i onda kad te netko vraća na to vrijeme negativno gdje si isto borio, ali si se borio tko zna za kakve ideale, tko zna za šta, nisi se borio za svoju slobodu, onda je to pogubno, vrlo pogubno."
0:04:00,0:04:07,I onda na kraju i zajednica sama po sebi koja je jedna realnost koja je puna života gubi svaki smisao.
0:04:07,0:04:15,"Zajednica koja je ono puna svjetla, puna prijateljstva, ljubavi, gubi svoju svrhu."
0:04:15,0:04:17,Vraća se neprestano u Egipat.
0:04:17,0:04:32,"Spomenja se kada osoba sama sebe vraća uglavnom u Egipat, ali puno puta drugi ljudi ti ne daju da odeš u svjetlo, nego te vraćaju u tvoju prošlost da ti kao dokažu da ne možeš ti biti bolji, ti si taj od prije."
0:04:33,0:04:42,"Jer današnje društvo vrlo često pokazuje da ne vjeruje u dobro, kao da ne vjeruje u to svjetlo nego kao ti glumiš sad šta, ti sad došao tamo i počeo si igrati neku ulogu."
0:04:43,0:04:44,I onda je to ono što.
0:04:44,0:04:45,Znamo to kasnije.
0:04:45,0:04:45,Znamo to.
0:04:45,0:04:46,"Da, to je to."
