Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:13,0:00:25,"Gospodine, evo me, evo me gospodine sa svim što ja jesam, pred tobom."
0:00:28,0:00:35,"Gospodine, želim ovo vrijeme provesti samo s tobom, potpuno i jedino s tobom."
0:00:39,0:01:14,"Želim ti reći sada iznova: dobrodošao, dobrodošao u moje srce, dobrodošao u moje misli, dobrodošao u moj život, dobrodošao gospodine, dobrodošao Isuse Kriste, dobrodošao oče moj, dobrodošao od duše sveti, dobrodošao u svoj hran, dobrodošao."
0:01:17,0:01:24,"Dobrodošao u moj dan, dobrodošao duše sveti u moje srce."
0:01:28,0:01:37,"Uči duše sveti još dublje u moje srce, uđi i udahni se potpuno u mom srcu, u mom životu."
0:01:39,0:02:37,"Trebam te duše sveti, trebam tvoju ljubav, trebam tvoju prisutnost, trebam tebe duše sveti, zato dobrodošao., Duše sveti dobrodošao U ovaj hram, u ovaj dom Ovdje nek sve bude po tvojoj, Duše sveti dobrodošaošao."
0:02:42,0:02:45,"Duše sveti, dobrodošao."
0:02:49,0:02:52,"U ovaj hram, u ovaj dom."
0:02:54,0:02:57,Ovdje nek sve bude po tvojoj.
0:02:58,0:03:03,"Duše sveti, dobrodošao."
0:03:08,0:03:10,"Duše sveti, mi te treba."
0:03:23,0:03:48,"Uve dane godine, za zadnju žetvu spremljene."
0:04:27,0:05:04,"Mi te trebamo U ove dane godine, za zadnju žetvu spremljene, duše sveti, mi te trebamo U ove dane godine, za zadnju žetvu spremljene, duše sveti, mi te trebamo."
0:06:35,0:06:44,"Znamo da se bojim, hoću li."
0:06:59,0:07:35,"Uvjerio sam da ti ime tvoje zvaču i gledat gore iz nas svih, valova u tebi mirno staću, tvoja sam."
0:08:15,0:08:28,"Kad krenne strah i dođe slabost, ti ostače moja pobjeda."
0:08:32,0:08:36,Ime tvoje za svaču.
0:08:41,0:08:53,I gledat kore snad svih valova u tebi mirno ostaje.
0:10:48,0:11:02,"Duše sveti, želim te više, želim te više u svakom izazovu mog života, u svakom izazovu današnjeg dana."
0:11:04,0:11:13,"Želim više tebe, duše sveti, duše sveti, ja sam tvoja, ja sam tvoj."
0:11:17,0:11:38,"Predajem ti se, duše sveti, duše sveti, otkrij mi se dublje u mom srcu kao ljubav oca i sina, kao onaj koji me nikada neće ostaviti."
0:11:40,0:11:48,"Otkrij mi se duše sveti, dublje kao istina, kao sama ljubav i istina."
0:11:51,0:12:13,"Duše sveti, otkrij mi se kao onaj koji me savjetuje, otkrij se dublje u mom srcu kao onaj koji savjetuje kada sam u nedvojoumici, kada ne znam odlučiti, kada me strah da ću pogriješiti, da ću iznevjeriti svoj poziv, da ću iznevjeriti tebe."
0:12:14,0:12:17,"Otkrij mi se, duša je sveti još više i dublje."
0:12:18,0:13:11,"Predajem ti svoje srce sada potpuno, duša je sveti posebno u ta područja, u područjima gdje sam sada pred izazovom, pred izazovom da ostanem potpuno tvoja, posebno područja strahova, strahova od pogreške, strahova od budućnosti, strahova od osude, duša je sveti., donesi iznova u mom srcu svoje osvježenje, istinu o meni, istinu da si ti sa mnom, da si ti onaj koji mi pomaže da dobro odlučujem, da si ti onaj koji donosi život s kojim nema mjesta za strah, da si ti onaj koji me kupa svaki dan u ljubavi, koji mi se iznova želiš svaki dan darovati u svakoj situaciji, u svakoj okolnosti."
0:13:12,0:13:18,"Na to bi moje srce svojom ljubavlju duša sveti, natopio ga potpuno."
0:13:42,0:13:56,"Svijesti, napoj srce povjerenje gdje god zoveš, hajde po morima, da hota."
0:13:58,0:14:08,"Ti me voti gdje su najveće dubine, diživi vjeru visine."
0:14:09,0:14:12,Znam da spasitelj je ovdje.
0:14:15,0:14:20,Duša sveti naboj srce povjerenje.
0:14:22,0:14:30,"Gdje koćo vešta ide, krene po morima da hoda."
0:14:32,0:14:35,Ti me voti gdje su najveće.
0:14:36,0:14:41,"dubine, gdje živi vjero visine?"
0:14:42,0:14:46,Znam da spasitelj je ovdje.
0:14:49,0:14:54,Duše sveti na boji srce povjerenje.
0:14:55,0:15:03,"Gdje god zoveš da i da krene po morima, da hoda."
0:15:06,0:15:13,"Ti me poti gdje su najveće dubine, gdje živi vjero visine."
0:16:09,0:16:13,"Gospodine, želimo ti sada dati cijele sebe."
0:16:16,0:16:20,"Dajmo ti, gospodine, svoje dane, svoje snove."
0:16:23,0:16:36,"Dajmo ti, gospodine, svaku svoju težnju, svaku svoju misliao, molim te, gospodine, da budeš u svakoj od njih."
0:16:39,0:16:47,"Daj da ti se toliko možemo dati da kroz svaki dan, kroz svaki trenutak možemo ići sjedinjeni s tobom."
0:16:49,0:17:07,"Gospodine, želimo ti dati sve, u istinu sve: svoje srce, svoje usne, svoje planove, cijelo svoje biće."
0:17:08,0:17:14,"da ti služi, da ti slavi, da slavi tvoje ime."
0:17:17,0:17:20,"Svaki trenutak našeg života, gospodine."
0:19:39,0:20:02,"Cijeli život ti žrtvujem, moje snje planove stavljam na tvoje dlanove."
0:20:04,0:20:16,Evo dajem sve i sad se predajem da te.
0:21:29,0:21:31,"Gospodine, naš život nije naš život."
0:21:33,0:21:38,"Naš život, gospodine, je tvoj, ti upravlja njime."
0:21:40,0:21:45,"Gospodine, tvoj smo i želimo uvijek biti tvoj do kraja."
0:21:49,0:21:53,"Gospodine, moj život samo tebi pripada."
0:21:56,0:21:58,"Samo tebi, Isuse."
0:23:30,0:23:36,"Život nije moj, tebi pripada."
0:23:38,0:23:43,"Dajem sve, dajem sve, tebi."
0:23:45,0:23:47,Evo dajem sve.
0:23:52,0:24:00,"I za se predajem, da tebi služi."
0:24:02,0:24:03,Evo dajem sve.
0:25:51,0:25:57,"Gospodine, ti si divan u našim životima, divan si."
0:25:59,0:26:09,"Velik si, opet, ti si svake slave, dostojan."
0:26:28,0:26:35,"Hvala ti što nas tvoja milost uvijek pronalazi, koliko god si mi htjeli sakriti."
0:26:37,0:26:48,"Sakrito tebe ili sakrito sami sebe, maknuti se, zatvoriti se, tvoja milost je uvijek tu, gospodine."
