Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:09,0:00:12,"Hvala lijepo, nisam si Marija, dobro večer dragi prijatelji."
0:00:12,0:00:15,Evo nas u još jednom BP podkastu u devetom poredu.
0:00:16,0:00:25,"Drago nam je da ste opet s nama i hvala vam za sve komentare, sve lajkove i sve što ste nam sugerirali kroz prošli podcast i sve prijašnje podkaste."
0:00:26,0:00:47,"Večera s nama, kao što ste mogli vidjeti, tema je kriza očnjstva, a ako su vam promakli naši gosti, večera su opet s nama, naš don Damienir, duhovnik naše zajednice i Ante Bilaver, bivši voditelj naše zajednice i sadašnji voditelj službe oslobađanja, jel?"
0:00:47,0:00:50,"Ozdravljanja, pardon, službe oslobađanja."
0:00:52,0:01:13,"Zvali smo upravo njih na temu očinstva i krize očinstva zato što Gagija doma dvoje članova njegove obitelji zovu oče, Damira svi mi zovemo oče po službenoj dužnosti, oba dvoje su teolozi i oba dvoje imaju poprilično veliko iskustvo u radu sa ljudima, svaki u svom staležu."
0:01:13,0:01:15,"Dečki, dobrodošli, dobro večer."
0:01:15,0:01:15,Hvala lijepa.
0:01:16,0:01:16,"Hvala vam, Marija."
0:01:17,0:01:19,"Hvala vam, kad ste se odazvali na podcast."
0:01:20,0:01:23,Znam da vam je naguran raspored jednom i drugom.
0:01:24,0:01:26,Za tebe dam jer svi znamo...
0:01:27,0:01:28,"Ante, ti ideš neko za vikend?"
0:01:29,0:01:30,Danas samo za slobodan dan.
0:01:31,0:01:34,"I evo, baš si me u slobodan dan uhvatio da mi ne bude slobodan dan."
0:01:34,0:01:38,Zbog snimanja slobodan dan ili zbog evangelizacije za ovaj vikend idemo u Ludbreg.
0:01:39,0:01:39,Ok.
0:01:39,0:01:41,Drago nam je da ste se odazvali.
0:01:41,0:01:44,Tema je kriza očnjstva i počet ćemo odmah sa pitanjima.
0:01:44,0:01:49,Hvala vam svima koji ste slali pitanja za naš QA i tako nam pomogli oblikovati mis emisiju.
0:01:50,0:01:54,"Prvo pitanje dvojici teologa, možemo od tebe, Damir, kao glave."
0:01:54,0:01:58,Zašto je Bog se odlučio objaviti baš kao otac?
0:01:58,0:01:59,Zašto kao muška figura?
0:01:59,0:02:00,O.K.
