Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:10,0:00:18,"I krećemo, dobro večer i dobrodošli, dragi gledatelji, u novu epizodu našeg BP podcasta pod rednim brojem 14."
0:00:18,0:00:23,Drago nam je da ste i ove večeri s nama i da nas pratite.
0:00:24,0:00:31,"Kao što ste mogli vidjeti, današnja tema je novac ili ti pare, kako bi rekli u narodu."
0:00:32,0:00:55,"Ko je pratio prošli podcast, mogli ste vidjeti da su dečki Matija i Maro već polakoć krinuli ovu temu, pa smo evo htjeli zasurfati na tom valu i progovoriti konkretno o novcu, financijama, odnosu prema novcu i pogotovo kako bi se netko tko je vjernik i tko se trudi živjeti svoju vjeru u svakodnevici trebao odnositi prema tim stvarima."
0:00:56,0:01:02,"Da bi bili suvisli progovoriti o tome, na naš kauč smo smjestili naše nove dvije gošće."
0:01:02,0:01:05,S nama je večeras Ana Buljan.
0:01:05,0:01:12,"Tko god poznaje ili je proveo barem kratki dio vremena na kavu ili u nekakvom razgovoru sa Anom, zna."
0:01:12,0:01:21,zna koliko je Ani ova tema na srcu i koliko se Ana trudi živjeti i sama i u svojoj obitelji ove stvari o kojima će nam pričati.
0:01:22,0:01:26,I druga naša gošća je naša nasmijana Ivana Fičković.
0:01:27,0:01:46,"Ivana je također članica naše zajednice, voditeljica molitvene službe, a u svom profesionalnom životu je magistra ekonomije sa stažem rada u banci i trenutno je voditeljica ureda jedne tvrtke koja se bavi posredovanjem kredita."
0:01:47,0:01:49,To je ta dugačka rečenica koju sam treb trebao zapamtiti.
0:01:49,0:01:50,"Cure, dobrodošle."
0:01:51,0:01:52,Hvala što ste me pozvali.
0:01:52,0:01:54,I hvala vama kad ste se odazvali.
0:01:55,0:01:57,"Ok, idemo odmah sa temom."
0:01:58,0:02:00,"Ja vas na početku, da, još jedan put jedna stvar."
0:02:01,0:02:02,Hvala svima koji ste slali pitanja.
0:02:02,0:02:06,Ja ih dobar dio tu imam na laptopu.
0:02:06,0:02:09,Postavit ćemo ih curama i nadam se da ćete biti zadovoljni.
0:02:10,0:02:12,Hvala puno što ste nam pomogli oblikovati ovu emisiju.
0:02:15,0:02:18,"Cure, tema je novac."
0:02:19,0:02:25,Mene zanima zašto mi vjernici i ja.
0:02:25,0:02:31,"I ja dok sam pripremao ovu emisiju, zakle sam se osjećao da gazim po nekakvom tabu području?"
0:02:31,0:02:41,Zakle uvijek mi vjernici imamo jedan feeling da se osjećamo kao lagano u ilegali kad su istorečenici spomene novac i vjera?
0:02:42,0:02:44,Je li jedna od vas dvoje da je spremna odgovoriti?
0:02:47,0:02:52,Pa ja mislim i prvenstveno je razlog loši primjeri.
0:02:52,0:03:03,"Znači ljudi koji možda rade u nekakvom nadduhovnom području, a imali su tendenciju da što god da se zaradi da ide na vlastitu dobit."
0:03:03,0:03:06,I onda ljudi jednostavno ne vole spajati to dvoje.
0:03:06,0:03:18,"Da pače, pokušavaju jako razgraničiti duhovno od materijalnog da bi se na neki način dokazalo ako radim nešto bilo što što ima veze sa duhovnim da je to samo za Boga."
0:03:18,0:03:25,"I onda, znači, pokušavamo jako, jako razgraničiti da bi ljudima pokazali da su nam motivi ispravni."
0:03:26,0:03:27,To je jedna stvar što ja mislim.
0:03:27,0:03:45,"A druga stvar, mislim da puno ljudi zapravo volontira na duhovnom području, bilo da pjeva u crkvenim zborovima, čitači.itačima, ono, evo u Crkvi Svete Mate i Slobode imamo volontere, instrukcije i tako."
