Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:43,0:01:04,"Evo padam na koljena, evo padam na koljena, tebe trebam i dozivam."
0:01:08,0:01:27,"Evo padam na koljena, tebi priznajem svu slavu., i vlast, svoju slavu, i vlast."
0:01:28,0:01:45,"I kad boli, ja ti priznajem svoju slavu, i vlast, svoju slavu, i vlast, svoju slavu, i vlast, oče."
0:01:48,0:02:09,"Evo padam na koljena, tebe trebam i dozivam."
0:02:13,0:02:32,"Evo padam na koljena, tebi priznajem svu slavu i vlast, svu slavu i vlast."
0:03:50,0:05:59,"Uzmi više gospode Uđi dublje gospode Uđi dublje gospode Uđi dublje gospode Uđi više gospode Evo, padam na koljena, tebe trebam i dozivam."
0:06:18,0:07:15,"Uči dublje, gospod gospodine."
0:08:18,0:08:23,"Isuse, ti si rekao da srce raskajano i ponizno nećeš prezreti."
0:08:28,0:08:37,"Molimo te da učiniš srce naše po srcu svome, prijimi naše ponizno srce, naše raskajano srce."
0:08:39,0:08:53,"Molimo te da u ovome slavljanju pročistiš naše srce, po pokajanju, pobudi u nama pokajanje, daj nam milost da se pokajemo, da se pokajemo."
0:08:53,0:09:09,"Da se vratimo u iskrenu ponižnost, da stojimo pred tobom ponižna srca, čista srca, da živimo blaženstvo i da živimo obećanja kao si dao onima koji su čista i ponižna srca."
0:09:37,0:09:53,Duh je sveti na nama jer ona spomaza da siromašnima donesemo radosnu vijest.
0:09:55,0:10:09,Duh je sveti na nama jer ona spomaza da siromašnima donesemo radosnu vijest.
0:10:14,0:10:36,"Oslobodit ćeš nas grijeha, ovo je dan današ rane poviješ, ovo je dan da podigneš slomljene, ovo je dan."
0:10:38,0:10:41,"Slavimo te, Božena."
0:10:46,0:10:52,Ovo je godina tvoje velike milosti.
0:10:54,0:11:00,Ovo je godina tvoje velike milosti.
0:11:02,0:11:08,Ovo je godina tvoje velike milosti.
0:11:31,0:11:47,Duh je sveti nanama jer ona spomaža da siromašnima donesemo radosnu vječnost.
0:11:48,0:12:03,Duh je sveti nanama jer ona spomaža da siromašnima donesemo radosnu vječnost.
0:12:06,0:12:20,"Vjernost tvoja i dobrota su svaki dan, utjeha za dušu moju i za to ja."
0:12:22,0:12:33,"Pjevam tebi, hvala, pjeve i radujem se kad, slavimo te Božena."
0:12:38,0:12:41,Ovo je godina.
0:12:42,0:12:52,"Tvoje velike milosti, ovo je jedan Božji ljubav i za nas."
0:12:53,0:12:59,Ovo je godina tvoje velike milosti.
0:13:01,0:13:31,"Ovo je dan, Bože ljubavi za nas, ovo je godina tvoje velike milosti."
0:14:08,0:14:14,"Gospodine, ovaj je trenutak u kojem ti želim otvoriti svoje srce."
0:14:20,0:14:35,"Želim ti otvoriti put u moj život i kad mislim da za mene više nema šanse, da je propuštena i zadnja prilika, gospodine, nek pred mojim očima uvijek bude."
0:14:35,0:14:49,"Hoćemo uvijek biti to da si ti vjeran i dobar, da je tvoja vjernost i dobrota iznad svake moje propuštene prilike, iznad svakog pada."
0:14:52,0:14:56,"Gospodine, ti si dobar Bog, ti si moj tata."
0:15:00,0:15:01,Dobar tata me ne napušta.
0:15:05,0:15:11,"Gospodine, ovo je nova prilika, nova prilika u kojoj ti otvaram svoje srce."
0:15:14,0:15:18,I nek uvijek pred mojim očima bude tvoja vjernost i tvoja dobrota.
0:15:20,0:15:21,Zato pjevamo.
0:15:26,0:15:40,Vjernost tvoja i dobrota su svaki dan utjeha za dušu moju i za to ja.
0:15:42,0:15:50,"Pjevam tebi, hvala spjeve i radujem se kad slavimo te."
0:15:57,0:16:03,Ovo je godina tvoje velike milosti.
0:16:05,0:16:11,Ovo je jedan Bože ljubav i za nas.
0:16:13,0:16:19,Ovo je godina tvoje velike milosti.
0:16:20,0:17:18,"Ovo je jedan Bože, hvala ti na tvome milosrđu."
0:17:20,0:17:26,"Častimo te i dajemo ti hvalu i slavu jer si milosrdan otac, pun ljubavi, pun dobrote."
0:17:30,0:17:33,Hvala ti što ne postoji grijeh kojeg ti ne možeš oprostiti.
0:17:35,0:17:43,"Hvala ti što ti rasipaš svoje milosrđe na cijeli svijet, što ga rasipaš i u moje srce."
0:17:46,0:17:52,Hvala ti što su vrata tvoga srca uvijek otvorena za mene i za sve ljude na cijelome svijetu.
0:17:54,0:18:00,"Hvala ti što se želiš otkriti, što želiš otkriti koliko ljubiš svijet, koliko ljubiš ljude."
0:18:03,0:18:08,"Hvala ti što ti imaš inicijativu, što si ti taj koji prvi dolazi, prvi poziva."
0:18:10,0:18:13,Hvala ti što imaš sve što mi je potrebno za blagoslovljeni svoj život.
0:18:17,0:18:29,"Hvala ti što si svoj ljubav potvrdio u krvi Kristovoj, u muci Kristovovi, jednom i za svakoga, pokazao si koliko nas ljubiš."
0:18:32,0:18:49,"Ti si, Oče, dostojan svake slave, ti si dostojan moga klanjanja, ti si dostojan moga da, ti si dostojan da se u svojoj slobodi predam, da živim samo za tebe, da te nasledujem i da ti budem vjeran."
0:18:52,0:19:02,"Hvala ti, Oče, hvala ti na tvome milosrđu, na tvojoj ljubavi, hvala što ti uklanjaš prepreke koje stoje između men mene i tebe."
0:19:05,0:19:07,Hvala ti što mi daješ novi život.
0:19:12,0:19:19,"Hvala ti što me gledaš kroz ljubav Kristovu, kroz ono što je Krist učinio za mene, što me ne gledaš kroz moje grijehe."
0:20:56,0:21:17,"Brane otvaraš, blago prosipaš na moje srce, tebe ženo ova ljubav je neprocijeniv."
0:21:22,0:21:31,"Tebi pripada, kralju, kraljeva, nek tama čuje."
0:21:33,0:21:43,Neka te ova ljubav je neporediva.
0:21:48,0:22:01,"I pred strahom, i pred smrti, sve dok dišem, pjeva čuti."
0:22:06,0:22:27,"Svake slave dostojan, svake slave dostojan gospode."
0:22:29,0:22:31,Pjeva čuti slave.
0:22:34,0:22:42,"Svake slave dostojan, svake slave dostojan gospode."
0:24:15,0:24:21,"Gospodine, tebi pripada svaka slava, svaka čast."
0:24:25,0:24:27,"Sve što jesam, gospodine, dajem tebi."
0:24:30,0:24:34,Ti si dostojan svake slave.
0:24:45,0:24:54,"Tebi pripadam, kralju, kraljeva."
0:24:56,0:25:10,"Nek tamo čuje, neka drhti ova ljubav je nepobjediva."
0:25:15,0:25:21,I pred strahom i pred smrti.
0:25:21,0:25:29,"Smerti, sve dok dišem, pjeva čuti slave."
0:25:33,0:25:40,"Svake slave dostojan, svake slave dostojan gospode."
0:25:57,0:25:58,Pjeva čuti slave.
0:27:52,0:31:15,"I da ne diže se, dani noć, noći da ne diže se, se kad, dan i noć, jer ti si dostojan."
0:31:20,0:31:52,"Samo ti si dostojan, samo ti si dostojan."
0:31:58,0:32:07,"Jer o tebe je sve, iza tebe je sve, tebi slava pripada."
0:32:18,0:32:57,"I sveti klanjaju se, sve starješine svoje krune polažu pred jaganjca, svijanđeli i sveti klanjaju se."
