Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:09,0:00:19,"Hvala Lenisu Simarija, dobro večer dragi prijatelji, dobrodošli u novu epizodu našeg BP podcasta, ovaj put smo pod brojem 34."
0:00:20,0:00:37,"Koji ste ste vidjeli, danas ćemo pričati o pornografiji i bludu, ja ću malo manje pričati, a za priču su večera zaduženi s nama, idem po važnosti, večera su s nama Don Tomislav Šagud i Tino Krvavica, dečki dobrodošli, dobro večer."
0:00:37,0:00:37,Dobro večer.
0:00:39,0:00:40,"Pozdrav svima, hvala na pozivu."
0:00:41,0:00:43,Ja ću se odmah grajati pred kamerama.
0:00:43,0:00:48,"Ako ću biti malo neformalan prema tebi, Don Tomislave, i mogu biti neformalan?"
0:00:49,0:00:51,"Može, mi se znamo već koliko god."
0:00:51,0:00:52,Sad kad te ovak spitam.
0:00:54,0:01:13,"Sad kad te ovak pitam i ne možeš reći drugo, ali da stvarno evo, Don Tomislav znam dugo, drago nam je da je on prvi put s nama u podkastu, a Tino je imao već svoju jednu sjajnu epizodu na temu zaruka, hodanja i veza do braka."
0:01:14,0:01:15,Hvala i drugi put.
0:01:15,0:01:17,"Pa evo, očito je bilo dobro što smo ga pozvali drugi put."
0:01:18,0:01:19,Još malo samo o gostima.
0:01:19,0:01:27,"Dakle, Don Tomislav je župnik, trenutno na službi u Seksvitskim selima, župa Svetog Antuna."
0:01:27,0:01:28,"Tako je, Padovanskog."
0:01:28,0:01:30,"Znači, Padovanskog."
0:01:30,0:01:40,"I moram reći da smo ga imali u vidu za ovaj podcast, prije svega jer je on, ponosno kažem, na."
0:01:40,0:01:42,"Pionir ove teme, možemo tako reći."
0:01:43,0:01:46,"Ne, on je naš alumni član, prije svega."
0:01:46,0:01:48,On je naš alumni član.
0:01:48,0:01:52,"Želiš li nečlan, ali između ostalog je pionir ove teme i zato smo ga zvali."
0:01:52,0:02:00,"On je jedan od rijetkih, barem za koje ja znam, da je stvarno ušao u ovu temu, dosta o tome pisam i na to ćemo doći."
0:02:01,0:02:04,A tebe smo na ovu temu zvali?
0:02:06,0:02:06,Vi ste praktikant.
0:02:08,0:02:11,"Možda bolje da ti kažem, zašto smo tebe baš zvali na ovu temu?"
0:02:12,0:02:24,"Pa zvali ste me na ovu temu zato što kogod je sa mnom često razgovarao i slušao nekako moje svjedočanstvo, zna da su upravo područja o kojima večeras razgovaramo područja moje dugogodišnje borbe i područja."
0:02:25,0:02:27,posebne Božje milosti u mom životu.
0:02:30,0:02:41,"Prije nego što krenemo u temu, samo da idemo po osnovnim pojmovima, Don Tomislav, možeš li mi dati neku kratku definiciju što bi to bila bludnost?"
0:02:43,0:02:49,Budnost bi bila neuspješna integracija seksualne čežnje u poziv na svetost.
0:02:51,0:02:52,Sad da to raspakiramo malo.
0:02:52,0:02:53,Može.
0:02:53,0:02:53,Može.
0:02:54,0:03:08,"Znači, suprotno od bludosti bi bila kerpoš čistoće koja je integracija svoje seksualne čežnje u poziv na svetost., važno je shvatiti da zapovijedi nisu svrha po sebi."
0:03:10,0:03:12,Zapovijedi su ograda na putu.
0:03:12,0:03:16,"Oni mi kažu gdje ne treba ići, ali ja moram ići tim putem."
