Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:34,"Sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa, sami tebe i ti si do sklopa."
0:00:34,0:00:36,imali animatorske pjesme ili pjesme animacije.
0:00:37,0:00:43,Kad pjevate te pjesme onda izražavate itekako svoje osjećaje tjelesnim gestama.
0:00:44,0:00:52,"Imate pokret rukama, pokret tijelom, njihanje, vidite vi se koji ste vječali automatski sa duhom jer tražite Boga."
0:00:52,0:00:53,I to vam je tijelo.
0:00:54,0:00:55,"Tijelo je govor, tijelo je izrečaj."
0:00:56,0:01:02,"I to nije ništa loše, dapače ja sam oduševljena time, voljela sam mogu još malo pustaviti, trebalo mi više da pisu sreta."
0:01:04,0:01:31,"Meni je to jako inspirativno kad ja vas vidim, ja sam bila i u zajednici kod Dondavira Stojića, isto tamo sa mladima u zajednici njegove, isto smo takve stvari raspravljali, ali ja kad vidim vas, ja se pitam gdje smo mi, misleći evo na sebe kao redovništvo i na Frasi Plijepan isto redovnik kao i ja, pa onda mislim na nas ovako ljude posvećenog života, koliko smo mi još uvijek u sebi zatvoreni za to primanje Božjega."
0:01:32,0:01:37,I ja preko vas vidim motivaciju za ono što bismo mi trebali biti.
0:01:38,0:01:41,"Mi smo pozvani na životu svetosti, na posvećen život."
0:01:41,0:01:43,Svi smo mi pozvani na svetost.
0:01:44,0:01:53,"Ali ja kao redovnica i mi koji smo u tim redovničkom našem svijetu, ajmo reći mi smo pozvani na jedan malo posebniji način života u svetosti preko zavjeta."
0:01:53,0:02:11,"Ja da se pitam kad vi dođete sad u jednu zajednicu ovako se stara, ajmo reći mojih se stara redovnikanki, kad bi ja vas pozvala kad bi ovako počeli slaviti Boga i kad bi vas promatrale časne tamo u prosjeku, računate od šezdeset nadalje ili njih bar mlađih, znate šta bi one mislile?"
0:02:11,0:02:14,"Možda bi mislile kako je ovo lipo, kako je super."
0:02:15,0:02:16,Neke bi rekle isto sam moj šta je ovo.
0:02:18,0:02:23,"E vidite, mi nismo dostatno otvorene tom Božjem duhu, izričaju tijela."
0:02:24,0:02:26,I to vam je isto važno i za spolnost.
0:02:27,0:02:32,"Vi preko ljudskoga tijela doživljavate duh, Božji duh, tvoje ljudi kad se vole."
0:02:33,0:02:37,"Znate, svi smo mi prošli faze zaljubljenosti, neki još uvijek to prolaze."
0:02:38,0:02:39,Onda će nastupiti faza njega.
0:02:40,0:02:45,"Idemo ka Valentinovu, ja to gledam, taj Valentinovo, Bože dragi šta je to Valentinovo."
0:02:46,0:02:51,"Svake godine se pitate šta je Valentinovo, čuli ste u onoj najavi frastjepan je li komercijalizacija Valentinova."
0:02:52,0:02:59,"Imali smo komercijalizaciju došašća, zakrcani smo tim pustim srcima, samo srca iskače iz svakog kuta."
0:03:01,0:03:02,A šta je to srce?
0:03:03,0:03:04,Svi pitamo šta je to srce?
0:03:05,0:03:07,Na što vas privodi to srce?
0:03:08,0:03:10,Meni je za Valentinovo ljepše dobiti ružu nego srce.
