Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:29,"Prvo zahvaljujem Frastjepanu što me je pozvao da ovdje večeras s vama podijelim evo iskustvo grijeha zavisti iako moram priznati da kad me ima ovo cijelu jednu povijest iza, nazvao mene Frastjepan i veli eto sestra Daniela jel možeš ti evo imamo ovaj duhovno duhovite večeri pa bismo obrađivali sedam glavnih grijeha i sada on meni ponudi cijelu listu grijeha i datuma."
0:00:29,0:00:34,Ja kažem pa dobro ajde da ti to ostavi ovaj pošaljem SMS pa ću ja izabrat vidjet ću kad ću moći.
0:00:36,0:00:42,Kad stiže SMS samo jedan datum i jedan grijeh i odmah se lampica upali.
0:00:43,0:00:44,Zašto grijeh zavisti?
0:00:44,0:01:01,"Pa sigurno on ima neku poruku koju svaka žena odmah počne analiza i sad se ja mislim pa mora biti neka poruka pa kud mi baš grijeh zavisti pa nisam baš nešto s tim grijehom na ti i u meni počinje neki drugi grijeh, srđba, ljutnja, mrmljanje."
0:01:01,0:01:04,"Sad ja brzo tražim, ja to njemu još moram potvrditi jer ja mogu."
0:01:05,0:01:13,"I konačno ja ovako vidim pa mogla bih ja o tome nešto i reći, stiže ponovno poziv, eto ja bih promijenio, ne može."
0:01:14,0:01:18,Konačno sam se pomirila s grijehom zavisti pa molim te ostavite mi taj grijeh.
0:01:19,0:01:30,"Evo večeras želim s vama podijeliti ono što sam ja o tom grijehu malo istražila i nešto malo iz iskustva, ali htjela bih reći da ni jedan grijeh nikad ne ide sam."
0:01:31,0:01:40,"Evo ovdje sam htjela malo prezentirajući kako me je pozvao da o tome govorim, već vidjela i kod sebe kako uz jedan grijeh idu još neki drugi."
0:01:42,0:01:51,Večeras sam se malo više ohrabrila kad sam i na misi čula pjesme posvećene Krvi Kristovoj pa i evo večeras ova ovdje lijepa ekipa koja animira.
0:01:52,0:02:06,Želim i na sebi i na vas zazvati doista snagu Krvi Kristove da budu obilježene i moje usta i vaše srce usna i vaša srca da ono što večeras budemo dijelili da doista bude nama na osobnu izgradnju i na osnaženje i rastu vjere.
0:02:08,0:02:13,Da bi mogli pobijediti neprijatelja trebamo ga prvo dobro upoznati.
0:02:15,0:02:24,"Ja moram priznati da ja osobno nisam toliko ni poznavala sve dinamike ovoga grijeha, nekako mi je bio pomalo i daleko."
0:02:25,0:02:35,"Susrećemo ga često i osjećamo ga, ali osobno nisam previše ušla u tu dinamiku toga grijeha dok nisam evo dobila ovaj zadatak."
0:02:36,0:02:55,"Ja ću se večeras malo i držati ovdje nekih svojih natuknica, ali kad sam išla pogledati u biblijski tekst, na puno mjesta se, dovoljno imate onaj Bibliju pa upišite jedan pojam i izbaci će vam, je li sve što u Bibliji se nalazi o tome pojemu."
0:02:55,0:03:28,"Tako sam ja sebi uzela što se tiče grijeha zavisti, neću vam sve, samo ću malo pročitati da čujete je li različitosti u kojima se on spominje, ali ću kasnije započeti s jednom pričom i nadam se da ću ja uspjeti sve u ovih dvadeset pet minuta odnosno trideset u knjizi propovjednika kaže nadalje iskusih da svaki napor i svaki uspjeh pribavlja čovjeku zavist njegova bližnjeg i to je ispraznost i pusta tlapnja."
0:03:29,0:03:34,"Svaki uspjeh pribavlja čovjeku zavist, to ćemo poslije vidjeti kako."
0:03:35,0:03:53,"Zatim u knjizi mudrosti susrećemo i ono što naučim bez primisli to bez zavisti predajem i to ćemo vidjeti kako mi smo pozvani da bez zavisti doista ono što smo primili to predamo, bogatstva njezina ne skrivam."
0:03:54,0:04:03,"Zatim knjiga Sirakova, zavist i srđba skraćaju dane i briga donosi starost prije vremena."
0:04:04,0:04:06,Znači ne smijemo se brinuti jer ćemo ostati prije vremena.
0:04:09,0:04:16,Znao je doista da ga predadoše i zavisti u Evanđelju iz Mateja.
0:04:22,0:04:44,"To su biblijski tekstovi, a sada bih s vama to ću malo više čitati jer je pročitala jednu, teško mi je pripovijedat, nisam baš previše pripovjedački tip, ali i dugačka je priča, ali mislim da ćemo iz ove priče itekako shvatiti razornu moć svakog grijeha, ali pogotovo grijeha zavisti."
0:04:45,0:05:03,"Stara židovska priča kaže kako jedne noći siromašnoga seljaka probudio Božji anđel i rekao našao si milost u očima svojega gospodina, on sada želi za tebe učiniti ono što je učinio i za tvoje pretke, želi te blagosloviti."
0:05:04,0:05:08,Stoga u molitvi izreci bilo koje tri želje i on će ti ih ispuniti.
0:05:10,0:05:12,Postoji samo jedan uvjet.
0:05:13,0:05:18,Tvoj će susjed dobiti dvostruko od svega što ti poželiš sebi.
0:05:20,0:05:26,Seljak je toliko bio zapanjen svime što je čuo da je odmah probudio svoju ženu.
0:05:26,0:05:29,Ona je na to inzistirala da iskušaju obećanje.
0:05:31,0:05:32,Tako su molili.
0:05:32,0:05:41,"O Bože, kad bismo samo mogli imati jedno stado od tisuću ovaca to bi nam bilo dosta da više ne budemo siromašni."
0:05:41,0:05:42,Hvala ti.
0:05:43,0:05:48,Tek što su izgovorili molitvu kad su izvana začuli blejanje velikog stada.
0:05:49,0:05:50,Igle čuda.
0:05:50,0:05:54,Svuda oko kuće se nalazilo jedna tisuća grla najzdravije stoke.
0:05:56,0:06:01,Iduća dva dana seljak je bio izvan sebe od uskečenja.
0:06:01,0:06:06,Cijelo je vrijeme bio između slavljenja boga i skrbi za svoje novo blago.
