Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,"Evo, dobrodošao u studio Hrvatskog katoličkoga radija i emisiju Duhovna duhovite večeri."
0:00:06,0:00:07,"Hvala, hvala gospjepane."
0:00:07,0:00:18,"Evo, ja sam napravio najavu kratko o tvojom životu, ali ono što sigurno slušatelje zanima je upravo tvoje svjedočanstvo, iskustvo živoga Boga i kako se sve to dogodilo u tvojom životu."
0:00:19,0:00:20,"Pa evo, prepuštam tebi riječ."
0:00:21,0:00:21,Hvala.
0:00:22,0:00:24,"Pa evo, prvo dobro večer svima."
0:00:25,0:00:38,"Pa ono što je zanimljivo zapravo je da ja ne dolazim iz neke praktične katoličke obitelji, ajmo tako reći, kod nas se nije prakticirala vjera kroz moje dij djetinstvo i kroz moje odrastanje."
0:00:40,0:00:49,"Zapravo, način je bilo odlazaka nedjelom na misu i to sve je to bilo uglavnom eventualno za nekakve blagdane ili tako nešto."
0:00:50,0:01:16,"Ja sam zapravo kao mala se angažirala negdje oko sete priče i jako mi je to sve bilo zanimljivo i bila sam i u zboru, ali naravno kroz osnovnu školu, tako sam zapravo izašla iz crkve, odvela me u skroz drugom smjeru i negdje i tako i kroz srednju školuu, i negdje sa 16 godina svojih, se desilo to da su se moji roditelji rastali."
0:01:17,0:01:27,I to je bilo nešto što je stvarno obilježilo moj život i odvelo me skroz nekom smjeru u kojem nisam očekivala.
0:01:28,0:01:35,"To stvarno je neka, ajmo reći, rana koja ostaje i zapravo i dan danas i dan danas ja nju liječim."
0:01:35,0:01:40,Zapravo i tu mi je najviše i pomogla sad ova moja duhovnost i vjera.
0:01:42,0:01:56,"I nekako sam ja kroz to izgubila sebe dok sam pokušala zapravo nekako balansirati da zaštitim svoju mlađu sestru, da opet zaštitim imamu i tatu jer je to dugo trajalo."
0:01:56,0:01:58,Da zapravo očuvam svoju obitelj.
0:01:58,0:02:03,"Tako je da, da očuvam neku svoju viziju obitelji koju sam imala."
0:02:04,0:02:14,"I to se sve odrazilo na mene, tu sam ja zapravo gubila sebe jer sam morala izbalansirati to sve, sve držati na površini, a ja sam nekako."
0:02:14,0:02:15,Sa 16 godina.
0:02:15,0:02:16,"Sa 16 godina, da."
0:02:17,0:02:22,"I nakon toga, zapravo, ono što sam izgubila je ta neka sigurnost."
0:02:22,0:02:27,"Taj neki kamen, sjena sigurnosti, stabilnosti."
0:02:28,0:02:36,"I zapravo, brzo nakon toga, sam ja onda ušla u jedan odnos u kojem sam mislila da napokon imam tu sigurnost."
0:02:37,0:02:38,"Zapravo, to mi je bilo samo kao neka."
0:02:40,0:02:40,"Neki dečko, evo."
0:02:41,0:02:42,"Da, da, to je bio baš ono."
