Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:13,"Cijenjeni slušatelji, ne znam da li vas brine i da li možda imate osobno u obitelji ili negdje među svojim prijateljima one vjernike koji kažu ja sam vjernik, ali ne idem u crkvu."
0:00:14,0:00:17,"Ja sam vjernik, ali ne prakticiram sakramente."
0:00:18,0:00:27,"I moje pitanje koje mi se postavlja večeras, o čemu želim i razgovarati sa svima vama, može li se biti vjernik, a ne ići u crkvu?"
0:00:27,0:00:34,"Zašto neki ne idu u crkvu, jesmo li zaista ne mi svećenici crkva i pojedini vjernici krivi zbog toga što drugi ne idu?"
0:00:35,0:00:38,Evo o tome želim razgovarati i odgovoriti na ta pitanja.
0:00:40,0:00:50,"Svi znamo da svi vjernici imamo vjerovanje, ispovijest naše vjere i da toj istoj ispovijesti vjere govorimo da vjerujemo u jednu svetu katoličku crkvu."
0:00:51,0:00:57,"Pa nam se onda nameće pitanje kako to da neko može reći da je katolik, a ne vjeruje u crkvu."
0:00:58,0:01:05,Da neki zaista miješaju pojam crkve kao mističnog Kristovog tijela i crkve kao institucije.
0:01:06,0:01:30,"Žalosno je kada vidimo da mnogi na crkvu gledaju samo tjelesnim očima i u njoj ne vide ništa dublje, ništa duhovnije, ništa mistično, pa zbog toga zbog svake možda slabosti i grijeha njezinih članova napuštaju crkvu i onda kažu kako je njima dovoljno da svoju vjeru, svoje odnose s Bogom mogu prakticirati doma."
0:01:31,0:01:39,"Pitam se da li je to točno, da li imaju pravo i da li takvi koji razmišljaju na taj način mogu sebe nazvati vjernicima."
0:01:40,0:01:54,"Potrebno je, braćo i sestre, zaista, da bi čovjek shvatio što je crkva, ipak pogledati u njezinu nutrinu, ipak pogledati da je crkva, kako kaže sveti Paavol, mistično tijelo Kristovo."
0:01:55,0:02:06,"I pitam se ako Paavol govori da je Kris glava crkve, a mi da smo udovi njegovi, može li se neki ud odvojiti od te glave, a da ne nanese rano?"
0:02:07,0:02:27,"Svakako da je to uvijek teška tema i sad u večeri želim govoriti o tome jer onaj govor koji neki žele reći da u crkvu upravo ne idu zbog biskupa, zbog svećenika, zbog pojedinih vjernika, da će radi ostati doma i da mogu moliti."
0:02:27,0:02:33,"Istina je, doma se može ostati i biti, ali ti si onda samo religiozna osoba."
0:02:34,0:02:50,"Samo neka oblik pobožnosti, religioznosti se može obavljati doma, ali ono pravo sjedinjenje s Kristovom crkvom, ono mistično o kojem želim govoriti večeras, ne može se desiti izvan crkve, bez crkve, bez sakramenata."
0:02:51,0:03:01,"Ono što želim reći večeras, Da mnogi ne shvaćaju da nije župnik umro za njih nego Isus Krist."
0:03:02,0:03:04,Pa se nekada malo i rastužim.
0:03:04,0:03:10,"Mnogi kažu kako vole Krista, kako vole Boga, a s druge strane odbacujemo njegove sakramente."
0:03:11,0:03:20,"A sam Isus iz ljubavi se predao za nas, iz ljubavi se dao samoga sebe da mi imamo život vječni."
0:03:20,0:03:24,I u Ivanovom evangeliju možemo čitati kako Isus Krist.
0:03:24,0:03:53,"I sada idemo do onoj srži da si postavimo možda pitanje zašto pojedini odbacuju crkvu, zašto pojedini odbacuju sakramente, relativiziraju ih i tako razvijaju privatnu vjeru."
0:03:54,0:03:55,Može li se to?
0:03:56,0:04:02,"Kako to izgleda i da li daje neke duhovne plodove, o tome ćemo i tekako večeras govoriti."
0:04:03,0:04:06,Neću ići u crkvu jer svećenik je takav.
0:04:06,0:04:10,To su i takve slične izlike često slušamo.
0:04:11,0:04:25,"E sad se pitam da li te ljude možemo nazvati vjernicima, jer i da su možda imali vjere, da su imali živo iskustvo Krista koji je mistično tijelo crkve, ne bi možda nikada crkvu napustili."
0:04:25,0:04:30,I zašto danas odbacujemo sakramente i tu istu crkvu?
0:04:31,0:04:48,Lako je doći do toga jer zašto se dečina danas ljudi koji nisu duboko ukorijenjeni u živo iskustvo Boga upravo predjeljivaju za taj nekakav privatni oblik prakticiranja vjere bez sakramenata?
0:04:49,0:04:50,Zato što Što?
0:04:51,0:04:53,Evanđelje je zahtjevno.
0:04:53,0:04:55,Isus Krist je zahtjevan.
0:04:55,0:04:57,Evanđelje traži od nas obraćenje.
0:04:58,0:05:06,"I danas kada mnogi žive u grijehu, lakše im se prilagoditi grijehu nego prilagoditi se mentalitetu Isusa Krista."
0:05:07,0:05:30,"Danas kada su u žarištu mnoge teme moralne, teološke, mnogi kršćani su se prilagodili grijehu i lakše im je opravdati svoj grijeh ukoliko ja iziđem iz te crkve, i ukoliko onda opravdavam se da ja, kod kuće i doma, mogu se i pomoliti, mogu i sam sebe ispovijediti, sam sebe odriješiti."
0:05:30,0:05:35,Po meni mislim da je to jedna velika duhovna zabuda.
0:05:37,0:05:46,"Često čujemo kritike na račun crkve, one koju neki vide samo tjelesnim očima, a ne duhovnim."
0:05:46,0:05:56,"I zato već ja stalno povlačim paralelelu između mističnog tijela Kristove, crkve i one građevine kao objekt crkve, institucije."
0:05:57,0:06:00,I tu mnogi miješaju pojmove.
0:06:00,0:06:14,"Ja već danas govorim o onom duhovnom iskustvu, mističnom tijelu Kristovom, od koje svakako nijedan vjernik se ne bi trebao odvojiti jer sam nam Isus daje zapovjed da ga ljubimo i da ostanemo u njemu."
0:06:14,0:06:33,"Sjetite se samo na Uskrs kada se Kada slavimo veliki četvrtak i petak i sobotu, i na veliki petak čujemo kako Isus govori velikosvećeničku molitvu i moli Boga da svi ostanemo jedno, da ostanemo u ljubavi zajedno sa njim."
0:06:34,0:06:55,"Ne možemo reći da možda u crkvi nema grijeha, ali crkva je upravo zajednica i svetih i grešnih, i neki jeda čekaju možda da je razdobapnu za njezine stvarne grijehe, ali često se radi i o izmišljenim skandalima za koje nemaju dokaze."
0:06:56,0:07:00,Sve mi to nekako liči na organizirano sijanje nepovjerenja u Crkvu.
0:07:01,0:07:10,"I danas kada slušate neke vjernike, kada čitate portale i u medijima, ne prestano vidimo kako se širi jedno nepovjerenje prema Crkvi."
0:07:11,0:07:19,"Dakle, ono što želim reći kako jevanželje nam koristi govori kako nas je Isus učio da bi vidjeli sve jasno."
0:07:20,0:07:28,"Potrebno je prvo izvaditi iz svoga oka balvan, a onda išći vaditi nekome trn iz njegovoga oka."
0:07:28,0:07:36,Treba naglasiti da treba razlikovati ono što čini pojedinac u crkvi i ono što je crkva.
0:07:36,0:07:44,"Dakle, netoleriran niti naskler niti pojedince za sve ono što čini ružno u crkvi."
0:07:44,0:07:50,I to zaista može biti nekome kamen s poticanja da tu istu crkvu napusti.
0:07:51,0:08:00,"Međutim, ono što želim večeras s vama reći je da niko od vas ne upadne u tu napast da zbog nekoga napušta crkvu."
0:08:01,0:08:15,"Koliko puta se evo postavljamo pitanje: ako ćemo samo napustiti crkvu i Krista za koje kažemo da ga volimo zbog toga što jedan član je slab, onda Onda da li vjerujemo u ljubav?"
0:08:15,0:08:20,"Koliko puta smo čuli da se neko rastao, pa i dalje vjerujemo u ljubav?"
0:08:21,0:08:25,"Koliko puta čuli smo da je neki avion pao, pa i dalje letimo avionima?"
0:08:26,0:08:31,"Koliko puta čuli smo da neki liječnik je pogriješio, a i dalje idemo liječnicima?"
0:08:32,0:08:34,Tako je i sa crkvom.
0:08:35,0:08:42,"Koliko puta smo čuli da je Isus izabrao dvanaestoricu, a samo među ti dvanaest se našao?"
0:08:43,0:08:43,jedan Juda.
0:08:44,0:09:07,"Zato mnogi, mnogi koji svače možda prezahtjevno evangelje, radije se prilagođavaju ovakvome nekom razmišljanju, dakle, tjelesnom nekome pogledu na crkvu, bez uključenja onoga duhovnog, nego promatrajući crkvu samo kao jednu instituciju."
0:09:08,0:09:13,"Ali moram reći večeras, kako nekako kod tih ljudi osjećam i auto projekciju."
0:09:14,0:09:18,"Jer znamo da onaj koji loše vidi, sve loše i vidi kod drugih."
0:09:19,0:09:22,Lopov koji uvijek govori da svi kradu.
0:09:24,0:09:38,"Čini mi se da neki iz svog osobnog iskustva napuštaju ili sude crkvu, svećenike, vjernike, ali da li to uvijek sve drži vodu, to je i tekako veliki upitnik."
0:09:40,0:09:52,"Zanimljivo je kako današnje kritike na crkvu ne dolaze više izvana, ne dolaze od nekih režima, već upravo dolaze od onih koji su u crkvi."
0:09:53,0:09:58,"Ovdje ne govorim o ateistima, već govorim o nevjeri vjernika."
0:09:58,0:10:00,"Dakle, to ću podvući i naglasiti."
0:10:01,0:10:07,"Govorim o nevjeri vjernika koji zapravo nemaju vjere, a nazivaju sebe vjernicima."
0:10:08,0:10:12,"Sjećam se primjera svetoga Franje, dakle u srednjem vijeku."
0:10:13,0:10:19,"Znamo da je vladao jedan isto, možda duhovni kaos, nemoral, pa čak i u crkvi."
0:10:20,0:10:35,"I da su u tom srednjem vijeku mnogi htjeli obnoviti crkvu, htjeli su je nekako osvježiti, međutim mnogi su pokretali nešto, ali bez dozvole crkvene vlasti i hijerarhije, pa su često upadali i Herezu."
0:10:36,0:10:41,"Tako i sam svet i Franjo kada je dobio prvovu braću, htio je dobiti dozvolu od pape."
0:10:42,0:10:49,"I kada je išao u Rim po tu dozvolu, bilo je zanimljivo nakon prvog razgovora sa papom."
0:10:50,0:10:58,"Tu večer, kada je papa otišao spavati, usnuo je jedan san, a u tom snu je vidio svoju baziliku kako se ruši."
0:10:59,0:11:09,"Međutim, vidio je da unutar te bazilike stoji jedan mali čovjek unutar bazilike i svojim ramenom podupire crkvu da se ne sruši."
0:11:10,0:11:15,I papi je to bio dobar i jasan znak da je to sveti Franjo.
0:11:16,0:11:19,Zašto sam naglasio gdje je Franjo stajao?
0:11:20,0:11:37,"Kao što sam rekao, mnogi su u srednjem vijeku izvan crkve stajali, pljuvali po crkvi, kritizirali i sami su druge poveli u Hereze, međutim sveti Franjo je stao unutar crkve i podmetnuo svoje rame i I onda je obnavljao crkvu."
0:11:38,0:11:41,I to čini već evo 800 godina.
0:11:41,0:12:15,"Zato svi oni koji danas sebe nazivaju vjernicima, a stoje izvan zidova crkve, svi oni koji svojim ramenom ne podupiru tu ranjenu možda crkvu koja se urušava, već svojim jezikom, svojim nastupima, svojim kritikama često usmjeravaju se prema toj crkvi da bi na taj način opravdali svoju nevjeru, da bi opravdali ono što oni ne žive, pod izlikom Meni je dovoljno da budem doma sam, da se sam molim i Meni ne treba crkva."
0:12:16,0:12:28,"Dakle, da kako da je svatko slobodan i da može prakticirati svoju vjeru kako god hoće i želi, međutim, ja ovdje govorim o Katolicima i Katoličkoj vjeri."
0:12:29,0:12:51,"Da bi opravdali neprakticiranje i legalizirali svoju priču Svoju privatnu vjeru, ocijepljeni od sakramenta, koriste fraze poput ovih: Da crkva se ne zauzima za čovjeka, da šta se ona ima miješati, da ostane u okvirima sakristije, neki pak uživaju da je vide razapetu itd."
0:12:51,0:12:52,stalnim nekim optužbama.
0:12:53,0:13:03,"Sve mi to liči na onaj linč, na jedan organizirano blačenje upravo onoga pravoga, mističnog tijela kristije."
0:13:04,0:13:24,"Jer ako vidimo i ako uspijevamo takvim govorom nekome udaljiti Krista, to jeste sakramente, e onda zaista mi ne podupiremo crkvu svojim ramenom, već mi koji smo unutarnje, a nazivamo se to Bože vjernicima i tekako činimo veliku štetu."
0:13:26,0:13:35,"Dakle, pitam se takvim vjernicima koji sebe nazivaju da su vjernici, kakva bi njima crkva bila prihvatljiva?"
0:13:35,0:13:46,"Vjerovatno bi im bila prihvatljiva ona koja ne čuje, ona koja valjda ne vidi crkva, ona koja se potvrđuje i koja se slaže sa svim njihovim stavovima."
0:13:47,0:13:50,E možda bi takvima bila prihvatljiva takva crkva.
0:13:50,0:14:03,"Međutim, Isus kaže da se njegovo evangelje ne može mijenjati, a itekako na drugome mjestu upozorava, ne su obličujte se s ovim svijetom."
0:14:03,0:14:16,"Dakle, u Rimljanima lijepo to kaže, ne suobličujte se s ovome svijetom, nego se preobrazujte obnavljanjem svoje pameti da mognete razabirati što je volja Božja, što li je dobro, Bogu milo i savršeno."
0:14:17,0:14:29,"Kada jedan vjernik koji sebe naziva vjernikom ne traži što je volja Božja, ne traži da se suobličuje Bogu Isusu, a kako se suobličiti, to onda življajući."
0:14:30,0:14:32,Čitajući i živeći ono što piše u Evanđelju.
0:14:33,0:14:43,"Kad ja relativiziramo to Evanđelje i Božje zapovijedi na svoj način kako meni pašu, e onda nekako ne mogu reći da sam ja onaj koji živi u skladu sa Bogom."
0:14:46,0:15:01,"Zaista mi ponekada bude žao i teško uvjeravati takve ljude, međutim moram reći i naglasiti da je već Sveti Ciprijan, jako je jedan puta rekao dobru rečenicu koja odgovara današnjem duhu ovoga vremena."
0:15:02,0:15:06,Nitko ne može imati Boga za oca ako nema crkvu za majku.
0:15:09,0:15:18,"Što nam se, braćo i sestre, događa kada iz relativiziramo našu vjeru, svedemo je na neku privatnu vjeru kod sebe doma bez sakramenata?"
0:15:19,0:15:36,"Dešava nam se to, a to je dobro rekao sveti Ivan Bosko kada kaže sa svakim danom, bez pričesti, duša slabi, a onaj koji ustraje u tome postaje opasno ravnovdušan."
0:15:37,0:15:46,"Vidite, kada smo mi bez sakramenata, možemo govoriti koliko god hoćemo da smo vjernici, ali u nama ne gori ona živa vatra Duha Svetoga."
0:15:47,0:16:00,"Ne smijemo zaboraviti da nas po sakramentima, posebno Euharistiju, Bog preobražava, da po snazi svete Euharistije mi primamo snagu Duha svetoga koja nas oblikuje, koja nas mijenja, koja nas vodi."
0:16:01,0:16:03,I zato evo i Sveti Piov 10.
0:16:04,0:16:09,kaže: Sveta je priča najkraći i najupouzdaniji put u nebo.
0:16:11,0:16:34,"Ono što želim reći na kraju ovoga razmišljanja, braćo i sestre, bez imalo kritike, bez imalo osuđivanja bilo koga, ali i bez kompromisa sa različitim mišljenjima, mi nismo ovdje, barem ja kao svećenik, nikakav privatnik, niti želim zastupati nešto što ja mislim, nego ono što Isus kaže."
0:16:34,0:16:56,"Ako je Isus na posljednjoj večeri izabrao svoje apostole prije smrti i ako ih je okupio oko sebe, on koji je glava crkve, daje njima zapovjed, ovo činite meni na spomen, dakle nisam nigdje našao u Svetom pismu da je Isus rekao ovo zapišite, ovo čitajte, nego ovo činite."
0:16:57,0:17:01,Izričito daje zapovjed da blagujemo tijelu i krv.
0:17:02,0:17:08,"Sjetimo se na drugom mjestu, kaže tko jede i pije tijelu i krv moju, ima život vječni."
0:17:09,0:17:18,"Dakle, mi svakako možemo biti oni koji prakticiramo nekakav oblik religioznosti, ali ne pravi."
0:17:19,0:17:21,Duhovni život dolazi preko sakramenata.
0:17:22,0:17:30,"Kada mi privatiziramo kada svedemo vjeru bez sakramenata, kao da smo ostali bez života."
0:17:32,0:17:42,"Pitam se koji je to vjernik koji je toliko moralno jak, koji je to vjernik koji je toliko dobar da sam ne treba ispovijed."
0:17:43,0:17:50,"Pitam se koji je to vjernik koji može oprati sam sebe od grijeha i očistiti, jer mi vjerujemo da je Isus naš Spasitelj."
0:17:51,0:17:58,"I kada svaki put u zatvoru Svaki puta mu zatvaram vrata, odbacujem njegove sakramente, ja sam napravio uslugu djavlu."
0:17:58,0:17:58,Zašto?
0:17:59,0:18:01,Zato što moja duša onda trpi.
0:18:01,0:18:06,"Svaki puta kada se ne ispovijedam, dakle ja sam pristao na grijeh."
0:18:06,0:18:12,"A znamo tamo gdje je grijeh, tamo neće biti Bog, tamo nema milosti i snage Duha Svetoga."
0:18:13,0:18:18,"Evo nam tu pitanje zašto su onda neki tako ravnodušni, nezadovoljni."
0:18:21,0:18:37,"Kako to da neko u medijima, pa čak i među poznatim ličnostima za sebe kaže da je vjernik, a iz njegovoga govora tako zvuči i tako se odašilje nekakva poruka nezadovoljstva, bijesa, mržnje?"
0:18:37,0:18:42,"A evo nam odgovora, zato što u tom srcu nije Duh Sveti."
0:18:42,0:18:50,"Da je Duh Sveti tamo, onda bi govorio iz ljubavi, iz poniznosti, pa evo, braćo i sestre, nikoga nećemo."
0:18:51,0:18:52,"osuđivati, nego ćemo moliti."
0:18:52,0:18:55,Moliti za sve one koji su se udaljili od crkve.
0:18:56,0:19:03,"Rekoh, i mi ćemo preuzeti svoju odgovornost, ali najlakše je reći da ću otići iz crkve zbog nekoga."
0:19:03,0:19:09,"Dakle, to nije izlika jer da smo mi upoznali pravoga Boga, nikada ne bi napustili tog Boga."
0:19:10,0:19:25,"Dakle, mene može ići na živce neki svećenik, neka osoba u crkvi, ali postavljam si pitanje, Zar i ja vjerujem i idem u crkvu samo zato što sam u tradiciji?"
0:19:26,0:19:30,Pa onda si postavimo pitanje koliko je moj osobni odnos sa Bogom.
0:19:30,0:19:37,"Zanimljivo je to puno, ali i nekada kao da sami sebi zakompliciramo život."
0:19:38,0:19:53,"Bratovi i sestre, još jednom ću ponoviti, prave katoličke vjere nema bez zajedništva s crkvom, ne može se odbaciti glava crkve, a to je Krist., ne može se živjeti bez sakramenata i nazivati se vjernikom."
0:19:53,0:20:07,"Pomalo imam osjećaj da baš takvi žele nabiti grižnju savjesti nama koji smo u crkvi, ističući stalno nekakve naše loše primjere da bi opravdali svoju nesavršenost."
0:20:07,0:20:10,"Jer upravo sam rekao, jer i evangelija je zahtjevna."
0:20:11,0:20:18,"Zato što je evangelija zahtjevna i ono je život, ono ima u sebi snagu, mnogi su toga svjesni što su ostavili."
0:20:18,0:20:26,"Mnogi su svjesni da gaze mnoge, mnoge, mnoge Božje zapovijedi samo da bi opravdali sebe."
0:20:26,0:20:39,"I onda mi je lakše udarati po drugima, kriviti druge, nego stati pred Boga i vidjeti što je ono ako ja kažem da sam vjernik, što je ono što ja živim od toga kao taj vjernik."
0:20:40,0:20:44,"Ili sam, kako sveti Pavao kaže, samo cimbal koji zviči."
