Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,Kako je Abraham žrtvovao svoga sina Izaka?
0:00:07,0:00:12,Čovjek bi rekao da sveto pismo podržava nasilje.
0:00:14,0:00:39,"Što mislite da danas malo razmišljamo iz drugog ugla o tom dijelu Evanđelja, a to je kako je Izak podnio i kako se Izak osjećao i kakve je Izak posljedice mogao imati zato što je doživio da ga osobno njegov otac želi žrtvovati."
0:00:43,0:00:44,Sada hajmo se vratiti u naše vrijeme.
0:00:46,0:00:51,"Abraham je bio poznat, jako poznat u Izraelu."
0:00:54,0:00:58,Ajmo se sad vratiti u naše vrijeme na sinove koji imaju očeve poznate.
0:01:01,0:01:24,"Kako se osjećaju sinovi koji imaju očeve poznate, sinovi koji gledaju o uspjehu svoga oca na televiziji, koji slušaju o njemu i čitaju u novinama, koji o svome ocu slušaju od drugih ljudi kako je dobar, kako je uspješan, a rekoh i Abraham je bio uspješan."
0:01:26,0:01:33,"Da li možda i današnji moderni očevi popularni, poznati, žrtvuju svoje sinove?"
0:01:34,0:01:38,"Žrtvuju da kako, ali ne nikako pozitivno."
0:01:40,0:01:48,Zato što današnja žrtva takvih očeva kao što je Izaku bilo ostavlja na njemu veliku posljedicu.
0:01:49,0:01:53,I zato sam rekao da večeras malo razmislimo o toj temi.
0:01:55,0:02:07,"Dakle, zamislite sina koji tako vidi svog oca, doživljava i čita o njemu poznat, popularan, kako takav sin doživljava oca doma?"
0:02:09,0:02:16,Je li takav sin ima doma oca ili kako ga je doživio Izak.
0:02:19,0:02:23,Koje su bile posljedice toga što je Izak trebao biti žrtvovan?
0:02:25,0:02:30,Najveća njegova posljedica svega je nesigurnost.
0:02:32,0:03:00,"Posljedica koja je ostala na Izaku je nesigurnost jer imati oca, arhetip hodočasnika kojega stalno nema, da li čitali u Svetom pismu oca koji stalno putuje, odlazi negdje kao Abraham ili mi imali danas modernog oca našeg koji je stalno zauzet, nema vremena za svog sina, što se u tom sinu događa osim što mu raste nepovjerenje."
0:03:02,0:03:11,"A to nepovjerenje onda itekako na današnje sinove, današnje muževe ostavlja velike posljedice."
0:03:12,0:03:19,Jedna od tih posljedica je identifikacija s muškom osobom.
0:03:21,0:03:47,"I imamo muževe koji nisu u sebi razvili muškost, nisu preuzeli ono što bi trebao biti jedan muškarac jer onda on postaje nesiguran jer je zato što je možda u svom djetinstvu, u svom vremenu kao što je izak doživio šok da ga je otac htio žrtvovati."
0:03:48,0:04:08,Pa možda i mnogi mladići danas i među nama ovdje doživljavate neki da ste žrtva emocionalna možda u svojoj obitelji od svog oca jer ga nikad nema ili nema vremena za vas i logičko je i psihološki da nam se onda razvija nepovjerenje i nesigurnost.
0:04:09,0:04:16,"Gdje se manifestira to kod izaka ići ćemo korak po korak da vidimo, a gdje se to može manifestirati kod nas modernih danas?"
0:04:18,0:04:26,"Svakako da ostavlja traga i znamo dalje u toj prispodobi, u tom događaju."
