Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:09,"Danas, evo najčešće mladi prvi korak kada se udaljuju od Boga je da napuštaju sakramente, molitvu i Božju riječ, ali kod naše Glove je ovo bilo obratno."
0:00:10,0:00:15,"Pa evo, dragi brat, dobro nam došao u emisiju i Bog te blagoslovio, prepuštam ti riječ."
0:00:16,0:00:17,"Hvala ti, Marija."
0:00:17,0:00:18,"Pozdrav tebi, Stjepane."
0:00:19,0:00:24,Hvala ti na pozivu i pozdrav svim slušateljima HKR-a i tvoje emisije.
0:00:25,0:00:39,"Pa da, ozbiljnija priča moja počinje negdje prije otprilike šest godina kada sam krenuo na jedno hodočašće gdje sam onako razočaran životom i situacijom koja se tada nalazio."
0:00:40,0:01:04,"Došao sam u Fatimu i samo iz razloga što je tamo bio i došao i sveti vam Pavao II., papa kojeg sam do tada prije par knjiga pročitao i to me onako zanimalo, ali sve to vrijeme koje sam ja onda provodio u crkvi bilo mi premalo, nisam znao kako bolje, kako više, kako produbiti svoje odnose s gospodinom."
0:01:04,0:01:24,"I krenuo sam na to hodočašće u Fatimu, došao sam na mjesto u Kazanju i u jednom trenutku sam samo, jer sam bio, kažem, bijesan od svog života i situacije u kojoj sam se nalazio, sam pokušao opsovati, ali ne na glas, nego i u sebi."
0:01:24,0:01:31,"Znači, vrlo vjerojatno me nitko tamo ne bi ni čuo zbog jezika, jer jednostavno u tom trenutku to nisam mogao učiniti."
0:01:32,0:01:36,"Sini do tada imao navik opsovanja, pa si tad imao poslije opsovat u svetištu ili?"
0:01:37,0:01:40,"Ne, ne, nisam psovao u svetištima, ali znao sam prije."
0:01:41,0:01:45,"Ne, ne, tad kad si bio u svetištu, kad ti je došao da opsuješ, ali nisi mogao, to si rekao sada."
0:01:45,0:01:46,"Da, tako je."
0:01:47,0:01:57,I onda sam u tom trenutku to menem malo šokiralo i kako sam po poradku nastavio svoj put dalje za Porto.
0:01:58,0:02:02,"Sjedio sam se u autobusu, o tome sam cijelo vrijeme razmišljao, razmišljao, razmišljao."
