Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:32,"Dobro sunce, ja znam da vi većina živite čistoću, znam da ste se čuli i susreli sa tim pojmom predračna, bračna čistoća, ali malo sam sreo onih koji spominju jednu stvar, a koja je vezana uz življenje čistoće, a malo je više i konkretnija tema za žene, o kojoj se jako malo govori."
0:00:33,0:00:43,"A šta mislite, koja je to stvar vrlo važna za življenje čistoće, šta mislite?"
0:00:45,0:00:51,"Dakle, želim večeras malo progovoriti o crnom oblačenju."
0:00:54,0:00:59,Crno oblačenje dotiče i muškarce i žene.
0:01:00,0:01:13,"Naravno da i muškarci su oni koji trebaju misliti o crnom oblačenju, ali večeras ću govoriti malo više možda evo ženama, suram o crnom oblačenju."
0:01:14,0:01:25,"Nemoguće je da netko živi čistoću, a da u svoj vjerski život nije uključio i čedno oblačenje."
0:01:27,0:01:44,"Vjerojatno ste i sami primijetili, ja jesam, imamo puno pobožnih, produhovljenih žena i cura, ali se istovremeno oblače pre izazovno."
0:01:47,0:01:50,"I sad bi netko mogao reći, pa u čemu je to problem?"
0:01:52,0:02:01,"Mnogi I mnoge žene i mnoge cure tako kažu, ako to smeta nekom muškarcu, pa zašto gleda u mene, šta ga se tiče, šta ću ja obući."
0:02:02,0:02:16,"Međutim, Seta Teresa Avilska, ona kaže u svojoj biografiji, žene su obavezne na više pristojnosti nego muškarci."
0:02:18,0:02:22,Žene su više obavezne paziti o čednom oblačenju.
0:02:23,0:02:23,Zašto?
0:02:25,0:02:34,"Zato što ne funkcioniramo isto, što mozak psiha muškarca i žene nije ista."
0:02:35,0:02:49,"A da bi to bolje razumjeli zašto se vama više stavlja teret, rekao sam, naglasio sam nemojte misliti žene da vas mrzim, da i muškarci moraju paziti na čedno oblačenje, ali zašto je problematika onda u ovoj čistoći?"
0:02:50,0:02:53,Zato što to lijepo papa Ivan Pavao II.
0:02:53,0:02:58,"upozorava u svojoj knjizi, možda ste je čitali, ljubav i odgovornost."
0:03:00,0:03:02,Poslušajte što on kaže.
0:03:04,0:03:27,"Budući da je senzualnost koja je usmjerena prema tijelu kao predmetu uživanja u pravilu snažnija i prisutnija kod muškaraca, pristojnost i sram, usmjerenost na skrivanje spolnih vrednota usko je vezanih za tijelo mora biti pod većim naglaskom kod djevojaka i žena."
0:03:29,0:03:31,Ono drugo mjesto kaže isto Ivan Pavao II.
0:03:33,0:03:42,Evolucija pristojnosti odjevanja u žene zahtjeva prvo ponešto više uvida u mušku psihologiju.
