Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:03,Evo hvala mi si Marija.
0:00:06,0:00:09,Moja uloga u zajednici nije posebna kao Petri ili Ivan.
0:00:09,0:00:13,Ja sam već pet i pol godina samo jedan obični profesor.
0:00:14,0:00:17,"Sramotim sebe, sramotim Mariju vjerojatno stalno."
0:00:18,0:00:21,"I evo za kraj ćemo nešto reći, nas dvojica."
0:00:22,0:00:25,"Jedan visoki čovjek, jedan veliki čovjek."
0:00:28,0:00:35,"Kad sam ga pitao koliko mu pitanja smijem danas postaviti, ja sam rekao mogu bar tri, ne, dva."
0:00:38,0:00:39,Tako da ćemo oni to poštivati.
0:00:41,0:00:43,"Domi, želite pitanje?"
0:00:43,0:00:44,Što ti je loše?
0:00:54,0:00:55,"Ne, mama."
0:00:56,0:00:58,"Volim mene, kažem, samo da ću reći pivo."
0:01:01,0:01:02,Jer to sam neko zamislio.
0:01:03,0:01:09,"Najzločinija je da kad idem u kafić, onda kad nas kome da pitam što ćete popiti, on uvijek prvi kaže dva piva."
0:01:10,0:01:13,"Onda kojeg pogledam, ja kažem, radila."
0:01:16,0:01:21,"A drugo, ti si velik i navijaš dinamom."
0:01:45,0:01:47,Sada više ne smijem ništa pitati nakon ovog.
0:01:48,0:01:49,Dok mi više koliko te poštujem.
0:01:50,0:01:51,Bilo je jedno zanimljivo.
0:01:52,0:01:55,Nas dvojica smo sjedili gore na katu kuće.
0:01:56,0:01:56,Bili smo sami.
0:01:57,0:02:00,Ja sam odlučio počitati hvala svim ljubavima.
0:02:00,0:02:02,"I tako ja čitam, čitam."
0:02:03,0:02:06,"Dođem na kraju i kažem, ljubav nikad ne prestaje."
0:02:07,0:02:11,"Dok mi ih ne gleda i kaže da, hajde u živi vječno."
0:02:25,0:02:27,Ne znam kako ćemo izaći u dnevni.
0:02:29,0:02:29,"Neće više, ne."
0:02:33,0:02:37,"Ali evo, želio sam reći da je ovaj čovjek promijenio moj život."
0:02:40,0:02:41,"Znam, ali."
0:02:42,0:02:43,To te vi zvanimo.
0:02:54,0:02:57,Da vidi on na pivu ili to nije otišao u crkvu kao što je ono.
0:03:00,0:03:05,Ja sam njega upoznao prije tri godine i to je bio poseban dan za mene.
0:03:06,0:03:09,"Dan, ja bih rekao, kad se promijenio moj život."
0:03:10,0:03:21,"Prije nekoliko godina u prometnoj nesreći je preminuo njegov otac, njegova sestra i dominik se volio za život, isto u bolnici."
0:03:23,0:03:24,I tad nije bio arc.
0:03:25,0:03:32,Sjećam se kad je prvi dan došao njegov otac iz Slovenije i ja sam se radio tamo.
0:03:33,0:03:38,I on je čuo to da sam ja iz Slovenije i Zagorja na taj prvi put.
0:03:39,0:03:41,Nisam ga nikad vidio u Onezagorju.
0:03:42,0:03:43,I tako je stajao dvije minute.
0:03:45,0:03:46,I tad je počelo naše prijateljstvo.
0:03:51,0:03:59,"On me toliko toga naučio kako da budem ponizni, pomogao mi je u mom."
0:03:59,0:04:08,"U mom pozivu, ja sam se uvijek pitao kako služiti, kako služiti istinski."
0:04:09,0:04:16,"Mislio sam, kad sam došao u Agri, ja sam trebao preuzeti noć u ovom poduzeću i postao sam prosjak."
0:04:16,0:04:19,"Mislio sam kako idem služiti srcem, kako sam dala u Isusu sve."
0:04:21,0:04:24,I Dominik mi je pokazao da nisam.
0:04:26,0:04:33,"Nećemo nikad zaboraviti trenutak, on uvijek nešto jede, voli papati kako kažem."
0:04:34,0:04:39,"I jedan dan je ovakav mali kruh, baš ovakav."
0:04:41,0:04:46,"I rekao je mate, nuli ti nešto reći, nešto važno."
0:04:47,0:04:50,I otišli smo u sobu i on je razumio moj kruh.
0:04:53,0:04:54,I dao meni veći dio.
0:05:00,0:05:05,I onda mi je prvi put ispričao koliko mu je bilo teško kad mu je otac preminuo.
0:05:06,0:05:10,"I sjedili smo tamo dugo i ja sam plakao, držao sam taj kruh."
0:05:12,0:05:19,"I taj dan sam shvatio u tom omiljenju kruha njegovom, sam prepoznao Isusa."
0:05:20,0:05:22,Dominika moj je malost.
0:05:23,0:05:27,"Neki kažu da je on anđeo, ali ja ga više volim zvati prijateljem, čovjekom."
0:05:30,0:05:33,To je za mene Adam koji nikad nije zagrizao jabuku.
0:05:35,0:05:47,"I Dominika mi je pokazao da kad dođemo u neku zagrizanu, Da, kad dođemo u neku zajednicu, to može biti moj novac, moj talent, moj dar ili služiti."
0:05:50,0:05:56,"Ja ovaj kruh mogu dati kome želim, kad želim i kome želim."
0:05:56,0:05:58,I to sam ja činio.
0:05:58,0:06:02,"Ja sam birao trenutke kad služiti, kad se davati, kome se davati."
0:06:03,0:06:07,"Ali ono me je naučilo nešto drugo, nešto više od toga."
0:06:09,0:06:15,"Pa to je da ja sam do tog dana do susreta s njim, ja sam živio."
0:06:15,0:06:16,za njega.
0:06:17,0:06:18,Pa postoji nešto više.
0:06:19,0:06:23,Postoji nešto više od toga da živimo za siromahima.
0:06:24,0:06:25,To je bar za mene.
0:06:25,0:06:27,A to je da postanem jedan od njih.
0:06:28,0:06:30,Da postanem poput njega.
0:06:31,0:06:32,Da siđem sa prestolom.
0:06:34,0:06:39,"Jer kad god služim, kako sam ja služio, ja sam uvijek bio na pristolju, imao sam moć."
0:06:40,0:06:43,"I Dominik mi je pomogao da siđem, da se spustijem."
0:06:44,0:06:45,Kao što je to učinio Isus.
0:06:47,0:06:49,"On je, on je, on se rodio."
0:06:49,0:06:51,"kao malo dijete, kao siromah."
0:06:52,0:06:55,"Nije se rodio kao neki veliki kraj, kao siromah."
0:06:57,0:07:02,Svišao je s prijestolja i pokazao nam kako zaista služiti.
0:07:04,0:07:16,"Tako da eto, ja sam zahvalan Bogu što mi je posao dominika u život, što smo pravi prijatelji i što on meni nekad kaže neke teške stvari."
0:07:18,0:07:29,"Kao što je, na primjer, vama frascijepan danas rekao, frascijepan je krenjao.uo živjeti za mladima, a svi vidimo da je postao jedan od vas i zato vam to može reći."
0:07:30,0:07:33,Tako ja mogu reći donekle da hajdok neće živjeti vječno.
0:07:37,0:07:40,Mi ćemo nažalost živjeti vječno i naša djeca isto.
0:07:41,0:07:51,Mi smo zajednica osoba sa i bez intelektualnih teškoća i večeras smo naš četvero ovdje i svako će od nas nešto reći.
0:07:51,0:08:04,Ja bih rekla prvo svoju neku priču s osobama s invaliditetom kako sam ja krenula i jednu priču iz Evanđelja koju sam ja čula koja je meni promijenila i uredala mi se u srce.
0:08:06,0:08:22,"Dakle, ja nisam mogla slutiti prije šest godina kad je krenula nekako moja priča obraćenja da ću ja željeti raditi sa osobama s invaliditetom jer sam na faksu rekla da ne želim raditi sa osobama s invaliditetom i to sam kao znala."
0:08:23,0:08:36,I najveće iznenađenje prije šest godina mi je bila to ta priča da mi je nekako se isostavio srce da je to vrijedno i da bi možda mogla raditi u tome.
0:08:37,0:08:45,"Međutim, nekako kako je vrijeme prolazilo, ja nisam radila s osobama s invaliditetom, bila oko njih ni blizu ni ništa."
0:08:45,0:09:06,"I evo prije nekih osam mjeseci sam počela raditi u Varci i tu sam se prvi put susrela s osobama s invaliditetom i evo želim vas potaknuti da otvorite svoje srce i da slušate zbilja ono što vam govori Josip Sisi, gdje su vaši talenti, gdje su vaše mogućnosti, gdje su se možete ugraditi."
0:09:07,0:09:31,"A druga stvar koju bih htjela s vama podijeliti, koju sam ja čula od jednog svećenika i prijatelja je da u Isusovo vrijeme kada je Isus sjeli bio živ i kada je išao u kuću muškaraca uvijek bi se govorilo idemo u kuću od Petra, idemo u kuću od ovoga i ovoga muškarca."
0:09:32,0:09:39,"A recimo kada je išao kod Lazara onda je se govorilo idemo kod njegovih sestara, idemo kod Martina idem kod Marta i Marije."
