Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:09,"Hvala Nisi Marija, lijep pozdrav svim slušateljima Hrvatskog katoličkoga radija, moje ime je Frastjepan Brčina, vi ste još u jednoj emisiji Duhovno-duhovite večeri."
0:00:10,0:00:18,"Moj gost je večeras, autor, kantaautor, učitelj, pisac, glazbenik, profesor, šta sve ne, Dalibor pro Haska."
0:00:18,0:00:21,"Dalibor je, hvala Nisi Marija i dobrodošao u našoj emisiji."
0:00:22,0:00:33,"Uvijek i evo reći ću još bolje osnašao, iako je to stvarno otrca me kad sam se vozio, mislio sam ako mi kažeš dobrodošao, neću reći još bolje osnašao, ali evo, šta drugo da kažem, ne znam."
0:00:34,0:00:36,"Nemam ideja osim te, još bolje osim te."
0:00:36,0:00:37,Ja sam dobro izgovorio prezime.
0:00:38,0:00:39,"Da, Prohanska, prohanska."
0:00:39,0:00:39,"Prohanska, bro."
0:00:40,0:00:41,"Prohanska, evo super."
0:00:42,0:00:50,"Evo, poziv smo uputili Daliboru upravo da večeras bude sa nama zbog toga što ima zanimljivu priču svoju životnu."
0:00:50,0:00:59,"Svakako Dalibor je doživio si kliničku smrt koja ti je zapravo promijenila možda život, smjer i tvoje razmišljanje i pogled što na život, što na Boga."
0:00:59,0:01:06,"Pa evo, ne bi te želio prekidati, vjerujem da je naše slušatelje zanima što se to dogodilo kada si bio mlad, ja mislim da je to negdje bilo sa 18 godina."
0:01:07,0:01:12,"Pa je, kod zanimljive priče, samo prezime zanimljivo, ne moramo dalje."
0:01:12,0:01:15,"Proc, tu je već dovoljno na statistici."
0:01:15,0:01:18,Jedan od ne znam koliko je od prve izgovorio točno.
0:01:19,0:01:24,"Proc, sa Šivenskih festivala, ovo je bilo stvarno točno."
0:01:26,0:01:28,A još ako smijem nešto dodati.
0:01:28,0:01:30,"Znači, ovakve kliničke smrti."
0:01:30,0:01:33,Opterećivalo me to duhovno-duhovita večer.
0:01:33,0:01:35,"Znači, gdje da se ja sad tu nađem?"
0:01:36,0:01:40,"Možda jesam, možda nisam, ali onda kad si mi rekao da će biti."
0:01:40,0:01:44,"video, live stream, onda sam dobro duhoviti i dio sam pokriveno, vidjet će se facu."
0:01:48,0:01:54,"Da, što se kliničke smrti tiče, precizno si rekao da je možda promijenila moj život, ja to ne znam."
0:01:54,0:01:59,"Međutim, ljudi koji me znaju kažu da je, da sam se promijenio."
0:02:00,0:02:08,"Ono što sam ja osjećao nakon toga, da bi znao da li je od toga, morao bi se vratiti u prošlost i ne doživjeti kliničku smrtu, a to je nemoguće."
0:02:08,0:02:09,"Dakle, vjerujem da je."
0:02:10,0:02:14,"Jer kad sam sreo ljude sa sličnim iskustvimaima, svi imaju takve posljedice."
0:02:15,0:02:17,"Znači, nema logike da nije."
0:02:18,0:02:24,"Da, da, imao sam 18 godina, psi dogodilo se na banalan način."
