Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:11,"Hvala lijepo vas sve pozdravljam, hvala Frastjepanu na pozivu prije svega i na riječima pozdrava i ovoga uvoda."
0:00:13,0:00:21,"Malo smo se danas šalili ono kad je zadnja pjesma bila ovo je posljednje vrijeme, to je bilo ovako jedna između nas pošalica."
0:00:21,0:00:45,"Tema je zahtjevna, tema je izazovna i tema na prvu, na prvu može biti apsolutno neaktualna i razumjet ću sve vas koji ćete reći o čemu sad to, gdje je tu sad nekakva poveznica sa onim zašto sam ja došao ovdje i zbog čega sam ja ovdje."
0:00:45,0:00:53,Zašto sad forsirate takvu temu razlika između protestantske i katoličke crkve.
0:00:54,0:01:27,"Ali u ovom slučaju ima jedan veliki i važan ali, a tijekom ovih tridesetak minuta koliko imam na raspolaganju vidjet ćete da će biti i više od jednoga ali koji će se ovdje staviti i nadam se da će vas dovesti do zaključka kojega sam evo i ja pripremajući ovu katehezu i ovaj susret došao i živeći stvarnost naše vjere u svakodnevnom životu itekako vidio i doživio da shvatite bitnost i važnost ove teme."
0:01:28,0:01:33,No vratimo se najprije na naslov razlika između protestantske i katoličke crkve.
0:01:34,0:01:41,"Sam naslov može biti na prvu zgunjujući, protestantske i katoličke crkve."
0:01:42,0:01:53,"Jer kada govorimo iz perspektive, a mi smo ovdje svi večeras prisutni katolici, onda znamo da je katolička crkva jedna sveta, kako dalje ide?"
0:01:54,0:01:59,"Jedna sveta, evo katolici, tako je."
0:02:00,0:02:03,Ili moramo zvati protestante da nam kažu kakva je naša crkva.
0:02:05,0:02:12,"A s druge strane kad kažemo protestantska crkva, nemamo tu jedinstvenost u izričaju."
0:02:13,0:02:47,"Dakle nemamo jednu protestantsku crkvu i da kažemo to je protestantska crkva, nego protestantizam kao takav je jedna pojava i protestantske crkve, više njih, evangelička, luteranska, anglikanska, metodisti, baptisti, neobaptisti, koliko god hoćete, tisuće, tisuće i tisuće različitih denominacija koje sve zajedno svrstavamo pod protestantizam i to je bitno znati na samome početku, korak po korak."
0:02:47,0:02:54,"Dakle, to je ta jedna razlikovna i možda eventualno poteškoća u samome naslovu i samome nazivlju."
0:02:56,0:02:57,Slajd može sljedeći.
0:03:02,0:03:51,"Historija magistra Vite Est, povijest je učiteljica života i nužno, nužno, ja znam da ste svi vi mladi, većina vas ovdje izaziremo od povijesti i povijesnih tema, ali kad govorimo o temi protestantizma, neophodno, nužno i izrazito bitno je i potrebno učiniti taj jedan skok doslovce u povijest, zakoračiti tamo, vidjeti što se događalo u određenoj povijesnoj epohi, što je dovelo do pojave nečega što ćemo mi kasnije nazvati protestantizmom, zašto je došlo do toga i kakve su posljedice na nas danas, konkretno našu stvarnost."
0:03:52,0:04:26,"Zaboravio sam u početku pozdraviti sve vas ovdje i sve one koji će nas pratiti kasnije pregledavajući video ove kateheze koja će biti, a na osobit način u ovome trenutku pozdravljam našu braću i sestre koji će nas pratiti u zemljama gdje ili u podneblju gdje su možda katolici u manjini, a gdje su protestanti ili različite protestantske crkve u većini i smatram da će im ova kateheza itekako razbistriti barem se iskreno nadam samu temu i shvatiti dublje, pokušati shvatiti dublje zapravo o čemu se tu radi."
0:04:29,0:04:49,"Obnova Crkve na slajdu i pratit će moje izlaganje ključne riječi, sad ne pazite dobro, ovo je po meni možda ključ za razumijevanje, pazite sad ovo, ključ za razumijevanje pojave protestantizma kao takvoga."
0:04:50,0:04:50,Zašto?
0:04:52,0:05:08,"Zato što i mi u našim životnim stvarnostima imamo često dobre ideje i plemenite nakane kada uočiš nešto što ne štima, nešto što ne valja i to pokušavaš promijeniti na ono onom našem osobnom životu ali onda i na društvenom."
0:05:08,0:05:19,"Neki od vas se odvaže odlično iskoraknuti možda u taj društveni politički javni život i učiniti nešto drugačije ili nešto bolje, većina ne."
0:05:20,0:06:27,"I pojavila se jedna osoba tijekom povijesti Katoličke crkve u dvije tisućletnoj a mi se vraćamo dakle u razdoblje jedna tisuća petsto sedamnaest godine osoba martina lutera neizostavno ime godina je jedna tisuća petsto sedamnaest točno je povijest zabilježila i datum trideset jedan listopada pa onda onako malo jedna pobožnija legenda koja ide kako je on to vrlo teatralno u Wittenbergu jednoga dana došao sam je biskupu i na vrata katedrale zakucao devedeset pet teza nije to baš tako bilo dakle martin luther king je bio redovnik bio je redovnik bio je katolički svećenik i osjetio je potrebu za obnovom crkve osjetio je potrebu za obnovom crkve zašto i po meni je to ključ ovaj termin ovdje obnova crkve zato što draga braćo i sestre crkva toga vremena nije valjala, točka, nije valjala."
