Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Ako ste pozorno slušali prvo čitanje, vidimo kako apostoli hrabro i odlučno svjedoče pred upraviteljima da su vidjeli Isusa, da je Isus živ, da je Isus uskrsnuo."
0:00:20,0:00:28,"Vidimo jednu hrabrost jer to svjedočanstvo, ta istina mogla ih je koštati glave."
0:00:29,0:00:43,"Pitanje svakome od nas u startu razmišljanja večeras, jesmo li IT spremni tako hrabro svjedočiti uskrslog Krista."
0:00:45,0:00:50,Zbog čega su to apostoli svi na kraju izgubili život?
0:00:52,0:01:03,"Ne zbog nekog važnog uvjerenja, već zbog toga što su svjedočili istinu i ljubav, svjedočili su da je Isus živ."
0:01:05,0:01:13,"Nažalost, ima puno vjernika koji ispovijedaju vjeru, ali koji nisu hrabri je svjedočiti."
0:01:14,0:01:21,"Ima puno onih koji lijepo pričaju o Bogu, ali se nisu spremni žrtvovati."
0:01:21,0:01:33,"Ima puno onih koji su aktivni možda u nekom segmentu vjere, ali ne bi pričali o drugima, o svom osobnom iskustvu."
0:01:35,0:01:49,"I kad pogledate što nam to danas treba, trebaju nam odvažni, hrabri svjedoci koji su sreli, susreli i imaju iskustvo živog Boga."
0:01:53,0:02:28,"Jedan, svi ste vjerojatno čuli jedan od optuženih dvanaestorice Charles Colson koji je bio uhićen i zatvoren, to vam je bila jedna afera u Americi koja se zvala Watergate, dakle on svjedoči i govori da je znao, znači pričamo o osobi koja je bila uhapšena u zatvoru sa dvanaest drugih najmoćnijih lidera ajmo reći onog vremena, sa dvanaest ljudi."
0:02:29,0:02:45,"I on sam kaže činjenicu da je Isus uskrsnuo i da je živ sam znao, a A ova afera Watergate mi je pomogla da i shvatim istinu o tome da je Isus stvarno živ."
0:02:47,0:02:47,Kako?
0:02:49,0:02:55,"Kaže dvanaest ljudi je vidjelo Isusa da je živ, da je uskrsnuo."
