Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:15,"Dragi vjernici, u današnjem Evanđelju vidimo da Isus radikalno zauzima stav protiv onih koji čine sablazan."
0:00:16,0:00:24,I u Evanđelju kaže sablazan će doći i ja onome po kome će doći.
0:00:26,0:00:41,"I vidimo da Isus želi povući crtu i reći upravo onima koji trebaju biti njegovi svjedoci da se čuvaju, da ne budu sablazni za druge."
0:00:43,0:00:45,Što je to biti sablazan?
0:00:46,0:00:51,"Osporiti nekome istinu, nekoga obeshrabriti za istinu, za dobro."
0:00:53,0:01:12,"I možda svi mi smo nekada bili sablazni nekome u nekoj situaciji, ali upravo teret na nama kršćanima jest još veći što se od nas očekuje da mi budemo primjer i da ne činimo sablazan drugima."
0:01:13,0:01:29,"Međutim, danas je zaista puno onih koji će reći da su kristovi, koji će reći da su kršteni, da idu u crkvu, a isto tako će živjeti dvostrukim životom."
0:01:31,0:01:38,"Koliko je roditelja koji govori djeci da trebaju ići na misu, a oni ne idu."
0:01:39,0:01:45,"Koliko je pušača cigareta koji govori drugima da nije dobro i zdravo da puše, ali oni puše."
0:01:46,0:01:50,"Koliko je psovača koji psuju, ali će reći drugima da to nije dobro."
0:01:51,0:01:56,"Koliko je svećenika koji jedno navještaju s ovoga mjesta, a drugo žive."
0:01:57,0:02:06,"I kad pogledaš, svi smo mi skloni i lako možemo upasti u to da možemo sablazniti druge."
0:02:07,0:02:14,Zato se i kaže da je sablazno ono što jedno govoriš a drugo živiš.
0:02:15,0:02:21,"I Isus je tu radikalan, zato je govorio ovako, bolje ti je sada kad uđe u Kraljevstvo nebesko."
0:02:21,0:02:36,"Drugim riječima nas želi potaknuti da iako vidimo da ne nekim djelom, nečim sablažnjavamo nekoga, da budemo radikalni u borbi ostranjenja tog grijeha ili te slabosti."
0:02:36,0:02:43,Jer zaista nas takve stvari mogu obeshrabriti i nas i nekoga drugoga.
0:02:44,0:03:50,"Jako vam je zanimljivo Alojzije Stepinac kad je bio mladić razmišljao je o duhovnom pozivu, međutim još u tom periodu je samo razlučivao svoj poziv i jednog dana dok se vraćao sretao je jednoga čovjeka, apotekara, Androševića, tak se prezivao, koji mu je dao jednu knjižicu, a ta knjižica je zapravo bila ajmo reći program žutog pokreta koji je tada okupio više od dvjesto pedeset svećenika koji su potpisali da se žele ženit da se ukine celibat jaložijestepinac je listao tu knjižicu pregledavajući imena tih dvjesto pedeset svećenika i unutra je našao ime svoga tadašnjeg župnika naravno da u tom trenutku za mladića Stepinca svećeništvo je bilo veliki ideal."
0:03:51,0:04:12,Naravno da je ga to jako pogodilo kad je vidio ime svoga župnika i da je ga to skoro sablaznilo jer za njega je bilo svećeništvo toliko uzvišeno i onda je rekao ako već idem u svećenike onda želim biti svećenik i ništa više od onoga kako je već do sad.
0:04:14,0:04:21,"I vidite tipičan primjer kako nas neke stvari, neki potezi mogu sablazniti."
0:04:23,0:04:33,Srećom da Blaženi Aloizijestepinac ipak je pobjedio u odabiru svog poziva i da se nikada nije sablazni odustao od svećeničkog poziva.
0:04:34,0:04:45,Koliko puta mi možda smo nekome bili sablazni za nešto ili smo ga udaljili od Boga umjesto da smo ga privukli Bogu.
0:04:46,0:04:55,"Jako je zanimljivo da smo mi svi praktični vjernici, a jako ćemo puno vidjeti naše ponašanje koje sablažnjava."
0:04:57,0:04:58,Šta je sa ogovaranjem?
0:05:00,0:05:05,Ogovaranje u crkvi od strane vjernika.
0:05:06,0:05:11,Mnogi vjernici možda nisu svjesni težine grijeha ogovaranja.
0:05:14,0:05:22,"Mi možemo ogovarati druge zbog ljubomore, zavisti ili ranjenosti."
0:05:23,0:05:29,"Ali što se događa kada mi svojim govorom, svojim ogovaranjem sablažnjavamo druge?"
0:05:30,0:05:38,"Kad vjernik loše govori o svom svećeniku, o svom papi, kad vjernik govori o drugom vjerniku loše, što se događa?"
0:05:38,0:05:41,Jeste ikada razmišljali na duhovnom polju?
0:05:42,0:06:05,"Dakle svaki put kad počinjete ogovarati, svaki put kad se prepustite ogovaranju, dakle vi oslobađate demonske sile, doslovce oslobađate demonske sile koje tad zahvaljujući vašem ogovaranju napadaju žrtvu protiv kojih ste vi govorili."
0:06:07,0:06:33,Mnogi vjernici ili svećenici koji su malo osjetljiviji na duhovnost itekako će osjetiti kad masa loše govori o njima jer je onda oni sile koje vi tražemo osloboditiađate i demone koje puštate ogovaranjem na te osobe one moraju voditi borbu.
0:06:34,0:06:54,"I umjesto da se posvetimo navještaju Božje riječi, nekad moraš gubiti snagu i energiju na odbranu takvih demona koji su pušteni zahvaljujući ljudskoj riječi, zahvaljujući možda tvojom jeziku koji sablažnjava."
0:06:56,0:07:00,"Zaboravljamo moć riječi, zato razmisli što pričaš."
0:07:01,0:07:12,Razmisli jesi li u službi Boga ili u službi demona da svojim ogovaranjem puštaš sile demona na druge da ih iscrpe.
0:07:13,0:07:58,"I u knjizi Izreka osamnaest poglavlje dvadeset jedan reda kaže smrti život u vlasti je jezika jer jezikom mi ubijamo jezikom ranjavamo jezikom sablažnjavamo i djelima naravno, ali ono što sam rekao ako se usredotočimo na druge mi itekako im možemo napakostiti i uništiti njihove živote, a toga nekad nismo svjesni i nažalost u Crkvi je toga puno i to je sablažno da oni koji vjeruju Isusa trače iz dana u dan i ne prestaju, nisu svjesni čije ste službi."
0:07:59,0:08:01,Na taj način ste u službi demona.
0:08:02,0:08:09,"I sad zamislite, nećete ni vi koji tračate ostati uskraćeni od kazne."
0:08:11,0:08:16,"Kad netko sablažnjava i trača o drugima, što se događa?"
0:08:17,0:08:19,Svojim jezikom šalje demone na tu osobu.
0:08:21,0:08:24,"Oni je napadaju i iscrpljuju, ali kad ne može ništa vratit će se tebi."
0:08:26,0:08:27,Ona se vraćaju tebi.
0:08:28,0:08:32,Pa dobro drugi put razmisli hoćeš li ogovarati o drugome.
0:08:33,0:08:43,"Očeš se baviti drugim bespotrebno, očeš se zavid drugome i govoriti neistine u neprisutnosti te osobe."
0:08:44,0:08:45,Šta je smrljanje?
0:08:50,0:09:02,"Nije li vjernik onaj koji treba biti svjedok, koji svjedoči živu vjeru Isusa Krista i susreće s njim, a mi imamo sve više vjernika koji mrljaju."
0:09:04,0:09:15,"Znači kada padate u grijeh, mrmljanja, nezadovoljstva, znate kad onda oslobađate sile demonske onda ih ne šaljete na druge već na sebe."
0:09:18,0:09:22,Sjetite se izraelskog naroda kojeg je Bog vodio kroz pustinju u obećanu zemlju.
0:09:25,0:09:43,"Oni su mrmljali protiv Boga i zato im u Svetom pismu govori Bog o njihovom on ih je zapravo i kaznio, nisu na kraju uništili obećanu zemlju, zato što su počeli mrmljati."
0:09:45,0:09:47,Proti koga su oni mrmljali?
0:09:48,0:09:50,Proti Boga koji se za njih zauzimao.
0:09:51,0:10:10,"Ako ti u svom svakodnevnom životu mrmljaš, neprestano mrmljaš, mrmljaš na Boga, mrmljaš na ženu, mrmljaš na muža, mrmljaš na prijatelje, na poslodavca, na politiku, na ovo, na ono, stalno mrmljaš, znači da si ti nezahvalan Bogu."
0:10:11,0:10:22,Izraelci su bili nezahvalni Bogu i nisu mogli prihvat njegov način djelovanja pa su stalno oni Bogu planirali i namećali kako treba biti.
0:10:24,0:10:30,To je strašno koliko mi svećenici čujemo pa i u ispovijedi taj grijeh mrnjanja.
0:10:31,0:10:38,"Stalno prigovaranje neko, nezadovoljstvo, pa ja ne mogu vjerovati kad dođeš u ispovijed, da li ti sebe čuješ kad to kažeš?"
0:10:39,0:10:45,"Stalno mrnjam, mrnjam protiv ov ovog mrmljam protiv pa pitaj se šta je s tobom, na sebe si demone navukao."
0:10:47,0:10:54,"Jer u ovoj situaciji kad mrmljaš nije kao kad odgovaraš da demone šalješ na drugoga, šalješ na sebe i ti mir nećeš imati."
0:10:55,0:11:02,"Postavi si pitanje zašto buncaš i mrmljaš protiv svakoga, pod čijim si utjecajem."
0:11:04,0:11:22,"I onda kaže kako da iziđem iz ove situacije, pa zatvori usta i jezik, postani malo bit zahvalan, primijetiti što Bog radi u tvojoj obitelji, u tvojem životu, ne to ne vidiš i samo mrljaš."
0:11:23,0:11:49,"Bog dovodi izraelski narod pred obećanu zemlju, šalju ljude u izvidnicu da vide i tamo kaže ovi koji su otišli u izvidnicu vraćaju se i opisuju što su vidjeli sve tamo oduševljeni zemljom, međutim ta zemlja je imala stanovnike, ali ispravni vjernik, ispravni ovi koji su otišli u izvidnicu u ime Božje, što su vidjeli?"
0:11:49,0:11:56,"Vidjeli su i drugi narod tamo, neće biti lako ući u tu zemlju, jer to nije naša zemlja, ali je Bog obećao, što su oni rekli?"
0:11:58,0:11:59,Bog je s nama.
0:12:00,0:12:04,"Ako mi trebamo ući u tu zemlju obećanu, Bog je s nama."
0:12:06,0:12:12,"Imali su kontraponašanje, odmrmljanja, samo su ponavljali, Bog je s nama."
0:12:12,0:12:17,"Ako je Bog s nama, mi ćemo ući u tu obećanu zemlju, mi ćemo posjedovati ovo."
0:12:17,0:12:18,jer je Bog s nama.
0:12:20,0:12:25,"es druge strane imamo ove koji mrljaju, koji nisu ni uništili na kraju jer su bili kažnjeni."
0:12:27,0:12:30,Baš zbog svog mrljanja od strane Boga.
0:12:30,0:12:39,"Pogledajte u svetome pismu o tome se govori u prvoj Korinčanima deseto poglavlje, deseti redak upravo to kako su kažnjeni."
0:12:40,0:12:42,I onda hoćeš mrljati dalje?
0:12:45,0:12:46,Hoćeš i dalje mrljati?
0:12:47,0:12:55,"Svako od nas Mrzimo za sve, a nismo zahvalni za ono što imamo, što nam je Bog dao."
0:12:56,0:13:01,"Kad dođemo u te situacije, mrzimo protiv Boga još i preuveličavamo."
0:13:04,0:13:10,"Jedan dio one koje Izraelci su otišli u obećanu zemlju da izvide teren i ostalo, vratili su se i preuveličavaju."
0:13:13,0:13:16,Mi nećemo to moći baštini zašto?
