Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:07,"Dragi vjernici i dragi članovi evangelizacijske zajednice, posebno ću se malo večeras s vama obratiti."
0:00:09,0:00:17,"Evo vjerujem da ste puno puta čuli i priča se o toj evangelizaciji, imamo toliko knjiga, dokumenata napisanih."
0:00:18,0:00:25,"Međutim, jednom meni od vremena djela o evangelizaciji Pape Pavla VI."
0:00:26,0:00:37,jedan njegov dokument koji jako dobro govori o evangelizaciji i on u jednom tom dokumentu govori što je evangelizacija.
0:00:38,0:00:52,"Evangelizacija prije svega nije neki doktrinalni navještaj, nije samo moralni navještaj, već i osobno iskustvo Boga."
0:00:53,0:01:00,"I nema evangelizatora koji će imati plodove, a da nema osobno iskustvo Boga."
0:01:01,0:01:19,"Zato, dragi mladi i dragi članovi evangelizacijske zajednice, prvo da bi čovjek navještao druge, mi možemo biti učenici, govoriti doktrinama o moralu, ali čovjek hoće čuti prvo danas, tvoje i moje iskustvo Boga."
0:01:20,0:01:28,"Zašto onda ne prolaze tolika literatura i sve spoznaje koje imamo o evangelizaciji, a na terenu nemaju ploda?"
0:01:30,0:01:35,"Zašto sazivamo tolike komisije, ne znam što, a u stvarnosti ne donose ploda?"
0:01:36,0:01:48,"Jer očigledno, rekao bih uz ovu doktrinalni i ovaj moralni naš navještaj, papa je to dobro izrazio u dokumentu i rekao je treba osobno iskustvo Boga."
0:01:49,0:01:57,Jer što je onda po njemu glavno sredstvo evangelizacije?
0:01:58,0:02:05,"Vi koji nosite ime Evangelizacijska zajednica Sveti Duh, čime vi to evangelizirate i privlačite ovdje druge?"
0:02:07,0:02:09,Je li to sigurno slavljenički tim?
0:02:10,0:02:11,Je li to možda molitveni?
0:02:12,0:02:14,Je li to Stjepanova propovijed?
0:02:15,0:02:17,Što je sredstvo glavno?
0:02:19,0:02:27,"Dakle, sredstvo glavno za evangelizaciju papa ističe u tom dokumentu je iskustvo živog Isusa."
0:02:28,0:02:50,"Ovo je sve popratno što mi imamo, što radimo, naši talenti, sposobnosti koje stavljamo u službu evangelizacijeelizacije je naše svjedočanstvo Isus je živ, Isus te vodi, Isus nije mrtav, Isus nije neka legenda od prije dvije tisuće godina."
0:02:51,0:03:21,"Žalosno je nekako kad i mi propovijedamo i prepričavamo u propovijedi kao da je to bilo prije dvije tisuće godina, kao da je taj isti Isus legenda koja je bio živio prije dvije tisuće godine ne ta legenda živi danas i to je nama evangelizatorima svima potrebno uz ovo popratne talente darove koje imate je osobno iskustvo to je najveće sredstvo mi imamo živog Boga, mi dajemo ljudima živog Boga, mi navještamo živoga Boga, a ne mrtvoga."
0:03:23,0:03:27,I na takav način kad svjedočimo što mi još uključujemo.
0:03:28,0:03:47,"Jeste li primijetili danas u Evanđelju, Herod je čuo za Isusa, ubio je Ivana, s druge strane mu nije ništa jasno, koji je taj lik, koji je taj Isus, privlači tolike, dolaze mu toliki, on je zbog njega nam maknuo i ubio Ivana."
0:03:48,0:03:50,I što počinje raditi u srcu Heroda?
0:03:51,0:03:54,Danas čujemo u Evanđelju znati želja.
0:03:55,0:03:57,Počelo i njega zanimat tko je taj Isus.
0:03:58,0:04:08,"Nije školovan, nije učen, sin je običnog nekoga stolara, a privlači stotine, ozdravlja, čini čudesa i njega zaintegriralo koje?"
0:04:09,0:04:09,Znatiželja.
0:04:10,0:04:16,"Koliki će doći sljedeći četvrtak ovdje iz znatiželje da vide šta je dedev, zašto dolaze toliki tu?"
0:04:16,0:04:17,Doći će iz znatiželje.
0:04:19,0:04:29,"Međutim, evangelizatore i vas dragi mladi uz vaše osobno svjedočanstvo Isusa da je živ, što još mora pratiti?"
0:04:30,0:04:31,Vjera.
0:04:32,0:04:38,"Vjera je ono što nosi ovaj projekt, vjera je ono što nosi ovu zajednicu i svakog kršćanina."
0:04:39,0:04:39,Zašto vjera?
0:04:40,0:04:43,Je li Herod u današnjem Evanđelju imao vjere?
0:04:44,0:04:44,Nije.
0:04:45,0:04:51,"Herod je u današnjem Evanđelju imao znatiželju, njega je zanimalo da vidi tog Isusa, šta taj nudi."
0:04:52,0:05:02,"Koliki danas dolaze i odlaze u mnoga svetišta, u Međugorje, doći će na dedev i znatiželja, on nema vjere, ali će doći da vidi šta se događa."
0:05:03,0:05:08,"Onaj koga nosi samo znatiželja, on ne može biti dobar evangelizator, niti će biti."
0:05:09,0:05:20,"Znači osobno svjedočanstvo Isusa koji je živ, prati naša osobna vjera u Božju riječ, u ono što je on rekao, idite u moje ime."
0:05:21,0:05:26,"Zato sam i rekao, mi navještamo živo Boga jer je on rekao, idite u moje ime."
0:05:27,0:05:28,Što kaže Isus?
0:05:30,0:05:45,"Kad pogledaš Heroda koji je znatiželjan i današnje vjernike koji su mnogi samo znatiželjni, a možda je vjera upitna, Isus lijepo kaže, blago tebi Toma, ti si povjerovao jer si vidio, a blago još onim te koji će vjerovati, a ne vide."
0:05:47,0:05:53,"I zašto je Herod danas htio vidjeti znatiželje Isusa, da vidi kako će to nadnaravno čudo napraviti?"
0:05:53,0:05:55,Što će on to učiniti da ga možda fascinira?
0:05:56,0:06:02,"Je li dovoljno za evangelizaciju da nas fasciniraju čuda, da nas fasciniraju nešto nadnaravno?"
0:06:03,0:06:03,Nije.
0:06:04,0:06:10,"To ti nije jamstvo da ćeš biti dobar evangelizator ni navijestite, već vjera u Božju riječ."
0:06:10,0:06:17,"Ja ću navijestat, ja ću služiti u nekoj zajednici, u crkvi, u svojoj župi s darom vjere."
0:06:18,0:06:36,"I kad Bog daje nadnaravne darove i čuda i kad ih nema, ja služim svojim talentom, nadnaravnim i onome u čemu ja mogu pridonijeti da one Božje riječi se ostvaruju danas, u ovom stoljeću, u ovom gradu i ovome mjestu."
0:06:37,0:06:44,"Zato vam govorim, kad ćemo znati jesu li neki evangelizatori, navjestitelji u Crkvi autentični?"
0:06:45,0:06:46,Kako ćemo znati?
0:06:47,0:07:01,"Kad imaju balans između života i vjere, kad ono što žive navještaju i kada je to izbalansirano, njihovim životima ono u što vjeruju je vidljivo u životima."
0:07:02,0:07:09,Zato vas drage mladi i sebe osobno upozoravam i svakog vjernika nemojmo govoriti drugima ono što ne živimo.
0:07:10,0:07:23,"Probajmo evo boriti se da uskladimo našu vjeru, naše vjerovanje u Isusa i sve ono što nosi zapovijedi Božje sa vlastitim životom jer onda smo najautentičniji i najjači evangelizator."
0:07:24,0:07:32,"Zato sam i rekao, nekada ne treba govor doktrine i moral, već dati svjedočanstvo, svjedočanstvo svojim životom."
0:07:33,0:07:42,"Zato je legenda i ekspert koji je napisao ovaj dokument, sveti papa Pavao VI, rekao tri pitanja."
0:07:43,0:08:05,"Vi dragi mladi koji ćete služiti u evangelizaciji drugima, postavimo si večeras sva ta pitanja, ponovimo ih mi i zapamtimo ih dobro da nas kroz ovu godinu nose jer mi ulazimo u sedmu godinu, nije to sedmi dan, sedmu godinu da nosimo ime Isusovo i da želimo služiti."
0:08:05,0:08:11,"A to pitanje kaže on lijepo, prvo, vjeruješ li u ono što navještaš?"
0:08:15,0:08:19,"Drugo, živiš li ono u što vjeruješ?"
0:08:20,0:08:25,"I treće pitanje, navještaš li ono što živiš?"
0:08:28,0:08:36,Dovoljan program za cijelu godinu da si možemo korigirati jesmo li na pravom mjestu.
0:08:37,0:08:42,"Međutim, sjetite li Pavao VI."
0:08:42,0:08:51,"učiti da što je ono što nas potiče na revnost i na evangelizaciju, to je svetost."
0:08:53,0:08:54,Svetost u svakom srcu.
0:08:55,0:08:59,A ta svetost je opet program mladih za vas.
0:09:00,0:09:16,"Svetost se u našem srcu osvježava molitvom, osobnim odnosom s Bogom, sakramentima i sakramentalnim životom jer nema revnosti u evangelizaciji bez želje za svetosti."
0:09:16,0:09:30,"Ako u vašim srcima je želja za svetošću, vi ćete se onda nositi molitvom, imati osobnu molitvu, bdijete nad svojim životom, konzumirat ćete sakramente."
0:09:30,0:09:39,"Oni koji navještaju Boga bez molitve, bez sakramentalnog života, ne vjerujem da je motor svetost u srcu."
0:09:40,0:09:45,Može nekim ljudima biti i drugi motivi da se u nešto uključe.
0:09:46,0:09:56,"Ali uzalud je svima nama ovo, uzalud je se zvati evangelizacijska zajednica i sljedeći četvrtak imati krcati u ovu baziliku ljudi ako se ne dogodi nešto bitno."
0:09:57,0:10:00,Ovo mi sad zapamtite jedna stvar.
0:10:03,0:10:11,"Znači, ok, gospodin nas je izabrao da evangeliziramo druge, ne samo mi kao zajednica nego ovdje sad govorimo o cijeloj Crkvi."
0:10:13,0:10:21,"Evangelizacija nisu samo drugi, možda oni koji idu u Crkvu ili povremeno ili na rubu ili ostalo."
