Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:08,Dragi mladi čuli smo u Evanđelju kako nas Isus poziva da ostanemo u njegovoj ljubavi.
0:00:10,0:00:24,Prošlu nedjelju slično ovako Isus govori o ljubavi ali stavlja kriterij kako mi to da ljubimo i to smo slušali u nedjelju taj odlomak Evanđelja.
0:00:25,0:00:43,"Danas ta riječ ljubav je toliko korištena ali prije svega toliko nerazumljivo korištena, pa se za ljubav i tu riječ povezuje sve i svašta, čak i ono što uopće nije prava ljubav."
0:00:43,0:01:03,"I onda Isus daje ne samo ovu zapovijed danas u Evanđelju da ostanemo u njegovoj ljubavi, nego neki danas upozorava i kako mi to da ljubimo, jer upravo zbog toga što evo mi često ljudi imamo neke svoje kriterije kako ljubiti i što je to za nas ljubav."
0:01:04,0:01:13,"Ljubav se provlači kroz filmove, kroz pjesme, kroz stihove, kroz književnost, kroz odnose, ali rekoh nije sve prava ljubav."
0:01:14,0:01:15,O čemu nas to Isus uči?
0:01:16,0:01:38,"Dakle znamo da u Starom zavjetu imamo tu zapovijed ljubavi i na dva mjesta kaže kako ovako, ljubi Boga svoga kako, svim srcem svojim i onda kaže ljubi sebe, ljubi bližnje kao što ljubiš samoga sebe."
0:01:38,0:01:41,I šta je sad tu kriterij za ispravnu ljubav?
0:01:42,0:01:43,Nije dobro.
0:01:44,0:01:45,Isto se to dorađuje.
0:01:46,0:01:52,"Nije dobro jer što ako netko ima malo srce, malo ljubavi za Boga, kaže ljubi Boga svim srcem svojim."
0:01:53,0:02:01,"Što ako netko ima zatvoreno srce, kaneno srce, a tamo zapovjed kaže ljubi Boga svim srcem svojim."
0:02:04,0:02:10,Što ako je mjerilo ljubavi prema drugima koliko ljubim sebe?
0:02:12,0:02:49,Danas vi mladi a pedeset posto ne voli sebe pedeset posto i više dakle kako može biti mjerilo da ljubim bližnjega onako kako ljubim sebe kad mnogi preziru svoj život kad ne vole svoj život a bog nam stavlja za zapovjed jel da ljubimo druge kao što ljubimo sebe međutim to se radi o zapovjedima koji su u starom zavjetu zato Isus postavlja drugi kriterij i kaže i to je rekao na posljednjoj večeri kada se opraštao sa svojim učenicima.
0:02:52,0:02:55,Ljubite kao što ja ljubim vas.
0:02:56,0:03:01,"Dakle ovo prije što sam objasnio, to je kriterij ljudske ljubavi."
0:03:02,0:03:06,A Isus ne želi da nam bude kriterij za ljubav ova ljudska.
0:03:07,0:03:09,A mi to danas mnogo možemo čuti.
0:03:09,0:03:29,"Pričamo o nekoj emocionalnoj ljubavi koja se raspadne brzo, pričamo o nekak o pravoj ljubavi jer ljubimo ljudskom dimenzijom onako koliko mi možemo i kako možemo i kako mi proglasimo dokle vrijedi ljubav."
0:03:30,0:03:33,Je li ljubavi može izreći rok trajanja?
0:03:33,0:03:33,Ne može.
0:03:34,0:03:36,Kako onda kod nekih ističe?
0:03:37,0:03:40,"Očigledno to nije bila ljubav, to su bile emocije."
0:03:40,0:03:57,"I mnogi mladi danas se nose za emocijama i emocije proglašavaju nekakvom ljubavlju koja puca svako toliko, a to Isus kaže novu zapovijed i dopunjava ovo, ljubite kao što ja ljubim vas."
0:03:58,0:04:00,Kad je to njima Isus rekao?
0:04:00,0:04:13,"Rekao im je u onom trenutku kad su ga svi izdali, ostavili, kad je uslijedila pred njim patnja, kad je uslijedila pred njim križni put, kad je uslijedila pred njim muka u Getsemanskom vrtu."
0:04:14,0:04:19,Znači ništa Isusa nije poljuljalo da nas prestane ljubiti.
0:04:20,0:04:23,"Ni križ, ni progon, ni bičevanje, ništa."
0:04:24,0:04:25,Isus zna što slijedi.
0:04:26,0:04:36,"Znači hoće reći, ma ostanite ljudi ustrajni u ljubavi prema Bogu jer ja vas ljubim toliko da ni za kakvu žrtvu neću odustati od vas."
0:04:38,0:04:39,To je ljubav.
0:04:40,0:04:51,"Kad ljubimo po cijenu svega što nam se u životu dogodi, po cijenu trpljenja, ljubav ne možeš odvojiti od trpljenja."
0:04:52,0:04:57,"Ljubav se ne može istopiti u trpljenju, u nerazumijevanju."
0:04:58,0:05:06,I zato je važno reći u startu ove propovijedi da mnogi ljudi još uvijek ne razumiju što je prava ljubav.
0:05:06,0:05:19,"Mnogi još žive u Starom zavjetu i drže se evo ove ljudske dimenzije kako ljube sebe, ljube druge, kako imaju srce toliko ljube Boga, međutim Isus nas uči nešto drugo."
0:05:21,0:05:42,"Kriva slika ljubavi, Sunca moja je često prisutna u našim životima, kriva slika ljubavi se često nameće, kada se neki osjećaj evo istope, rastope, nestane i ljubavi, to nije ljubav, ljubav je tamo gdje je križ."
0:05:44,0:05:51,"Prvo ono što bi, što nas Isus danas u Evangelju potiče jest da ostanemo u Njemu u ovoj ljubavi."
0:05:52,0:05:54,I On kaže ostanite u mojoj ljubavi.
0:05:55,0:05:57,"A kako ćete, kaže, ostati?"
0:05:57,0:06:00,Onda kad čuvate moje zapovijedi.
0:06:02,0:06:04,Koliko mladih danas čuva Božje zapovijedi.
0:06:05,0:06:16,"Žive u nekoj emocionalnoj, u nekoj promašenoj ljubavi, kreiraju ljubav i proglašuju po svojim kriterijima, ne po Božjim zapovjedima."
0:06:16,0:06:24,"Isus danas jasno kaže, ostat ćete u mojoj ljubavi ako vršite moje zapovijedi."
0:06:24,0:06:36,"Mi imamo vjernike, imamo mlade koji dolaze u crkvi, izvršavaju, poštuju neke zapovijedi, a neke su samo inicijativno proglasili da više za njih moralno ne vrijede."
0:06:37,0:06:43,"Ja imam pitanje, može li se ljubav i moral odvojiti?"
0:06:44,0:06:47,Može li ljubav biti protiv morala?
0:06:48,0:06:49,Ne može.
0:06:49,0:07:00,"Ljubav i moral nisu u suprotnosti, oni idu zajedno i zato je potrebno vršiti sve Božje zapovijedi da bi ostali u toj Božjoj ljubavi."
0:07:01,0:07:05,Vi sunce moja danas ste generacija koja ne da sebi reći ništa.
0:07:07,0:07:12,"Sve je manje onih koji slušaju svoje roditelje, a roditelji su najiskreniji prijatelji."
0:07:14,0:07:22,"Sve je manje oni koji slušaju glas Evanđelja, šta će meni norme, neki moral tome sputava, živi dok si mlad."
0:07:24,0:07:48,"Tako je razmišljao i sveti Augustin i on je živio u svoje vrijeme ajmo reći turbulentno, vodio se osjećajima, vodio se strašću, mnogi danas mladi nemaju ništa drugo na pameti osim da se dobro zabave, da se provedu, da se zezaju, da život prođe u ne znam čemu, a onda u krevet ležeš prazna srca."
0:07:49,0:08:02,"Toliko mi je žao nekad vas mladi, odlazite spavati prazna srca, toliko čeznete za ljubavlju, toliko se trudite da je zadobijete, ali ona vam iz dlana izmakne."
0:08:02,0:08:05,Izmakne vam jer je na krivom mjestu tražiš.
0:08:06,0:08:18,"Koliko se trudite za dobiti ljubavi, da li prijateljsku, da li ovu od dečka, od djevojke, na kraju koliko je vas mladih razočarano u ljubav?"
0:08:19,0:08:24,Koliko vas se zatvorilo prema ljubavi jer se bojite?
0:08:25,0:08:35,"I imate pravo ako se jedan put razočaraš, drugi puta, treći onda više ne dopuštaš nikome da ti se približi pa čak ni Bogu."
0:08:35,0:08:54,"E sad vidite, Sveti Augustin je to isto tako živio, međutim sam je u jednom trenutku došao do spoznaje i zahvaljujući molitvama svoje majke naravno i sam je rekao nemirno je srce moje dok se ne smiri u tebi."
0:08:56,0:09:08,"Danas reći nekom mladom čovjeku da može sve odgovore i ljubavne i životne pronaći u vjeri, e reče ti si staromodan, vi živite u srednjem vijeku, o čemu ti pričaš, živi."
0:09:09,0:09:25,"Ali ja vam poručujem, evo i sveti Augustin, nema srca koje će se smiriti, nema osobe koja će pronaći svoj mir bez Boga jer ćemo stalno biti nemirni, stalno će nam faliti to mjesto."
0:09:25,0:09:33,"I zato nam se postavlja pitanje, dobro, dajte nama sjajan odgovor kako da mi rastemo u toj ljubavi, nemojte kritizirati."
0:09:35,0:09:43,"Pa ovako sunce moja, prva vam je stvar da počnete rasti u ljubavi, jest spoznati da ne znate ljubiti."
0:09:45,0:09:50,Prva stvar da počnemo rasti u ljubavi jest da spoznamo da ne znamo ljubiti.
0:09:53,0:09:54,Kad ljubav počinje?
0:09:55,0:10:05,"Ljubav počinje tamo gdje se odvažiš priznati da ne znaš sam ljubiti, a tada u tom trenutku Bog ulazi u tvoje srce."
0:10:06,0:10:09,Bog te tada počinje osposobljavati da ljubiš.
0:10:10,0:10:16,"Zato sveti Augustin kaže, kasno sam te uzljubio, lijepo to tako stara i tako nova."
0:10:17,0:10:26,"Dragi mladi, znam da je nekad teško priznati sebi da na krivom mjestu tražiš ljubav."
0:10:26,0:10:34,"Znam da je nekada teško priznati da prosimo za ljubav, a dajte se od Boga poučiti."
0:10:35,0:11:06,"Mi savjetujemo, mnogi su priručnici o ljubavi, pet koraka za ovo, četiri za ono, tri za ono, pustite da vas Bog uči korak po korak, ne društvene mreže, ne literatura koja kakva, ne prijateljski savjeti jer te uči netko da ljubiš i savjetuje ti u odnosu prema Bogu ili prema bližnjemu kako da živiš a on i sam je ranjen i ne ostvaren."
0:11:07,0:11:11,Jeste ikada čuli neko tko je rastavljen da lijepo priča o ljubavi?
0:11:12,0:11:21,"Jeste čuli da je netko tko je rastavljen ohrabrio, drugi je rekao, gledaj, možda ja nisam znao ljubiti, ali ti probaj, ti ćeš se možda uspjeti ostvariti."
0:11:22,0:11:27,Nego mnogi će reći najčešće nemoj napraviti ono što sam ja.
0:11:28,0:11:38,"A to nije ispravno, nego je ispravno priznati da možda negdje ipak nisam znao ljubiti, ali to ne znači da se drugi ne mogu ostvariti."
0:11:39,0:11:42,To ne znači da svi prestanete vjerovati u ljubav.
0:11:44,0:11:49,Zato kako još rasti u ljubavi?
0:11:50,0:11:54,"U ljubavi se raste, Sunce moja kad služiš drugome."
0:11:55,0:11:57,Tu nam je jako lijep primjer Sveti Osip.
0:11:59,0:12:07,Jesu li okolnosti u kojima je Sveti Osip upoznao Mariju i u kojem je ona ostala trudna bili idealni.
0:12:08,0:12:19,"Jesu li oni imali svu sigurnost kao koju vi danas tražite, da imate završen fakultet, da imate barem neki stančić, automobil pa ćete onda razmišljati o braku?"
0:12:20,0:12:21,Jesu li oni imali sve uvjete?
0:12:21,0:12:34,"Jel Josip to sve pripremio pa uženio Mariju ili je imao povjerenja u Boga jer je ostao u Bogu, a kako je njegova ljubav rasla služeći Mariji i Josipu u tišini?"
0:12:35,0:12:38,"Ljubav je često tiha, ljubav ne buči previše."
0:12:38,0:12:44,"više, ona služi, a svijet tu riječ ne može danas podnijeti."
0:12:45,0:13:04,"Zato kažem, današnji ovaj svijet, glamu, buku i ostalo zabavu proglašava ljubavlju idealnom stvarnošću, ali zapravo ljubav je totalno nešto drugo jer je ona tiha, jer ona nije osjećaj već je ona služenje."
0:13:04,0:13:05,Samo promatrate sv.
0:13:06,0:13:14,"Josipa, Mariju, vi svi tražite neko idealno vrijeme da stvorite pa da ljubav ostvarite."
0:13:14,0:13:21,"Vi morate suncama osposobiti sebe na vrijeme za ljubav, a onda stvarajte sve drugo."
0:13:22,0:13:28,"Prvo se dogodi pticama ljubav pa onda grade gnijezdo, a ne gnijezdo pa onda tražiš partnera."
0:13:30,0:13:36,"Dakle, ljubav je često i okrutna."
0:13:38,0:13:42,Danas sam spomenuo ovu sveticu svetu ritu.
0:13:43,0:13:54,"Rođena je u obitelji u kasnoj dobi gdje su roditelji puno molili da dobiju to dijete, već je tada nekako znakovito bila izmoljena od Boga kod svojih roditelja."
0:13:56,0:14:15,"U to vrijeme roditelji su joj obećali mužu koji nije bio baš idealan primjer, koji je bio jedan grubijan, čovjek bez osjećaja, ali u ono vrijeme se poštovao autoritet roditelja i ona ga ispoštovala iako je u sebi uvijek željela ući u samostan, a ne udatce."
0:14:16,0:14:36,"Međutim, ne izlazi ne nalazi na takvog jednog čovjeka koji je ajmo reći grub, tvrd, bezosjećajan i maloprije sam rekao na početku propovijedi, sveta Rita nije birala za kog će se udati, ali je birala kako će voljeti."
0:14:38,0:15:08,"Vi mladi danas birate za kog ćete se udati, za kog ćete se oženiti, ali malo vas je onih koji birate kako, birate, ne znam, toliko godina birate i opet promašite, zato što niste sami sa sobom raščistili kad uđeš u bilo koji odnos, vezu, samostan, brak, što god, kako ljubiš."
0:15:10,0:15:11,Što se dogodilo njoj?
0:15:11,0:15:19,"Ona je upravo odlučila se ljubiti, da je svojom ljubavlju obratila, transformirala takvu jednu krutog muža."
0:15:20,0:15:23,"E sad, Isus kaže ostanite u mojoj ljubavi, bavi."
0:15:24,0:15:34,"Njezino je opredjeljenje bilo ostati u Božjoj ljubavi i Božjom ljubavlju natapati svog muža i uspjela je to, obratio joj se."
0:15:36,0:15:49,"Znate drugu njezinu nedaću da je njezin muž poginuo, da je ubijen, imala je dva sina i sinovi su po nagovoru svoga strica htjeli osvetiti smrt svoga oca."
0:15:50,0:16:04,"I zamislite da jedna majka moli Boga da radije umru nego da sgriješe., da ih radije Bog uzme nego da osvete oca, nego da upadnu u teški grijeh i završe paklu."
0:16:05,0:16:11,"Zamislite da jedna majka izmoli da joj djeca umru, ali to je čista ljubav."
0:16:12,0:16:17,"To čudno zvuči da jedna majka moli da ti dijete umre, ali ona ih je htjela sačuvati pakla."
0:16:19,0:16:28,"Mi danas imamo majke koje relativiziraju svojim čerkama i svojim sinovima grijehe i kažu pa šta ću im ja, žive u grijehu, to je njihov odabir."
0:16:29,0:16:48,"Danas majka to može gledati i znaš da tvoje dijete živi u teškom grijehu, da je ovisno možda o drogi ili nečemu, ali ti nećeš mu pomoći ti šutiš da susjedi ne čuju, da se ne zna da se drogira, da je ovisano o kocki, da živi, da ne živi predbračno čistoću ili ostalo."
0:16:50,0:16:51,Di su te majke nestale?
0:16:52,0:17:06,"Di je ta ljubav prema duši mog djeteta, zamisli da tvoje dijete može završiti sutra ne da je Bože u paklu, zato što se nitko za njega nije molio da se obrati, da ga se upozori."
0:17:07,0:17:11,Evo vidite sveta Rita što je napravila.
0:17:13,0:17:19,Takvu je u sebi ljubav imala tu Božju da je ranjivu osobu s kojom je živjela uspjela obratiti.
0:17:24,0:17:31,Mnogi zamišljaju svetost kao nešto idealno stanje i jedno isključenje iz ovoga svijeta.
0:17:31,0:17:37,"Međutim, svetost se ostvaruje u svim našim konkretnim životima."
0:17:40,0:17:43,Nema idealnog vremena za svetost.
0:17:43,0:17:46,Svetost je tvoj trenutak koji ga sad živiš.
0:17:47,0:17:58,"Ohrabrujuće je promatrati njezin život, tako mučenički, patnički, ali izvršila je ovu Isusovu zapovijed, ostanite u mojoj ljubavi."
0:17:58,0:18:03,"Tko ostaje u Božjoj ljubavi u najvećim kušnjama, patnjama prolazi."
0:18:04,0:18:14,"Svima nama drag, blažen je akutis i za sve iz Asiza, svetac u Trapericama, šta je on izjavio za ljubav?"
0:18:15,0:18:30,"I znate da on voli leukemije i dao kao mladić ono malo života što je imao, bio je toliko zaljubljen u Boga, toliko se bavio Bogom, promatrao sakramente i sve ostalo, ohrabrivao druge i kada je njemu trebala pomoć."
0:18:30,0:18:32,Šta on kaže za ljubav?
0:18:33,0:18:39,Ja umirem sretan jer nisam protratio ni jednu minutu na ono što nije ljubav.
0:18:42,0:18:47,Zato mnogi ljudi kada susretnu Boga ne bi više izlazili iz Crkve.
0:18:48,0:18:52,"Isti su oni išli i prije u Crkvu, ali ga nisu vidjeli, nisu ga osjećali."
0:18:53,0:19:00,"Mi nekada smo u Crkvi prođe nam puno života, ali protratili smo ljubav na nekom drugom mjestu."
0:19:01,0:19:09,"I zato mi se sviđa ta njegova rečenica, ja umirem sretan jer nisam potratio niti jednu minutu na ono što nije ljubav."
0:19:12,0:19:19,Nije ljudi svetost u tome da ti se sve ostvari nego da ostaneš Božji i kada se sve ruši.
0:19:20,0:19:23,To je poruka današnje svetice.
