Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:17,"Dragi vjernici, dragi mladi, jedna od žalosnih stvari jest da postoje ljudi koji su u službi Sotone, koji su produžena ruka vragu."
0:00:19,0:00:27,"Nekada možda su nesvjesni toga, ali nekada možda svjesno biraju biti produžena ruka džavla."
0:00:28,0:00:49,"Sveto pismo nas puno mjesta upozorava na takve ljude, na takve lažne, ajmo reći, proroke, oni koji govore jednim lijepim rječnikom, ali Isus kaže da ih se čuvamo jer su najčešće oni obučeni u janje, a zapravo iznutra su vukovi grabežljivi."
0:00:50,0:00:55,O tim ljudima Sveto pismo u drugoj poslanici Korinčanima kaže ovako.
0:00:56,0:01:09,"Jer takvi ljudi su lažni apostoli, prepredeni radnici koji se prerušuju u apostole Kristove i nikako čudo jer sam se Sotona prerušuje u Anđela svjetla."
0:01:10,0:01:20,"Nije dakle veliko ako se i sluga njegova prerušuje u slugu pravednosti, njihov će svršetak biti po njihovim djelima."
0:01:21,0:01:36,"Sve je više onih ljudi koji se prorušuju u anđele svjetla, sve je više onih propovjednika koji se prorušuju u anđele svjetla koji zapravo ne propagiraju istinu već nešto apsolutno drugo."
0:01:37,0:01:42,"Puno puta takve stvari ne vidimo, možda i ne primjećujemo, ali one su tu."
0:01:43,0:01:55,"Pogotovo ako gledamo društvene mreže, medije, vidjet ćemo što rade ti ljudi koji su produžetak đavlu tojest njegov instrument."
0:01:56,0:02:00,Rade jer unose pomutnju.
0:02:00,0:02:13,"Dakle, sva vrsta takvih proroka nikad ne donosi istinu, već donosi jednu vjersku pomutnju, jednu vjersku zbunjenost da što više ljudi se zavede."
0:02:15,0:02:31,"Mi znamo iz svetog pisma da Isus jasno upozorava da moramo paziti da je puno onih koji idu širokim putem, malo je onih koji biraju da idu uskim putem i Isus tu jasno upozorava."
0:02:32,0:02:42,"Isus i na drugom mjestu ukaže za sebe da je on jasan put, istina i život i nema drugog posrednika osim mene."
0:02:44,0:03:12,"Ako Bog kaže da nema drugog posrednika Isus, da nema drugog posrednika osim njega i mi sve što znamo o paklu, o raju, o grijehu, o životu vječnome, mi nismo islam, nama nije Biblija spala napisana, nismo neke druge religije nego se sami Bog objavio i nešto nam je rekao o Bogu kakav je u sebi, tko smo mi i što nas čeka."
0:03:14,0:03:30,"I onda odjednom imamo val nekih proroka lažnih koji programiraju, propovijedaju, predlažu, organiziraju radionice o nečemu što nema veze s onim što Isus govori u Evanđelju."
0:03:32,0:03:36,E kako ćemo prepoznati takve ljude o čemu ja tu ovdje govorim?
0:03:37,0:03:41,"Često oni manipuliraju istinom, istinom."
0:03:43,0:03:56,"Neće vam se sotona, vrag pa i njegovi suradnici, ljudi, neće vam nikada doć podvaliti laž, čistu laž, neće."
0:03:58,0:03:58,Zašto?
0:03:58,0:04:08,Jer će se prepoznat koja je njihova metodologija navještaja zapravo odvlačenja ljudi od Boga.
0:04:08,0:04:08,Koja?
0:04:10,0:04:22,"Ako imate čašu vode, stavite u tu čašu vode ka potroba, devedeset devet posto vode je dobra je dobro, a samo jedna kap je otrova."
0:04:23,0:04:24,Dakle što ti ljudi rade?
0:04:25,0:04:34,"Nećete nikad servirat čistu vaz, nego ti u istinu ubacuju vaz da ne možeš prepoznat."
0:04:34,0:05:11,"Kao kad u čašu vode ubacite samo jednu kap otrova, ona više nije pitka iako je količinski devedeset devet posto vode ovdje ali ta jedna kap je uništila sve to vam rade ovi lažni proroci ovi koji su u službi sotone i džavla jer oni neće čistu istinu sve reći tako, nego ti u istinu ubacuju lagano, lagano jedna laž, druga laž, sumnja, manipulacija i to vam je onda njihov način odvajanja ljudi."
0:05:12,0:05:15,I u takvom jednom kontekstu mnogi su zbunjeni.
0:05:18,0:05:22,Puno puta nas Bog upozorava da ne idemo za takvima.
0:05:23,0:05:23,Zašto?
0:05:26,0:05:30,"Sunce moja, ima jedna problematika teološka."
0:05:32,0:05:42,"Ja ne mogu vjerovati da sam neki dan, daj mi umutite, da sam neki dan na društvenim mrežama slušam jedan reels, pustit ću da čujete."
0:05:43,0:06:11,"Dakle, nakon dvije tisuće godina što postoji kršćanstvo što je isus se sam objavio što je uskrsnuo pobjedio grijeh i sve odjednom živimo u vremenu manipulatora koji ne prihvaćaju dar spasenja od isusa da se sami spašavaju slučajno sam naletio na ovaj kratki reels koji ima milijun i pol pregleda a slušajte što kažu."
0:06:26,0:06:28,"Ništa ne dogodi, mi samo prelazimo u drugu energiju."
0:06:29,0:06:46,"Duša ne može umrijeti, mislim energija, on ne može umrijeti, nema umiranja, katolička crkva je mislila da se neke događaju, pa ne, gledajte, ako smo već zaključili da smo energija, a jesmo onda mislim energija ne nestaje, energija se samo pretvara u neku drugu vrstu energije."
0:06:46,0:06:55,"Prema tome, duša duše, to tiđu u nebo i ljudi se boje smrti zato što je to kao nepoznanica i ne znam kaj se događa kad zatrkapaju te u zemlju."
0:06:55,0:07:16,"Fizičko tijelo nama služi samo kao lađa ili auto u kojem mi svoju dušu furamo kroz ovaj život u ovoj dimenziji, ali ono onda kad se potroši zbog bolesti i pretvori se onda ono u neku prašinu recimo ili kaj, ali dušanice ne nestaje, te duše i dalje žive i ponovno se inkarniraju."
0:07:20,0:07:24,"Rosa je dotična rekla kaj, pa to je katolička crkva izmislila."
0:07:26,0:07:31,A koja ćete teološku razliku vidjeti između ovakvih propovjednika i Katoličke crkve?
0:07:32,0:07:32,Znate koju?
0:07:33,0:07:34,Koja je razlika glavna?
0:07:35,0:07:39,Propovijedaju lažnu milost i lažnu ljubav.
0:07:40,0:07:48,"Dakle to su propovjednici koji samo pričaju o ljubavi, nikad ne spominju grijeh ni suđenje."
0:07:48,0:07:54,"Dakle bitno da ste i u ljubavi, samo ljubav, a grijeh je prihvatljiv."
0:07:55,0:08:02,"Druga teološka razlika, za njih je grijeh prihvatljiv, nikad ne propovijedaju protiv grijeha, nikad."
0:08:03,0:08:12,"A Isus je došao, prvo što je došao, upravo da nas otkupi i spasi od grijeha jer nitko od nas sam sebe ne može osloboditi grijeha."
0:08:12,0:08:23,"I odjednom smo došli do toga da je dovoljno samo ljubiti, da smo postali energija i da ćemo postati energija i da ćemo se reinkarnirati ponovo u nekom drugom životu."
0:08:24,0:08:25,Kome paše reinkarnacija?
0:08:26,0:08:26,Kome?
0:08:27,0:08:28,A zašto?
0:08:29,0:08:35,Lako je bolje tako pričati jer mi kršćani znamo da postoji sud gdje ćeš biti suđen.
0:08:36,0:08:37,Kako si živio?
0:08:38,0:08:49,"Ako A ako ja znam da ću se ponovno reinkarnirati, pa ovo nije moj zadnji život, buras, pa što ću se truditi, poživjet ću grijehu, što ću se popravljat kad ću, u sljedećem životu ću se potruditi, šta ima veze?"
0:08:50,0:08:54,"Kad budem koza, kad budem brstio tamo granje, onda ću se popraviti."
0:08:57,0:09:15,"I koliko je oni da takve ljude prate, milijun i pol, a koliko je katolika u Hrvatskoj i mnogi to lajkaju, okej ljudi, ali svačate sve to pismo kaže svi su zaista sagriješili i potrebna im je milost Božja."
0:09:15,0:09:17,Nema čovjeka koji nije sagriješio.
0:09:18,0:09:27,"I pričati o nečemu sveuniverzalnoj ljubavi, reinkarnaciji, energiji bez Isusa ispadne da mi sami sebe spašavamo."
0:09:28,0:09:29,I to vam je najveći problem.
0:09:30,0:09:52,"Ali sveto pismo tu jasno, slušajte katolici što kažu poslanici Hebrejima devet poglavlje dvadeset sedam redak možda i ovdje netko uvjeren da ima više života da će imati prigode nema ako ispravno katolički vjeruje sveto pismo kaže i kao što je ljudima jednom umrijeti a potom na sud."
0:09:53,0:10:00,"To znači da postoji samo jedan život, jedan prijelaz i da ćeš biti suđen."
0:10:00,0:10:09,"Jedan put se umire, neće se tvoj život toliko puta ponavljati, danas si čovjek, sutra si koza, preko sutra si travka, tako sutra ne znam što."
0:10:11,0:10:11,Razumijete?
0:10:13,0:10:19,"I ovakvih propovjednika koji unose pomutnju jer kaže pa lijepo priča, kaže samo o ljubavi priča."
0:10:20,0:10:28,"Pa da, priča fino zavodi, samo ljubav nećemo si reći istinu da grijeh je onaj koji odvaja od Boga."
0:10:30,0:10:38,"Ja bi volio vidjeti koji je to grešnik koji može ljubiti Boga i bližnjega, a pun si grijeha i onda umotamo se nekoj dilu ljubavi."
0:10:39,0:10:43,"Pa ako se već mantra o ljubavi, što ne kažeš da je Bog po definiciji ljubav?"
0:10:43,0:10:47,Prva Ivanova četiri šesnaest Što spašavaš sam sebe?
0:10:49,0:10:59,"Znate da su jedan čovjek i žena razgovarali o tome, o mogućnosti reinkarnacije budućeg života i kaže čovjek ženi ja bi u sljedećem životu htio biti konj."
0:11:00,0:11:01,Kaže mu žena pa ne može biti istu.
0:11:05,0:11:13,"Dakle jako je važno, jako je važno da se ne zanosimo tim stvarima."
0:11:14,0:11:20,"Sunce moja, naš najveći neprijatelj je grijeh jer nas tuđavo drži u robstvu."
0:11:22,0:11:32,"To nas odvaja od Boga i grijeh nas uvodi prvo u duhovnu smrt, a na kraju i ako umremo, ne daj Bože u teškom grijehu."
0:11:32,0:11:42,"I najveća zabluda svih tih propovjednika, pričati o ljubavi bez istine o grijehu, bez istine o sudu Božjem."
0:11:42,0:11:48,"Bog jest ljubav, Bog jest milosrđe, ali Bog je i pravedan, razumijete?"
0:11:49,0:11:50,I koji je moj smisao?
0:11:50,0:12:01,"Zamislite, kad bi svoje dostojanstvo djeteta Božje kojeg jesam sada sveo da ja sutra vjerujem da će biti neka životnja, da će biti moja duša zarobljena u nekoj životnji, katastrofa."
0:12:03,0:12:17,"Mi valjda če znamo za nečim višim, zato se čuvajte takvih stvari jer ljudima su prihvatljive, jer nemaš odgovornosti, uvijek imaš mogućnosti u nekom drugom životu se popraviti, a to je zabuda."
0:12:18,0:12:34,"Jedan svjetac je lijepo rekao, bolje vjerovati da postoji pakao raj i čistilište, bolje vjerovati i doći gore, uvjeriti se da nema, fala Bogu, nego tvrdi da ga nema pa umrijet, a ima."
0:12:36,0:12:36,Razumijete?
0:12:38,0:12:46,"Zato ne treba riskirati, bolje vjeruj, pa makar i da smo, evo kako je gospođa rekla, to je Katolička crkva izmislila."
0:12:46,0:12:52,"I kad god mi progovaramo ovakve stvari, onda kažu mi izmišljamo, mi vas plašimo."
0:12:53,0:13:01,"Morate razumjeti sunca da sve što Katolička crkva govori je uzeto iz Evanđelja, iz Evanđelja."
0:13:02,0:13:04,"Dakle, samo nauk Božji."
0:13:05,0:13:11,"Jer ja kažem, nijedna religija nema ono što mi imamo da je sam Bog o sebi nešto rekao."
0:13:12,0:13:20,"Jer mi nismo religije koje maštaju ili nekakav nauk ili nekakva filozofija, koje nagađamo kako bi nešto moglo biti."
0:13:20,0:13:23,Pa sam Isus je sišao u pakao i vratio se u uskrsno.
0:13:25,0:13:26,Mi učimo od Boga.
0:13:28,0:13:32,"I sam je on rekao, tko vidi mene, vidi Oca moga."
0:13:32,0:13:35,"Zato i govori Isus, ja sam put istine i život."
0:13:37,0:13:42,Jeste li vidjeli i u današnjem Evanđelju kad je Isus plačeo nad Jeruzalemom?
0:13:43,0:14:05,"Tako Isus možda plače i danas nad nama, nad mnogima, zato što idu širokim putem, putem nekakve ljubavi, nekakve energije, nekakvih ne znam svojih privatnih načela gdje spašavamo tehnikama, postignućima, trudom sami sebe, a ne odbijamo Isusa koji je jedini imao čistu krv."
0:14:06,0:14:11,Ma dajte mi tog da vidim tko je u Hrvatskoj u ovome svijetu tako sve da nema grijeha.
0:14:12,0:14:21,"Daj da ga vidim, tko ima takvu čistu krv kao Isus da može nas spasiti i daj mi tu facu da vidim koja je tako mudra."
0:14:22,0:14:33,"Dvije tisuće godina, razumiješ, imamo objave, proroke koji su nadahnuti Duhom svetim u objavama i opet su bili samo ljudi grešni i slabi."
0:14:34,0:14:38,"Pa šta onda Ivan Krstitelj mogu reći za sebe, ja sam face, imam učenike i sve."
0:14:39,0:14:43,"Nego ne, on kaže ja treba da se umanjujem, a Isus da raste."
0:14:45,0:15:01,"A kad mi stavimo sebe na prvo mjesto, a pogotovo ako se kockamo sa budućim životom i živjeti u takvoj zabludi da ću ja sebe samo ljubavlju ili spasiti sam sebe."
0:15:02,0:15:07,"Mi ljubimo, ali naša ljubav je toliko krhka, toliko slaba."
0:15:07,0:15:10,Zato se pazimo toga.
0:15:13,0:15:18,Koliko puta doživimo da se zamjenjuje Božja zapovijed s ljudskim mišljenjem?
0:15:18,0:15:24,"Svetom pismu kaže, ostavili ste zapovijed Božju, a držite se ljudskih predaja."
0:15:27,0:15:42,"Mi učimo od ljudi, nekada vjerujemo više ljudima nego što kaže sami Bog koji se objavio, koji nam je sve jasno, koji nije izmišljotina, koji je povijesna činjenica dokazano da je Isus postojao."
0:15:42,0:15:50,"I nama to teško vjerovati, a nije nam teško vjerovati u neku babu, nekoga koji nam prosipa neku filozofiju i laž koja će nas uvući u pakao."
0:15:52,0:16:06,"Jer govorim vam, svi koji vam naučavaju da grijeha nema, da je prihvatljiv, ti vas lažu, ti su ti vuci u ovčijem ruhu koji su samom prekriveni, to je laž."
0:16:07,0:16:08,Grijeh nas sve ubija.
0:16:09,0:16:13,"Prije svega, zašto takvi ljudi mogu tvrditi nešto tako?"
0:16:14,0:16:23,"Zato što grijeh, prva posljedica grijeha je zasljepljuje, zasljepljuje i ti ne vidiš ispravnu sliku Boga."
0:16:24,0:16:26,To je prva posljedica grijeha.
0:16:26,0:16:30,"Mnoge ljudi danas imaju krive slike o Bogu, krive predođbe."
0:16:32,0:16:43,"Znači Bog nije ono kad ja maštam je li to starac sa dugom bijelom vratom na nekom oblaku gdje gore gleda, slušaj šta kaže Isus o Bogu kakav je."
0:16:44,0:16:53,"Nekako ga ti zamišljaš, to je tvoja privatna objava, zato je kaže ovdje, to je tvoje privatno mišljenje, a ljudi su zamijenili istinu sa ljudskim mišljenjem."
0:16:54,0:17:04,"Dakle, ne treba ništa previše se truditi misliti, samo pročitaj šta je Isus rekao, prije svega nam je otkrio milosrdnog Isusa, Boga, a ne mišljenje."
0:17:07,0:17:16,"Drugo ćete vidjeti, pored ovog što relativiziraju grijeh, uvijek je tu napad na Božju riječ, napad na Crkvu."
0:17:17,0:17:20,"Čuli ste u videu, Katolička crkva je to izmislila."
0:17:20,0:17:22,To je najčešća fraza.
0:17:22,0:17:57,"Eto, ti si se rodio prije pedeset godina prosvjetljen, a Katolička povijest, Biblija i objava traje dvije tisuće godina zato se čuvajmo takvih stvari a što onda ja to vama govorim mladima pa da se ukorijenite u Božju riječ, da se ukorijenite u Isusa dajte malo se trgnite vi ste svi intelektualci ovdje mladi ljudi, školovani, fakultetski sad da vas pitam nešto ovdje stručnjake neke za kompjuter, za ovo, za ono, imam vas ovdje stotine takvih."
0:17:58,0:18:11,"Dajte malo i na ovoj duhovnoj dimenziji angažirajte se vi mladi, probudite se, nemojte samo krolat i videa gledati i prihvaćati i lajkati i ono što je dobro i ono što nije nego se informiraj."
0:18:11,0:18:18,"Kad ne znaš svoje naravno da ovakve flaskule prolaze, naravno da ovakve flaskule ćeš prihvatiti lakše."
0:18:19,0:18:25,Naravno da će ti ovakav svećenik ići na žice koji ti kaže ufacu moraš se čuvati grijeha jer to te ubija i mene i tebe.
0:18:27,0:18:31,To prekida naš odnos s Bogom je ljubav.
0:18:31,0:18:37,"I onda ja ne mogu govoriti da će mene samo ljubav energija spasiti, mene može samo Isus spasiti."
0:18:38,0:18:47,"Dajte mi, ajmo se pogledati u faciju i reći istinu, tko ovdje od nas nije grešan, tko ovdje ima toliko pametan i sve da ustane i kaže ja sam bez grijeha."
0:18:47,0:18:50,"To je prva laž, to je prvi grijeh koji radimo."
0:18:51,0:18:56,Možemo samo biti ponosni i zahvaljivati Bogu što imamo takvog Boga koji nas ljubi kao grešnike.
0:18:57,0:19:04,"Ja ne moram raditi ništa, ja samo prihvaćam Boga, ja samo dopuštam da me ljubav Božja mijenja."
0:19:04,0:19:08,"Ja ne mogu reći da sam ja dostatan sam sebi, dragi mladi, to je grijeh."
0:19:09,0:19:42,"Ja mogu sve, ja ću, ja ljubim, ja ne mogu ljubiti, ja trebam Boga, ja trebam milost Božju da živim, ja preživljavam svaki dan i mislim da si i ti takav i svako tko je iskren pred Bogom, nemojmo lagati jedni druge, nego zavapimo Bogu jer on ima moć da nas promijeni, njegova ljubav, njegova želja jer Bog želi da imamo mir, ma želi da imamo život vječni kad umremo, želi da se susretnemo s njim, ma želi nas sveće ovdje na ovome svijetu, sestro, brate."
0:19:44,0:19:49,Zašto pored Isusa koji nas toliko voli i ljubi i tražimo utjehe na različitim drugim mjestima?
0:19:50,0:19:58,Jedna od velikih laži je bila na početku Biblije kako su grijeh prodali Evi.
0:19:59,0:20:20,"Nemojmo dopustiti da se i nama svakodnevno podmetne grijeh, bit ćete kao bogovi, bit ćete ovakvi i onakvi, mi smo stvorenja, mi nismo bogovi, mi nismo bogovi, mi smo stvorenja, ali ako kažem stvorenja, ništa loše, stvorenja ljubljena, stvorenja koja su željena od Boga."
0:20:22,0:20:30,"Zato govorim, naša čežnja treba biti da mislimo na tu našu budućnost i susret sa Bogom."
0:20:31,0:20:37,"Mi ćemo sada uskoro slaviti svi svete, razmišljat ćemo o dušnom danu, koliki su ljudi otišli odavde."
0:20:38,0:20:41,Najveća ona mantra kad kažu pa nitko se nije vratio pa nam je rekao.
0:20:44,0:20:46,"Pa je Isus, je Isus."
0:20:47,0:20:49,Isus je umro i pa je se vratio.
0:20:50,0:20:52,On nam je rekao šta je.
0:20:53,0:21:06,"Dakle, evo neka nam gospodin dade milost da zaista srušena srca, odbacimo sve lake puteve, svi oni prorocima koji nam obećavaju lak široki put, da to odbacimo."
0:21:07,0:21:10,"Nekada to nije lako, pogotovo vama mladim ljudima."
0:21:10,0:21:18,"Vi ste u usponu života, u usponu karijera, svašta se ponudi, svašta čovjek želi, zbog nekih svojih osobnih želja pristaješ na sve."
0:21:19,0:21:38,"Nije li tužno i žalosno, mislim, žalosno što moram to reći sad u propovijedi, nije li tužno da netko tko ne radi, netko tko ne studira, netko tko svaki dan objavljuje na društvenim mrežama te je u ovoj državi večera, te na jahti putuje van, te tamo, te vam."
0:21:38,0:21:41,"Kako suncem, od čega si financiraš ako ne radiš?"
0:21:42,0:21:43,Otkud?
0:21:44,0:21:50,"Vidite koliko smo ta duhovna dekadencija unazadili se, moralna, ljudska."
0:21:53,0:21:59,"Kako netko sebi nešto to može priuštiti, a znamo put na koji si je priuštio, znamo način na koji si je priuštio."
0:22:00,0:22:09,"Zato govorim, ovaj svijet je pun izazova, laži, pohlepe, požude koja vas guta i neki ljudi padnu po to."
