Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:13,"Dragi vjernici, dragi mladi, odlomak Evanđelja koji smo slušali danas pripada jednoj cjelini gdje se govori o tri prispodobe o ljubavi Božjoj prema nama grešnicima."
0:00:14,0:00:19,"Danas smo čuli dvije, a treća je ona o razmetnom sinu ili izgubljenom."
0:00:21,0:00:29,"Iz današnjeg Evanđelja možemo vidjeti koliko je Bog dobar, koliko nas Bog ljubi i koliko nas Bog traži."
0:00:31,0:00:41,Odmah nam se postavlja pitanje je li logično da napustiš devedeset devet ovaca i da ideš tražiti onu jednu.
0:00:42,0:00:46,Mi bi to ljudski rekli pa nema smisla ni tražiti ovu jednu.
0:00:47,0:01:19,Čuva i pazi ovih devedeset devet i odmah u startu vidimo da bog nas ne gleda brojčano mi za boga nismo brojke puno puta je teško objasniti ljudima da je božja ljubav prema nama osobna da je božja ljubav prema nama konkretna i da nas poznaje po imenu i prezimenu i da mi nismo brojke jer nas ima tisuće i tisuće i tisuća.
0:01:20,0:02:12,"Iz ovog današnjeg evanđelja vidimo Bog ostavlja ovih devedeset devet da bi tražio onu i jedno a što hoće reći da je Bogu svako bitan da ga osobno traži možda ako se i sami kao mlade osobe osjećate nekada tako da pripadate samo nekom broju nekoj skupini nekom društvu nekom udruženju i da možda nisi toliko bitan možda nisi bitan za te ljude s kojima si druži s kojima si okružen ali Bogu jesi i puno puta je istina nismo važniniji ljudima i čak nas ti isti ljudi nekada nagaze, povrijede, izdaju, ali ono što Bog čini, čini da nam danas kaže da svakoga osobno jednako voli."
0:02:13,0:02:20,"U ovoj Crkvi, u ovom svijetu nema da je netko važniji, nema da je netko vrijedniji u Božjim očima."
0:02:21,0:02:29,"Sjetite se na drugo mjesto u Svetom pismu gdje Isus kaže u dlanove sam te svoje urezao, svakda si mi pred očima."
0:02:30,0:02:33,"Vidite, to je ta prva prispodoba."
0:02:33,0:02:36,Mi smo svakda u očima Božjim.
0:02:36,0:02:42,Ta prva prispodoba govori o tom dobrom pastiru koji misli na tu zalutalu ovcu.
0:02:44,0:02:50,"Kad kažem zalutali, ne mora značiti da smo fizički zalutali."
0:02:51,0:02:53,Koliko puta svi zalutamo negdje?
0:02:54,0:03:08,"Skloni smo ići kontra Boga, skloni smo ići kontra Božje volje, skloni smo tražiti neke svoje alternative i puteve i sami smo skloni odijelit se, izgubit se."
0:03:09,0:03:38,"I kad kažem izgubit se, mnogi od vas se niste fizički izgubili jer realno kad pogled pogledaš svi živote, kad pogledamo naše, svi se mi gubimo povremeno, samo ne fizički uvijek, nekada moralno, nekada emocionalno, nekada duhovno, pa evo nažalost ponekada napustimo stado, napustimo crkvu i na duže vrijeme možda i fizički."
0:03:39,0:03:48,"Ali tko od nas nije prošao te etape da se izgubi, ali tko od nas nije iskusio Boga koji nas straši?"
0:03:49,0:03:52,E to je danas lijepo razmišljati koliko nas Bog voli.
0:03:53,0:03:57,"Ne znam kako se osjećate u ovog trenutka., da li ste izgubljeni niste."
0:03:58,0:04:04,"Ja znam puno puta sresti ljude koji su vjernici, ali su izgubljeni."
0:04:05,0:04:14,"Izgubljeni kao što sam rekao, duhovno, emocionalno, moralno, ali su kršćani, ali su kršćani."
0:04:14,0:04:20,I ti isti kršćani često puta postavljaju pitanje može li meni Bog oprostiti?
0:04:22,0:04:22,Može.
0:04:24,0:04:25,Mogu li se ja pomiriti s Bogom?
0:04:26,0:04:26,Možeš.
0:04:27,0:04:33,Upravo današnji Evanđelje o tome govori da je svatko vrijedan da ga gospodin nađe.
0:04:35,0:04:46,"I ako gledamo tko je ta izgubljena oca, naravno da svi smo razumjeli da je to svaki grešnik, ali možemo malo i drugačije gledati."
0:04:47,0:04:50,"Izgubljena oca, to je Isus Krist."
0:04:51,0:04:53,"Isus Krist koji se izgubio, gdje?"
0:04:54,0:05:22,"Izgubio se na križu i onda vidimo Boga Oca koji dolazi, traži njega, silazi za prijestolja nebeškoga da bi našao svoga sina, da ga ranjena od smrti stavi na svoja ramena, da ga vrati, izliječi i da ga onda pošalje apostolima koji su ga izdali, zatajili, koji su preplašeni."
0:05:24,0:05:26,Vidite te dinamike i Božje ljubavi.
