Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:07,"Dragi mladi, dragi vjernici, na početku ovog razmatranja par pitanja jeste sretni?"
0:00:09,0:00:10,Jel imate mir?
0:00:12,0:00:13,Jeste zadovoljni?
0:00:14,0:00:19,Evo vidite smisao našeg života jest da budemo sretni.
0:00:20,0:00:31,"Ja vjerujem da gospodin je pripremio sve i omogućio nam je svima da budemo sretni, da budemo u miru, da budemo zadovoljni životom."
0:00:33,0:00:44,"Međutim, nekada pokušavamo taj mir, tu sreću da je obskrbimo sami, da je pripremimo, da se osiguramo."
0:00:45,0:00:58,"Međutim, izvorna sreća, mir, zadovoljstvo ne dolazi niti od onoga što radimo, niti od onoga što imamo, niti od onoga što posjedujemo, već dolazi od samoga Boga."
0:00:59,0:01:06,"Jedna osoba je bila presretna svaki puta kad je mogla vršiti volju očevu, a to je Isus."
0:01:08,0:01:22,"Mi smo ljubljena djeca Božja, je li nama naša vjera donosi zadovoljstvo, mir, radost ili su nam ipak to vršenje volje Božje i Božje zapovijedi frustracija možda."
0:01:23,0:01:31,"Ja nekada imam osjećaj i vidim dragi mladi da ste vi u sebi nekada razapeti, podijeljeni."
0:01:32,0:01:38,Danas nam Evanđelje govori da neće u Kraljevstvo Božje ući svatko tko govori gospodine gospodine.
0:01:39,0:01:47,"Svi mi ovdje večeras ćemo isto govoriti gospodine, molit ćemo zajednički o čemu je naš, ali nemamo svi isti mir."
0:01:48,0:01:54,"Neki će i večeras ostati i dalje u svom nemiru, u svom strahu, u svojoj tuzi, u svojoj nekoj priči."
0:01:56,0:02:08,"Zato dragi mladi, dalje u Evanđelju nastavlja, kaže da je potrebno ne govoriti samo gospodine gospodine, već vršiti volju očevu."
0:02:09,0:02:13,Koliko vama vršenje volje Božje predstavlja problem?
0:02:15,0:02:20,Ma vas toliko i ne muči zbog Boga da li vršite volju Božju.
0:02:21,0:02:31,Puno puta to vidim kod vjernika misle i propitkuju da li je ovo što radim zaista volja Božja?
0:02:32,0:02:34,"Je li ova veza, ovaj dečkova cura stvarno?"
0:02:35,0:02:37,Da li je to volja Božja da mi budemo skupa?
0:02:38,0:02:41,"Da li je ovaj posao koji radim, da li je to stvarno volja Božja?"
0:02:42,0:03:04,"I stotinu takvih pitanja, da li trebam ići u samostan ili je to volja Božja itede itede I imam osjećaj da vi mladi se nekada toliko to zakačite na to propitkivanje, pa vi valjda ujutro neki kada idete i na kavu, valjda se prvo molite da vidite da li s tom prijateljicom trebaš ići na kavu ili ne, ili volja Božja ili ne."
0:03:05,0:03:07,"E, E šta ja sad hoću reći?"
0:03:08,0:03:21,"Teologski vam postoje dvije volje, mislim jedna je volja Božja, ali imamo onu koja nam je obznanjena, koja je otkrivena i ona koju nam gospodin treba otkriti."
0:03:22,0:03:23,A šta vi radite?
0:03:24,0:03:32,"Vi, vama je bitno da se vi nakačite i propitkujete za ono što je vama trenutno sakriveno."
0:03:34,0:03:37,A što je volja Božja koja nam je otkrivena?
0:03:38,0:03:45,Mi znamo da i kroz sve to pismo.
0:03:46,0:03:58,"Znamo da ne treba kras, znamo da treba ljubit, znamo da ne treba griješiti, znamo da treba praštati, znamo za ovo, znamo za ono, ali to ne vršimo."
0:03:59,0:04:03,Nego nama je bitno da mi otkrijemo je li ovo bolja Božja ili ono.
0:04:03,0:04:09,Pa zašto prvo ne otkrijemo i dobro upoznamo i živimo onu volju Božju koja nam je prvo otkrivena?
0:04:11,0:04:14,"nego mi to očimo malo onako mistično, magijski znaš."
0:04:14,0:04:25,"On imaš i vi turbo katolika koji kad ne mogu ovako spoznati šta je volja Božja onda potegni za telefonom vraćare, gatare i babe koje mogu reći, proricat hoćeš se uda sutra ili nećeš."
0:04:27,0:04:38,"I nas stalno to muči, je li volja Božja ovo ili ono, a ono što nam je otkriveno kao volja Božja kroz Božju riječ ne živimo."
0:04:40,0:04:42,I zašto je to sada važno o čemu pričam?
0:04:42,0:05:02,"Zato što te neće toliko učiniti sretnim, mirnim da saznaš sutra i otkriš ne znam je li volja Božja bila da dođeš večeras na dedev ili da budeš u gradu, nego pravi mir i radost dolazi kad se vrši volja prvo ova koja nam je obznanjena."
0:05:04,0:05:05,Mi preskačemo to.
0:05:06,0:05:16,"Meni je najjača priča naprimjer dvoje mladih ljudi, ne žive predbračnu čistoću, žive skupa i onda me dođe i pita je li volja Božja da se mi oženimo."
0:05:16,0:05:27,"Pa prvo je volja Božja da prestaneš griješiti jer ti lijepo Božja riječ i zapovjed kaže to je obznanjena volja Božja, ne griješi."
0:05:29,0:05:34,"Mi preskačemo to, mi svi sada manje više tako počnemo raditi."
