Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:13,"Dragi muškarci, evo čuli smo u današnjem Evanđelju kako se Andrzej javlja Josipu i sugerira mu da ne sumnja da uzme Mariju za svoju ženu."
0:00:16,0:00:30,"Ovdje ste raznolike dobi, neki ste već oženjeni, oženjeni imate ženu, neki ste u vezama, a neki možda molite devetnicu svetom Josipu ili svetom Antunu da nađete dobru ženu."
0:00:31,0:00:37,Ko od vas ovdje od muškaraca ne mašta o nekoj ženi poput blažene Djevice Marije.
0:00:38,0:00:46,Ko od vas ovdje ne moli za jednu dobru ženu ili da se tvoja žena vlastita koju već imaš promijeni.
0:00:47,0:00:50,"Međutim, ako promatramo život sv."
0:00:51,0:00:57,"Josipa, a imamo ovakve želje, onda trebamo nešto i naučiti."
0:00:58,0:01:08,"Večeras kao da je se evo Božja providencija složila da upravo bude, da se u Evanđelju spominje sveti Josip, a ne može biti bolja tema za muškarce od života sv."
0:01:09,0:01:10,Josipa.
0:01:11,0:01:18,"Zato dragi momci, prvenstveno vi koji se još niste oženili, ovi koji se oženili više ne mogu ništa ispraviti."
0:01:20,0:01:36,"Vi koji se još niste oženili znam da imate savršeno očekivanje, pogotovo vi mladi momci koji ste ono dobri vjernici, imate li visoku ljestvicu, tražite savršenu ženu i to je super."
0:01:37,0:01:46,"Kad imamo u sebi savršene želje, to je dar od Boga i Bog nas i potiče da uvijek težimo boljem, ljepšem, savršenije."
0:01:47,0:01:48,"Međutim, znate šta nije dobro?"
0:01:50,0:01:55,"Nije dobro kada očekujemo savršenu ženu, a nismo savršeni."
0:01:56,0:02:10,"Puno je muškaraca koji očekuju da imaju kod kuće savršenu ženu ili da imaju u vezi savršenu ženu, a sami ništa ne čine na svojoj vlastitoj savršenosti."
0:02:11,0:02:13,A koja je onda poruka prva sv.
0:02:14,0:02:15,Josipova svima nama?
0:02:17,0:02:29,"Ako vi momci ili vi muževi živite kao sveti Josip, onda će se na tvom putu i naći žena poput Marije."
0:02:30,0:02:35,"Ako vi radite na svom savršenstvu, onda ćete i naći savršenu ženu."
0:02:36,0:02:48,"Nažalost, puno puta fokusiramo se, pogotovo vi mladi koji ste u traženju životnog partnera, fokusirate se na to kako naći savršenu ženu, a ne vidite sebe."
0:02:49,0:02:56,"Sveti Josip je bio ponizan, bio je realan, vidio je sebe kakav je."
0:02:57,0:03:25,"Znate da neki teolozi, pa u jednoj knjizi se opisuje ovako ovo što se spominje u Evanđelju da Josip nije htio oženiti Mariju kad je planirao da je napusti, da je ostavi ne zbog toga što je ona bila trudna nego što je prepoznao da je to Božji plan i shvatio je da nije dostojan sudjelovati u tako jednoj priči otkupljenja, jednoj tako velikoj stvari."
0:03:27,0:03:32,Zato Andžio intervenira da mu potvrdi da ipak on taj koji je odabran.
0:03:34,0:03:44,"Zato molim vas, evo prvo što možemo naučiti od svetoga Josipa, nemojmo tražiti od drugih savršenstvo, već radimo na svom savršenstvu."
0:03:45,0:03:55,"Znate, ja radim sa svima, pa onda puno puta čujem da današnje žene ostaju razočarane u susretu sa nama."
0:03:56,0:03:57,Nije li nas malo sramota?
0:03:58,0:04:00,Nas muškarce treba biti malo sramota.
0:04:01,0:04:02,Ne smijemo žene razočarati.
0:04:03,0:04:05,"Ako si muž, budi muž."
0:04:05,0:04:14,"Budi muž, ako si dečko, budi dečko, ako si onaj koji se zanima za ženu, onda budi ti onaj koji prilazi ženji, a ne žena tebi."
0:04:16,0:04:20,"I što žene kažu, di su nestali pravi muškarci."
0:04:21,0:04:34,"Ovo nije kritika, ovo nam je svima poticaj da razmišljamo jer se danas puno raspravlja o toj temi, tko je pravi muškarac, kako izgleda pravi muškarac, da je izgubljen identitet pravog muškarca."
0:04:35,0:04:45,"A mi kao vjernici ako ćemo se u nekoga ugledati, onda nam treba primjer, a primjer su nam naravno najbolji pravog muškarca i oca, sveti Josip."
0:04:48,0:04:55,"Koliko vas ima obitelj, koliko vas je osnovati obitelj, ali što je u toj obitelji?"
0:04:56,0:04:58,Mi danas imamo veliki napad na obitelj.
0:04:59,0:05:02,Zašto danas nije teško uništiti jednu obitelj?
0:05:02,0:05:04,Zato što nije zaštićena Sunce moja.
0:05:06,0:05:09,"Danas obitelj, muškarac je zapostavio svoju ulogu."
0:05:10,0:05:12,Muškarac treba da štiti obitelj.
0:05:13,0:05:13,Uloga sv.
0:05:14,0:05:20,Josip u ovoj priči dolazi ići dolaska Sina Božjega jest bilo da štiti Josipu i Mariju.
0:05:21,0:05:30,"I Josip je onaj koji je odigrao svoj dio, štitio ih je, kad ih je trebalo izbaviti od zla, vodio ih je tamo, vraćao ih je ovamo."
0:05:31,0:05:49,"Danas nije teško sotoni uništiti jednu obitelj kad nema čvrste ruke, kad nema zaštitničkog muža, kad nema zaštitničkog brata, kad nema zaštitničkog prijatelja, kad nema zaštitničkog sina ili oca ili kako god hoćeš."
0:05:50,0:05:55,Prva uloga muškarca jest da je zaštitnik.
0:05:56,0:06:06,"Ako želimo imati svetu obitelj, onda bi se i dobru obitelj i složnu obitelj, onda bi se trebali ugledati na svetu obitelj."
0:06:07,0:06:14,"Dakle, danas nam se nameće jedna druga slika obitelji i tu morate jako paziti."
0:06:15,0:06:17,Što za vas znači obitelj?
0:06:18,0:06:27,Možete li reći da naše obitelji koje svi proizlazimo je poprilično sveta obitelj ili u tim našim obiteljima vlada kaos.
0:06:27,0:06:33,"Muž nemože živjeti ženu, žena ne može muža, djeca roditelje, roditelji djecu i opći kaos."
0:06:34,0:06:36,I šta tu džavo ima puno posla?
0:06:36,0:06:40,Nema jer mi riječima ubijamo jedni druge.
0:06:41,0:06:55,"Nigdje se ne spominje u Evanđeljima da je sveti Josip bio grubi, nigdje se ne spominje neka riječ koja me povrijedio Isusa Maloga ili Mariju nego je samo štitio."
0:06:56,0:06:59,Tko od nas ne osjeti kada te netko brani i štiti?
0:07:00,0:07:08,Tko od nas nije zahvalan nekome kad stane za tebe i preuzmete štititi i braniti ili hraniti?
0:07:10,0:07:26,"Zato dragi muževi, bilo da ste oženjeni, slobodni kako god, ako maštate o svojoj idealnoj obitelji, nakon što nađete ovu savršenu ženu, onda treba živjeti po principima svete obitelji."
0:07:27,0:07:29,Gledajte šta je vas muškaraca ovdje.
0:07:31,0:07:33,Jeste li vi svi svećenici u svojoj obitelji?
0:07:35,0:07:40,Nas je stid kao muškarce tamo gdje jeste preuzeti tu ulogu.
0:07:41,0:07:42,Po čemu ćemo to prvo vidjeti?
0:07:43,0:07:50,"Gdje ti je muški autoritet da svaki ručak i obrok ti kao muškarac kažeš, ne da te žena mora molit, ajmo se pomolt."
0:07:52,0:07:58,"Jel'i možeš reći da tvoja djeca vide od tebe molitvu prije ručka, prije spavanja, u kriznim situacijama?"
0:07:59,0:08:14,"Samo kad bi vi večeras pokrenuli, koji ste došli na ovu duhovnu obnovu, od sutra dođeš kući, kaže ženo, sad sjedamo za stol, prvo ćemo se pomolitiite već ste onda pravi muškarci."
0:08:15,0:08:21,"A dok gori televizija i ti si tamo sa daljinskim žena kuha, od toga nema ništa."
0:08:22,0:08:24,Tu džavo nema puno posla.
0:08:24,0:08:42,"Dakle, ako već pričamo o obitelji koja treba biti muškarac zaštitnički, drugo da preuzima ulogu u obitelji, a evo dobar primjer šta i sami možete napraviti, odlučiti se i reći od sutra u mojoj kući je molitva."
0:08:43,0:08:50,Koliko ja slušam žene jadne koje plaču i kažu plaćuju i kaže da nemaju u odgoju vjerskom nikakve podrške od muža.
0:08:50,0:08:54,Kaže ja kažem svom djetetu da ide u crkvu a muž kaže e pusti ga šta ga zamaraš.
0:08:56,0:08:58,Jer možda i vi tako kažete.
0:08:59,0:09:06,"Ili si ako si autoritet će šest sine ujutro u crkvu, ja s ovom čači to nisam snimio, jer da neće ići na mesu."
0:09:07,0:09:08,A šta je to danas?
0:09:08,0:09:11,"Svi smo tolerantni, tolerantni muževi."
0:09:12,0:09:25,"Dakle preuzmite ulogu, budite i zaštitnički nastrojeni, ali svi danas nešto žele biti frajeri, a odakle jednom dobrom muškarcu proizlazi snaga?"
0:09:26,0:09:32,"Ne iz toga ni što si poznat ni bogat ni moćan, iza svakog pravog muškarca proizlazi snaga iz obitelji."
0:09:33,0:09:39,"To je motor tvojeg uspjeha, tvoje snage i smisao tvojeg života."
0:09:40,0:09:45,"Dakle, iz obitelji, kad iza tebe stoji zdrava dobra obitelj."
0:09:46,0:10:05,"Zato evo, kad gledate čime je to Josip osvojio Mariju, ja gledam vas danas mlade pogotovo, vi ovi tugo moja, pa vi ove cure, pa to ne možeš dobiti ni sa autom, ni sa večerama, ni s poklonima, ni s haljinama, ni s ovim, ni s onim."
0:10:07,0:10:33,"Dakle to kad vodiš društvene mreže, to se sve svelo na materijalno, ženama, curama ste sve omogućili, to je dobro, super ako možete, nemam ništa protiv toga, samo vam postavljam pitanje, nešto ste fulali, ako date ženama sve, a s druge strane one su pored vas nesretne, nešto ne štima, nešto ne stima."
0:10:34,0:10:52,"Daj si postavite pitanje da li bi ta žena bila s tobom da nimaš ništa, da li bi ta žena bila s tobom da si siromašan, da li bi ta žena ostala s tobom da propadne tvoja firma, da li bi ta žena ostala s tobom da te ne znam strefi srčani i da si invalid."
0:10:55,0:11:03,"Marija nije izlazila svjesno na večere, nije dobijala poklone skupe stvari, ali se osjećala voljeno i zaštićeno."
0:11:04,0:11:05,To ženama treba.
0:11:06,0:11:12,"Ukoliko je žena kreteve stoji kofiku sa ti je samo zaljevaš poklonima, darovima, ona neće nikada biti sretna."
0:11:12,0:11:16,Ja vam to govorim otvoreno iz iskustva jer ja slušam ispovijedi i razgovore žena.
0:11:18,0:11:30,"Necija ljubavi i pažnja se ne može kupiti, može privremeno pozornost dobiti, ali stvar je od toga hoće li netko kreteve biti sretan kad nemaš ništa, da te cijeni."
0:11:31,0:11:32,Zato tu pazite.
0:11:33,0:11:38,"Kad već molite, trudite se, onda i nađite nekoga tko će biti s tobom kad nemaš ništa."
0:11:39,0:11:48,"Ne obasi pa odmah daro Obaci pa je od madarovima materijalnim, već obaci pa je duhovnim, obaci pa je konkretnim gestama ljubavi, otvorenošću."
0:11:48,0:11:50,Šta je s vama momak danas?
0:11:51,0:11:56,"Idete na kave sa curom na prvi dejti, pričate o igricama u autu, o svemu."
0:11:57,0:12:04,"Dođi nas dejti, reci ženi, slušaj, ćeš biti sa mnom, ja želim petero djece i onda gleda je facu kako reagira."
0:12:08,0:12:09,Ozbiljno vam govorim.
0:12:10,0:12:15,"Ako ode s kave, hvala Bogu, nije za tebe, makar nema petero djece, samo testira."
0:12:16,0:12:17,Zašto govorim?
0:12:17,0:12:19,Okrenite priču na vrijednosti.
0:12:21,0:12:29,"Ako želite upoznati, okrenite na vrijednosti jer ovako je sve pretvaranje jer mi živimo u lažnom svijetu, to nemaš pojma tko ga laže više."
0:12:30,0:12:31,"Sve super, a ništa nije super."
0:12:32,0:12:40,"Jel znate koliko toksičnih brakova, toksičnih veza ima i s njima kao sve dobro, ništa nije dobro i svi svako sebe laže."
0:12:41,0:12:45,"Zato vam to govorim, zato jednostavnost."
0:12:47,0:12:55,"Šta jedan muškarac jošac onaj koji grmi, koji galami."
0:12:56,0:13:01,"Znači sveti Josip nikad nije, ne piše barem tamo da je se grubo ponašao prema Mariji."
0:13:02,0:13:10,"Sveti Josip nikad nije udario, a primio je udarce, primio je udarce."
0:13:12,0:13:13,Dakle to je pravi muš.
0:13:13,0:13:23,"Nije muš onaj koji je autoritet žen da je tuče, da galami na nju, da je emocionalno iscrpljuje, već onaj koji je sposoban trpiti, primati udarce za nju i braniti je."
0:13:24,0:13:25,Razumijete?.
0:13:26,0:13:28,E tu je onda moć.
0:13:29,0:13:31,Zašto je to Sveti Osipravdio?
0:13:31,0:13:35,Jer je čuvao Marino dostojanstvo i čistoću.
0:13:36,0:13:41,"Baš mi je potrebno da naglasim tu riječ, čuvao dostojanstvo i čistoću."
0:13:42,0:13:51,"Monci čuvajte dostojanstvo svojih žena u svakom kontekstu, bez obzira da vas to opet ponavljam, moženjeni ili slobodni ili ste u vezi."
0:13:52,0:13:54,Čuvajte dostojanstvo svojih žena.
0:13:56,0:14:06,"Ta uloga zaštitnika mora proći iz našeg srca, srca koje ima stav poslušnosti."
0:14:08,0:14:22,"Kad ja kažem zaštitnički, neki tu riječ pogrešno razumiju, neki muškarci misle zaštitnički da sam ja krkan i da kad ja kažem sada ovako, ovako, ovako, ne smije nitko ništa, nažalost ima i takvih stavova."
0:14:23,0:14:32,"Veliki jak autoritet i zbog straha neće nitko ništa u kući, djeca ne smiju progovoriti ništa, žena ne smije ništa progovoriti jer je on zaštitnički kaže nastrojen."
0:14:33,0:14:43,"Znate kad je to zaštitnički ispravno, upravo sam rekao, ova uloga zaštitnika uvijek mora proživjeti kroz srce poslušnosti Bogu."
0:14:44,0:14:49,"Sveti Josip je bio zaštitnički nastrojen, ali stalno bio poslušan Bogu."
