Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:12,"Rekao bih da isključujem mogućnost svijesti kakvu bismo je konceptualizirali kod ljudi, jednostavno kao posljedicu sve većeg broja računalne snage."
0:00:13,0:00:35,"Međutim, rekao bih da ako oduzmemo tu pojmovanje svijesti od definicije AGI-ja, bio bih otvoren i mislim da je vjerojatno da ćemo imati oblik AGI-ja koji nije svjestan, u kojem se primjenjuje u općem području, a ne samo u uskom obliku umjetne inteligencije."
0:00:35,0:00:37,Ali mislim da bismo trebali odvojiti ove dvije pojmove.
0:01:12,0:01:14,"I nema nikoga tamo, zar ne?"
0:01:14,0:01:23,"Jer imamo tendenciju da gledamo na izvedbu, površinsku izvedbu kao na vezu, lokus za intimnost, zar ne?"
0:01:23,0:01:25,"Dakle, sve smo više povezani."
0:01:25,0:01:32,Stvarno smo sve više izolirani.
0:01:35,0:01:38,"Steven i otac John, hvala vam puno što ste danas ovdje s nama."
0:01:38,0:01:46,"Možete li nam malo reći o, mislim, napretku koji se, nadam se, postiže tijekom ovih dvaju dana na forumu u vezi s umjetnom inteligencijom i svjesnošću?"
0:01:46,0:01:46,Sigurno.
0:01:47,0:02:02,"Mislim da je to bio jedan od najzanimljivljivijih skupina za raspravu u kojima sudjelujem, koja se bavi katoličkim Turingovim testom, a to je između narukvica jer to točno znači da zapravo ne isključujemo nikakve ideje."
0:02:02,0:02:07,"Dakle, ako želimo upotrijebiti analogiju, to je sinodalni proces slušanja, zar ne?"
0:02:07,0:02:16,"I naravno, imate jače glasove, možda imate više introvertiranih glasova koji su zapravo samo pokušavaju slušati, možda će baciti neku ideju, pa zapravo ne isključujemo nikakve mogućnosti."
0:02:16,0:02:25,"I vidimo puno napetosti, kao što smo ranije raspravljali, postoji malo solipsizma kad počnemo govoriti o ideji svijesti, zar ne?"
0:03:00,0:03:02,Što bi katolik nazvao svijesti?
0:03:02,0:03:06,I rekao sam da bismo trebali započeti s katoličkom antropologijom.
0:03:07,0:03:14,"A Stephen, možda prije nego što počnemo razbiti te pitanja, što je Turingov test u najjednostavnijem načinu za našu publiku koja možda ne zna?"
0:03:14,0:03:21,"Da, razvio ga je Alan Turing pedesetih godina s Turingovim strojevima, dakle, rudimentarnim računalima."
0:03:21,0:03:37,"U osnovi, ako bih mogao sažeti da bi bilo lakše za one koji nisu upoznati s računalima, ako ne možete reći, ako ljudski korisnik razgovara s interlocutorom na zaslonu, ne vide osobu licem u lice,ice, zar ne?"
0:03:40,0:03:47,Ako ne mogu razlikovati odgovore koje vide na zaslonu kao ljudske ili iz stroja.
0:03:47,0:03:54,"Dakle, ako su dovoljno uvjereni da su ljudi, što to govori o samom stroju, zar ne?"
0:03:55,0:03:55,Što to znači?
0:03:56,0:04:06,Kakva je to odgovornost kad dođemo do zaključka da ne mogu razlikovati odgovore kao ljudske ili stroja.
0:04:07,0:04:12,"Zato smo razgovarali o tome, jer to dovodi do pojmova svijesti i u biti."
0:07:48,0:07:51,I zato je to na dugoročnoj razini štetno za vas.
0:07:51,0:08:04,"Ali, znate, Steven, možda ćemo za, recimo, pet, deset godina nastaviti raditi na ovim inovacijama i nastaviti dolaziti do, znate, možda AGI-ja ili ASI-ja, znate, bit će li umjetna inteligencija u tom smislu svjesna?"
0:08:04,0:08:12,"Mislim, to je, znate, to je ono što čujem, barem, znate, to čujete u Silicijskoj dolini, ljudi kažu, dvadeset, trideset, pazite, sve će se promijeniti."
0:08:12,0:08:13,Kako na to reagirate?
0:08:14,0:08:19,"Pa, rekao bih da isključujem pojam svijesti, bez obzira na to kako je želimo opisati."
0:08:20,0:08:25,"Možemo je opisati, na primjer, s obzirom na moj filozofski i do neke mjere teološki pozadinski."
0:10:48,0:10:51,Stvarno postajemo sve više izolirani.
0:10:51,0:11:02,"Što mislite da će to učiniti nama kao ljudima, nama kao društvu, da smo okruženi ovim utjelovljenim umjetnim inteligencijama, ovim slikama, ovim izvedbama koje su u biti prazne?"
0:11:02,0:11:10,"Imamo statistiku na Malti, koja pokazuje da se pedeset posto svih ljudi osjeća usamljeno, usamljeno."
0:11:10,0:11:15,"Dakle, nalazimo se u fazi u kojoj smo najviše povezani, a polovica ljudi se osjeća usamljeno, zar ne?"
0:11:15,0:11:18,"Dakle, postoji nesklad ovdje ili postoji nešto što ne radimo pogrešno, zar ne?"
0:11:19,0:11:22,"Dakle, ova povezanost zapravo ne isplati, zar ne?"
0:11:23,0:11:25,I mislim da se riječ na koju se obraćam.
0:12:36,0:12:45,"Ako nešto crtate, ako sjedite i uživate u čaši vina, pušite cigaru, što god prije, i gledate zalazak sunca, radite nešto vrlo neučinkovito."
0:12:45,0:12:47,"Ali to je ono što vas gradi, zar ne?"
0:12:47,0:12:53,To je ono što vas gradi jer ste u kontaktu sa svojom ljudskosti i građujete s ljudskosti.
0:12:53,0:12:59,"Ali čini se da sve što radimo, svi koji rade na ovim problemima pokušavaju učiniti suprotno."
0:12:59,0:13:03,"Pokušavaju nas učiniti učinkovitijima, izoliranijima, optimiziranijima u tim smislenjima."
0:13:03,0:13:06,Ali osjećam da u tom smislu postajemo više poput robota.
0:13:06,0:13:11,"Da, mislim, očito, možda da budem jasan, nema ništa loše u učinkovitosti, ali mislim da je učinkovitost na pravom mjestu, zar ne?"
0:13:12,0:13:13,"Dakle, ako možemo jasno reći."
0:13:13,0:13:18,"Ako možemo ukloniti dosadne stvari, stvari koje nas zapravo odvlače od možda više ljudskih stvari."
0:13:18,0:13:23,"Dakle, idealno je da svi imamo vremena za provoditi s obitelji, s prijateljima, radeći stvari koje su nam važne."
0:13:24,0:13:25,To bi bila ideja.
0:13:25,0:13:39,"Naravno, mislim da zbog toga što možemo zaboraviti na umjetnu inteligenciju, zbog šire kulture u kojoj živimo, barem na Zapadu, koja je obilježena kapitalizmom i produktivnošću."
0:13:39,0:13:43,"Dakle, ako niste produktivni, imamo dostojanstvo i vrijednost."
0:13:43,0:13:46,Vaša vrijednost kao ljudska osoba ovisi o tome koliko ste produktivni.
0:13:47,0:13:50,"To vidimo kad raspravljamo o ljudima koji su stariji, zar ne?"
0:13:50,0:13:54,"Više ne možete raditi, pa ste teret za društvo, zar ne?"
0:13:55,0:13:57,"Dakle, ako je vaša vrijednost, zar ne?"
0:13:57,0:14:02,"Ili ljudi kažu da rastemo u kulturi u kojoj je moja vrijednost vezana uz moju produktivnost, zar ne?"
0:14:02,0:14:09,"Što je već, počeli smo s lošom pretpostavkom, što stoga dovodi do ostatka stvari koje vidimo u kulturi oko nas, zar ne?"
0:14:10,0:14:15,"Dakle, mislim da je to opet, a to je postojalo prije, znate, ovog masovnog porasta umjetne inteligencije i sve ostalo, zar ne?"
