Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:16,"A danas nam je u gostiju na intervjuu došao Vlaho Hrdalo, predsjednik Hrvatske udruge za blockchain i kriptovalute ili ti UBIKA."
0:00:17,0:00:18,Vlaho dobrodošao.
0:00:20,0:01:35,"Osnovan si dvije tisuće sedamnaest registriran i dvije tisuće osamnaest e sad daj mi malu usporedbu zajednice informiranosti ljudi svijesti o kript uopće danas i prije tih šest sedam godina što se promijenilo i koliko molim te da su stvari jako različite recimo Imamo dvije tisuće sedamnaest to je da mi smo krajem dvije tisuće sedamnaest osnivali onda je početkom osamnaest odobreno to to je bila još uvijek jedna jako nišna zanimacija čak rekao bih nije ja nisam mislio da će se to ikad pretvoriti u ono što je danas da svjetski mediji vodeći obavještavaju o tome da imate gore tiker koliko se bit kojim kreće i tako nisam ja tako zamišljao ali eto mene je taj razvoj kripta iznenadio u smislu te neke opcije koja ona se često spominje kao ono kad će se kripto postati mainstream do te mjere da je ono svugdje ne znam ali činjenica je da je puno lakše razgovarati s time, s ljudima koji nisu toliko u tome uključeni zato što su ili čuli za to ili se netko njima blizak za to zainteresirao, možda čuli za ubik ili su nažalost nekad čuli za neke loše stvari koje se događaju, ali mislim to je dio odrastanja bilo kakve neke nove industrije."
0:01:36,0:02:02,"I danas je to tako na jednoj razini koja mislim da je dosta visoka, govorim konkretno o Hrvatskoj jer evo iskoristit ću priliku, mi sad baš za par dana imamo u Dubrovniku jednu malu konferenciju regulatornu koju organiziramo zajedno s HANFA-om i Sveučilištem u Dubrovniku, a naglasak na HANFA-u i dakle to je uistinu specifikum da udruga krovna koja okuplja jednu industriju zajedno sa regulatorom te industrije organizira konferenciju i mislim da je to nešto čime smo čuli."
0:02:02,0:02:07,"Pa onda još jedna stvar, znači regulator nas pita, regulator sluša traži li vas savjete?"
0:02:08,0:02:10,"Pa imam odličan odnos s njima, stvarno uistinu otvoren."
0:02:11,0:02:33,"Ne mogu reći da nas traže savjete, to bi možda bilo malo pretenciozno, ali uvažavaju nas, to je jedna stvar i ono gdje vidimo da uistinu drže do toga što kažemo je, ne znam koliko je tu poznat sa konceptom e-savjetovanja generalno koji se događa, ali to je nekakva tekovina demokracije gdje se glasače, narod prvo pita što misle o nekom zakonu prije nego što ga se donese."
0:02:34,0:02:54,"Neki zakoni koji su se nas ticali kad su bili na e-savjetovanju Osim što smo isticali neke prigovore, primjedbe, savjete, većina mogu reći, neću reći svi, ali većina naših inputa je ili uzeta u obzir ili razmotrena ili je direktno usvojena, unesena u nekakve zakone i pravilnike, tako da s te strane ne mogu reći da nema mjesta za napredak, uvijek ima, ali zadovoljni smo."
0:02:55,0:02:58,Kako je hrvatska kripto scena u usporedbi s regijom?
0:03:00,0:03:27,"To se isto jako promijenilo, evo ako ćemo potegnuti paralelu s ovim prvim pitanjem, dvije tisuće sedamnaest kad smo mi nekako gledali sa sjetom i zavisti prema sloveniji i srbiji jer su bili u nekim stvarima dosta ispred nas nama će sad ti isti ljudi jer znate šta je taj komunitet se razvija nekako kor ljudi koji se sa svih strana nalazi su uglavnom isti, malo se mijenjaju, će nam reći i ovo i kako ste nas prešišali ovih sedam osam godina njihove riječi, ne moje."
