Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:11,"Poštovani gledatelji, pratite intervju tjedana na cryptover.hr."
0:00:12,0:00:18,"Današnji gost je Nikola Gumac, prvi čovjek Tespiana, Full Cycle Software Development kompanije."
0:00:18,0:00:22,Naravno i Tespian i Nikola su duboko u blockchainu.
0:00:23,0:00:24,"Nikola, dobrodošao."
0:00:25,0:00:26,Dobro večer i hvala na pozivu.
0:00:26,0:00:33,"Evo, dugo smo, dugo smo dogovarali ovaj naš susret, ovaj razgovor o intervju, ali zapravo moment je ispao savršen."
0:00:34,0:00:43,"Dakle, dogodilo se ono što su svi očekivali ili bolje rečeno priželjkkivali, bitcoin je premašio i tu psihološki bitnu tu okrugu razinu od sto tisuća dolara."
0:00:43,0:00:51,"E sada, koliko je bitan taj po moment, na kojim razinama pa čak i sa one marketinške strane?"
0:00:52,0:01:21,"Pa prije svega naravno veliki trenutak za bitcoin, za sve koji su u kriptu, mislim da sa ovim prelaskom sto tisuća ulazimo u jednu novu fazu i to su nekako najzanimljivije faze iako smo i do sad bili već prošli taj all time high nekako je ta barijera od sto tisuća, pretpostavljam i ona iduća koja će biti nadamo se milijun ipak jedan limit koji je lijepo premašiti i sad ulazimo u uncharted teritorij, jedan dio istraživanja opet tržišta."
0:01:21,0:01:30,"Da li će to sad značiti da će odjedanput početi novi kapital, novi ulagači ulaziti u tržišta ili neće, trebamo to vidjeti naravno."
0:01:31,0:01:41,"Meni je recimo iznimno zanimljivo vidjeti sad kako će se taj novi limit odraziti na ostatak tržišta, na druge tokene koji također ajmo reći očekuju nekakav daljnji rast."
0:01:41,0:01:57,"Dakle, stotka je tu i prije kraja godine, pa naravno, stigla je prije kraja godine, pa onda i prije inauguracije Trumpove koja je zakazana za dvadeset jedan Pretpostavljam da je ovo ipak bilo očekivano s obzirom na streloviti rast nakon američkih izbora."
0:01:57,0:02:02,Složio bi se s tobom da mislim da je nekako bilo logično da će se to dogoditi.
0:02:03,0:02:18,"Koji su prema tebi glavni okidači, dakle koji su to triggeri da se konačno preskočilo sto k da se savladao taj čvrsti otpor koji je bio na toj razini da se savladaju, nadvladaju oni koji su uzimali profit?"
0:02:19,0:02:30,Pa mislim da svakako unazad nekakvih pola godine su se počele na tržištu događati zanimljive stvari i ITF-ovi su se pojavili i mislim da se ulagačka struktura promijenila.
0:02:31,0:02:45,"Također svakako prošli smo jedan turbni dio te kriptozime koja je uzela svoj danak, sad nekako ljudi su rekao bi bili već očajni i jedva čekali da se to tako i trebalo izdržati."
0:02:45,0:02:56,I sad ono bilo je po meni dosta ovaj nekakvih up and downs kroz koje nije bilo jasno je li to pravi sad bull jer krenuo ili nije krenuo.
0:02:57,0:03:11,"I nego kad je taj bitcoin probio stari all time high i sad pogotovo sa stotkom mislim da možemo već sa sigurnošću reći da je ono, zima gotova iako smo kalendarski u zimi i da sad zaista stvari kreću."
0:03:12,0:03:21,"Mislim da će ciklus biti nešto drugačiji nego oni do sada, ali to je eto na nama svima da vidimo kako će to ispasti."
0:03:23,0:03:42,"Jedan od neposrednih trigera, jedan događaj koji se spominje kao neposredni trigger je objava Donalda Trumpa u srijedu da će nominirati Pola Atkinsa da vodi Komisiju za vrijednosne papire i burzu ili ti SSI, dakle on bi trebao zamijeniti Gerija Genslera, radi se inače o bivšem povjereniku SSI-a za vrijeme George W."
0:03:42,0:03:46,"Busha, ali i čovjeku koji je proklamiran i podupiratelj kripta."
0:03:47,0:03:54,"Što očekuješ od tog novog vodstva trenutno najbitnijeg regulatora za kript, dakle SSI-a?"
0:03:54,0:04:13,"Pa pretpostavljam da će doći do ublažavanja određenih procesa prema kriptu, iako naravno svi smo mi svjesni da je regulativa pozitivna, samo ona treba biti vođena na način da se daje podrška i kripto zajednici odnosno svima onima koji pokušavaju nešto napraviti."
0:04:13,0:04:22,"Bitno je da se drže pravila, bitno je da se nikome ne našteti, tako da je regulativa dobra, samo nju je moguće provoditi na više načina."
0:04:23,0:04:50,"Pretpostavljam da će sad sa novim vodstvom SEC-a ta politika malo se zakrenuti na neku pozitivniju, na neku politiku koja zapravo vidi kripto kao važan faktor, važan dio neke buduće ekonomije, trenutne na kraju krajeva sa kojom treba zapravo surađivati i zajedno graditi jednu novu budućnost, jednu novu ekonomiju, kripto ekonomiju koja će definitivno sve više ulaziti u mainstream."
0:04:51,0:04:56,Što bi doista mogla biti jedna sasvim nova faza za razvoj kriptovaluta.
0:04:56,0:05:02,U srijedu su izašle još dvije vijesti koje su sasvim sigurno imale utjecaja na rast BTC-a.
0:05:03,0:05:14,"Čelnik Feda, Jerome Powell, po prvi je puta govorio o bitcoinu kao o normalnom assetu usporedivši ga sa zlatom, a Vladimir Putin pak izjavljuje da BTC nitko ne može zabraniti."
0:05:14,0:05:19,"Koliko važnim ocjenjuješ ove dvije izjave za prolazak, probijanje tih stoka?"
