Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:11,Poštovani gledatelji pratite intervju tjedna na cryptoverse.hr.
0:00:11,0:00:16,"Današnji gost je Dino Jovanković, head of business development u Umbrella Networku."
0:00:16,0:00:21,Umbrella je svojevrsni konkurent chain link-u bez kojeg je DeFi nezamisliv.
0:00:22,0:00:23,"Dakle, Umbrella je Oracle."
0:00:24,0:00:25,"Dino, dobrodošao."
0:00:26,0:00:26,Hvala vam na pozivu.
0:00:27,0:00:34,"Evo dotaknut ćemo se naravno i Umbrelle, ali ajmo krenuti sa pretresanjem nekih najbitnijih tjednih događaja."
0:00:34,0:00:38,Prilično veliku paniku na tržištu izazvala je prezentacija BIO-a.
0:00:38,0:00:49,"Dakle, Googleovog kvantnog komputera i to radi fame da će kvantni kompjuteri probijati enkripcije voleta kao šale da sigurnost kojom nudi blokchain odlazi u povijest."
0:00:49,0:00:51,Koliko su realni ti strahovi?
0:00:51,0:01:07,"Vrlo zanimljivo pitanje jer odgovor ne može biti sigurno jednostavan po tom pitanju, vjerojatno ovisi o više faktora, o samoj sigurnosti blokchaina, o samoj enkripciji i o tezi koja je postavljena da je to stvarno tako jak kvantni komputer predstavljen da je on zapravo danas dostupan."
0:01:07,0:01:17,Gdje ćemo biti dvije tisuće trideset ili dvije tisuće četrdeset to je samo pitanje a gledajući a i danas ili gledajući a i prije godinu dana ili možda za par godina realan strah postoji sigurno.
0:01:18,0:01:38,"E sad, iako VILOV nema ni izblizu tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, računalnu snagu da bi mogao probiti, recimo, bitcoinovu, mrežu, ima nekih sto kubita, mislim da je za bitcoin treba milijun kubita, ipak projekcije kažu da bi za pet do deset godina to moglo biti moguće."
0:01:39,0:01:47,"Dakle, kako se kripto projekti planiraju braniti protiv tih, eventualnih napada kvantnih kompjutera, mrežnim ažuriranjima, kako?"
0:01:48,0:02:00,"Jako dobro pitanje, pitanje je što će to biti, da li će se tu pojaviti možda neki, novi, blok, čajni koji će sa sobom nositi, neke, neke sigurnosne mjere koje do sad nisu bile postavljene od samog starta jer tako se uvijek najčešće odigravao."
0:02:00,0:02:08,"Evo, igra mačka i miša samo na nekom high-end nivou, a sad daljnje predikcije oko toga teško mi je davati u ovom trenutku."
0:02:08,0:02:10,"No, za sada je strah bezrazložen."
0:02:10,0:02:10,Vidjet ćemo.
0:02:12,0:02:13,"O, ajmo na BTC."
0:02:14,0:02:29,"Činjenica je, barem se meni tako čini, da taj hype, nakon što je pređena granica od sto tisuća dolara, da taj hype nije bio ni izbliza onolik koliko je bilo u prošlom bulu, koliki je FOMO bio u prošlom bulu ja mislim da smo tek na početku."
0:02:29,0:02:50,"Znači, sami početci su uvijek teški, postoji jedna poznata stvar u marketingu, nisam marketinški čovjek pa me nemojte uhvatiti za riječ, ali kažu da ljudima je potrebno otprilike dvadeset puta da čuju jednu te istu stvar prije nego što odluče na samu akciju da stignu buy na nešto, da li je to kriptovaluta ili da kupe neki novi proizvod za koji nikad nisu prije čuli."
0:02:50,0:02:54,Znači moraju dvadeset puta vidjeti brand negdje objavljen ili moraju ljudi pričati o tome.
0:02:55,0:02:58,Tako da mislim da smo na nekom samom početku.
0:02:58,0:03:04,"Ja često pričam sa ljudima iz industrije i meni dolaze DM-ovi od prijatelja što će biti, kad će biti cijena."
0:03:05,0:03:09,"Ponavljam, mislim da smo tek na početku i mislim da neko ludilo tek sad dolazi."
0:03:09,0:04:29,"Evo u Kriptusom dvije tisuće sed sedamnaest vidio sam raznih scenarija i to je po mojoj procjeni tek sam početak koliko će to ludilo trajati pitam u kontekstu donolda trumpa i dolaska njegove administracije na čelo sad dakle dvadeset jedan sljedeće godine inauguracija kako vidiš tu cijenovnu akciju kroz sljedeću godinu kako vidiš poteze administracije i na kraju krajeva ovo što sam te pitao na početku koliko će to sve skupa trajati jako dobro pitanje inače je pitanje uvijek do koje cijene ide bit kojim ja više volim pitanje koliko će trajati možeš odgovoriti ja sam bio iz one faze, uvijek ponavljam tu dvije tisuće sedamnaest ali sam došao iz te faze gdje stvari kao što su vlade koje dolaze i su pro kripto ili against kripto bio sam u modusima gdje kina zabrani kripto pa onda sljedeća nešto odbrani pa onda neka druga država dođe kaže ne može pa kaže može te stvari su za mene samo nešto što odgađa neodgodivo ako je recimo negativno ili ako u slučaju trumpa samo pospješuje brži rast nečega tako da ljudi često pitaju što bi bilo da je kamala dobila izbore da bi kripto više napred moja mišljenja da bi definitivno više napred samo može samo možda takva manija ne bi bila iza toga."
0:04:29,0:04:41,"Tako da nije Trump ne znam svetac po tom pitanju, ali hvala mu lijepo ako će poboljšati ovu industriju u nekom naglednom događanjima u sljedećoj godini barem toliko."
0:04:42,0:04:46,"Što se tiče predviđanja koliko dugo će trajati, to je bilo organovno pitanje."
0:04:47,0:04:49,Mislim da ima i potpitanje.
0:04:49,0:04:50,"Ima i potpitanje, ok."
0:04:51,0:04:51,Ili da čekam.
0:04:52,0:04:57,"Ne, ne kažem zato što sam te pitao i možeš slobodno reći koliko će biti taj all time high na mreži."
0:04:57,0:05:05,"Da, to nažalost ne mogu reći, ali ono što mogu reći, neko financijski savjetan mogu reći kad ja planiram prodavati i tu ću biti vrlo precizan."
0:05:05,0:05:06,Supreme.
0:05:06,0:05:08,Znam da to ljudi ne vole govoriti.
0:05:09,0:05:14,"Ja ne znam po kojoj cijeni će prodavati, ali po nečemu što se zove tehnička analiza, što ja osobno jako volim."
0:05:15,0:05:23,"Naravno, fundamentalna analiza je nešto što se jako često spominje, ali tehnička analiza je nešto što nam grafikoni govore ako se i malo kužimo u sam taj proces."
0:05:24,0:05:27,"Ja sam pročitao par knjiga na tu temu, pa imam i osoban interes."
0:05:27,0:05:49,"Po mojoj procjeni, ja vidim kraj devet mjesec dvije tisuće dvadeset pet godine uz potencijalno naravno pad ili ti ga krah u negdje oko pet mjeseca razlog tome je najčešće jedna stara poslovica selin mei sell in May and go away gdje samo tržište zna ići downhill preko ljetnih mjeseci."
0:05:49,0:05:54,"Koji je razlog za tome da li ljudi idu na ljetovanje ili što ili su neke druge špekulacije, manje je važno."
0:05:54,0:06:01,"Ja tu vidim neka dva pika, May i September kao dva mjeseca, kao meni osobnu strategiju koju ću ja koristiti."
0:06:01,0:06:05,"Da li će se to pokazati točnim, ne znamo, ali se pokazalo točnim u zadnjim dva ciklusa."
