Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:20,"Poštovani gledatelji, pratite intervju tjedna na cryptovers.hr, agozanašnje emisije, Crypto Entuziast i osnivač portala, Facebook grupe, a sada i YouTube kanala, moj kripto, Vedran Mijatović."
0:00:20,0:00:22,"Vedran je, dobrodošao ponovno u studio Kriptoversa."
0:00:23,0:00:24,Hvala i bolje osnašeno.
0:00:25,0:00:35,"Ok, ovako, bio si nam u gostima prije nekih šest mjeseci kada se Bitcoin kretao na razinama od 75.000 dolara cirka."
0:00:35,0:01:19,"cc prije nego što je bio porastao naravno potaknut Trumpovom pobjedom na izborima u SAD-u postavio je rekord na sto devet tisuća dolara nešto više da bi ga onda najavila carina opet spustila na sedamdeset pet čak i ispod sedamdeset pet k i eto nas sada sa novim all time hajom neznatno iznad onog prethodnog jesli li očekivao više razine u ovih šest mjeseci pa kao prvo evo sve ono što se događalo od trumpa ovamo stvarno je bilo turbulentno prvo smo imali jedan totalni uzlet i totalno jednu euforiju u kripto zajednici što se tiče kripta i Trumpovih svih najava, vidjeli smo već prvi korak da je oslobodio Rosa Ubrekta koji je bio dugogodišnju kaznu i služio."
0:01:20,0:01:26,Znači dalo je naznačiti da će se donekle te njegova obećanja što se tiče kripta ipak i ostvariti.
0:01:27,0:01:50,"Do toga je svega došlo, međutim onda nakon inauguracije negdje je bio i sa najavom i zapravo s njegovim ulaskom u zapravo taj prostor je došlo do strašnog pada i vidjeli smo kako je to nakon inauguracije i nakon sad svih tih najava tarifa on je stvarno nepredvidiv lik i to što radi to je ono presedan za jednog predsjednika u više sfera i više slojeva."
0:01:51,0:02:16,"Tako da evo ga isto tako se zapravo ta cijela, cijeli kriptoprozor se kako je prodisao tako se naglo povukao da bi sad konačno ipak vidjeli uslijed toga da konačno je jasno da dolazi do neke regulatorne jasnoće, da imamo i bipartizan nekakve zakone koje podržavaju obje strane, da se ipak taj prostor čisti i da dolazi do nekakvog boljeg environmenta da može cijela zajednica raditi."
0:02:16,0:02:21,"Tako da očekivano je u tom smislu, ali ta dinamika nitko nije mogao predvidjeti."
0:02:21,0:02:25,"Pogotovo u SAD-u, naravno da kao predvodniku cijele kripto industrije."
0:02:25,0:02:30,"Ok, sada imamo novi rekord, bitcoin je u takozvani fazi otkrivanja cijene."
0:02:31,0:02:32,Što slijedi dalje?
0:02:32,0:02:40,"Dalje, je li to to za sada, nastavlja li bitcoin sa rastom, kako vidiš to kratkoročno kretanje cijene?"
0:02:40,0:03:12,"Pa evo svi znamo da je do nekako do sada smo imali taj obrazac da je maj odnosno pet mjesec taj u kojem se treba prodati jer slijedi jedan period letarge i kroz l ljeto kad je i likvidnost manja i manje se toga događa, tako da bi bilo logično očekivati da će sad u sljedećih par dana možda bitkoin doseći neki svoj lokalni top pa onda tek krajem godine odnosno krajem ljeta, ali isto tako svjedočimo i da su obrasci potrgani i pokupani i da ih to više ne vrijedi ništa i jedino što znamo je da nitko ništa ne zna."
0:03:12,0:03:25,"Tako da ja mislim da ćemo još malo ići prema gore pa da će biti opet onih krokodilskih zubi o kojima smo pričali, ali da će kraj godine i zapravo drugi dio godine da ćemo vidjeti znatno veće brojkeka?"
0:03:26,0:03:27,U zadnjem kvartalu.
0:03:28,0:04:13,"O, imamo sada znači rast cca pedeset posto od tih sedamdeset četiri i pol koliko je bilo sedamčetiri radi tarifa radi trgovinskih ratova i naravno sada se budi fomo što odgovoriti onima koji žale što nisu iskoristili tu priliku dakle što nisu kupili bitcoin na popustu i pitaju kupiti li sada ili ne da uvijek zapravo odgovor na to pitanje kad govorimo o bitcoinu zapravo uvijek jednak a to je da ga ako ga mislite kupiti da bi kratkoročno zaradili nemojte to raditi, bit ćete u velikom stresu, ne znamo šta će vam se dogoditi, ali ako malo proširite sliku, ako je vaš horizont ulaganja nešto duži onda je bitcoin zapravo uvijek bila dobra kupnja."
0:04:14,0:04:17,Na današnji dan svi koji su ikad kupili bitcoin su u plusu.
0:04:17,0:04:24,"I evo, znate ako nešto Michael Seller kaže, nikad nitko nije izgubio tko je kupio bitcoin sa današnjim danom, da."
