Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:23,Poštovani gledatelji pratite intervju tjedna na cryptoverse.hr a danas mi u studiju zravojstvo pozdraviti Kristijana Joksimovića osnivača jednog od vodećih regionalnih YouTube kanala posvećenih digitalnoj imovini koji se zove CryptoHrvatska.
0:00:24,0:00:26,"Kristijane, dobrodošao u studio Cryptoversa."
0:00:26,0:00:28,Hvala na pozivu i pozdrav svim gledateljima.
0:00:29,0:00:34,"Evo da otvorimo razgovor, znači čim drugim nego sa prošlotjednim Crnim petkom za kriptovalute."
0:00:34,0:00:46,"Dakle dogodio se taj strmoglav pad kriptovaluta, količina likvidacija je otkupljena nešto manje od dvadeset milijardi dolara namašuju čak i oni iz FTX-a i Teraluna slomova, realno je slota vjerojatno i veća, pitanje je koliko su burze prijavljivale."
0:00:47,0:00:49,Pa što se to zapravo dogodilo?
0:00:49,0:01:15,"Tako je da imali smo taj najveći pad koji je devet puta veći od onog priješnjeg, najmanje devet puta jer kao što je rečeno pitanje jesu li burze bile iskrene, kad su davale podatke pogotovo centralizirane burze, znamo da se na Hyperliquidu desio najveći, onda je bio Bybit pa Binance, pitanje jesu li te centralizirane burze prijavile točne podatke, neki idu toliko daleko da govore da je čak bilo i šezdeset milijardi dolara, ne znam, ali sve je moguće."
0:01:16,0:01:38,"Uglavnom, desilo se to da je petak pedeset minuta nakon zatvaranja američke burze Donald Trump objavio vijest koju je objavio, dakle o tarifama ponovo a znamo da su upravo petak na večer i nedjelja na večer dani kada je najmanja likvidnost općenito na burzama što automatski znači i najlakša pomicanja tržišta."
0:01:39,0:01:46,Tako da vidjeli smo svakakve dakle ima sad i nekih zna se da su sigurno to bili neki insideri koji su od tog dobro profitirali.
0:01:47,0:01:54,Vidio sam jučer vijest da je otvoren prvi kriptovolet trideset minuta prije njegove objave koji je obavio taj trade.
0:01:54,0:02:07,"Šta se to sve događalo sigurno nije samo jedan razlog, to je uvijek skup tih likvidacija, uvijek je to skup više razloga u isto vrijeme najčešće, ali svakako da je ta njegova objava potpomogla tome."
0:02:08,0:02:21,"Drago mi je da si se dotaknuo svih tih spekulacija jer ima tu i onih, obradit ćemo naravno i Trumpa, ali ima ona recimo koja je uloga tu Wintermilta, dakle jednog od najvećih market makera, koja je uloga Binancea?"
0:02:22,0:02:46,"Pa da, neki govore, ako na EX-u napišete samo Binance scheme ili tako Binance prevara, ako tražite sad na EX-u na tu temu možete vidjeti svašta, oni su čak i fond izdali, čini mi se četiristo milijuna dolara za pomoć onima koji su, koji su, ajmo reći ako su ih oni oštetili jer znamo da u tim trenucima čak nije bio pristup predanju na Binusu."
0:02:46,0:03:18,"Bio je pristup predanju, nije radio sto posto da se radi o likvidaciji da se provodi rasprograma nije bio normalan pristup dakako biraće trebao biti i sada oni da li to oni iz grižnja savjesti su ovo napravili da i oni znaju da su krivi pa sad taj novi fond rade za kažem spekulacije mogu biti svakakve ne znam šta se dešava iza zavjesa točno samo možemo nagađat ali to je uostalom dugoročno kratkoročno to je izazvalo paniku sigurno takve likvidacije to ono naravno tko god je gledao portfelj u tim trenucima pogotovo ako je netko većinom u alcojnima, to se doslovno raspadalo."
0:03:19,0:03:27,Ali stvar je u tome šta ima to i pozitivnih nekih strana na način da se oni najrizičniji igrači na trećeštu upravo brišu u takvim trenucima.
