Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:11,"Poštovani gledatelji, pratite intervju tjedna na cryptovers.hr."
0:00:11,0:00:18,"Gozanašnje emisije je osnivač konzultantske tvrtke Resomnium koja je u kriptu i blokčaju cijeli niz godina, Filip Lagojević."
0:00:18,0:00:21,"Filipe, dobrodošao u studio Cryptoversa."
0:00:21,0:00:23,"Hvala, bolje vas našao, hvala na ponovnom pozivu."
0:00:24,0:00:31,"Nije te bilo godinu dana, puno se toga dogodilo, ali ajmo mi na ove kurentne, recentne stvari, tržište ne izgleda dobro."
0:00:32,0:01:57,"Imali smo klasičnu pre-fonds korekciju, dakle već uobičajeno povlačenje pred odluku federalnih rezervi o kamatnim stopama, no za nas se nastavio i nakon što je fed smanjio za tih nuladvadeset pet posto ali i najavio prestanak programa kvantitativnog stezanja za jedanjedan tisuća dvanaest pa što se događa zašto ovakva reakcija mislim da je bilo očekivano smanjenje od dvadeset pet postotnih ne postotnih poena imamo još jedno smanjenje, očekivano smanjenje do kraja godine i mislim da bi bilo iznenađenje ukoliko dođe do pedeset pps smanjenja a ne bi bilo iznenađenje ako to bude nula ili dvadeset pet tako da mislim da tržište u slučaju još jednog smanjenja od dvadeset pet ili od ostanka na nuli ne bi drastično reagiralo zašto nije odreagiralo jako pozitivno ili jako negativno rekao bih da je to i mada imamo i drugi drugih nekakvih vijesti gdje je ne znam, Nvidia je sad u partnerstvu sa OpenAIM i druge stvari se dešavaju, imamo i to zatvaranje američke vlade koje ulijeva neku dozu nesigurnosti, ali opet s druge strane otežava uopće izdavanje financijskih pokazatelja podataka pa i Fedu otežava posao."
0:01:57,0:02:09,"Uvijek je nama lako reći a Fed lako je njima, oni kontroliraju sve, ali puno, puno podataka oni uzimaju u obzzir, a sada teže dolaze zbog tog shutdowna, zbog tog zatvaranja do tih podataka?"
0:02:09,0:02:24,"Oke, vjerojatno je na korekciju, tu daljnju korekciju dobrim dijelom utjecala i konferencija Jeroma Pavela, koji je izjavio da je rezanje tih kamata u dvanaest mjesecu koje ste spomenuli daleko od sigurnog."
0:02:26,0:02:38,"Nakon Pavela ovih komentara, čak su izgledi na onom Fedbochelatu Siemi grupe pali sa više od devedeset na sedamdeset posto što je prilično značajan pad ti misliš da će se ići na rezanje do kraja godine?"
0:02:38,0:03:11,"Ja bih očekivao još dvadeset pet bedepea znači kao što se dogodilo sada naravno da mislim da sam ja na mjestu geroma paola mislim da je čak i opasno i politički možda čak i legalno reći e sigurno ćemo nešto napraviti jer vrlo je on svjestan kako njegovo ponašanje i riječi utječu na tržište a i naravno čovjek želi držati sebi otvorene opcije jer svašta se može desiti bilo koji dan i tjedan, a do tada ima vremena."
0:03:11,0:03:17,"Tako da bi i ja na njegovom mjestu se ogradio i rekao, razmišljamo, ali on daleko je od sigurno bilo što."
0:03:18,0:03:45,"Pa zapravo, Pavlo je ovdje sasvim realan, kao što ti kažeš, gledaj, čak bi se rekla jedna od rijetkih odraslih osoba, jer kako on sam kaže, ne znamo što se događa, nemamo podataka, država je ušla davno, bor je čak podijeljen, dakle, FONT, Odbor za otvoreno tržište, to SAD-a, tržište rada slabi, potrošnja raste, na snazi je no hire, no fire, dakle politika zapošljavanja."
0:03:45,0:03:50,"Sve osim, jedna je čudna situacija u ekonomiji SAD-a."
0:03:50,0:03:52,Kako ti ocjenjuješ to stanje preko barem?
0:03:53,0:04:15,"Pa mislim da, slažem se s tobom, čudno je, ali vratio bi se samo i na političku situaciju koja je, znači predsjednik Trump jako čvrsto nastupa sa svojim programom, mi smanjujemo dug tako što ga naplaćujemo izvana tarifama, ali ga ustvari ne naplaćujemo izvana nego svojim ljudima naplaćujemo više zbog tarifa."
0:04:16,0:04:40,"Ali i naravno da je on svoju i kandidaturu, a i prvu a sad i drugu, ono zasnovao na nekim populističkim mjerama koje sad mora dokazati, midterm je slijedeće godine, mora ih dokazati, mora nešto napraviti i naravno da je njemu u interesu da se kamatne stope drastično smanje, ne nula i dvadeset pet nego ono na dva na ono drastičnih rezova je već spominjao na jedan posto ili nultu vodu."
0:04:40,0:05:18,"Da, jer naravno da onda ono sve je novca je sve više u optjecaju, tržište vjerojatno ide gore, on izgleda bolji itede Ali svi se može, ja nisam još vidio da se netko ne slaže od recimo velikih makroekonomista da je taj dug američki koji konstantno raste stvarno ogroman problem i to je nekakav slon u sobi kojeg svi potiho ignoriramo i svi gledamo dobro, partije sad, daj samo da ne bude taj krah kad sam ja na stolici predsjednika."
0:05:18,0:05:38,"To je moj nekakav subjektivan dojam, daleko sam ja od nekog makroekonomista, ali to se već provlači godinama, ne znam, ljudi kao Peter Shift i ljudi koji se zalažu za zlato uvijek pozivaju na to, pa i bitcoin, ono fundamentalisti koji se zalažu da je bitcoin fundamentalno novac, čekaju na taj, ajmo reći, krah američkog dolara."
