Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:11,"Poštovani gledatelji, pratite intervju tjedna na cryptoverse.hr."
0:00:12,0:00:19,"Današnji gost je čovjek koji je među prvima u Hrvatskoj ozbiljno ušao u kripto industriju, suosnivač Elektrokoina Nikola Škorić."
0:00:20,0:00:21,"Nikola, dobrodošli u studiju."
0:00:23,0:00:25,"Dakle, stanje na tržištu nije dobro."
0:00:25,0:00:30,Velika su bila očekivanja od ove godine nakon podbačaja u trećem kvartalu prošle.
0:00:32,0:00:42,"I dvije tisuće dvadeset šest je dobro počela ali onda hladan tuš bitcoin je skliznuo oko pedesetak posto od svojeg Ovaj Old Time H, tržište je krhko, vlada ekstremalan strah."
0:00:43,0:00:48,"Ali, je li ovo tek medvjeđi trend ili smo u kriptozimi odnosno bear marketu?"
0:00:48,0:00:49,Tu traju polemike.
0:00:50,0:00:59,"Pa da, traju polemike, ja se držim podloga tih polemika zato što ja naprosto ne znam procijenjivati cijenu, ovaj pogađat hoće ići gore ili dolje."
0:00:59,0:01:25,"Ono što je očito da je sentiment full negativan, da su ljudi dosta pesimistični, puno ih i iščekuje dno, ali kao što si rekao polemike su dosta snažne, ima onih koji smatraju da idemo još dosta dolje, jel'le ja tu naravno po običaju nemam neko mišljenje jer ja i tehnička analiza i procjena trendova nikad nismo dobili."
0:01:26,0:01:29,"Od kuda tako negativan segment na tržištu, od kuda taj ekstreman strah?"
0:01:30,0:01:45,"Mislim ušli smo u one razine čak i niže ili ako ne niže onda barem identično kao u vrijeme krahova FTX-a, Teraluna, ekosustava, ništa se nije u tom kontekstu tako nešto masivno dogodilo."
0:01:45,0:01:55,"Iskreno me to malo čudi zato što ili vjeruješ u kripto ili ne vjeruješ u kripto, sad već dovoljno dugo smo i ti, a u kriptu da sigurno smo da ti imaš slične situacije."
0:01:56,0:02:04,"Znam neke ljude koji su kupili na vrhuncu Bula na dvadesetnula, onda kad je krenulo na tričetiri onda su razočarani i prodavali."
0:02:05,0:02:10,I onda kad je opet prešlo dvadesetnula onda su se htjeli objesiti.
0:02:12,0:02:44,"Tako da ovi koji su iz očaja prodavali na tri nešto što su kupili na dvadeset mogu biti dosta dobra lekcija ovima koji sad iz očaja na šezdeset prodaju nešto što su kupili na sto dvadeset jel ništa se nije promijenilo to je i dalje tehnologija koja ima jako puno smisla u kojoj ja osobno vjerujem, koja, mislim, postoji jedna stvar koja se i jest promijenila, a to je da sad po prvi put u ovom beru imamo ljude, kao što je rekao, cigar, dobro."
0:02:45,0:02:57,"A dobro, ajde, mislim to recimo beru, u ovoj situaciji imamo ljude kao što je Larry Fink koji hodaju okolo i pričaju o tome da će kroz par godina cijeli securities trading bit on chain."
0:02:57,0:03:03,"U prošlom beru to nismo imali, u onom beru prije toga smo imali od takvih ljudi isključivo ismijavanje."
0:03:03,0:03:17,"Tako da ako postoji, ako je nešto drugačije ovaj put onda je to činjenica da svoj put optimistični, ono najiskusniji tradicional finance ljudi."
0:03:18,0:03:28,"Tako da ja bi rekao da bi ovaj BR trebao biti u principu, tojest ovaj pad cijene, da bi trebao biti puno manje poguban na taj cijeli sentiment."
0:03:29,0:03:36,"Sam si rekao, nije bilo nikakvog tealuna kolapsa, nije bilo FTX-a, dakle radi se o nekakvoj prirodnoj volatilnosti."
0:03:37,0:03:40,Ne znam zašto je tolika depresija.
0:03:40,0:04:02,"I sami Saylor, Michael Saylor, dakle čelnik najveće BTC tranzicijske kompanije Strategy je prije neki dan otvoreno rekao da smo u kripto zimi, ali kaže bit će ona kraća i puno blaža od onih prethodnih, a onda pjesnički doda i nakon nje slijedi proljeće i potom prekrasno ljeto."
0:04:03,0:04:08,"Dakle slažiš li se s njime, kratka zima je onda dugo toplo ljeto."
0:04:08,0:04:13,"Mi smo ovdje naravno govorimo o nekakvim metaforama, govorimo o kripto marketu."
0:04:13,0:04:15,"Da, mislim da."
0:04:16,0:04:51,"Saylor voli prognozirati, mislim da je to jedna od njegovih gorih odlika, mislim da općenito ljudi koji se trude prognozzira cijenu kripta su nerazboriti ljudi, mislim imamo trećinu američke mornarice pred Iranom, tako da Seymour je tu potpuno psihotičan i bilo tko drugi ko smatra da zna išta o tome u kojem smjeru će cijena bitka naići mislim da je potpuno psihotičan, tako da evo moj komentar na njega je mislim da bi se trebao držati svog primarnog posla."
0:04:51,0:05:04,"Ono što Seymour navodi kao argument za te tvrdnje su podrška institucija poput banaka, dakle treća institucija, podrška, ne su se ti rekli oko toga, podrška američke administracije i predsjednika."
0:05:05,0:05:06,No je li tome doista tako?
0:05:06,0:05:24,"Mislim, ok, podrška administracije, ali dojam je da se institucije hladne, odljevi ETF-ova su postali konstantni, jednostavno nema potražnje, nema te potražnje, znači pogotovo prema ETF-ovima koji su bili motor rasta ovog ciklusa."
0:05:25,0:05:26,Pa mislim to je kratkoročni trend.
0:05:27,0:05:44,"Ako govorimo, Seymour u tim svojim komentarima govori na horizontu od par godina, tako da činjenica da sada imamo nekakve izlaze iz ETF-ova, mislim da se ne može koristiti za prognoziranje nečega što će biti kroz sljedećih par godina."
0:05:45,0:06:29,"Kada radimo fundamentalnu analizu na tom na tako dugačkom periodu onda mislim gledamo korištenje te tehnologije smislenost itede a outflow i u ovom trenutku mislim trebamo uzeti u obzir recimo da je cijena srebra u zadnjih u periodu od tipa tjedan dana, pred jednom mjesec dana pala za kakvih dvadeset posto ili tak nešto ako netko iz toga zaključi da će se srebro prestati koristiti i da institucija odustaje od srebra mislim da treba razmisliti još jedanput isto stvar je i sa bitcoinom, mislim da iz toga da sad postoji neki outflow iz bitcoina, zaključiti da se institucije hlade je nerazumno."
0:06:30,0:07:02,"Bitcoin ide na nulu, ta pretraga na Googleu porasla je na najvišu razinu od sloma FTX-a, dakle opet te dvije tisuće dvadeset dva bitcoin naravno ne ide na nulu ali znam da ne voliš ali jesi li bliži tome da ide prema pedesetka ili da ide na novi ovaj high odnosno što će prije bitcoin je jedina mislim ajmo ne jedina ali u ovom trenutku najsnažnija decentralizirana mreža evo za prijenos vrijednosti i mislim da je to jedino načino što se treba u ovom trenutku funkcionirati."
0:07:03,0:07:04,I tu bitcoin vidiš kao što?
