Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:01,Gledamo kud.
0:00:01,0:00:02,Evo ga krećemo.
0:00:03,0:00:05,Hvaljeni su i Marija i Sveti Osip.
0:00:06,0:00:08,I Sveti Božji.
0:00:09,0:00:12,Evo dobrodošli u podcast Domovina.
0:00:13,0:00:13,TV.
0:00:14,0:00:23,"es nama je tu Matija osnivač, on će vam reći u par crta o čemu se radi i kakva je njegova vizija, ideja, pa evo poslušajte ga."
0:00:24,0:00:30,"Ima sigurno jako dobrih savjeta, pa evo sigurno će vam biti zanimljivo ovo da pratite i da slušate."
0:00:32,0:00:33,"Evo Tomislav, hvala."
0:00:34,0:00:40,Dobrodošao u ured od firme i YouTube studio.
0:00:40,0:00:44,Pa ono pitanje ti se sviđa okruženje i na koji način je ovo.
0:00:44,0:00:47,Osjećam se kao da sam u nekom boravku kod kuće.
0:00:49,0:00:50,Tako da lijepo je.
0:00:50,0:00:52,"Prostor je idealan, odličan."
0:00:53,0:00:54,"Evo, fino mir, tišina."
0:00:55,0:00:58,"Da, malo se čuje jeka."
0:00:59,0:01:01,Taj dio akustike nismo riješili.
0:01:02,0:01:08,Tu bi trebali još možda polijepit akustične ploče pa da to malo još bude profesionalnije.
0:01:09,0:01:19,"Riverside FM i road mikrofoni bi trebali dosta dobro rješavati tu cijelu situaciju, pa ćemo onda vidjeti u nekakvoj post-obradi."
0:01:20,0:03:41,"Pa evo moje pitanje za tebe, kako je prošao regionalni, odnosno međunarodni susret katolika otvorenih za sakrament ženite u Zagrebu, trinaest do petnaest veljače, prošao je bezprijekorno dobro i evo jako smo sretni i zadovoljni da je bilo četiristo pedeset sudionika iz dvadeset tri države pa evo možemo reći cijeloga svijeta, dakle ne samo EU i Hrvatske, beiha Srbije, Slovenije i znači naših regionalnih država, znači baš je bilo prekrasno i evo, sada mi imamo dojmove još uvijek, primamo jako puno mailova, zahvale i podrške i to nam se sviđa da evo ljudi su prepoznali ideju i sviđa im se to što radimo, traže još sličnih sadržaja, tako da evo bilo je jako lijepo gledati sve te ljude kako se nadopunjavaju, kako shvaćaju vrijednosti braka, kako shvaćaju koliko je važna priprema za brak o kojoj mi stalno govorimo, dakle da nije bitno samo tražiti osobu koja bi bila za brak, nego da je bitno da ti budeš što bolje spreman kada ta osoba dođe, da ju odmah možeš primijetiti, da joj se srce može odmah spojiti na neki način i da Bog može odmah djelovati, tako da je puno bolje dolaziti na susrete, znači otvorena srca bez očekivanja sa stavom znači primanja ali i davanja jer evo mi nekako želimo ljude naučiti da kroz to davanje zapravo Bog djeluje i otvara svima evo neke nove vidike i svi ljudi koji su se uključili, koji djeluju, koji evo na neki način i podupiru i udrugu i ovo što radimo u konačnici evo i dobiju Božji blagoslov a onda poslije toga su puno spremniji i opušteniji za neke nove susrete, nove kavice, ja često kažem kava nije brak, tako da nije kava još niko gubila."
0:03:42,0:03:45,"Ali s druge strane, evo baš je bilo lijepo."
0:03:46,0:03:54,"Jako smo još pod dojmom toga svega, dosta smo još umorni, još uvijek treba malo vremena da se procesuira, ali evo baš je bilo lijepo."
0:03:55,0:03:57,"Evo, preporučujemo svima."
0:03:58,0:04:01,"Super, onda za godinu dana je ponovo?"
0:04:01,0:04:24,"Je, nadam se međunarodni, ali prije toga imamo još četiri regionalna susreta, pa imamo četiri ljetna kampa, pa imamo nacionalni susret, pa bi trebao biti vikend susret, pa su tu mjesečni susreti u Osijeku, Đaku, nadam se uskoro u Zagrebu, tako da još na kraju godine konferenciju u Zagrebu, pa mislim ima sadržaja."
0:04:24,0:04:35,"Ne moraš čekat godinu dana sad da bude međunarodni, pa eto ja ću sad čekat, a mi onda naprimjer možemo donijeti odluku, a možda neće biti međunarodni na godinu, možda će biti za dvije godine."
0:04:36,0:04:38,Tako da treba iskoristiti prilike.
0:04:38,0:04:40,Pa ima smisla upravo to.
0:04:40,0:05:03,"To smo imali sa nacionalnim susretom, imali smo tri godine za redom i onda kakva je bila priprema za međunarodni susret, onda smo jednostavno skužili da nemamo vremena organizirati nacionalni i međunarodni i onda su ljudi, oj pa kak nema sada nacionalni, ja cijelu godinu čekam nacionalni da bude, a ono kak sad nema, što ću ja sad, sad je kraj svijeta."
0:05:08,0:05:11,Tako da jako je bitno da ljudi prate sadržaj.
0:05:11,0:05:19,"Ne iz razloga da ti sad nešto naučiš, odnosno nekoga upoznaš nego da zaista svaki put je nešto novo."
0:05:19,0:05:30,"I onda kad mi ljudi kažu, e čuj mi smo to već čuli, mi smo to već vidjeli, nama je to sad sve ono već kao poznato, onda ja kažem pa nije jer je svaki susret drugačiji."
0:05:31,0:08:19,"U svakom, svaki put je drugi predavač, svaki put ima barem jedna od tridesetak posto novih ljudi svaki put je druga lokacija i evo zaista ono nije isto i znači regionalni drugačiji imaju koncept u odnosu na međunarodni ovi susreti manji gdje uvijek zapravo kažem da je super da ljudi dolaze na ove male susrete tipa u što sada planiramo i u zagrebu čuj to bude tu negdje šta ja znam petnaest dvadeset osoba trideset osoba tu ti je vjerojatnost da upoznaš nekoga sto posto ustvari je u ivaniću ne ne u ivaniću će biti regionalni ali ovo što sad čekamo tu u zagrebu da imamo kao što imamo kod nas u osijeku mi imamo sad u petak baš u đakovu jedan takav mali susret tu bude tak petnaest i dvadeset ljudi recimo i kako se onda sad događa i kronološki pa kronološki da sad znači taj susret u đakovu onda imamo u osijeku isto jedan znači mjesečni susret mislim da će biti to šest ili sedam ili tri petak je uglavnom, onda imamo četrnaesttri je ivanić grad, onda imamo poslije toga ne znam sad na pamet ali mislim da je dvadeset šest ako se ne varam tri križni put u ajmašu onda čekamo potvrdu za šibenik vikend seminar ako uspijemo sve klopit koje smo htjeli onda imamo poslije toga u osijeku to je isto kraj pet mjeseca onda trebamo još dogovoriti nešto tamo kvarner istra u šestom, onda imamo dva tjedna ljetnog kampa Čunski otok Lošinj, onda ima jedan tjedan pauze, onda imamo Krk, otok Krk, Vazamira, baš u gradu Krku, tjedan dana jedan ljetni kamp i onda imamo poslije toga međunarodni ljetni kamp na Badi, to smo imali prošle godine i to je bilo isto od nekih pedeset pet ljudi jedno od dvadesettak je bilo iz drugih država dakle ne govorim iz regija naše nego baš stranaca i bio je program isto je bio na engleskom jeziku i onda poslije toga imamo Sinj, to je polovica devet mjeseca, onda sada apliciramo na projekt jedan pa planiram da bude jedan vikend susret u travniku u beiha to bi trebao biti tipa jedanaest za Karlovac još čeka, mislim da vidimo za nacionalni, to bi bilo kao nekako nacionalno hodućašće, malo bi bilo drugačije i onda bi imali konferenciju u Zagrebu."
0:08:19,0:08:23,Dakle svaki mjesec uglavnom ima neka prilika za susret.
0:08:24,0:08:30,Priprema za svaki event iziskuje puno operativnog vremena.
