Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:05,Hvala Jesus i Marija.
0:00:07,0:00:08,Dobra večer.
0:00:10,0:00:12,Da vidimo kako vi molite očenaš.
0:00:13,0:00:19,"Meni su rekli da je taj očenaš darovao Isus iz Nazareta, jedan židov, dobar čovjek bio."
0:00:20,0:00:23,"A mi smo u Katoličke crkvi otkrili da je on i Bog, Božji sin."
0:00:25,0:00:27,I od toga je nastala takozvana Katolička crkva.
0:00:28,0:00:30,I on je rekao da treba tako moliti.
0:00:31,0:00:32,Mi vjernici molimo samo očenaš.
0:00:33,0:00:36,"Kaže Augustin, ne smije se drugačije moliti ni drugo nego očenaš."
0:00:38,0:00:42,ne znači izrecitirati očenaš kao kad mala djeca znaju pjesnicu.
0:00:43,0:00:56,"Moliti znači čuti svaku riječ i gledati kako ta riječ udara u srce svemogućeg Stvoritelja i kako Stvoritelj reagira, zadrhti na svaku malu riječ koju mi ja iz srca govorim."
0:00:57,0:01:05,"Molitva iz jezika, dakle iz usta nikoga još nije dovela ni do zdravlja, ni do spasa, niti je to bila molitva."
0:01:06,0:01:07,To je blebetanje.
0:01:07,0:01:11,"Molitva iz srca, to je eksplozija svemogućeg Stvoritelja."
0:01:11,0:01:17,"To je iskonski prasak., veliki prasak kako kažu sa mušljenicima, iz srca."
0:01:17,0:01:19,Kad imam svoje središte pa i srca mogu ovo.
0:01:20,0:01:27,"Međutim, 99,9% Hrvćana su izgubili srce, su bolesni ljudi."
0:01:28,0:01:35,"Ne vjeruju uopće u Hrvćanskoga stvoritelja Isusa Krista nego u nekog Boga vjeruju, tko zna u kojega."
0:01:36,0:01:38,I zato traži se nova evangelizacija.
0:01:48,0:02:03,"Ali, ljubiti ljude, pa ljubiti svakog čovjeka, a to onda kad su mi ljudi dosadni onda počnem ljubiti ljude, onda su mi dragocjeni, onda znam da bez njih ne mogu biti ni čovjek, a kamoli kršćanin."
0:02:04,0:02:06,Najdraže su mi ljudi koji su mi najteži.
0:02:09,0:02:14,"Kad se netko nađe koji se sa mnom svađa, utorak navečer, jel?"
0:02:19,0:02:22,I onda poslije toga možeš samo ljubiti ljude.
0:02:23,0:02:26,"Čim mi se netko sviđa, prestanemem ga ljubiti."
