Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:11,"Kad nekoga poglaš u oči i dopreš mu do duše osjetiš, a ovaj me je zapazio."
0:00:11,0:00:17,"Kad nekoga dušom dodirneš, isto vam je s Isusom."
0:00:18,0:00:25,"On je tu kao duša naša, kao misao naša, kao što je ljubav prisutna, nježnost, toplina, simpatija."
0:00:26,0:00:27,Kako je simpatija prisutna?
0:00:27,0:00:32,"Ne dišu, a samo znaš simpatija te tjera da se nasmiješiš drugome."
0:00:33,0:00:36,To je duhovna dimenzija i tako Isusa može sresti.
0:00:36,0:00:40,"Zato ga gledaju oči, samo gledaju Samo gledaj kako ti se smiješi."
0:00:44,0:00:47,Kako kaže da dobro što si večeras te uvoljite.
0:00:48,0:00:51,Pokušaj to gledati dokle god ne osjetiš da se i ti smiješi da ti je drago.
0:00:52,0:00:54,"Da kažeš po glovi mene voli, ljudi braćo."
0:00:55,0:00:57,Glova iz Nazareta mene voli.
0:00:59,0:01:01,Sve Bog mene voli.
0:01:04,0:01:06,Samo mirno ostanite u tome i gledajte.
0:01:06,0:01:07,Gledajte duhom Isusa.
0:01:08,0:01:12,Osjetite kako vas to prebražava.
0:01:12,0:01:13,Kako se nešto u vama događa.
0:01:18,0:01:27,"Ako možeš čak zažmiriti da te ne smeta pogled na druge jer čim gledaš očima onda sad ovo zasmeta sad ono, sad ono je kihne, onaj pogleda."
0:01:28,0:01:32,"A kad zatvoriš oči, na neki kako si skroz zatvorio vrata i kaže sad ću biti samo s Isusom."
0:01:35,0:01:41,"I sa tim Isusom koga gleda te vidim da se nitko još nasmiješio, nije čudno je to, kako možeš gledati Isus da se nasmiješi?"
0:01:42,0:01:54,"Ja kad tako molim gledam Isusa, mi dolje da bi vrisnuo od sreće, da samo želim da negdje budem sam, da skočim i kažem volim da je Isusa, skočim u zarad, kažem luci Isusa, prekrasan sam si, kome tako voli kao ti?"
0:01:56,0:02:00,"Ako se nas vojca zagrlimo, onda njemu suza ide iz očima, pa iz bradu."
