Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,"Hvaljeni su si Marija, kako ste mi?"
0:00:04,0:00:04,Jeste svi dobro?
0:00:07,0:00:07,Niste.
0:00:10,0:00:13,Pokušajte se sjetiti što večeras tražite ovdje.
0:00:15,0:00:16,Zašto ste večeras ovdje?
0:00:22,0:00:27,Bio sam sinoć u Splitu i onda mi jedna gospođa postavi pitanje u dvorani nakon predavanja.
0:00:28,0:00:35,Zašto je tako teško doći do Boga i zašto se tako lako spustiti nizbrdo uz zlo?
0:00:37,0:00:39,Zašto je teško razgovarati s Isusom?
0:00:43,0:00:46,"Odgovorio sam joj gospođo, vi ste pobrkali neke stvari."
0:00:48,0:00:57,Teško je biti dobar čovjek i teško je biti pošten čovjek i teško se truditi da drugoga voliš i teško je biti strpljiv.
0:00:58,0:01:00,Ali doći do Isusa to je najlakše u životu.
0:01:03,0:01:06,"I kad si najgori, najgrešniji, Isus je tu i stoji pred tvojim vratima."
0:01:07,0:01:12,"I kad se ti rastrešem, on je tu i gledate i pitate zar nećeš sa mnom razgovarati."
0:01:15,0:01:20,"Isusa uopće nije teško pronaći, ali nažalost ljudi ga traže na krivim putevima."
0:01:21,0:01:21,Gdje je problem?
0:01:23,0:01:30,Ako hoćeš nekoga vidjeti onda nećeš ušima osluškivati je li on tu.
0:01:31,0:01:37,"Ako ćeš nekoga slušati kako govorim, onda nećeš očima slušati glazbu i gledati u CD-e kako svira."
0:01:39,0:01:45,"Ako hoćeš naći Boga, onda ga nećeš naći tako kako razgovarati s ljudima."
0:01:49,0:01:55,"I nećeš ga naći u nekakvim meditacijama kako to obično ljudi misle, pa ni u transcendentalnoj, ni jogi, a kamoli u drugima."
0:01:56,0:01:59,Boga se nalazi tamo gdje on jest.
0:02:01,0:02:07,"Ako ideš po Zagrebu i hoćeš pod svaku cijenu naći klokana, nećeš ga naći osim ako postoji u zoološkom vrtu."
0:02:10,0:02:13,Tražiš na krivom mjestu krive stvari.
0:02:19,0:02:27,"Dakle, ako hoćeš pronaći Boga, onda ti nema drugog izlaza nego moraš ići tamo gdje se on nalazi."
0:02:27,0:02:28,A gdje se on nalazi?
0:02:29,0:02:40,"Nalazi se samo u tom odgovoru na pitanje tko sam zapravo ja i odakle ja dolazim na svijet i zašto ja moram živjeti i tko je to ovaj svijet, zašto Zagreb uopće postoji."
