Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:08,"Sad smo gledali Isusa, sad ga pokušajte slušati."
0:00:08,0:00:19,"Ja ću čitati iz Evanđelja po Marku, vi pokušajte mirno slušati i dok slušate, dok slušate samo ono što ti Isus, to Isus tebi osobno govori."
0:00:21,0:00:33,"I otkrijte koja te riječ osobito pogodila, koju bi riječ želio ili željela večeras živjeti, da te ta riječ drži cijeli ovaj tjedan."
0:00:33,0:00:39,"U koju bi riječ htio, jednostavno bi htjela ti prodrijeti da te ona preobrazio ovaj tjedan."
0:00:40,0:00:43,Evo najprije tri njegove riječi.
0:00:47,0:00:56,"Sve što god zamolite i zaštitite, vjerujte da ste to već postigli i bit će vam."
0:01:01,0:01:03,Imajte vjeru Božju.
0:01:05,0:01:15,"Zaista kažem vam, rekli li tko ovoj gori digni se i baci umore i u srcu some ne posumnja nego vjeruje da će se to što kaže dogoditi, doista, bit ćemo."
0:01:18,0:01:29,"No kad ustanete na molitvu, otpustite ako što imate protiv koga, da je vama Otac vaš koji je na nebesima, otpusti vaše prijestupke."
0:01:37,0:01:38,Imajte vjeru Božju.
0:01:40,0:01:47,"Isus ne kaže pokušajte si sugerirati da ono što molite da dobivate, nego imajte vjeru Božju."
0:01:48,0:01:50,Što je to vjera Božja?
0:01:50,0:01:56,"Dakle, ne ljudsku, ne psihičku vjeru, ne ni ljudsku samoduhovnu Božju."
0:02:00,0:02:03,A Božja vjera znači da si prijatelj s Bogom.
0:02:06,0:02:10,Božja vjera znači da ti Isus svažniji od svega drugoga.
0:02:15,0:02:25,Božja vjera nastaje u tebi onda kada se odrekneš grijeha i kada Isus dopusti da preko tebe mijenja svijet.
0:02:27,0:02:32,Možeš li večeras dopustiti da Isus preko tebe mijenja tvoga cimera ili cimericu?
0:02:34,0:02:39,"Smijeli Isuse će raz preko tebe nekoga promijeniti, tvoju majku, oca?"
0:02:45,0:02:48,Da li dopuštaš Isus da preko tebe nešto učini?
0:02:51,0:02:56,"Ako to dopuštaš onda imaš vjeru u Božju, onda Isus u tebi čini."
0:03:04,0:03:10,"Vjera Božja je u tome kada činite onako kako je Isus rekao, a ne po svome."
