Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:08,Pozdrav i dobrodošli u još jedan podcast Budi osnažena.
0:00:08,0:00:11,Danas je sa mnom itekako osnažena žena Mirjana Matijašević.
0:00:11,0:00:12,"Mirjana, dobrodošla."
0:00:12,0:00:13,Hvala ti Marijeta.
0:00:14,0:00:19,Mirjana je vlasnica edukacijskog centra Heureka i trenerica javnog nastupa i komunikacije.
0:00:20,0:00:24,"Mirjana, je li zaista žena ženi vuk?"
0:00:26,0:00:29,Svakako možda na početku ove teme treba reći jedan disclaimer.
0:00:29,0:00:32,"Naravno da to nije uvijek tako, premda često jest."
0:00:32,0:00:43,Ja prva osobno mogu reći da sam imala prekrasne žene u životu koje su mi bile samo vjetar u leđa i koje su mi stvarno donijele neke velike životne mudrosti koje mi i dan danas usmjeravaju.
0:00:44,0:00:48,"Međutim, imala sam i imam još uvijek jako puno žena koje su mi stvarno bile vuk."
0:00:48,0:00:55,"Naučit se, naučit se da i na životnom putu i na obiteljskom putu i na putu vjere i na poslovnom planu."
0:00:57,0:01:19,"Znači, ja sam si naveo zapravo cijeli svoj život, neki poslovni, vjerski i obiteljski, pa imaš li onda neku osobu žensku za koju bi mogla reći da je ona iskrena prijateljica koja se ne boji tvojogeg uspjeha, koja ti je iskrena u tome da te bodri, a da znaš da ono nakon neke pozitivne rečenice nema, ah ipak je malo zavidim."
0:01:20,0:01:56,"To su stvarno rijetke osobe i to me podsjeća na jednu od ovih žena kojoj mi nije bila Vuk Vučica i jedna starija gospođa koja mi je rekla, jel imaš neku osobu koja, neku prijateljicu koja ti ne zavidi, da si sto posto sigurna da ti ne zavidi što god ti se dogodi koja god dobra da se dogode da je ona uz tebe ono da navija za tebe i sretna sto posto u tom trenutku tada sam shvatila da zapravo imam samo jednu žensku osobu za koju mogu dati ruku u vatru da je to tako i ta osoba je uz mene dan danas i lijepo je imati takvu osobu, ali stvarno je zapravo nekada teško i rijetkost naći."
0:01:57,0:02:18,"Ja upravo takvoj osobi idem u neki smjer i kada je zaista jako teško i kada počnem sumnjati u svoje neke, nešto što činim, kada počnem nabrajati svoje mane, jer mi žene zapravo to redovito radimo, od kada otvorimo oči pa da sklopimo, jedna marati sigurno prođe kroz misao."
0:02:19,0:02:32,"I onda je baš lijepo znati da onako, baš ima jednu, znaš ono kad ti netko kaže, mej, bit će sve u redu i onda zapravo ne volim toliko govoriti, ali evo kaže bit će sve u redu, ja to zovem jeftine utjehe, najlakše reći bit će sve u redu."
0:02:32,0:02:47,"Da, ali ona kad kaže bit će sve u redu to zaista ima drugačiju težinu, to je zapravo ono baš se smiri i ona kaže da ono prestani, znači sve u redu, dobro je na putu gdje jesi, sasvim ok, tako da je dobro da imaš nju."
0:02:47,0:03:05,"I stvarno mogu se poistovjetiti jer toj osobi kad dođeš bilo s manama, bilo s vrlinama, znaš da će te ona vratiti u pravi smjer, ako si malo narasla previše da će te malo spustiti, a ako si otišla u neke dubine u kojima ne trebaš biti da će te ono opet ohrabriti i osnažit da ideš dalje."
0:03:05,0:03:17,"Tako da stvarno je dobro imati neko mjesto gdje možeš biti ono što jesi, ono baš skroz i tamo gdje nije dobro i da znaš nećeš osuditi nego ćeš samo onako htjeti sa svom svojom ljubavlju ono vratiti tamo gdje treba."
0:03:18,0:03:21,To stvarno je lijepo i jako potrebno.
0:03:21,0:03:28,"Mislim da žene koje nemaju takvu ženu, a ili muškarca u sebe da jako teško uopće prolaze kroz ovaj svijet."
0:03:29,0:03:34,"Jer ako nemaš takvu osobu, budeš s maskom, a živjeti pod maskom je mukotrpno."
0:03:35,0:03:36,"Teško, znam da."
0:03:37,0:03:40,Koliko smo mi žene iskrene u toj komunikaciji jedna s drugom?
0:03:41,0:03:58,"Evo zapravo i podučavaš asertivnu komunikaciju, znam ono i prošao sam neke stvari kod tebe i ono često zapravo, često ne koristim tu asertivnu komunikaciju, ono treba se zaustaviti, posvijestiti sve to, koliko su mi žene zapravo iskrene u toj komunikaciji?"
0:03:58,0:04:24,"Pa meni je uvijek zanimljivo na tim edukacijama kad malo krenemo kopati po korijenu nekakvog manjka samopouzdanja ili manjku hrabrosti da se ono upustiš u nešto svoje, nešto što pripremaš, uvijek mi je fascinantno vidjeti kako najčešće, uvijek je strah od mišljenja drugih ljudi tu, ali najčešće to nije strah od mišljenja muškaraca u životu tih žena nego strah od drugih žena, što će druge žene reći."
0:04:24,0:04:40,"To mi je onako baš bolno vidjeti jer uvijek su tu neke te ženske figure, bilo iz obitelji, bilo bliskih, prijatelja i poznanika, bilo uopće žena koje ti nemaju nikakvo značenje u životu, ali šta će reći ova skupina i šta bi mi rekle, kako bi me ocijenile."
0:04:40,0:04:42,Rijetko su tu muškarci zapravo problem.
0:04:43,0:04:47,Po tome možemo vidjeti koliko zapravo često nismo iskreni.
0:04:47,0:05:00,"Mislim općenito i muškarci i žene, ali možda žene malo više potpadaju pod taj utjecaj nenamjerno jer zaista na nama ženama leži puno veća odgovornost i puno više povećala je prema nama usmjereno."
0:05:02,0:05:11,"Znamo svi koliko se stvari muškarcima tolerira više nego ženama, a živimo u svijetu koji nije kao prije sto godina i jednostavno se ne mogu iste stvari tolerirati."
0:05:11,0:05:30,"Mene veseli što ustaju i hrabre žene i muškarci pa i svećenici koji progovaraju o stvarnosti muško-ženjskih i obiteljskih odnosa i odgoja djece danas jer nije sve kao što je bilo i stvarno je vrijeme da malo skinemo taj teret sa žena koji je nepotreban, koji nepotrebno nose i da se odgovornost podijeli tamo gdje je potrebno."
0:05:31,0:05:42,"Ja sam recimo dobila puno potpore od muškaraca pogotovo u vjeri, radila sam i u svjetionim nekim firmama, tamo je malo drugačija situacija, tamo se baš moraš dobro onako osnoviti, znaš i sama."
0:05:44,0:06:01,"Ali dosta sam nažalost živjela na vlastitoj koži osude o ženama u vjeri, pa tako sam bila prozvana, ja trenutno nemam djecu, nemam partnera i ono, ne razmišljam u nekoj skoroj budućnosti da ću imati djecu pa da bi zato trebala usporiti sa svojim tempom."
