Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:18,Zašto kršćani šute o seksu dok svijet vršti?
0:00:18,0:00:22,"Svijet filmovi, novine, članci i društvene mreže."
0:00:22,0:00:26,"Na svim stranicama, svugdje je toliko takvog sadržaja."
0:00:27,0:00:38,"A kada vjernici pričaju o tome, to trebamo cenzurirati, o tome trebamo slabije pričati i o tome se trebamo sramiti govoriti jer to nije dolično za vjernike."
0:00:38,0:00:54,"Ova epizoda je neki moj komentar na komentare koje smo dobili za podcast koji je bio usmjeren prema ženama, ali podcast nije čisto samo za žene nego je tema bila i za muškarce, ali je izazvao burne reakcije."
0:00:54,0:01:02,Ono što mi je zanimljivo da zašto bi mi vjernici trebali biti loši u razgovoru o nečemu što je Bog stvorio?
0:01:03,0:01:12,"Komentari su stvarno razni, bili na dvije žene koje su pričale otvoreno o, da to nazovemo pristojnom bračnom darivanju u braku."
0:01:13,0:01:16,Znači nisu pričali o nečistim stvarima nego onome što je Bog stvorio.
0:01:16,0:01:59,"Ono što mi je zanimljivo u svemu, cijeloj toj buri komentara koje su došle, o svemu ostalome kako mi kao vjernici koji se pozivamo na Boga milosrdnog dobroga, kako se pozivamo da nešto trebamo lijepo, savršeno, čisto komentirati, u istim tim komentarima nalazimo riječi kao foka, kokoške, za psihijatrijiste, nije normalno, niste normalne itede i degradirajući općenito ljude, snižavajući njih na neku eto tako nebitnu vrstu, a u istom trenutku govoreći i komentirajući ono o čemu su govorile otvoreno da je zapravo spuštanje čovjeka na neku nižu razinu."
0:01:59,0:02:07,"I ja moram priznati da sam prvo gledao komentare, čitao sam komentare i onda nisam pogledao podcast na prvu."
0:02:08,0:02:13,"I nisam znao što je točno sve rečeno tamo, ali čitajući komentare sam rekao, ok, ide sad pogledat podcast."
0:02:13,0:02:24,"Ja sad idem gledat podcast, traje 50 minuta i gledam i čekam i čekam i čekam neke kritične dijelove, čekam nešto što su ljudi iskomentirali i čekam i čekam."
0:02:24,0:02:30,"I onako dođem do kraja, mislim si, di je taj kritičan trenutak o kojem svi pričaju?"
0:02:31,0:02:53,"Da nisu mogli nastaviti slušati nakon treće minute, da nisu mogli nastaviti slušati nakon deset minuta, da to što su pričali je nepojmljivo i pozivajući se na svece, pozivajući se na neke izreke, prvo da se razumijemo, ovaj podcast to je format ležećeg razgovora, jednog opuštenog razgovora, dnevnog razgovora, tema itd."
0:02:54,0:02:55,Nije znanstveni rad.
0:02:56,0:03:06,"Ne moramo brinuti za svaku riječ koja će biti izrečena, je li to baš dobar termin za nešto pisati, ali zašto bismo se mi kao vjernici trebali sramiti riječi seks?"
0:03:07,0:03:08,Zašto?
0:03:09,0:03:11,Zato što je to za nas nešto prljavo.
0:03:11,0:03:15,Pitanje koje si trebam postaviti je zašto je to za mene prljavo?
0:03:16,0:03:21,Zašto to meni asocira nešto prljavo i nešto nečisto i trebam to nečime uljepšati.
0:03:22,0:03:26,Ispričat ću vam priču kako ja vidim naše ispovijedanje.
