Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:03,0:00:13,"Fanijesi i Marija koji su tu i koji će još doći pratiti Ana, Marko i ostali."
0:00:15,0:00:24,"Odlučili smo odraditi live, ipak smo uspjeli se nekako organizirati da napravimo ovaj live na temu što kad ljubav nije dovoljna."
0:00:24,0:00:37,"Nekako smo u ljubavnom mjesecu, lepo je ovo pred nama, danas ćemo imati svjedočanstvo, počinje program o partnerskim odnosima i sad još jedan live malo o ljubavi."
0:00:37,0:00:40,To jest šta kada ona nije dovoljna.
0:00:40,0:00:48,Ideja ovoga je bila čisto pokazati ne romantičnu verziju odnosa.
0:00:48,0:00:51,Jer često ljudi kažu samo da se volimo.
0:00:53,0:00:56,Ili ne samo romantično.
0:00:57,0:01:00,"Da, ali samo da se volimo to je najvažnije."
0:01:01,0:01:02,I onda zapravo nije.
0:01:03,0:01:07,Jer često ćete i čuti od ljudi koji su se rastali da se i dalje vole.
0:01:08,0:01:11,Ali su rastavljeni i njihovi odnosi ne funkcioniraju.
0:01:11,0:01:19,"A i baš zato sam htio govoriti malo o tome, komentirate neke stvari, možete nam postavljati pitanja dolje, pa ćemo i odgovarati."
0:01:20,0:01:25,"I neka pitanja ste nam već poslali, pa ćemo i na to odgovoriti."
0:01:25,0:01:28,"Neka pitanja smo sva pripremili, pa ćemo i na to odgovoriti."
0:01:29,0:01:30,Imaš li šta nadodati?
0:01:30,0:01:31,Ništa.
0:01:31,0:01:32,"Dobro, možemo krenuti."
0:01:33,0:01:36,"Nisu se baš ljudi zagrijali, nemamo nikakva pitanja ovdje."
0:01:37,0:01:40,"Ali šta ti misliš, moja žena, Mirjana?"
0:01:41,0:01:42,Prek pitanje.
0:01:43,0:01:47,"Šta ti misliš, zašto ljudi misle da je ljubav sve što je potrebno?"
0:01:49,0:01:51,"Ljubav je svakako potrebna, to je."
0:01:53,0:01:54,Pa to sam i rekao.
0:01:54,0:02:00,"Mislim da premalo se priča o svim onim ostalim stvarima, pa ostanemo samo na tom uvjetu koji nije dovoljan."
0:02:02,0:02:09,"Idealno, ako je ta ljubav potrebna, stvarno prava, živa, temeljena na Isusu, idealno ta ljubav će donijeti sve što je potrebno."
0:02:10,0:02:12,Ali koliko smo mi u svojoj ljubavi savršeni?
0:02:12,0:02:14,Koliko možemo biti savršeni u svojoj ljubavi?
0:02:15,0:02:15,Koliko?
0:02:16,0:02:16,Nedovoljno.
0:02:18,0:02:20,"Tako da, mislim da tu nastaje neki problem."
0:02:22,0:02:23,Što ti misliš?
0:02:23,0:02:24,Šta ja mislim?
0:02:24,0:02:44,Pa ja mislim da je to iz ovih filmova nama neka slika te ljubavi i partnerskog odnosa kada vidimo da su uvijek tu neke lijepe situacije i sve se lijepo poklopilo i onda nakon što se lijepo poklopilo oni su išli brak i bili su sretni tu ako završava film uglavnom ili komedija ili šta god smo već gledali.
0:02:45,0:02:46,Happily ever after.
0:02:46,0:02:58,Da i tu završava i htjeli mi to ili ne priznati te sve neke slike i filmovi i priče utječu na našu sliku i predstavu ljubavi kakva je ona zamišljena.
0:02:58,0:03:31,"To je ta jedna osoba koju ćemo mi susreti negdje i pogledat će nam se oči i ako ćemo to prebaciti u ovaj naš ne znam vjerski pogled, susrećemo se na klanjanju i on je mene pogledao, ja sam njega i mi smo se u tom trenutku, taman sam ja imala nakanu, taman je on imao nakanu, ako je još bila u devet i pet i osam to je još bolji znak i sad smo se mi sastali i to će funkcionirati eto iz tog nekog razloga."
0:03:31,0:03:42,"Ili čak zapravo ako netko razmišlja na način da će funkcionirati odnos iz te neke ljubavne, romantične priče, a da misli da će funkcionirati odnos samo zato što su vjernici."
0:03:42,0:03:54,"Ja sam imao nekoliko razgovora s osobama koje su se upoznale na molitvenim susretima, hodale na molitvene susrete, a i završavali svoj brak nakon par godina."
0:03:55,0:04:01,"Što znači da čak bili u procesu, neki totalno završili svoj brak."
0:04:01,0:04:02,I sad šta znači to?
0:04:03,0:04:06,Jel nisu dobro molili na molitvenim susretima?
0:04:06,0:04:16,Koji je bio uzrok njihovog hodanja ili šta se poremetilo u braku i šta znači ta slika kad se prodrma u braku?
0:04:17,0:04:19,Tako da moje mišljenje je da svakako nešto utječe.
0:04:20,0:04:40,"ta idealna slika koju nismo susreli u braku i to ne znači da je brak samo mračna stvar i loša stvar, ali itekako bismo trebali imati neku drugu perspektivu isto toga što zapravo brak je, što partnerski odnos je, a što nije iz onoga svega što mi vidimo i što smo gledali."
0:04:40,0:04:42,Što ti misliš postoje li srodna duša?
0:04:45,0:04:46,"Mislim da ne, to je ono."
0:04:49,0:04:50,"Ne, ti si ples srodna duša."
0:04:51,0:04:55,Malo ne znam kako pričate sa svojim odabranikom o tome.
0:04:56,0:05:03,"Ja mislim da ne, zato što partnerski odnos je nešto što si mi postavimo i način na koji mi vidimo neki odnos."
0:05:04,0:05:12,"I zapravo često u programu o partnerskim odnosima govorimo o tome da nije, jel'bih ja funkcionirao u svom životu jedino s Mirjanom?"
0:05:13,0:05:14,Kako misliš da ne?
0:05:16,0:05:19,Bili postojala još neka osoba s kojom bi ja mogao funkcionirati?
0:05:19,0:05:20,Vrlo vjerojatno bi.
0:05:21,0:05:26,"Funkcionirao si još nekom osobom, da to nije bila Mirjana, a jednostavno na kraju nismo završili skupa, ali ne znam šta bi to bilo."
0:05:26,0:05:27,To često razmišljaš o tome.
0:05:28,0:05:43,"Ne, ali šta da nismo na kraju završili skupa, šta da nismo Slušači, što da nismo si dali šansu, što da si ti u međuvremenu našla nekog drugog i jednostavno nikad nismo dali tu priliku, jer smo se razdvojili i živjeli na drugim krajevima."
0:05:44,0:05:44,Što to znači?
0:05:44,0:05:46,"Moj život bi bio gotov, jer."
0:05:46,0:05:49,"Da, to je ono što to znači."
0:05:49,0:05:51,Moj život bi bio gotov.
0:05:52,0:05:56,"Ne, vrlo vjerojatno bi se pomirili s nekim bez izborom, ne znam."
0:05:57,0:05:59,"Bio bi neko, funkcionirao bi."
0:05:59,0:06:05,"Tako da, srodna duša je ono, super smo si poklopili neke stvari i funkcioniramo."
0:06:07,0:06:08,Glavne stvari.
0:06:10,0:06:10,Koje su glavne stvari?
0:06:11,0:06:12,Ne znam koje su.
0:06:13,0:06:15,Koje su te bile glavne stvari u odabiru mene?
0:06:15,0:06:16,Da je u slaveničkom timu?
0:06:16,0:06:17,O mojko milo.
0:06:17,0:06:24,"Znači naš brak više ne funkcionira ako neće biti u slaveničkom timu, zato vidite da sam se vratila u slavenički tim, kriza je bila u braku."
0:06:25,0:06:26,Prolazimo neke krize.
0:06:27,0:06:28,Hoćemo li to malo preoblikovati?
0:06:28,0:06:29,Preoblikovati.
0:06:29,0:06:33,"Da je u vjeri, poznaje Boga i služi Bogu jednako kao i ti."
0:06:33,0:06:39,"I tako vidite, to sam htio da zna preformulirati moje rečenice ovako savršene, lijepe oblike."
0:06:40,0:06:41,Znam te samo zato to kažem.
0:06:42,0:06:47,Pa mislim da definitivno nama vjernicima je to nekako prva stvar da si isto mišljeno.
0:06:47,0:07:02,"istomišljenikom u vjeri, kao kaže moj srednji svećenik, da se kužite u glavnim stvarima jer to povlači sa sobom niz drugih stvari, odgoj djece, upravljanje financijama, donošenje nekih važnih odluka u životu, tada to."
0:07:02,0:07:15,"Dakle, evo, mislim, negdje tu treba biti neka fizička privlačnost da ti je to, ali ipak da se vidiš tu s tom osobom, ne morate biti kako si si zamislio, kod mene nije bilo kako sam si zamišljala, ali to nisu toliko."
0:07:15,0:07:18,Kako to misliš?
0:07:19,0:07:24,"Zatim je važno, a ono da su prilike života takve da možete biti u braku."
0:07:24,0:07:30,"Znači ne on je ono čeka crkveno poništenje braka, pa to sigurno će biti."
0:07:31,0:07:41,"Ili nešto još gore da ne navodim primjere, ali dakle okolnosti se isto trebaju poklopiti, mogućnost da je punoljetna osoba i takve stvari."
0:07:42,0:07:44,"Da, nikome to treba naglasiti, imali smo svakakvih slučajeva."
0:07:46,0:07:48,Ne pričamo i ne navodimo te primjere bez veze.
0:07:49,0:07:52,"Da je evo netko napisao kao sve to obitelj, tako bi trebalo biti."
0:07:52,0:08:05,"Pa evo recimo, ok poštujem sve, ali sad dolazi mladi bračni par ili mladi par i našao se skupa i onako trebaju savjet kako trebaju živjeti i dati im savjet, pa kao sve ta obitelj."
0:08:06,0:08:06,Šta to znači?
