Start (HH:MM:SS),End (HH:MM:SS),Segment
0:04:43,0:04:47,"Hvaljeni su svi Marija, dragi slušatelji i gledatelji radiju Marije."
0:04:48,0:04:59,"Moje ime je Katarina Bukša, urednica i voditeljica sam emisije Franjena ekonomija, a tehnička urednica je današnja Sivka Malkoć Bastašić."
0:05:00,0:05:10,"Današnji gost nalazi nam se, nadamo se, privremeno u Švedskoj., magistar ekonomskih znanosti iz područja inovacija i industrijskog menadžmenta."
0:05:11,0:05:16,"Danas ćemo razgovarati o aktualnoj temi našeg vremena, a to je umjetna inteligencija."
0:05:18,0:05:26,Da li se ljudi koji se ne bave umjetnom inteligencijom zaostaju za nečim ili se svi bavimo umjetnom inteligencijom na neki način?
0:05:27,0:05:31,Da li je umjetna inteligencija ušla u pore naših života i što nam je to donijela?
0:05:32,0:05:36,"Što je donijela društvu, zajednici, a što je donijela pojedincu?"
0:05:37,0:05:42,Da li se možda igramo stvoritelja pa bi uporno htjeli stvoriti nešto što će biti što.
0:05:43,0:05:44,što sličnije čovjeku?
0:05:45,0:05:48,Razumijemo li pojam umjetne inteligencije?
0:05:50,0:05:51,Može li umjetna inteligencija biti original?
0:05:52,0:05:54,Trebamo li se uopće bojati?
0:05:54,0:05:57,Može li nas uništiti umjetna inteligencija?
0:05:57,0:05:59,Ili mi možemo uništiti sami sebe?
0:06:01,0:06:07,"Vodi li nas u otuđivanju od drugih ono što je temelj svakom biću, a to je zajedništvo?"
0:06:09,0:06:10,Čovjek je društveno biće.
0:06:12,0:06:13,Koje su to naše želje?
0:06:14,0:06:15,Što mi to želimo?
0:06:15,0:06:17,Što želimo postići sa umjetnom inteligencijom?
0:06:18,0:06:21,Boljitak zajednice ili nešto drugo?
0:06:22,0:06:30,Da li se spuštamo na razinu te umjetne inteligencije s obzirom da umjetna inteligencija još uvijek nije dosegla razinu ljudskog bića?
0:06:32,0:06:37,"Možemo li iskoristiti da nam ona bude dobar sluga, a mi još bolji gospodari?"
0:06:38,0:06:44,Znamo li biti gospodari svoga života ili se prilagođavamo svakoj situaciji?
0:06:46,0:06:48,Kako koristimo umjetnu inteligenciju?
