Start (HH:MM:SS),End (HH:MM:SS),Segment
0:03:43,0:03:44,"Hvaljeni su svi, Marija."
0:03:44,0:03:52,"Dragi slušatelji i gledatelji, moje ime je Katarina Bukša, ja sam urednica i voditeljica emisije Franjene ekonomije."
0:03:53,0:03:56,Tehnički urednik danas je gospodin Ivan Zaradić.
0:03:56,0:04:00,Evo nastavljamo sa tematskom cjelinom pozivi i profit.
0:04:02,0:04:08,"Prošli put smo obrađivali temu školstvu, a sad ćemo danas govoriti o humanitarnom radu."
0:04:08,0:04:11,Gostan je profesor Dejan Nemčić.
0:04:12,0:04:16,On je učitelj kako je rekao prošli put u osnovnoj školi.
0:04:16,0:04:18,"Dejan je dobar dan, dobrodošao."
0:04:18,0:04:20,"Dobar dan još jednom, evo ga i od mene."
0:04:21,0:04:28,"Evo kad kažete učitelj, nekad sam i mučitelj, ali evo ga, kad krenu ocjene i ispiti onda smo mu učitelji, a šalimo se malo, evo ga tako."
0:04:29,0:04:30,Pa kada su krenule ocjene?
0:04:30,0:05:00,"Pa jesu, krenule su one prve ocjene, nisu to još onako intenzivno krenule, ali onako prvo je ocjene gdje je ponavljanje, onako nekako inicijalno ispitivanje, tako da već prve ocjene su u dnevniku i sad kako vrijeme ide prema Božiću, bit će sve više i tako evo, nadamo se da će zaključivanje ocjena se vratiti na polugodište, evo to je jedna od onih stvari koje bi sigurno bilo dobro, da djeca nekako imaju osjećaj i na čemu su jer se tek trgnu u petom mjesecu."
0:05:03,0:05:10,"Zato imate i godišnja doba, sve u životu nekako je napravljeno, Bog je stvorio da nekako imate te prelaze i da vidite na čemu ste."
0:05:11,0:05:11,Tako je neki red.
0:05:11,0:05:15,"Tako je neki red, ovak djeca počnu raditi u petom mjesecu i onda nastane kaos."
0:05:15,0:05:17,"Kao u kampanji, onda učimo."
0:05:17,0:05:18,"E, to je to."
0:05:19,0:05:20,Ako je još potrebno pa onda neće.
0:05:20,0:05:30,"Tako je, mi uvijek se žalimo, djeca su nam u kampanji, pogotovo na fakultetu uče večer prije ispita, pa zato što ih mi tako u sustavu učimo da budu kampanji."
0:05:30,0:05:34,"trebali postaviti određene granice, određene okvire da onda oni lakše mogu."
0:05:35,0:05:47,"Pa tamo, evo polugodište da dobiju ocjenu, ok četvorka je bila iz geografije, znači moram malo još više učiti do pet mjeseca, a onda do pet mjeseca nema taj osjećaj kad nemate zaključno ocjenu."
0:05:47,0:06:01,"I to vam je isto ono zanimljivo, uopće više nema straha, dobio sam jedan tri jedinice do dvanaest mjeseca, ajde, gdje je pet mjesec, to ću pet mjesec onda, a to nije ispravljeno, ja neću nikada zaključiti pozitivnu ocjenu ako nije ovo ispravljeno."
0:06:01,0:06:05,"Mislim šta smo mi radili ova dva mjeseca sa ove tri jedinice, sva spavali smo na satu."
0:06:06,0:06:16,"Tako da to su loše poruke koje šaljemo našim mladima i zapravo mi kao sustav, kao ljudi radimo kampanjce, a onda se opet ljutimo na to što su oni kampanjci."
0:06:17,0:06:19,Ajmo malo razmisliti kako je jednadžba ide.
0:06:20,0:06:22,"Da, postaviti jedan red i onda taj red."
0:06:24,0:06:26,"Ovo je jako dobra riječ što vi govorite, red."
0:06:26,0:06:33,"Djeca vole jako red, vole pravila i nekako sam shvatio oni vole to poštivati."
0:06:33,0:06:42,"Oni kad nema pravila, kad nema nekakvih onog, kad radiš grupni rad, kad radiš nekakav kreativan zadatak, oni vole jasno pet pravila, to, to, to, to i onda sve funkcionira."
0:06:42,0:06:45,"Kad nema pravila, oni se totalno pogube."
0:06:46,0:06:48,"Pa nije to onda sloboda kao, nema pravila pa dobro."
0:06:48,0:06:51,"Pa ne, ne znaš onda u kojem smjeru, u kojem smjeru."
0:06:51,0:06:52,"To su djeca, to su djeca."
0:06:53,0:06:58,"Mislim, ljudi, onaka neka držiš predavanja, pa mi radimo sa djecom, mi ne radimo u staračkom domu."
0:07:03,0:07:08,"Znači, djeca su onako, trebaju jasne upute i onda će oni sve napraviti kako treba."
0:07:08,0:07:09,Odlično.
0:07:09,0:07:18,"Znači ipak evo i mi mladi, mi stari, zreli, zreli, evo mi zreli možemo njima dati neki dobar primjer pa da vidi kako treba."
0:07:19,0:07:35,"Sad kad kažete mi stari možemo dati primjer, evo vam jedna situacija koju sam doživio jučer u školi, dolazim jedan učenik i profesore pogledajte, ja kažem što je, znači meni često imam puno ključeva od svih tih razreda kabineta i meni uvijek povodac od ključa visi, tu na hlače onaj i to."
0:07:36,0:07:44,"I dolazi jedan učenik i kaže, gledajte profesore imam isto kao i vi mi, donio sam ključ od kuće, isto mi visi kao taj povodac uz hlače vodac, shvaća kako vi hodate po holu."
0:07:44,0:07:45,Šta ja želim reći?
0:07:46,0:07:50,"Znači oni kopiraju nas, znači kopiraju riječi, obrasce ponašanja."
0:07:50,0:07:58,"Pa sad kad vi idete, evo danas ćemo pričati vjerujem i o humanitarnom radu u Africi, oni kopiraju svog učitelja koji im je na neki način uzor."
0:07:58,0:08:03,"I okej, ja idem isto raditi kao moj učitelj, želim biti učitelj, ali da vidim nasmijanog uvijek dobre volje."
0:08:04,0:08:11,"Tako da oni kopiraju svog oca, svoju majku, svoje roditelje, skrbnike ili učitelje koji su im ono nekako druga brana za odgoj."
0:08:11,0:08:14,Tako da evo to mi je jedna situacija zanimljiva bila.
0:08:14,0:08:16,Če se tu djeca da ako spužve?
