Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:14,"Jučer su na Markovom trgu bili poduzetnici od povremenih prijevoznika, turističkih djelatnika, poduzetnika koji se bave eventima."
0:00:15,0:00:27,"Svi oni okupljeni su oko udruge Glas poduzetnika, upozorili su na probleme s kojima se suočavaju i kojima vladina pomoć očito nije dovoljna da nastave s normalnim poslovanjem."
0:00:27,0:00:38,"Tu nije stalo jer tri će mjeseca proći baš kao i vladine mjere, a jesen tek donosi nevolje pa se tražili jasni odgovori što se planira."
0:00:38,0:00:45,"Političara nije bilo, poslane su ipak neke predizborne poruke, glasajte za one koji će zastupati vaše interese."
0:00:50,0:00:55,"Prvi prosvjed poduzetnika u Hrvatskoj, ali kažu nešto blaže retorike od najavljenog."
0:00:56,0:01:02,Plan su promijenili jer ih je netom prije prosvjeda na sastanak primio ministar turizma i obećao nastavak pregovora.
0:01:02,0:01:06,"Poduzetnici djelomično zadovoljni, ali ne odustaju od svojih zahtjeva."
0:01:06,0:01:16,"Svima dajte isti porez, 20% na primjer, a isto tako dajte 5000 kuna osnovica koja je neoporeziva, tako da oni koji zarađuju najmanje imaju bar tih 5000 kuna za svoj život."
0:01:19,0:02:01,"traže i moratorij na kredite i leasinge, produženje mjera za očuvanje radnih mjesta na tri plus tri mjeseca, covid zajmove, otvaranje industrije i konkretan plan za turističku sezonu jer je mnogima u proteklih mjesecima profit pao i do sto posto nas su prve zatvorili odlukom civilne zaštite a u biti zadnji ćemo dobiti dozvolu za rad dakle nemamo više od čega plaćati svoje radnike nemamo i venata nemamo događanja ne možemo ništa znači ne preživljavamo porezi su sumanuti ja pod porezi smatram i parafiskalnim nametima jer ono što država propisuje da moram platiti, mene nije briga kako se to zove, da li parafiskalni namet ili porez ili možete ga zvati Đuro."
0:02:01,0:02:02,Meni je sasvim jasno.
0:02:06,0:02:18,"S europskog do Markovog trga u tri grupe po četrdesetero ljudi, naravno zbog epidemioloških mjera, no lokacija je izabrana radi simbolike jer Vlada kojoj se obraćaju zasjeda u Nacionalnoj sveučilišnoj knjižnici."
0:02:18,0:02:24,"Premijer je ipak njihove zahtjeve čuo, ali skrenuo pozornost na ono što je do sada učinjeno."
