Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:25,0:00:35,"Znam da sam bila ludim, šta si bila nisam sačad, ne znam još li sam."
0:00:37,0:00:47,Rekla si da život jedan je i da sam obiti moja ne baš na mire.
0:00:49,0:00:52,Rekla si da trebaš me usput.
0:00:56,0:01:05,"Razuče tri strane svitaju mogu bilo kud, još uvijek gleda te prolaziš kroz grad."
0:01:06,0:01:28,"Još si pad pričite, kad si rekla, kad si rekla, po mom višem, miligra, ajša volite, ajša volite."
0:01:38,0:01:48,"Poslije tebe ima sami sto, ali nikada zaboraviti pisamog ja to."
0:01:50,0:02:24,"Rekla si da život je da je I da sam obiti moja dremašna mjera Nek sam druge trošila u zlu Čekala sam da opet dođeš šarni u zadun Još uvijek, pregleda te prolaziš kroz ga, Još si gleda, još si slijede, još si ga, pa želiš da li se još..."
0:03:02,0:03:24,"Rekla si da trebaš me ustih Da su četiri strane svita i mogu bilo tu Još uvijek gledate prolaziš kroz ga Još si vama, još si za ja, još si vama, želim da i sam."
0:03:25,0:03:35,"A ja još pa, ja još pa ti pičite Rekla si mi ja, ja sam vam oviše ne."
0:03:36,0:04:40,"Ajša volim te, ajša volim te, reglasim i ja, reglasim i ja, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, ajša volim te, Dobar dan svima ili dobra večer, baš je nekako rubno, ovisi jeste uz prozor ili ne, uz zvuk je klape kampanel, došli smo na početak našeg drugog UGP televizijskog šova, nakon što smo se prije dva tjedna otprilike našli ovdje i imali vrlo uspješno izdanje emisije, napravit ćemo to još jednom, čuli ste i publiku u našem studiju, osim toga naravno neću reći dobrodošli vi uz vaše male ekrane kako se nekad govorilo, točnije reći dobrodošli vi uz internet stream."
0:04:41,0:05:28,"Dakle, još jednom će produkcija odnosno dečki prije svega ali cure iz erplus produkcijske kuće biti odgovorni za sve ovo što ćete večeras gledati, a pratite nas naravno preko Facebook i Instagram kanala udruge Glas poduzetnika, Facebook stranice erplusa i na vodećim hrvatskim portalima kao što su dnevni haer, dvadeset četiri sata telegram index haer ali i mnogi drugi još je dva i pol tjedna do izbora sve je užarenija atmosfera i traže se odgovori od poduzetnika što zapravo političari će predstavljati u pogledu onoga što poduzetnike zanima ono što sam rekao klapa kampanela nas je malo mirnije nego zadnji put soulfingers uvela u sve ovo što ja mislim da će biti dobar antipod nadam se na sve jako užarenu raspravu, a možda i neće biti užerena rasprava."
0:05:29,0:05:33,"Imat ćemo ovdje socijaldemokratije, liberale, ali to su protržišni jedan i drugi pa ćemo vidjeti što će biti."
0:05:33,0:05:39,"E sad još samo zahvala sponzorima koja ide ovoga puta, od prošlog puta smo narasli pa su sponzori već u igri."
0:05:40,0:05:46,"Dakle, MCT-a, Schmidt Electronic, IVAZ grupa, Optiplast i na kraju Kindle Sport."
0:05:46,0:05:58,"E sad, ovaj zadnji sponzor je zanimljiv zato što neki mnogi misle da zapravo uz poduzetnike ide Bentley auto i da oni svi dolaze Bentleyem, ali zapravo službeno vozilo UGP-a je električni bicikl."
0:05:58,0:06:05,"A gdje možete naći najbolje električne bicikle, možete ih naći u candlesportu, bilo preko interneta, online trgovinom ili u njihovim dućanima."
0:06:06,0:06:27,"Oka, sad mi sam sve rekao, sad ćemo vidjeti, predstaviti naše goste pa ćemo ih pitati da su došli bentlijem, a molim ću jedan pljesak za početak nekada stručnjak za poreze iz udruge Lipa i zapravo PR-ovac, bivši novinar moj kolega, a sada i to večeras službeno političar, molim jedan pljesak za Davora Hujčara, nezavisnog kandidata na listi pametnog potpisa članica Zimena u Bregu."
0:06:32,0:06:39,"Sada koji je ovaj početnik u politici, ovo je jedan povratnik u politiku, s nama je iz esdepea nam dolazi Zvonimir Mršić, gospodine Mršić dobrodošli i vi."
0:06:43,0:06:57,"Dobro, evo ovdje, kako se osjećate, je li vam se sviđa, vi ste Davor bili, možda ćemo miješati malo, a vi ste Davor bili prošli put tu s nama kada je bio u ulici, da, kako vam se čini, ovo je već veliki pomak, ne?"
0:06:57,0:07:09,"Da, mali korak za mene, ali veliki, pa uvijek je zabavnije biti u centru pažnje, nego na traga negdje i pljeskati."
0:07:10,0:07:12,Nije valjda i ulazak u politiku zbog centra pažnje.
0:07:12,0:07:21,"Pa ne, pa nije, to je samo jedan upgrade bio jel, znači ja sam dugo u politici, samo ne u stranačkoj, znači ja se pet godina bavim ovim temama, samo malo je format promijenjen."
0:07:21,0:07:28,"Okej, šalim se malo, ali ono što je zanimljivo, dogovorili smo se prije ovog svega da moramo početi na vrijeme i završiti."
0:07:28,0:07:33,"Da, da, dogovorili smo se kod ovih nekih tehničkih dijelova, a zapravo je to problem."
0:07:33,0:07:35,Ja sam mu rekao par zgodnih stvari koje bi te mogao pitati.
0:07:36,0:07:40,"To će biti, poslije između vas, bojim se da je ovo fer utakmice tu."
0:07:40,0:07:42,"Ej, fer utakmice je sigurno kad sam ja upitao."
0:07:42,0:07:44,"Pa sad neće vaša kampanja ni počela, pa možemo."
0:07:44,0:07:44,"Da, da, da."
0:07:45,0:07:46,Još dva sata.
0:07:46,0:07:49,"Da može biti vitska, ali u startu i pre vitska."
0:07:49,0:07:50,"Da, pretjerujem možda."
0:07:51,0:08:01,"Ali, evo ga, idemo, ima samo ovo za početak, početništvo u policiji sam rekao, prije emisije to što smo rekli, da smo se dogovorili da moramo na vrijeme stići jel zapravo se ide u Hrvatski sabor, lovi se zadnji tren za predaju lista."
0:08:02,0:08:12,"Pametno, fokus i stranka sa imenom i prezimenom su prije neki dan zapravo se proširili, pametno je fokus na stranku sa imenom i prezimenom, morate doći do deset i deset i trideset u Hrvatski sabor."
0:08:13,0:08:16,"Pa nadam se da imamo sve papire u redu, jer bit će ono strkano."
0:08:16,0:08:20,"Ali možete nam reći ili to sad nije, u kojoj jedinici ste i na kojem mjestu?"
0:08:20,0:08:22,"Ja sam u šest jedinici, bit će nositelj lista."
0:08:22,0:08:24,"Supremo, hajmo jedan pljesak za Davara Hojića."
