Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:08,0:00:25,"Velik porast broja zaraženih u Dalmaciji rezultirao je novim mjerama za tu županiju, sve su stroge, ali građanima i poduzetnicima nelogične, kako je izgledao prvi dan nakon uvođenja novih pravila, provjeravao je na terenu naš Harikočić."
0:00:27,0:00:38,"Još ko je svakom korisniku svoje teretane na ulazu mjerio temperaturu, osigurao dezinfekciju ruku isprava te jednokratni ručnik za vježbanje, ali toga nije spasilo od zatvaranja."
0:00:39,0:00:48,"Koronavirus je bio na pirevima, u restoranima, kafićima, krštenjima, pričesima i nikoga nisu zatvarali nego su postrožili epidemiološke mjere."
0:00:48,0:00:52,Nas su bez ikakve najave zatvorili.
0:00:52,0:01:00,"A zaista su se tvrdi trudili i često ih je provjeravala inspekcija, a sada dvadeset njegovih zaposlenika ostaje bez primanja."
0:01:01,0:01:08,"Koliko je to plaća, koliko je to obitelji koje stavljamo, ajmo reći na prosječki štap."
0:01:08,0:01:12,Smatram da je ovo jedna neutemeljena mjera i koja ne može zaživjeti.
0:01:13,0:01:24,"Zajedno s ostalim kolegama zahtjeva objavu točne brojke zaraženih u teretanama i fitness centrima, ali splitski epidemiolozi ni danas je nemaju, već poručuju kako ona nije ni važna."
0:01:24,0:01:34,Znači sve više od jedan na jednom mjestu i ako ih povezujete kao izvor zaraze odnosno zajednički izvor zaraze smatrate da se na tom mjestu pojavila epidemija.
0:01:36,0:01:42,U ugostiteljskim objektima građani poštuju nove mjere i to tako da jednostavno uopće ne sjede unutra.
0:01:42,0:01:45,Doma ga i zato pomno prati vremensku prognozu.
0:01:46,0:02:00,"Mi se nadamo da će biti što duže lijepo vrijeme da možemo javiti vanka, jesmo sigurni da kad dođe ružnije vrijeme, bujna kiša da će sigurno dodatno pas posao i će gosti izbjegavati unutarnje preostale i nošenje maske sigurno nije svima ugodno."
0:02:05,0:02:13,"Možda malo ne definirano, ali u principu oni mogu imati masku u unutarnjem objektu stalno, osim kad nešto ili jedu ili piju."
0:02:13,0:02:14,Kako će to izgledati ne znam oni ni sami.
0:02:15,0:02:30,Splitski epidemiolozi su zato pokušali objasniti novo normalno u restoranima.
0:02:31,0:02:43,"Dodaje kako smo ušli u fazu kada bi se i druge djelatnosti mogle početi zatvarati ako se pokažu epidemiološki rizičnima, a neki su gradovi unutar županije već zatražili i dodatne mjere."
0:02:45,0:02:55,radnog vremena na svom području u kapićima i ostavili smo ih jednom vremenu da još dobro promislite da se konzultiraju sa epidemiolozima.
0:02:56,0:03:03,"Naši sugovornici naglašavaju kako će poštovati mjere stožera iako su im neke od njih, poručuju, potpuno nelogične."
0:03:03,0:03:05,"Hari Kočić, N1 Split."
0:03:08,0:03:18,"Posljednje žrtve, ružno rečeno, borbe protiv korone su vlasnici i zaposleni u teretanama i rekreativnim centrima u Splitsko-dalmatinskoj županiji."
0:03:18,0:03:26,Zabranjen im je rad zbog toga što su teretane i prostori za rekreaciju označeni žarištima zaraze.
0:03:26,0:03:36,"Moram reći da su, evo Udruga ugostitelja Kvarnera i Istre najavili su prosvjednu akciju deset rujna zatvorit će svoje objekte na sat vremena."
0:03:37,0:03:41,Iz GLAS-a poduzetnika sa nama je u novom danu Dražen Orešćanin.
0:03:41,0:03:42,Dobro vam jutro.
0:03:42,0:03:43,Dobro jutro.
0:03:43,0:03:50,"Evo vi ste reagirali odmah, zatražene su i konkretni razlozi."
0:03:50,0:04:16,"Mi smo tijekom jučerašnjeg dana u nizu izjava dobili neka objašnjenja zašto baš teretane, međutim vlasnici teretana su inzistirali da se točno što se to zarazio u teretanama, zašto se ista mjerila nisu upotrijebila za neke druge evente i neke druge lokale gdje je otprilike isto sumnjiva epidemiološka situacija."
0:04:16,0:04:23,Je li sad to opet onaj osjećaj diskriminacije s kakvim se susrećemo od početka mjera?
0:04:24,0:04:24,Apsolutno.
0:04:25,0:04:33,je tu riječ o diskriminaciji i nije bilo apsolutno nikakvog razloga da se Fitness studiji i teretane zatvore.
0:04:33,0:04:56,"Dakle, razlog zbog čega se to desilo je što Stožer civilne zaštite u Splitsko-dalmatinskoj županiji nije radio svoj posao kako treba i umjesto da oni snose odgovornost za svoje nečinjenje oni su eto naši žrtvenog jarca koji je u ovom slučaju su ispale teretane i Fitness studiji."
