Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,"Koji već smo vani, tak brzo."
0:00:04,0:00:07,"7 epizoda, ni 5 ni 6 nego 7."
0:00:07,0:00:10,"To je jako dobar broj, nekakav magičan broj."
0:00:11,0:00:11,"Tako je, je."
0:00:11,0:00:13,Ne baš u numerologiju.
0:00:13,0:00:18,"Ne baš u numerologiju, ali 7 je onako broj iz narodnih pripovjetki, uvijek je bilo kao 7."
0:00:19,0:00:24,Tako da baš mi je drago da na taj značajan broj je s nama Ariana Vela.
0:00:24,0:00:28,Dobrodošla i hvala ti što si pristala biti dio ove emisije.
0:00:28,0:00:31,"Rada sam došla, hvala na pozivu i jako volim broj 7."
0:00:32,0:00:33,"Da, vidiš kako smo pogodili."
0:00:34,0:00:36,"Dobro smo pogodili, da."
0:00:37,0:00:52,"Ne znam, meni je uopće teško najaviti Arianu, ako ima toliko tih, kako bi se reklo, funkcija i osobnosti, pa možda ti znaš nešto više ili bi to mogla bolje novinarski sažeti od mene."
0:00:53,0:01:21,"Pa ja ću evo uzeti priliku ovu da prvo kažem da mi je drago da je Ariana isto član UGP-a i našeg Odbora za EU fondove, ali mislim da većina naših slušatelja i gledatelja prepoznaju Arianu kao nekog relevantnog uvijek za EU fondove i uvijek kad se govori o tom financiranju iz EU nekako se pita Arianu."
0:01:21,0:01:26,"Ona je već dugo u tome, mislim da si jedan od pionira toga u Hrvatskoj, jel tako?"
0:01:27,0:01:39,"Pa evo onda, mislim da je to možda evo dovoljno za uvod, a još ćemo kroz ovaj razgovor ćemo još rasvijetliti tko je sve Ariana, ali evo kako uopće su EU fondovi došli u tvoj fokus?"
0:01:40,0:01:45,"Zapravo jako slučajno, ja sam još kao sedamnaestogodišnjakinja kada je EU fondova kao takva."
0:01:45,0:01:46,Znači prije dvije godine?
0:01:47,0:01:48,"Prije dvije godine, hvala."
0:01:50,0:02:23,"zapravo sam sudjelovala kao korisnica u jednom projektu, bila sam članica Hrvatskog debatnog društva i tada sam još bila u srednjoj školi i išli smo na svjetsko debatno prvenstvo u okviru jednog projekta koji je financirao institut Otvoreno društvo, tada jako nepopularan SOR-o što je bilo u onim račnim devedesetima i naravno ja tada nisam imala pojma šta je to projekt, ali sam shvatila da je netko platio naš putni trošak u Izrael, da je netko platio taj smještaj i da je netko platio naše trenere itede itede i to mi se činilo jako interesantnim."
