Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:03,"Dobar dan, dobar dan."
0:00:04,0:00:12,Evo prvi put sam sama ovdje sa ove pozicije i drago mi je onda da mi društvo u studiju pravi Martin Sherry dobrodošao.
0:00:14,0:00:16,Baš mi je drago da si odlučio doći.
0:00:17,0:00:24,"Martin je za one koji ga nisu do sad možda vidjeli na televiziji je odvjetnik, ali daj nam još par rečenica o sebi."
0:00:25,0:01:00,"Prije svega volio bi da se predstavim ovdje kao pravnik jer je to prvenstveno ono što me motivira u svemu ovome što u zadnje vrijeme radim vezano za mjere stožera i građanin kojeg smeta cijela ova problematika, a kao pravnik osjećam naročito dužnost i obvezu da se s ovom problematikom naročito bavim jer mislim da smo svi mi pogotovo kada smo prilikom promoviranja pred našim najbližim dali neke obećanja, obvezi ista održati i brinuti da ipak vladavina prava ima prednost i da živi u ovoj zemlji unatoč svim nedaćama."
0:01:01,0:01:20,"E to si jako lijepo rekao, dakle tema ne može biti aktualnija, zato jesi danas ovdje, ova naša emisija se zove Sljedeće četiri godine su ključne jer nekako početna naša prem premisa je bila da evo u ove četiri godine se nešto doista mora napraviti i ova kriza da bi mogla biti i prilika da nam svima bude bolje."
0:01:21,0:01:30,"No hajmo mi onda na ovo što muči zapravo većinu građana, a to su sve odluke koje je donosio Stožer."
0:01:30,0:01:39,"U početku imali smo priliku vidjeti da su građani to sve jako podržavali, ali sad se malo sumnja pojavila u odluke Stožera."
0:01:40,0:01:40,Što ti misliš o tome?
0:01:42,0:01:48,Prvo bi trebalo razjasniti o kojim se konkretnim odlukama radi i o čemu se te sumnje odnose.
0:01:49,0:02:08,"Moram biti iskren i reći da prije nego su formalno donijete odluke mnoge, bio sam jedan od prvih koji se preventivno držao svih mjera još dok nisu bile obvezne od maski, rukavica, doslovce sad s intimidacijom išao u okolo da slučajno nešto ne poberem pogotovo zbog djece i tako."
0:02:09,0:02:42,"Međutim u nekom trenutku, konkretno u mom slučaju negdje trideset trideset jedan ožujka više se ne mogu točno sjetiti ustav nije imao o tome dokaz sam shvatio da je ovo prešlo svaku mjeru na neki način jer nitko ne spori rekao bi ozbiljan, ne spori da je u tijeku jedna ozbiljna pandemija koja je odnosi na stotine i tisuće ljudskih života nažalost, svjedoci smo svaki dan u Hrvatskoj ogromnih brojki i svjesni smo ozbiljnosti situacije."
0:02:42,0:02:52,"Međutim, kao i u svakom reći ću metaforički ratu i u ovome moramo imati jasna pravila igre da se ne bi dogodilo nešto što se ne smije."
0:02:53,0:03:06,"U klasičnom ratu vi imate pravila igre koje trebaju ljude zaštititi, civile od nepotrebnog uništavanja njihove imovine ili ubijanja i također vrijede pravila čak i u odnosu na vojnike."
