Start (HH:MM:SS),End (HH:MM:SS),Segment
0:01:34,0:01:35,To je bio jingle.
0:01:37,0:01:46,"Dakle, dvanaesti sati, dakle to je idealni trenutak za dvanaestu epizodu našeg znanstvenog, popularnog i lifestyle serijala."
0:01:46,0:01:48,Sljedeće četiri godine su ključne.
0:01:50,0:02:00,"Danas nam je u goste došao Mladić u najboljim godinama, tako kažu uspješni poduzetnik koji nam dolazi iz famoznog IT sektora."
0:02:01,0:02:10,"Dakle, sa nama je danas Roko Rujč, jedan od suosnivača i suvlasnika ali tako agencije Agency O four."
0:02:13,0:02:13,Što sam rekao?
0:02:14,0:02:14,Rujč.
0:02:15,0:02:16,Rujč Rujč.
0:02:16,0:02:17,"Dobro, bio sam blizu."
0:02:18,0:02:20,"Dakle, Agency O four jel tako?"
0:02:21,0:02:22,Zatim Startup PA.
0:02:23,0:02:23,Spotsi.
0:02:23,0:02:26,Spotsi i penjačke dvorane ili platforme?
0:02:27,0:02:31,Dvoranice HAIF.
0:02:33,0:02:34,Dobar dan Griva.
0:02:35,0:02:36,Kako ste haj danas?
0:02:37,0:02:38,Kako zdrav je u ova vremena?
0:02:38,0:02:40,Mislim da bi to trebalo biti prvo pitanje.
0:02:41,0:02:44,"Pa ja meni zdravlje neće, ne znam u ova vremena nema neke posle."
0:02:44,0:02:46,"Ja sam inače koliko, dvadeset jedan g."
0:02:46,0:02:56,vegetarijanac većinu toga sportaš ne sjećam se zadnje temperature mislim da dok sam još u studentskoj menzi da sam zadnji put imao neku temperaturu to je prije dvadeset pet g.
0:02:56,0:03:03,"pa to je zdravlje ok mislim tko zna šta je iznutra znaš poduzetništvo ima neke svoje skrivene zamke, ne?"
0:03:04,0:03:05,Skrivene bagove.
0:03:05,0:03:06,Dobro.
0:03:06,0:03:26,"Evo za početak da se malo dotaknemo ovog, budemo rekli ne znam da li je vrući krumpir ili vrući kesten obzirom da si ti UGP-ovac, neki tvoj komentar ovog recentnog sukoba ili prijepora na relaciji UGP Vlada odnosno posebno ministar Ćorić."
0:03:26,0:03:31,Znači mislim vrući je krumpir ne samo taj nego cijela priča je vruća.
0:03:31,0:03:40,"Kad gledaš sad recimo istraživanja javnog mnijenja kažu da recimo nekih pedeset posto ljudi se zgraža na trenutnim mjerama ograničavanja poslovanja, a pedeset posto izaziva jači."
0:03:40,0:03:43,Sada šta god ja kažem ja ću ugriz u vrući krumpir i to je tako.
0:03:43,0:03:57,Znači nemaš u ovoj fazi u kojoj javnost baš onako duboko polarizirana teško je i jednu temu ne prodati vrućim krumpirom koja je ikako dodirnuta sa ovom epidemičkom situacijom.
0:03:58,0:04:10,"E sad što se tiče ove konkretne rasprave ja sam inače onako kao većina poduzetnika moje generacije liberal, tržišni liberal i svjetonazorski liberal."
0:04:10,0:04:19,To znači da iz mog nekakvog onog osobnog dubokog vjerovanja država u principu treba raditi što manje intervencija na tržište jel to je to neko moje generalno viđenje.
0:04:19,0:04:28,"Međutim, sad kako ne postoji niti znanstveni konsenzus, a niti javni konsenzus oko toga da mjere ograničavanja gospodarstva jesu ispravno usmjerene."
0:04:29,0:04:30,Misliš u epidemiološkom smislu?
0:04:31,0:04:58,"Mislim u principu u smislu da u kojem se ograničava nekim tipovima djelatnosti da posluju uopće ili da posluju u punom opsegu bez nekakvog kompletnog znanstvenog konsenzusa i kompletnog javnog konsenzusa, onda ne znam, meni to zvuči malo kao da nešto se mora napraviti, kad si na poziciji vlasti nešto moraš radit, bez djelovanja izgledaš smiješno i u principu vlast u ovom trenutku radi ono šta je najbolja oklada iz njihove perspektive."
0:04:58,0:05:05,Sad kad se već kladiš onda i taj moj stav da država ne treba intervenirati se malo mijenja.
0:05:05,0:05:17,"Znači ako ideš ti sam mijenja tržište, ako ideš mijenjati tržište, ograničavati ga onda bi podržao definitivno više strana da to tržište onda da mu nekako je lakšaš tu svoju okladu."
0:05:17,0:05:25,"Tako da mislim i sama činjenica da sam član UGP-a i da podržavam njihov rad, mislim da jasno govori o ovoga kako vidim situaciju."
0:05:25,0:05:25,Da.
0:05:25,0:05:25,Kako vidim situaciju?
0:05:26,0:05:30,"Dobro, a što se zapravo trenutno zbiva, oko čega je toliki prijepar?"
0:05:30,0:05:53,"Znači ja nisam duboko involviran u rad UGP-a, ono šta ja, šta mi hoćemo pomoći u idućoj godini, UGP useljava u prostor naše kompanije, mi smo im donirali prostor, ali u području javnog djelovanja, ja nisam niti koordinirao niti djelujem u skladu s njima, tako da on ne bi, ne bi mogao dati neki, nekakav, a recimo, petiznjegor koji bi bio, ne znam."
0:05:54,0:05:54,Da.
0:05:55,0:06:06,"Dobro, recite nam onda što se tiče UGP-a, ne, koje vi to reforme zahtijevate?"
0:06:07,0:06:08,Znači tražite.
0:06:08,0:06:08,Ne.
0:06:09,0:06:24,"Ovako, ja sam, mislim, ja se identificiran kao inženjer programe recimo, ali danas sam tu kao poduzetnik i bilo bi nekako blesalo žalice iz perspektive industrije koja najbrže raste i koja jedino u ovoj cijeloj krizi nema nikakvu dramu."
0:06:24,0:06:34,"Znači mi smo imali dramu na početku, kupci su se malo zatresli, neki su odustali, neke su kompanije koje ovise o malo kupaca i nastradale, ali kompanije koje imaju širok portfelj su zapravo počele rasti."
0:06:35,0:06:44,"I sad kad gledaš široko po Hrvatskoj, ti vidiš ono sve kompanije slične nama imaju godinu rasta, malog, velikog ili srednjeg."
0:06:44,0:06:49,"I sad to onda zvuči ono šta se ovi žale, jel šta bi oni, kakve bi oni to reforme i šta bi oni ne."
0:06:50,0:06:53,"Ali mi smo industrija koja ima puno, puno, puno veći potencijal, jel."
0:06:53,0:07:01,"Znači mi kontribuiramo hrvatskom bedepeu po meni pola onog šta bi mogli kad bi ova zemlja prošla kroz jedan ciklus strateških reformi, jel."
0:07:02,0:07:07,"Ono gdje je to najjasnije i najplastičnije vidljivo je oporezivanje dohodka, jel."
