Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:38,0:00:39,"grupu, zar ne?"
0:00:39,0:00:40,"Pa treba, trebalo bi ih više."
0:00:41,0:00:41,Tko je u grupi?
0:00:43,0:00:46,"Lijepo pozdrav svima vama, svim našim gledateljima i slušateljima."
0:00:47,0:01:01,"Evo doista mi je čast i zadovoljstvo biti na današnjoj emisiji, s vama razgovarati o lobiranju, razgovarati o poduzetništvu ustvari prvenstveno, a onda i svema onome čime se mi bavimo kao lobistička organizacija i lobistička tvrtka."
0:01:02,0:01:21,"Dakle, ja sam Natko Vlahovič, pokrenuo sam taj posao prije evo skoro deset godina kao profesionalni biznis koji se razvio u nešto što može zaposliti više od jedne osobe, isplatiti više od jedne plaće, i osigurati nešto što je ustvari održivo."
0:01:22,0:01:51,"Dakle trenutno nas je sedam u tvrtki, znači u našem sjedištu u Zagrebačkom uredu, a u široj regiji imamo još jedan veći niz savjetnika koji nisu stalno zaposleni, ali koji surađuju s nama na projektnoj osnovi, dakle kada imamo projekte u drugim državama regije, onda angažiramo i naše savjetnike kao pomoć i kao dio našeg stručnog tima, profesionalnog tima."
0:01:51,0:01:58,"Sedam je baš onak magična brojka, ni pet ni šest nego sedam veličanstvenik, sedam samuraja, sedam patuljaka."
0:01:59,0:02:01,"Tako da ste točno, e sedam patuljaka, da."
0:02:02,0:02:03,"Sedam je dobar broj, da."
0:02:03,0:02:07,"Ali evo mene zanima odmah, dakle zašto lobiranje?"
0:02:07,0:02:22,"Lobiranje je nešto što u Hrvatskoj, pa možemo reći da je nažalost još uvijek u povojima, znam da ste vi studirali u SAD-u, tamo je lobiranje ipak na jednoj daleko, daleko višoj razini, ali zašto ste vi to odabrali kao vaš put?"
0:02:23,0:02:30,"Pa evo ja bih bio slobodan malo ispričati tu poduzetničku priču, kako je to sve krenulo i zašto baš lobiranje."
0:02:30,0:03:21,"Dakle krenimo od srednje škole, da krenimo od srednje škole, dakle ja sam klasičar, išao sam u klasičnu gimnaziju u Zagrebu, jako sam volio košarku i košarka je bila ustvari moja vizija mog života, međutim kako sam otišao studirati u Ameriku u jednom trenutku sve veći i veći interes je, manji interes je bio ustvari za profesionalni sport, a veći za nekakve međunarodne odnose što sam na kraju i završio na jednom američkom fakultetu u New Yorku i krenuo sam ustvari u diplomatske vode, počeo sam se baviti diplomacijom i moj prvi posao je bio u Washingtonu u Hrvatskom veleposlanstvu u Washingtonu, dakle krajem devedesetih dok je još to bio miran grad, ali nikad nije bio miran što se tiče lobiranja."
0:03:22,0:04:04,"Moji prvi susreti u Americi naravno uopće sa tim pojmom, sa tim ponašanjem, s tim odnosom između privatnog i javnog sektora, Amerika je kao ozbiljna velika demokracija, u njezinom genu je ustvari lobiranje kroz američku demokraciju, višestranačije i ti ogromni različiti interesi koji se pojavljuju na tom tržištu, sve to traži jedno lobiranje, njihov Ustav od samog početka zahtijeva ako hoćeš nešto reći da moraš lobirati, ako hoćeš imati glas, morat netko ovaj ustvari taj glas organizirati."
0:04:05,0:04:39,"Tako kad sam se vratio ustvari u Hrvatsku nisam ostao u vanjskoj politici, znači nisam ostao raditi u Ministarstvu vanjskih poslova, baviti se diplomacijom ustvari nego nekako eto put je, put je išao prema privatnom sektoru i prošao sam određena iskustva i u Hrvatskoj, radio sam za nekoliko organizacija, između ostalog sam bio i Hrvatskoj obrtničkoj komori kao jedan od prvih lobista jedne poslovne organizacije, poslovnog udruženja kad je Hrvatska započinjala pregovore s EU."
0:04:40,0:05:07,"Međutim, ja sam se doista htio baviti lobiranjem, vidio sam da nema profesionalnog i pravog lobiranja na našem tržištu, u našoj državi, da to uglavnom radi država kad lobira za nekakve svoje interese, pozicije, stajališta, ali ovo poslovno lobiranje je u stvari bilo uvijek nekako sakriveno, pomalo mutno, nejasno, netransparentno do kraja i neprofesionalno."
0:05:07,0:05:12,I ja sam doista tu vidio poslovnu priliku i tako je krenuo biznis.
0:05:12,0:05:21,"Evo to je ukratko priča i danas smo tu, danas smo definitivno broj jedan kompanija koja pruža takvu uslugu u Hrvatskoj."
0:05:22,0:05:56,"To je kao što ste rekli u uvodu jedna specijalizirana usluga, jedna niša u sektoru poslovnog savjetovanja, ali nešto što definitivno vidimo bez čega se ne može i vrlo teško je organizirati bilo kakvu ozbiljnu aktivnost bez stručnosti i profesionalnosti, izazovi su ogromni ne samo u smislu ekonomskih odnosa nego općenito reputacijskih odnosa i zagovaranje, a ono što mi radimo ustvari zagovaranje interesa, sastoji se danas od različitih strategija i taktika."
0:05:57,0:06:06,"Eto, to bi nas zanimalo odnosno naše gledatelje ako nam možete malo pojasniti taj pojam odnosno ajmo reći struku, što je zapravo lobiranje."
0:06:06,0:06:15,"Dakle, na nekakvoj ajmo reći općoj razini uz to se vežu dosta kontroverze, znate, gotovo kao neki tajni, mistični hodnici, čudnovat."
0:06:15,0:06:19,"Eto, evo dakle ukratko, što je zapravo lobiranje?"
0:06:19,0:06:24,"Pa ja bih rekao ovako, dakle lobiranje nije pogodovanje i nije korupcija."
0:06:25,0:06:35,Znači lobiranje je ustvari pokušaj da vi nađete rješenje u okviru postojećih pozitivnih zakona i riješite problem.
0:06:37,0:06:49,"Dakle, lobis se pojavljuje kao osoba koja zastupa neki interes isto kao što interes se recimo zastupa svoga klijenta odvjetnik i on zastupa interese pred sudom."
0:06:50,0:07:07,"Lobis će zastupati interese klijenta odnosno skupine za koju radi pred drugim institucijama, to su političke institucije, Sabor, Vlada, ministarstva, agencije, možda županije, ovisi gdje je projekt, odnosno što je projekt."
0:07:08,0:07:21,Tako da je lobistički posao ustvari političko poslovno savjetovanje gdje se pomaže riješiti određeni otvoreni problem.
0:07:21,0:07:48,"Znači mi ulazimo u zakonodavne, u zakonodavnu problematiku, u regulatornu problematiku odnosa ponekad u javno politički prostor, dakle što će biti na agendi u dvadeset jedan u hrvatskoj da li će to biti ti europski fondovi i korištenje europskih fondova od strane poduzetnika i obrtnika ili će možda neke druge teme biti u domeni ključno na agendi."
0:07:49,0:08:00,Znači sve se ustvari danas lobira i svako pitanje se ustvari može lobirati ali ono što sam rekao na početku dakle lobiranje nije pogodovanje ili korupcija.
0:08:02,0:08:12,Možete li nekakve taktike otkriti na koji način se točno lobira odnosno što koristite da biste evo stavili nekako temu na stol?
0:08:13,0:08:32,"Svakako da, ovaj Uglavnom svaki početak u smislu nekakvih koraka počinje sa jednim vrlo detaljnim monitoringom, praćenjem, identifikacijom ključnih stakeholdera odnosno dionika koji su uključeni u određenu temu, određeni problem."
