Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,"cijeli podrum, vertikalne konstrukcije, nemeli to u fazi jedno rušenje."
0:00:06,0:00:07,"A radi se o rekonstrukciji, nije obnova."
0:00:07,0:00:08,A fasada treba stajati.
0:00:09,0:00:10,Dok se pod kapa pod fasadu.
0:00:11,0:00:13,"Da, i o tome treba probuditi svijest."
0:00:13,0:00:15,"Jer po meni to je inženjerski, kako ćeš."
0:00:15,0:00:20,"Ja sam u Zavodu za norme kao član, tako sudjelujemo u radu toga."
0:00:21,0:00:33,"Trenutno nam je brusimo izlazak nacionalnog dodatka za jednostavne zidane zgrade prema ovom postojećem, ali ujedno smo se vezali da nam bude lakše za sljedeći."
0:00:33,0:00:34,"Aha, trenutno je na čitanju."
0:00:34,0:00:41,"A trenutno je na čitanju Na trenutnoj načini, ali već smo krenuli sa formulacijama iz novog eurokoda."
0:00:42,0:00:45,Spremni smo za sljedeći eurokod i za taj dio.
0:00:46,0:00:51,Kada ćemo mi u praksi morati početi koristiti eurokod nove definicije?
0:00:53,0:00:56,"Ne mora nužno biti prevedeno, ali nacionalne dodatke možemo dati."
0:00:56,0:00:58,Do 1.2.28.
0:00:58,0:00:59,"kada bude radni projekt, morat ćemo."
0:00:59,0:01:02,"Nisam siguran, do 1.26.37."
0:01:02,0:01:05,Nakon toga će nas referenti tražiti da moramo dodati taj eurokod.
0:01:06,0:01:13,"Pitanje je birokracija, ne znam."
0:01:14,0:01:16,"Ako pričamo, revident nas može."
0:01:18,0:01:19,Referent nas neće pitati.
0:01:19,0:01:25,"Između ostalog, revident je taj koji provjerava je li se može projektu izdati građevinska dozvola."
0:01:26,0:01:33,On udara žigi i kaže može se izdati građevinska dozvola sukladno tečko propisom.
0:01:35,0:01:37,Baš mi je jako ugodno pričati.
0:01:37,0:01:42,Imam ja tu zapisano dosta tema pa ćemo malo sad skakati s teme na temu.
0:01:43,0:01:52,"Strana radna snaga u građevini, ja mislim da bi netko rekao da 60% svih stranaca koji su došli je u građevini."
0:01:54,0:02:00,"Da li ste i dosta ste na terenu, projektantski nadzor, nadzor stručni, imate neki komentar na njih?"
0:02:01,0:02:02,"Svega ima, imate."
0:02:02,0:02:03,Svega ima.
0:02:03,0:02:07,Imate do dobrih i do ljudi koji su bezaznjaci.
0:02:08,0:02:08,"Dobro, ima neke."
0:02:08,0:02:09,Ovisimo gdje.
0:02:10,0:02:12,"Dobro, da, neke specifične da imaju možda da su."
0:02:13,0:02:21,Ja sam se susreo i sa ljudima koji zaista ne bi trebali graditi u građevini.
0:02:21,0:02:25,"Škola Vitezićova nije naš projekt nego smo bili, vidjeli smo studije."
0:02:25,0:02:26,"Tako je, da, da."
0:02:27,0:02:30,Na edukaciji i uči se barat sa motornom pilom.
0:02:30,0:02:38,"Znači on stoji na dasci, motornu pilu nije upalio nego reže ovako ali reže između svojih nogu."
0:02:38,0:02:39,Između svojih nogu reže.
0:02:39,0:02:41,"Tako da, moj majko."
0:02:42,0:02:44,Kolega Valentino je snimio sa svojeg momka.
0:02:44,0:02:46,Mi smo mirali da smo mirali.
0:02:47,0:02:48,"Evo, budućnost nam je svjetla ako je."
0:02:49,0:02:54,"Da, da, ali dobro, tema je toga zato što puno je u građevini."
0:02:54,0:02:56,"Onda sad govori, obnova traje, ima posla."
0:02:56,0:02:58,Neka kriza se najavljuje.
0:02:59,0:03:00,"Dobro, ne znam."
0:03:02,0:03:04,"Ako ćemo gledati Njemačku, da."
0:03:05,0:03:07,"Da, ali mi imamo nekakve fondove i ovu obnovu."
0:03:07,0:03:08,Šta nam se je desilo?
0:03:08,0:03:15,"Da, nešto što nam govore da moraju znati hrvatski jezik, to ja svakako podržavam."
0:03:16,0:03:16,Slažem se ja.
0:03:17,0:03:21,"Ne možeš ti protiviti doći i što, ti moraš čekati nekoga da mu objasniš kakvu armaturu vezati."
0:03:22,0:03:26,Morat će doći prevoditelj koji ne razumije tehničku nomenklaturu.
0:03:26,0:03:29,"Da, ili dođe inženjer koji ne znam, jednog ili drugog."
0:03:32,0:03:52,"Ne, ali svakodnevno se susrećem s time da se gubi poslovodja pravi, gubi se poslovodja, inženjer gradilišta preuzima i vođenje, ono često ja dođem pa ih ovaj ima popis stranih radnika i ne zna tko je tko, onda ih zove, e ti tražiš na liječnički."
0:03:54,0:03:56,To je recept za neuspjeh.
0:03:56,0:04:00,"Mi smo svi tu sudionici u gradnji, to je nekakav redoslijed odgovornosti."
0:04:01,0:04:08,"I može u toj lancu, može jedna, dvije, tri, četiri karike neka učine, pa uvijek postoji jedan taj filter koji će ti doći i pogledat."
0:04:08,0:04:12,To ti može biti na kraju lanca meštar koji su jako bitne osobe na gradilištu.
0:04:12,0:04:15,Onda može reći ovome i nešto nije dobro reć svome inženjeru.
0:04:16,0:04:17,"Ali tražite, trebate se složiti neko da ne."
0:04:19,0:04:23,"Nema više pravoga meštra, nema inženjera gradilišta da ne govori."
0:04:23,0:04:27,"Projektiranje je slabo si naplaćen, žuriti se nešto nisi dobro da planira."
0:04:28,0:04:30,I to ti ne dođe.
0:04:30,0:04:36,"I to ti je rečeno, investitor ne zna što je nazvo, što je vođa gradađenja, koja je odgovornost nadzora, a koja nije."
0:04:36,0:04:44,"U svakom slučaju, ja sam sa sobom srećom radio u izvođenju građevinskim tvrtkama poprilično velikim."
0:04:45,0:04:54,"Na početku svoje karijere, ja sam, ajmo reći, zgradili ste došao u projektiranje, prvo u toj firmi građevinskoj, a onda sam kasnije krenuo u."
0:04:54,0:04:55,U kojoj firmi se smije znati?
0:04:55,0:04:57,"Može, zašto ne, radni križovat."
0:04:58,0:05:07,"Znači, hoću reći da smo mi imali i još uvijek postoje u nekim tvrtkama ta hijerarhija."
0:05:07,0:05:17,"Imaš predradnike, imaš odnosno majstore, kako kaže Nikša, imaš poslovode za pojedine grupe i imaš inženjere."
0:05:17,0:05:26,"Znači i kad postoji hijerarhija i kad se zna što tko radi, tada je puno bolja komunikacija na gradilištu."
0:05:26,0:06:16,"Kada inženjer gradilišta preuzima posao poslovode, skladištara, to uštede u ljudstvu uzrokuju gubitak na materijalu koji se Znači, imate pozitivne, jer ja nisam s time susreo."
0:06:16,0:06:17,"Ne, mi nemamo."
0:06:18,0:06:19,Na mjestu je redovani rad.
0:06:19,0:06:19,"Nadzor, ne."
0:06:20,0:06:22,"Nadzor, ne, ali smo se susreli sa inženjerima gradilišta."
0:06:23,0:06:24,"Da, dosta teže, dosta teže."
0:06:24,0:06:37,"Znači, susreli smo se sa inženjerima gradilišta koji su solidni, tojest sa kolegicom koja je razrađivala nacrte i isto jako dobro."
0:06:37,0:06:38,Tehnički crtači.
0:06:38,0:06:40,"Tehnički crtači, doduše ona je bila inženjerka."
0:06:40,0:06:42,"Da, ali odrađivali posao, ok."
0:06:43,0:06:47,"Znači, susreli smo se sa zaista kvalitetnim ljudima u tom dijelu."
0:06:47,0:06:48,"Baš lijepo, baš lijepo."
0:06:48,0:06:53,A i kako vam ide sa implementacijom I.
0:06:53,0:06:54,u funkciji?
0:06:54,0:06:55,Ja bih iskreno volio da.
0:06:55,0:06:55,I.
0:06:56,0:06:56,Što je I.
0:06:58,0:06:58,I.
0:06:59,0:06:59,Vaš više nije I.
0:07:00,0:07:00,Tio vas nego I.
0:07:01,0:07:01,Aj.
0:07:02,0:07:02,Aj.
0:07:03,0:07:04,On će ti sve reći.
0:07:05,0:07:26,"Ja bih volio da to ima nekakav, puno veću implementaciju, konkretno na razradu izvedbenih detalja, izvedbenih nacrta, ali moje stajalište je da to nije sada na razini toj kojoj treba biti, ali da bude, mislim da je tu inženjer glavni koji treba to pregledati, verificirati, to nikad ti nećeš moći tu inženjersku intuiciju zamijeniti."
0:07:26,0:07:30,"Da pače, ali da nešto sad troškovnike nacrte za to."
0:07:30,0:07:36,"Znači mi još uvijek nemamo prave modele te UEA, znači mi još uvijek imamo govorne ili jezične modele."
0:07:36,0:07:44,"Ako imamo modele koje imaju takav način razmišljanja da mogu razrađivati i izdati, da ti parametarski modelira."
0:07:44,0:07:45,Da ti parametarski modelira.
0:07:46,0:07:47,Jer revidija mislim nešto već ima.
0:07:47,0:07:48,Što znači parametar?
0:07:48,0:07:53,"Pa da mu ja napišem, ali opet ti moraš o tome detaljno govoriti."
0:07:53,0:07:58,"Ne moraš, ne moraš, ali ako uneseš glupe parametre, glupi detalj ćeš dobiti, zar ne?"
0:08:00,0:08:12,"Ne, ne, jako je bitno mi ne projektiramo po arhitekturi, mi ne predstavljamo arhitekturu, mi radimo inženjersku građevinu, mi radimo nekakve kompromise inženjerske koje su utemeljene, a AI može to zanemariti."
0:08:12,0:08:19,"Znači, mi ćemo dobiti parametar arhitekture, zid je takav, takav, ali on ima nekakav element koji je nekonstruktivan, nama to ne treba."
0:08:19,0:08:21,I sad vrtiš se u.
0:08:22,0:08:24,"Ali u biti gubitak energije, jel ima svjetloga?"
0:08:24,0:08:27,"Pa ja se nadam da će to došlo neku razinu, ali."
0:08:27,0:08:28,"Ja mislim da će za, ne tako skoro."
0:08:28,0:08:29,"Ja mislim da će za, ne tako skoro."
0:08:29,0:08:32,"Ja mislim da će meni isto, svi gore tu je."
0:08:32,0:08:33,Teško je.
0:08:33,0:08:34,Pa vjerojatno je za troškovnike.
0:08:35,0:08:38,"Za troškovnike takva stvar je, ali neće biti za samo suprojektiranje."
0:08:38,0:08:42,"Jezične modele, troškovnike, obrađivanje brda podataka, to sigurno da."
0:08:44,0:08:45,Obrada nacrta.
0:08:45,0:08:49,Ali samo izbacivanje i promišljanje.
0:08:50,0:08:56,"Da, to je ono što se koristio."
0:08:56,0:09:00,"Sve jasno, ali i to je isto način."
0:09:00,0:09:03,12% manje sam potrošio vremena na obrada nacrta.
0:09:04,0:09:07,"Nije to sad ne znam, ne znam, tako značajan podatak."
0:09:08,0:09:14,Ono što je ključno što se treba znati da je inženjerski mozak taj koji je nezamjenjiv u projektiranju.
0:09:14,0:09:26,"Znači, alati su isto tako, jako puno ljudi s kojima smo susreli kroz našu karijeru su došli investitori pa su rekli, bar samo stisni šenter pa ti to izađe."
