Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:16,0:00:30,"Dragi slušatelji, gledatelji, čitatelji portala Hrvatske, gledamo se u nekom drugom formatu, podcast Hrvatske, s nama je goz danas direktor zračne luke u Mostaru, Marko Džuzdal."
0:00:31,0:00:36,"I odmah moram naglasiti, od nedavno, to jest nije baš od nedavno, doktor znanosti."
0:00:38,0:00:39,"Je, hvala na pozivu."
0:00:39,0:00:42,"Mislim da možda i dvije godine čak ima, sada je u jedna."
0:00:43,0:00:45,To se mora naglasiti zbog idućeg dijela.
0:00:45,0:00:52,"Zapravo, uvažava i svu intelektualno poštovanje i upravljanje tako jednom institucijom."
0:00:53,0:01:00,"Imamo neki dogovor da se ipak nećemo persirati zbog laganosti razgovora, tako da ne budemo nepristojan."
0:01:02,0:01:05,"Naravno da je u ok, čak se mlađi onda osjeća."
0:01:08,0:01:17,"Tu je jedna zanimljivost, meni posebno draga na srcu imaju povezanost Mostara i svog rodnog Žepča, dolaziješći Žepča, mada je zanimljivo."
0:01:17,0:01:22,isto to da pola života zapravo nisi u žepču nisi kući.
0:01:22,0:01:23,Kako je teko taj put?
0:01:24,0:01:24,Tako je.
0:01:25,0:01:26,Ja sam do 18.
0:01:26,0:01:31,"godine zapravo bio u žepču i rođen, i roditelji, djedovi, baba."
0:01:31,0:01:32,Svi smo mi i žepčani.
0:01:33,0:01:37,Onda sam zapravo otišao studirati u Zagreb i od 18.
0:01:37,0:01:38,godine ja nisam onaj u žepču.
0:01:38,0:01:42,"U Zagrebu sam studirao, završio fakultet i vratio se u Mostar."
0:01:43,0:01:52,"Tako da, ajmo reći, u žepču sam na nekakvoj bazi svaka tri tjedna do mjesec dana, odem malo mami i sestrama, tako obiđem rodbinu i to je to."
0:01:52,0:01:53,Dobro došli.
0:01:53,0:01:55,"E, da se može bilo bi biti češće."
0:01:55,0:01:58,"Znači, tvoje gradove su Žepče, Zagreb, Mostar."
0:01:59,0:02:11,"Tako je zapravo najviše Žepče i Mostar, Zagreb više je poslovno, nekako nisam ostao u tim relacijama više u Zagrebu poslije fakulteta, da nešto mi je ostalo drugo osim poslovnih nekih relacija koje sad imam vezano za ovaj posao."
