Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,Sama nagrada Ići Ban.
0:00:04,0:00:04,Kako?
0:00:04,0:00:08,Ići Ban na japanskom znači broj jedan.
0:00:10,0:00:25,"Za nas u Tojotu to je stvarno posebna čast, velika je čast da kad vam Tojotu to uruči kao jedna gigant globalna kompanija, svjetski broj jedan kad su o tom bili u pitanju."
0:00:26,0:00:38,I velika je potvrda da radiš pravi posao pošto jedna sila parametara i uvjeta koje ti moraš ispuniti da bi u što je bio u konkurenciji za Ići Ban.
0:00:40,0:00:56,dugoročni najam koji mi radimo i Toyota Hibridna škola uz sve ostalo uvelike doprinosi tome da smo dobili nagradu i ovo je drugi put ove godine u zadnje tri godine.
0:00:57,0:01:14,"Tako da sigurno je jedan pokazatelj da radimo kako treba, da radimo sukladno Toyota zahtjevima i na kraju krajeva drago mi je da u Mostaru neku Toyotu dobije istu odnosno bolju uslugu nego što će dobiti u Toyoti u Berlinu ili u Minhenu ili u Parizu."
0:01:19,0:01:24,Opet se vozimo u jednom Toyota hibridu i opet je s nama Mario Filipović.
0:01:24,0:01:33,"Toyotin, najveći fan hibridnih automobila u Autonomous Tuju."
0:01:33,0:01:36,"Je samo tamo, ili možda je u široj Toyoti?"
0:01:36,0:01:38,Ili malo još zagreženiji?
0:01:38,0:01:40,Ja sam najzagreženiji.
0:01:42,0:01:47,"Zadnji put smo pričali, odnosno, ti si nas uvjeravao zašto bi trebali svi kupiti hibrid."
0:01:50,0:02:06,"A ovaj put ćemo malo o nečemu što je dosta inovativno i rijetko vidlj da su Japanci bilo uduševljeni, a to je riječ o Toyota hibridnoj školi."
0:02:08,0:02:09,Znaj nam iz prve ruke.
0:02:10,0:02:23,"Toyota hibridna škola je regionalno priznati koliko ja znam jedinstven projekt, ne postoji ništa slično, znači i projekat Toyota BH i Autonovića."
0:02:25,0:02:37,koji je sad već u šestoj sezoni i možemo se i pohvaliti da je kroz nju prošlo sad već na stotine polaznika prošle godine.
0:02:39,0:02:43,su svi vozači i tehničko osoblje SCA prošli kroz hibridnu školu.
0:02:44,0:02:50,Imamo dobru suradnju sa Mašinskim fakultetom u SAR gdje svake godine gostujemo.
0:02:54,0:02:56,"Inače, to je ta hibridna škola."
0:02:57,0:03:00,Napravljena je prije svega edukacijski projekt.
0:03:02,0:03:16,"Napravljena je da svima onima koji iz bilo kojeg razloga zanima hibridna tehnologija, elektrificirani pogoni, hajmo reći, da neko osnovno početno znanje."
0:03:16,0:03:30,"S druge strane tu je razdvije predrasude različito o elektrificiranim pogodima poput spori su, baterije su skupe, kvare se itd."
