Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:09,0:00:15,"Sad mi je odmaran se na misama nedelja jer mi je došao, imamo Đakona jednoga tu uvijek ispred mene."
0:00:16,0:00:18,Lakše mi je snimati video kad nekome govorim.
0:00:19,0:00:22,"Danas je propovijedao tri misa, fala ti ja sam opustio, se uživao."
0:00:23,0:00:27,"I ti trebaš da ti neko propovijeda, a on će ti ja malo propovijedati."
0:00:27,0:00:32,"Danas je bila jako lijepa riječ, uvijek je liturgija oko obraćenja, uvijek se vrti oko toga."
0:00:32,0:00:35,Ali danas je baš izrečito bila riječ o obraćenju.
0:00:36,0:00:39,Onda tamo Krist kaže da je Marko.
0:00:39,0:00:43,i sažeo Kristovo propovijedanje u dvije rečenice: obratite se.
0:00:45,0:00:47,"Jer se približilo kraljevstvo Božje, vjerujte u evanđelju."
0:00:48,0:00:50,Da za nas su to arhaične riječi.
0:00:50,0:00:56,"Ne zna što ti misliš kad neko kaže: približilo se kraljevstvo Božje, obrati se."
0:00:56,0:00:57,Šta sad to znači?
0:00:57,0:00:58,Nešto arhaično.
0:00:58,0:01:01,Nekad sam nekim ljudima pričao o svojem iskustvu.
0:01:01,0:01:04,"Ako oni žive potpuno izvan svega, izvan vjere, onda se obraćaju."
0:01:05,0:01:05,Kako mi ste to obratio?
0:01:06,0:01:06,Šta vam to znači?
0:01:06,0:01:07,Oratio?
0:01:07,0:01:08,Nisu znali šta je to.
0:01:08,0:01:10,"Ali isto tako, kraljevstvo je nešto što je to."
0:01:11,0:01:13,Oni su živjeli stvarno kraljevstvo.
0:01:13,0:01:14,"Bio je car, bio je kralj."
0:01:16,0:01:26,"Ova riječ obraćenje je Krist nije govorio, vjerojatno je govorio aramejski, on je govorio slično kao hebrejski, tešuva, vratite se, doslovno znači jako jednostavno, vratite se."
0:01:27,0:01:32,"Ali važan nam je i grčki prevoz te riječi, kako se kaže ti znaš?"
0:01:32,0:01:33,Metanoja.
0:01:33,0:01:34,Metanoja je obraćenje.
0:01:36,0:01:41,"Unutra je riječ nus, ako je neko googla tu riječ, ona znači duh i um."
0:01:42,0:01:51,"Tako onda kako su ovi koji su slušali Krista, koji su prevodili na grčki, razumjeli to obraćenje nakon što su ga sami živjeli, evo da je obraćenje je promjena duha ili promjena uma."
0:01:51,0:01:55,"Mnogi ne znaju da je to isto, duh i um."
0:01:57,0:01:58,Šta znači to promijeniti?
0:01:59,0:02:01,Zapravo taj duh je promijeniti kraljevstvo u kojem živiš.
0:02:03,0:02:05,"Iako to zvuči arhaično, ali aktualno."
0:02:06,0:02:08,Svaki od nas živi ili u jednom ili drugom duhu.
0:02:08,0:02:12,Postoji duh svijeta i postoji i duh Božji.
0:02:12,0:02:17,"Možemo mi glumiti koliko god da smo dobri, fini, lijepi, kulturni."
0:02:19,0:02:22,"Ali ako je nama duh svijeta, on je protivan Bogu."
0:02:22,0:02:25,Taj duh svijeta na više načina se može očitovati.
0:02:25,0:02:29,"Jedan od načina je da svijet uvijek kaže čuvaj svoj život, čuvaj ga, ne smiješ trpiti."
0:02:30,0:02:32,Čak do toga da je ubijen nekoga da se ne bi trpilo.
0:02:33,0:02:35,U abortu se ubije nekoga da se ne bi trpilo.
0:02:35,0:02:40,"Duh Božji je uvijek ne smiješ trpiti, nego ne smiješ izgubiti ljubav."
0:02:41,0:02:44,"Kad izgubiš ljubav, onda gubiš božju ljubav."
0:02:44,0:02:48,"Križak je govorio o farizijama, on je rekao zamislite da ti to neko kaže."
0:02:48,0:02:54,"Kako bi ti reagirao, neko kaže, rafa je li ja te dobro poznajem, ti nimaš ljubav i bože u sebi."
0:02:54,0:02:55,Kako bi reagirao?
0:02:55,0:02:56,Nemaš ljubav u sebi.
0:02:57,0:02:57,To je ono.
0:02:58,0:02:59,Možda bi se naljutio.
0:03:00,0:03:02,"Oni su se ljutili, evo to je."
0:03:02,0:03:11,Duh Božji uvijek je na kraju i čežnja za ovu ljubavlju i zapravo ljubav na zašto ništa nisu mogli razumjeti.
0:03:12,0:03:19,"Oni su sve su krivo razumjeli, razumjeli su krivo zakon, sveto pismo, tradiciju, razumjeli su krivo sebe, druge jer nisu mogli razumjeti te stvari bez ljubavi."
0:03:20,0:03:23,"A zašto jedan čovjek ne razumije, niti želi razumjeti da je pobačaj ubojstvo?"
0:03:24,0:03:35,"Ma nemoj mi to govoriti, pusti me šta, niti ne želi uopće razmisliti o tome da jedna druga osoba koja već postoji, da nju, zato što je potrebna ljubav da bi se to razumjelo, određena količina ljubavi."
0:03:35,0:03:39,"Evo to su dva duha, zato ovaj poziv Kristova danas na obraćenje."
0:03:39,0:03:50,"Jedna riječ mi to zapravo sve spaja, kad je Krist pozvao učenike da budu ribari, možda si ti, mi imamo jedan način, ne za pripremu za propovijed nego da mi uđemo u riječi."
0:03:50,0:03:53,"Ja se nadam da ti isto, rekao sam i zajedno smo već bili."
0:03:54,0:04:06,"To se zove skurtacija, posebno što to se radi sa Jeruzalemskom Biblijom koja ima ona paralelna mjesta, ima i neke komentare i tako onda se može vidjeti u drugim Evanđeljima gdje se na drugim mjestima nalazi ta riječ."
0:04:06,0:04:12,"Onda mi je kod Mateja i Marka imenica, bit ćete ribar, a kod Luke je glagol, od sada ćete loviti ljude."
0:04:13,0:04:20,"Onda taj glagol je zanimljiv, u njemu su dvije riječi, zoe, život i agron, lov, loviti živoga."
0:04:20,0:05:00,"Onda ta riječ se nalazi još samo kod da bi razumjeli šta je to loviti ljude, zapravo je prebaciti ih iz jednog kraljevstva jel gdje su, sjetimo se, ti ne znaš, mi smo tu, ti si Španjolac, ali već si tu i kulturirani, ali znaš hrvatski, mi smo tu imali Turke, borili smo se s Turcima, a Turci su znali oteći djecu i pretvoriti ih u Turčine, to su zvali janičari jel evo možemo reći da duh svijeta to radi, uzme djecu Božju ili pretvori ih u svoje, u svoje vojnike, u svoje, ali onda šta znači obratiti se, vratiti se, vratiti se tamo gdje pripadam, gdje čovjek je dijete Božje, ne pripada zloduhu."
0:05:00,0:05:11,"Ovaj, onda ta riječ loviti žive nalazi se još samo u drugoj Timoteju, druga glava, ali u kontekstu da je džava onaj koji nas je uhvatio žive."
