Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:13,0:00:28,"danas jedan iskrivljeni pogled na intelektualce jer obično se predstavlja tako u medijima, u nekom, kao da ne znam, ljudi koji su intelektualci nisu vjernici itede Zašto to govorim?"
0:00:28,0:00:52,"Jer imam tu jedan tekst kratki od jednog liječnika iz Pulske bolnice, kojim mi svakako toliko nešto pošalje, prijatelji smo već dvadeset godina, koji nekako mi tumači super ovo riječi, možda evo ti ljudi koji završe medicinu možda su na vrhu, ne znam, vrh inteligencije, treba moć završiti medicinu, je li, ima i drugih fakulteta teških."
0:00:54,0:01:03,"I sad u ovo vrijeme puno doktora susrećemo, oni znaju da sam svećenik pa uvijek uđemo u neki razgovor, neki da sam, evo, svi su vjernici, svi liječnici koji su utrećeni, svi su vjernici."
0:01:03,0:01:23,"Onda neka nam jedan liječnik tumači kako to sve funkcionira unutra, onda on kaže to je čudo, govorio mi je o podražaju povraćanja, koliko je čudo da možemo povraćati, koliko se treba, to ne doživljavamo kad povraćamo, da je to neko čudo, ali koliko se stvar stvari unutra treba u tom mehanizmu složiti da bi mi mogli izbaciti taj sadržaj koji je otrovan."
0:01:23,0:01:31,"Onda sam ga ja pitao pa vi možete misliti da je to slučajno nastalo, nikako, liječnik kaže ili specijalist, nikako, to je nemoguće da je slučajno nastalo, mora biti sve projektirano."
0:01:32,0:02:13,"Onda čitamo od jednog, evo, obično propovijeda svećenik, danas će nam propovijedati liječnik iz Pulske bolnice koji govori o ovome, upravo smo čuli o ovoj borbi za prva mjesta koja je duboko u svima nama, vidjet ćemo evo koliko mogu kratko, koliko mi Bog, Duh Sveti da, molim ga da mi pomogne jer ovo je jako bitno, ovdje se ne radi, kako uvijek govorim o ovoj ili onoj religiji, ovdje se radi uvijek, ono što Kris govori je ono što ulazi u naše dubine, ono što govori najbitnijim stvarima našeg života i prihvaćaš što obraćaš se i spašavaš se već sada ili ostaješ u tami, u laži, u evo na kraju, u frustraciji."
0:02:16,0:03:13,"I vidimo kako je Kris strpljiv i milosrdan sa svojim učenicima, oni kažu da su se dok je on govorio o tome da će zauzeti zadnje mjesto, da će ga ubiti, da će ga prezreti, dok on to govori, malo, oni to sve su prečuli, jel kao što ja i ti cijeli život to slušamo u crkvi o poniznosti, kao da ne čujemo, jel u nama je neki drugi mehanizam i mi stalno se, možda to ne shvaćaš, ali mi stvarno stalno se razmišljamo tko je najveći, jel to se obično događa na razinama, neće sad recimo Timisić, ja sam neka božanska baka, idem u crkvu, ne zavidim ja nikome, zavidit ću nekoj drugoj baki, uvijek se uspoređujemo se na istim razinama, ova baka se uspoređuje s drugom bakom, gleda je ona ima boljeg sina, kako je njoj to, zašto ona ima sina, tako ga, meni je cijeli nered, ona uvijek je neka, evo to ćemo sad vidjeti kako on to super tumači, evo čitamo ovog liječnika, svako odluka ima dobra nadahnuća pa mi pošalji."
0:03:14,0:03:25,"Od samog siromaštva čovjeku teže pada da je siromašniji od drugih, teže od najmaštine čovjek podnosi da drugi imaju više, bolje."
0:03:27,0:03:33,Više od same starosti čovjeka opterećuje da su neki drugi ljudi mlađi od njega i da uživaju u čarima mladosti.
0:03:34,0:03:48,"Čovjek je nezadovoljan onim što ima, ne toliko što ima malo, nego ga ponižava da su se drugi bolje snašli, da imaju više sreće, da su pametnije postupili jer se osjeća ugrožen i manji od tuđe veličine."
0:03:49,0:04:04,"Nije problem prihvatiti vlastitu fiziologiju, vlastito lice, vlastito tijelo, vlastitu osobnost dok neko ne pocrta da ima ljepših, boljih, sposobnijih od tebe sa svim posljedicama što to nosi, čudna je od nuta poniznost."
0:04:04,0:04:07,Svi i sve se u prirodi bori za prva mjesta.
0:04:07,0:04:11,"Ako si prvi lakše ćeš preživjeti, naći ćeš bolji teritorij, više ženki, više vlasti."
0:04:13,0:04:16,"Poniznost je zato biti, šta je poniznost kaže ovaj liječnik?"
0:04:16,0:04:21,"Biti u miru i kad si u podređenom položaju, pravom miru, to je onaj kristalni mir."
0:04:22,0:04:31,"Iako živiš u minus varijanti, mnogi ljudi imaju puno na računu, on kaže, neki ljudi žive stalno u minusu, to je minus varijanta."
0:04:32,0:04:40,"Iako su drugi u prednosti,, prihvaćajući svoj nepovoljniji položaj i omalovažavanje drugih radi našeg nižeg položaja."
0:04:41,0:04:45,Biti malen znači biti u nepovoljnijem položaju i to u srcu prihvatiti.
0:04:46,0:04:55,"Nalazeći utjehu jedinu u Bogu, strpljivo okoračajući prema nebu i bez gorčine, na vječnoj svadbi zauzeti posljednje mjesto."
0:04:56,0:05:04,"Biti malen znači biti mučenik tihog svakodnevnog mučenja, tuđeg podcjenjivanja, tuđeg grubosti, tuđeg oholosti, tuđeg prezira."
0:05:05,0:05:28,"Čim si manji, drugi te i nesvjesno, neizbježno guraju, nagaze jer imaju veća stopala, veće stražnice, veće zube, zato ponizan mora neprestano praštati sedamdeset puta sedam nije toliki problem priznati da si grešnik, sad dalje ide jel da si pogriješio već je problem priznati da si gori od drugih, da si učinio više zla od drugih, da si grešniji od drugih to je već problem."
0:05:30,0:05:31,Onda sad završava.
0:05:32,0:05:56,"Poniznost je uživati u filmu iako si u kinu na pomoćnom posljednjem sjedalu, iako nemaš za kokice, iako ti smetaju glave drugih ispred tebe, iako sjediš na drvu, prije smo, kad su otvorena kina, pa smo kao djeca se penjali na drvo i gledali film, sve se svodi na prihvaćanje križa, drva križa, jer Krist uvijek sjedi na najlošijem sjedalu, vozi najlošije auto, oblači najlošije patike, najlošije jede."
0:05:56,0:06:00,"Uvijek mu svi pametuju, ponižavaju ga, prestižu ga, zaboravljaju ga."
