Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:05,Dobar dan još jedanput.
0:00:07,0:00:09,Vjerujem da sudionike ne treba posebno predstavljati.
0:00:09,0:00:16,"Kolegica Alimka na početku je predstavila viceguvernera Frasa, člana upravnog vijeća HANFE g."
0:00:16,0:00:21,Ridzaka i pravnika iz odvjetničkog društva Đurići partner Jedina Karakaša.
0:00:21,0:00:25,"Moje ime je Veli Miršonje, konzultant iz tvrtke Arhiva Analytika."
0:00:27,0:00:28,Počeo bih sa g.
0:00:28,0:00:43,Karakašem s obzirom da je on bio kao vanjski pravni savjetnik uključen i u neke davne pokušaje izrade Zakona o sekuritizaciji pred više od deset godina i zadnjih nekoliko godina vezano uz pravni okvir za pokrivene obveznice.
0:00:44,0:00:52,"Ono što mene kao promatrača sa strane interesira, zašto nam je uopće potreban nekakav poseban pravni okvir?"
0:00:53,0:01:00,"Naime, čuli smo i pitanje na prethodnom panelu čemu uopće Europska direktiva, pa ajmo to preseliti na naš teren."
0:01:00,0:01:20,"Dakle, glavni koncepti poput, kako mi to na hrvatskom kažemo, asset separation, bankruptcy remoteness, nisu li to koncepti koji su pravno rješivi, dakle govorimo sada samo o pravnom, ne o regulatorno prudencijalnom dijelu, nisu li dva koncepta koji su pravno rješivi u okviru nekih postojećih zakona koje imamo?"
0:01:21,0:01:32,"Ako je pitate da li se nas pet šest može skupiti u jednu sobu i doći sa nekakvim rješenjem koje bi nalikovalo pokrenim obveznicama, vjerojatno može."
0:01:32,0:01:41,"Međutim, postoji velik broj tu nekakvih izazova, nesigurnosti, troškova koje bi takva jedna konstrukcija izazvala."
0:01:42,0:02:01,"Prije svega ovdje se ne radi o klasičnom zalaganju gdje ću, ne znam, Veli Miršonje uzeti od Edina Karakaš-Brgara od jedine karakaž banke nekakav kredit i dati nekakvu nekretninu nego se ovdje kao pokriće tih obveznica, ko prvo ne javlja jedna konkretna osoba nego se javlja jedan skup imatelja obveznica."
0:02:01,0:02:16,"Kao drugo, pokriće tih obveznica nije jedna točno određena nekretnina nego se radi o jednom kako se on zove skupu za pokriće, u toj skup za pokriće ulazi veći broj kredita koji su na neki način osigurani ili nekih drugih tražbina."
0:02:17,0:02:24,"Međutim, istovremeno osim što taj veći broj kredita ili drugih tražbina ulazi, on pod određenim uvjetima mora izaći."
0:02:25,0:02:52,"Da bi se to sada napravilo, znači prema sadašnjoj strukturi bi trebalo tu konstantno sklapati nekakve dodatke u ugovorima, uz to bi se snosili odvjetnički troškovi, ne znam puno moći prijevoda ako imamo nekog stranca uključenog, pa do troškova javnog bilježnika, ukoliko ćemo imati to osiguranje sklopljeno u javnobilježničkoj ispravi, registracije, uglavnom postoji jedan cijeli niz koračića malih."
0:02:53,0:02:59,"koji bi uopće da bi mogli pričati da imamo neku sličnu konstrukciju kao pokrivene obveznice, trebalo napraviti."
0:03:00,0:03:18,"I ideja je koliko ja shvaćam i ovu direktivu i tog cijelog regulatornog okvira da se taj jedan niz sitnih nesigurnosti i taj jedan niz koraka pokuša što manje umanjiti, što više umanjiti ne bi li na taj način i ta cijela transakcija bila jeftinija."
0:03:18,0:03:36,es druge strane konceptualno zašto bi morali sklapati hrpu tih sitnih ugovora zato što konceptualno hrvatsko pravo ne poznaje zalog kao neki fluktuirajući pojam osim na točno određenoj mogućnosti koju pruža Zakon o registraciji tražbina upisnik FINA-e.
0:03:36,0:03:45,"Drugim riječima, mi ne možemo imati takozvani fluktuirajući zalog na tražbini odnosno to nije, definitivno nije sigurno koliko bi to djelovalo protiv trećih osoba."
0:03:45,0:03:57,"Mi se možemo ugovorno dogovoriti da banka neće za nešto drugo koristiti te tražbine, međutim u slučaju nekakve sanacije ili stečaja banke jako je upitno odnosno jako je nesigurno šta bi se desilo s tim tražbinama."
0:03:59,0:04:14,"Osim tih stvari, znači osim konceptualnog tog problema sa fluktuirajućim zalogom na tražbinama, tu ima dosta praktičnih problema, a to je, znači nekoliko puta danas se spominjala ona razina dvostruke zaštite."
0:04:14,0:04:25,"Znači imamo s jedne strane potraživanje prema banci, međutim u slučaju da banka dođe u problem, da dođe u stečaj ili neki drugi default koji bi bio definiran na neki drugi način, to sad pokriče."
0:04:26,0:04:34,"Znači se na neki način mora izvući iz banke odnosno iz samog tog skupa za pokriće, imatelji obveznica se trebaju naplaćivati."
0:04:34,0:05:05,"To je jako teško napraviti u okviru postojećeg stečajnog postupka već je za to potrebno da se stvori nekakav poseban pravni okvir, znači netko tko će se kontinuirano brinuti gdje će ulaziti novac od otplate tih kredita, znači tko će ići eventualno u ovrhhu ne znam nad nekom nekretninom koja osigurava taj kredit, a to je bilo jako teško napraviti u okviru postojećeg stečajnog postupka gdje postoje dosta strikna pravila o tome, o vezi između stečajnog upravitelja, između razložnih vjerovnika."
0:05:06,0:05:19,"Ukoliko bi trebalo imati nekakvu parnicu, jako je teško, znači, stupiti u ovrhu, potrebna je nekakva ili ovjerena isprava, a ukoliko već teče ovršni ili panični postupak, posebno panični, jako je teška promjena stranaka u tom postupku."
0:05:19,0:06:01,"Uglavnom, postoji desetak do petnaest minimalno nekakvih sitnih stvarčica koje bi trebalo na neki način legislativno riješiti da bi uopće mogli reći da imamo onakav stupanj sigurnosti koji je potreban da bi te pokrivene obveznice zadovoljile i one kriterije po kojima u njih mogu ulagati investicijska društva i one kriterije koje će omogućiti da dobe onaj preferencijalni tretman prema uredbi o kapitalnim ulaganjima koja je europska od petsto sedamdeset petdvije tisuće trinaest vi ćete znat bolje kako se ta uredba zove europskoj regulativi."
0:06:01,0:06:01,Hvala.
0:06:02,0:06:07,"Dakle, dragi u detaljima i u smanjivanju transakcijskih troškova, ali ajmo ostati još malo na pravnoj razini."
0:06:07,0:06:14,"Gospodine Fras, dakle, jedan koncept bi bio lex specialis, drugi koncept bi bio nekakvi amandmani postojećih zakona."
0:06:14,0:06:18,Koliko razumijem išlo se u pravcu ili ide se u pravcu posebnog pravnog akta.
0:06:19,0:06:28,"Ako možete obrazložiti malo zašto je to tako i u kojoj je uopće Hrvatska sada fazi sa pripremom pravnih rješenja, što se može očekivati u sljedećih nekoliko mjeseci."
0:06:31,0:06:31,Hvala.
0:06:32,0:06:33,Pozdrav svima još jedanput.
0:06:33,0:06:42,"Da, možda bi kolega Edin i kolega Richard mogli više pričati o tome u kojoj fazi se sada nalazimo u vezi sa izradom nacrta zakona."
0:06:42,0:07:09,"Ono što znamo je da prije nekog vremena, mislim prije dvije godine, dvapet godine ili više, Ministarstvo financija i i BRD su sklopili jedan sporazum temeljem kojega je i BRD osigurao podršku ekspertnu u vidu konzultanta Richarda i nekih drugih konzultanta koji su napravili po našem znanju dva nacrta mogućeg hrvatskog zakona o pokrivenim obveznicama."
0:07:09,0:07:21,"U izradi tih nacrta moram reći da su sudjelovali i kolege iz haenbea posebno kolege iz Direkcije za bonitetnu regulativu, nekoliko njihovih predstavnika je ovdje, veseli me da su tu."
0:07:22,0:07:27,"Prema tome, da se vratimo na vaše pitanje da li jedan ili više zakona."
0:07:27,0:07:30,Ja mislim da je danas postalo već nekakav pravni standard.
0:07:30,0:07:37,"Konačno i kad smo nas dvojica radili onaj romantični zakon o sekuritizaciji odlučili smo se, ista je bila dilema."
0:07:38,0:07:45,Bila je dilema da li to raditi kroz izmjene nekoliko zakona koji su relevantni za određena područja ili to činiti jednim zakonom.
0:07:45,0:07:49,"Odredili smo se za jedan zakon, ja mislim da je ovdje isto dobro rješenje."
0:07:49,0:07:50,"Jedan zakon, zbog čega?"
0:07:51,0:08:12,"Prvo zbog toga možemo se pitati, ok, ako imamo stečajni zakon, on već regulira neke stvari, zašto samo tamo nešto malo ne bi dodali što ima veze sa tim firewallom ili kako ćemo nazvati segregacijom, sekuritiziran, pardon, segregacijom imovine koja služi za pokriće, skupa za pokriće kod pokrivenih obveznica, zašto to ne bi dodali tamo?"
0:08:12,0:08:24,"Pa jednostavno zbog toga jer vjerojatno će interes, gledamo čisto marketinški interes onih koji će čitati stečajni zakon za takva specifična pitanja će biti vrlo ograničen."
0:08:24,0:08:36,"Druga stvar je, mi znamo danas recimo da kazneno zakonodavstvo, sad govorim zaista kao pravi pravnik, ne kao centralni bankar, kazneno zakonodavstvo je kod nas recimo raspršeno u deset i petnaestak zakona."
0:08:37,0:09:06,"Stečajne odredbe ne nalazimo samo u Stečajnom zakonu već evo nama vrlo bliskom Zakonu o kreditnim institucijama, postoje određena stečajna pravila i u Zakonu o tržištu kapitala, prema tome ne radi se o jedinstvenim pravnim područjima koji su nužno regulirani samo jednim propisom i zbog toga mislim da bi bilo praktično da se stvar na jednaki način kao što je direktiva to zapravo indirektno predvidjela da se implementira direktiva putem posebnog zakona?"
0:09:07,0:09:07,Hvala.
0:09:08,0:09:13,"Ono što mene interesira je prvo, sljedeće pitanje zapravo vezano uz licenciranje."
0:09:14,0:09:27,Ali možda da Rizaka malo preskočimo pa natrag vratimo prije toga Karakašu koji dakle sudjelovao je u izradi prijedloga koji shvaćam još uvijek je u procesu izrade.
0:09:28,0:09:31,Da li je predviđeno konkretno licenciranje samoga izdanja?
0:09:32,0:09:40,Dakle shvaćamo da licencirane kreditne institucije su jedine koje mogu izdavati davati kreditna obveznica ili što je sa licencom samoga izdanja?
0:09:45,0:10:39,"Da, znači u tim svim nekim razgovorima za sada ne ulazimo u detalje toga kako je taj nekakav prijedlog s obzirom da je već prošlo dosta vremena od kada je ona napravljena, bilo je predviđeno da se ne samo licencira kreditna institucija kao ok i sad se stavlja njezin od bankarsku dozvolu da može izdavati pokrivene obveznice već da se radi i posebno licenciranje ili nekakvog programa ili izdanja i tu sad postoje nekakve različite prijedlozi koje bi imali za svrhu zaštiti između ostalog imovinu kreditne institucije, znači da postoji određen broj tih kredita koji su unutra i da imovina kreditne institucije koja ne bi bila na taj način opterećena odnosno segregirana ili izdvojena također bude na nekakvoj razini, da ta sadma kreditna institucija ima određene nekakve dovoljno unutarno postavljene interne procedure koje omogućavaju da cijeli taj program provodi takve nekakve stvari."
0:10:39,0:10:53,"Znači nije to samo pitanje bankarske licence nego se idealno govorilo i o posebnim licencama ili za jedan program ili za posebno izdanje, ali kažem to još nije ajmo reći, nismo došli do toga da možemo reći sa sigurnošću šta je, šta se predviđa."
0:10:55,0:11:02,"Dobro, e sad kad se riješi taj dio, pa nastane neko izdanje, pa se onda aplicira regulatoru tržišta kapitala, a tu nam je gospodin Ridzak."
0:11:03,0:11:06,Kako sa gledišta regulatora tržišta kapitala izgleda ova problematika?
0:11:06,0:11:17,"Dakle, da li će to biti još jedan dužnički instrument koji se kod vas aplicira sa uobičajenim prospektom ili se tu mogu očekivati neki dodatni zahtjevi i gledanja sa vaše strane?"
0:11:19,0:11:20,Hvala Veli Mir.
0:11:20,0:11:28,"Pa dakle, ono što trenutno ne postoji ništa drugačije za EU, za eventualne takve papire u odnosu na obične dužničke vrijednosne papire."
0:11:28,0:11:37,"Dakle, jedina razlika koja proizlazi iz predložene regulative, iz onoga što postoji, znači vezano je za taj skup za pokriće."
0:11:37,0:11:59,"Znači, tu bi se u prospektu bi HANFA kad bi odobravala prospekt izdanja, ona bi gledala prospekt tog izdanja kao bilo koji drugi dužnički papir, osim onom dijelu skupa za pokriće gdje bi se tražilo vjerojatno više informacija o tome da potencijalni ulagatelji znaju o rizicima, kako funkcionira taj skup itede itede znači sve ono što je moglo ulagatelja interesirati vezano za taj skup za pokriće."
0:11:59,0:12:07,"U ovom drugom dijelu, znači za nas je to trenutno znači obična obveznica tojest obične dužničke kredite u okviru."
0:12:10,0:12:12,"Dakle, spomenuli ste skup za pokriće."
0:12:14,0:12:34,"Koliko razumijem, prijedlog direktive ide u pravcu da zemlje imaju određenu slobodu u pogledu mogućnosti odabira skupova za pokriće za izdavanje pokrivenih obveznica iako je jasno da ih historijski gledano je to prije svega vrlo niskorizična imovina pa do nekakve kolateralizirane hipotekarne imovine."
0:12:35,0:12:55,"U kom pravcu idu razmišljanja, ne znam da li ćete vi ili gospodin Karakaš, da li se ograničavamo da tako kažem na ove standardne pulove eseta ili razmišljanja idu u pravcu proširenja imovina koje mogu služiti kao pokriće pokrivenih obveznica."
0:12:55,0:13:21,"Pa ja mislim da su tu dileme relativno male zbog toga što, bar za sada tako izgleda, nacrt direktive izričito upućuje na taj famozni članak sto dvadeset devet ove crr znači uredbe o kapitalnim zahtjevima gdje se taksativno navode vrste imovine u koje bi se mogli ulagati, koje bi mogli biti u imovini za pokrivanje ovih pokrivenih obveznica."
0:13:22,0:14:26,"Mislim da s naše strane tamo postoje četiri ili pet kategorija te imovine, međutim ja mislim da ako stvar svedemo na razinu naših banaka da ćemo najvjerojatnije govoriti o hipotekama i drugim vrstama registriranih založnih prava, tako da ne znam, možda će me netko kasnije demantirati ili možda će me praksa demantirati, ali čini mi se da mi nemamo neke druge vrste sofisticiranijih instrumenata koji se spominju u tom članku sto dvadeset devet crr ali u vezi s tim ja bih još nešto rekao dakle mislim cijeli koncept pokrivenih obveznica naravno se može reći u jednu rečenicu strukturna obilježja se mogu opisati u drugoj rečenici ta bi možda bila malo dulja ali kada dođemo ovo što si ti rekao na početku vragi u detaljima naravno kada dolazimo do pitanja regulacije nadzora licenciranja dolazimo zapravo do prave suštine bar kako i ja vidim kako je vidjela direktiva odnosno nacrt direktive zapravo je da se sve radi radi zaštite investitora."
0:14:27,0:14:33,"I mi imamo nekoliko, ja bih rekao baterija zaštite investitora."
0:14:33,0:15:03,"Prvo, znači, postoje, ako govorimo o kreditnim institucijama koji su prema direktivi isključivi izdavatelji pokrivenih obveznica, znači, prvo oni moraju biti licencirani od strane, u ovom slučaju kod nas haenbea a onda, nakon toga, direktiva propisuje obvezu javnog nadzora pokrivenih obveznica i sad tu direktiva ostavlja državama članicama na volju da odrede kako će biti, ali kaže jedan ili više nadležnih tijela će se imenovati, znači za nešto što je javni nadzor pokrivenih obveznica."
0:15:03,0:15:56,"A šta to uključuje, taj javni nadzor, uključuje znači praćenje izdavanja i vjerojatno licenciranje, početno licenciranje, odobrenje za izdavanje pokrivenih obveznica, znači prije samog izdanja, to uključuje moguću registriranje transakcija pokrivenih obveznica, dakle moguće držanje registra pokrivenih obveznica, zatim nakon toga poseban nadzor u vezi poslova i transakcija u vezi sa pokrivenim obveznicama, zatim direktiva spominje nešto drugo, jedno posebno tijelo, a to je nadzornik skupa za pokriće, to je jedan fakultativni instrument zaštite, to bi bio kao neka, ja mislim mogu slobodno reći neka vrsta revizora, znači izdanja odnosno praćenja adekvatnosti skupa za pokriće."
0:15:56,0:16:37,"Onda predviđa još jedan drugi fakultativni, naredni fakultativni subjekt u hrvatskoj verziji direktive nazvan posebni upravitelj za slučaj nesolventnosti odnosno sanacije, dakle jedan poseban stečajni upravitelj koji bi u slučaju stečaja ili sanacije izdavatelja pokrivenih obveznica posebno bio koncentriran na to da pazi na način kako da se zaštite imatelji pokrivenih obveznica itede Govorili smo o rejting agencijama i BRD se izrazio danas vrlo jasno da oni će ulazakati samo u ona izdanja za koja su izdana odgovarajuće ocjene rejtinga."
