Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,Hvala vam puno što ste došli.
0:00:06,0:00:13,"Kao što svi vidite, ovo je prilično međunarodni panel koji će se usredotočiti na priče o uspjehu iz Srednje i Istočne Europe."
0:00:14,0:00:22,"Stoga sam želio prvo pitati vas, Florian, vi istražujete istraživanje o zajmovima i pokrivate taj tržište globalno."
0:00:23,0:00:26,"Pitala sam se što je, po vašem mišljenju, 2018."
0:00:26,0:00:31,bila godina za tržište zajmova i što bi 2019.
0:00:31,0:01:17,"mogla biti i kako direktiva o zajmovima zapravo igra pozitivnu ili manje pozitivnu ulogu u smislu, neću se detaljnije pozabaviti tim pitanjem."
0:01:17,0:01:21,"Pokušat ću vam dati širok, međunarodni pogled na ovaj prostor."
0:01:22,0:01:23,Jer je 2018.
0:01:23,0:01:27,posljednja godina i to je zapravo glavni razlog ili glavni problem.
0:01:28,0:01:31,"Direktiva nije tako veliki problem danas, pogotovo za investitore."
0:01:32,0:01:36,Nije problem uopće jer se vremenski okvir proteže nekoliko godina u budućnost.
0:01:36,0:01:42,"To je nešto o čemu puno raspravljam s izdavačima, ali s druge strane, iskreno, gotovo nikad se ne pojavljuje."
0:01:42,0:01:45,"I mislim da ćemo kasnije, Rich i ja, malo vremena posvetiti raspravi o tome."
0:01:45,0:01:51,"Koji je bio glavni određujući čimbenik za kretanje spreda, kretanje izdavača, kretanje količina?"
0:01:51,0:02:02,"Volumen se pomaknuo, u osnovi je to bio QI ili, ne kraj, jer nismo na kraju, nego posljednje godine stvarnih neto dodataka programu kupnje."
0:02:02,0:02:16,"To je bio glavni pokretač posljednja četiri godine, u osnovi, jer su ti momci kupovali mnogo, a skupljali su udio u ukupnom europskom tržištu od oko četrdeset posto."
0:02:16,0:02:29,"Dakle, gotovo svaki drugi obveznica, ako želite reći i držati se te mentalne slike, drži se momci u velikoj frankfurtskoj kući i različitim podružnicama oko eura."
0:03:05,0:03:08,Aktivno sam izdavačima rekao da je to sjajno.
0:03:08,0:03:14,Tijekom proteklih četiri godine mogli ste se osloniti na narudžbe s naše strane koje su bile oko pedeset posto očekivane veličine emisije.
0:03:15,0:03:17,"Kao izdavač, znate da je polovica mog obveznog papira već isplaćena."
0:03:18,0:03:21,"Investitori su znali da je polovica tog obveznog papira već isplaćena, pa je rizik od izvršenja nizak."
0:03:21,0:03:27,"Nisu bili sretni što su prihvatili, ali su na kraju prihvatili razine širenja koje inače ne bi imali."
0:03:27,0:03:30,"U ožujku je Eurosystem rekao: U redu, ljudi, ovo je ono što je bilo."
0:03:30,0:03:32,"Bilo je sjajno za vas, a ne toliko za investitore."
0:03:33,0:03:35,Sada ćemo početi normalizirati ovo.
0:03:35,0:03:41,"Naše narudžbe više neće biti pedeset posto, već će biti najviše četrdeset posto, a naglasak će biti na najviše, a ne na broju četrdeset posto."
0:03:42,0:03:45,I to je dovelo do dosta nervoze s strane izdavatelja.
0:03:45,0:03:50,"Bilo je stvarno, oko 180 stupnjeva, što se tiče psihe i psihologije."
0:03:51,0:03:54,Imali ste puno izdavanja tijekom prvih mjeseci godine.
0:03:54,0:04:00,"Obično imate sezonske obrasce u kojima se izdavanje usporava nakon vrlo aktivnog početka godine u ožujku, a zatim u travnju."
0:04:00,0:04:02,Ovaj put nije bilo usporavanja.
0:04:02,0:04:04,Samo su nastavili izdavati i izdavati i izdavati.
0:04:05,0:04:09,I rezultat su bili rasponi koji su se samo širili i širili i širili.
0:04:09,0:04:19,"I samo da dobijete grubu ideju o nekim od udaljenosti koje smo do sada pokrili u njemačkom prostoru, jer je nekoliko puta spomenuto kao benchmark, kako se kaže."
0:05:33,0:05:39,"I sklon sam misliti da to nije zbog mene osobno, nego zbog tržišta kao što je bilo u tom razdoblju."
0:05:39,0:05:43,"Dakle, to se normalizira i na toj strani."
0:05:44,0:05:50,"Direktiva, kako sam spomenuo, za investitora je previše nejasan pojam."
0:05:50,0:05:54,Svatko pretpostavlja da se naša situacija povećava postupno od onoga gdje smo sada.
0:05:54,0:05:56,"Dakle, to nije negativno."
0:05:57,0:06:02,"To je neka vrsta manjeg pozitivnog učinka, ali opet, onog koji se neće odvijati 2019."
0:06:02,0:06:02,godine.
0:06:02,0:06:08,"Dakle, za ljude s dvanaestomjesečnim horizontom u pogledu mjerenja performansi, to još nije pokretač."
0:06:08,0:06:11,"Pokretnik je zapravo bio QE, smanjenje."
0:06:11,0:06:14,narudžbi i to se već u velikoj mjeri dogodilo.
0:06:14,0:06:19,"Gledajući 2019., ti čimbenici neće biti mnogo različiti na kraju."
0:06:19,0:06:30,"I dalje ćete imati znatne reinvesticije iz eurosustava u pogledu APP-a, CBPPP-a, ABSPP-a, CSPP-a i PSPP-a."
0:06:31,0:06:36,"Sekundarni i sekundarni kupci, dakle, sekundarni kupci ove godine i sljedeće godine, vjerojatno se neće promijeniti."
0:06:37,0:06:38,Vjerojatno će biti točno isti.
0:06:38,0:06:39,A 2020.
0:06:39,0:06:46,"godine, zbog povećanja profila dospijeća u narednim godinama, možda će se zapravo vratiti kupujući gotovo jednako koliko su kupili ove godine."
0:06:47,0:06:47,"Dakle, to je još uvijek."
0:06:49,0:07:00,"poticajni čimbenik, a ako razmislim o zemlji poput Hrvatske, naravno, nećete imati izravne investicije, ali to će biti još uvijek poticajni čimbenik na tržištu još nekoliko godina."
0:07:00,0:07:03,To ne znači da ne možete imati širenje raspona.
0:07:03,0:07:10,"Mislim, imali smo širenje raspona, ali to i dalje na neki način umiruje ili smanjuje rizik od prekomjernog preusmjeravanja."
0:07:10,0:07:25,"I posljednja četiri godine, sektori koji nisu bili u okviru Eurosustava, špijunirali su, također su imali koristi od toga, jednostavno zbog toga što su sve bile potisnute prema dolje i investitori su pokušavali ponovno uskladiti svoje portfelje s malo većim prinosom u sektorima koje i dalje smatraju visok visokokvalitetnima."
0:07:25,0:07:40,"I, na primjer, jedan veliki dio vlastitih fondova i ulaganja u mirovinski fond Euro-sustava bili su neiskorišteni zajamčeni obveznice jer su ih na neki način zabranili kupovati imovinu koja je u skladu s APP-om Euro-sustava."
0:07:40,0:07:43,"Nisu htjeli stupiti na teren svojih kolega, kako se kaže."
0:07:43,0:07:46,Nema puno neiskorištenih javnih sektorskih imovina.
0:07:46,0:08:00,"A zajamčeni obveznice su prilično velik i debeljast tržište u zemljama kao što su Kanada, Australija, veliki su, imate Nordske i u određenoj mjeri, u manjoj mjeri ovdje u srednjoj istočnoj Europi."
0:08:00,0:08:01,Ali to je imalo koristi.
0:11:06,0:11:09,"Kao što ste ranije spomenuli, u Slovačkoj je AAA."
0:11:09,0:11:15,"I analiziramo neke druge tržištima, kao što su Rumunjska ili Pan-Baltički."
0:11:18,0:11:36,"Pokrivene obveznice ključni su alat za financiranje stambenih tržišta, a također i u nekim zemljama ovog područja, kao što su Mađarska, Slovačka ili Češka, gdje pokrivene obveznice mogu značiti dvadeset posto ili više stambenih zajmova."
0:11:37,0:11:43,I u posljednjih nekoliko godina vidjeli smo veliki napredak.
0:11:43,0:11:46,"U stvari, izdavanje u 2017."
0:11:46,0:11:48,godini udvostručilo se u odnosu na 2016.
0:11:48,0:11:49,godinu.
0:11:49,0:12:03,I u tim zemljama postoje neki izdavači koji razmišljaju o financiranju svojih rastućih portfelja hipotekarnih kredita pokrivenim obveznicama.
0:12:05,0:12:20,"I mislim da su glavni čimbenici, naravno, osim prednosti izdavanja pokrivenih obveznica u smislu troškova i u smislu financiranja duljih rokova, ovaj veliki razvoj, prije svega gospodarski rast."
0:12:56,0:12:58,U posljednjih deset godina udvostručila se.
0:12:58,0:13:02,Ali u Slovačkoj ili Rumunjskoj udvostručila se.
0:13:03,0:13:09,I čini se da banke trebaju način financiranja tih hipotekarnih portfelja.
0:13:09,0:13:18,"A drugi čimbenik, rekao bih da je to već raspravljano i da će se puno raspravljati ovdje, a to je usklađivanje okvira za pokrivene obveznice."
0:13:19,0:14:23,"Mislim da će usklađivanje zadržati povoljno regulatorno postupanje za pokrivene obveznice, što je velika prednost za sve europske pokrivene obveznice i također ovdje u ovoj regiji jer smo vidjeli neke zastarjele jer će ljudi posuđivati više novca i ulagati manje u vlastiti kapital prilikom kupnje kuće, što je, naravno, negativno za nove zajmove koji ulaze u bakrene fondove u budućnosti."
0:14:24,0:14:27,Ali vidjeli smo i neke ublažavajuće mjere.
0:14:27,0:14:39,Vidjeli smo da su većina zemalja razvila regulatorne mjere koje ograničavaju financijski polug i također ograničavaju zajmove na vrijednosti.
0:14:39,0:14:47,"Kao što je to moglo biti, mislim, tijekom prošlog ljeta vidjeli smo Mađarsku, Poljsku, Češku i Slovačku koji su to učinili."
0:14:47,0:14:53,To je vrlo pozitivno jer u određenoj mjeri ublažava te rizike.
0:14:53,0:15:08,"Dakle, mislim da je u kratkom sažetku ono što smo vidjeli odličan razvoj tijekom proteklih godina zahvaljujući usklađivanju i gospodarskom rastu, ali i dalje imamo neke rizike, kao što je povećanje cijena nekretnina."
0:15:08,0:15:14,"Hvala ti, Thomas, i imaš pravo, posebno na povećanju cijena nekretnina."
0:15:14,0:15:25,"To je bilo stabilno nekoliko godina, a u Srednjoj i Istočnoj Europi stvarno rastu, ali i nezaposlenost opada, što je pozitivan učinak."
0:16:39,0:16:48,"Međutim, moji iskusniji kolege kažu da su obveznice pokrivene stabilnošću dosadne."
0:16:49,0:16:52,Ali ja se ne slažem s tim.
0:16:53,0:17:16,"I zapravo nam je trebalo nekoliko godina da dođemo do mjesta na kojem se nalazimo sada, pa je to bilo prilično brzo jer iako smo imali zakon, što je navedeno u prezentaciji Andreja i Jaceka, koji je započeo 1998., zakon nije bio savršen."
0:19:43,0:19:49,"O tome smo naučili i na iskusnijim tržištima, što znači da bismo trebali imati zajamčene obveznice."
0:19:49,0:19:54,Zato je naša skupina odlučila osnovati hipotekarnu banku za izdavanje zajamčenih obveznica.
0:19:55,0:19:59,"Dakle, to je bila strategija, ali strategija je bila odluka."
0:19:59,0:20:05,"Ali ono što je bilo važno, i opet, već je spomenuto, pa ne želim previše ponavljati, ekonomija."
0:20:06,0:20:11,"Dakle, jednostavno, financiranje zajamčenim obveznicama je jeftinije od zajamčenih obveznica seniora."
